         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.51631e+01   0.00000e+00  -1.71562e+01   7.68375e+00   1.00000e+02
             1   8.52958e+01   1.00000e+00  -1.63814e+01   7.68422e+00   1.00083e+02
             2   8.54468e+01   2.00000e+00  -1.55263e+01   7.68469e+00   1.00167e+02
             3   8.56004e+01   3.00000e+00  -1.47117e+01   7.68522e+00   1.00250e+02
             4   8.58007e+01   4.00000e+00  -1.39523e+01   7.68600e+00   1.00333e+02
             5   8.60066e+01   5.00000e+00  -1.32134e+01   7.68681e+00   1.00417e+02
             6   8.62169e+01   6.00000e+00  -1.25717e+01   7.68768e+00   1.00500e+02
             7   8.64047e+01   7.00000e+00  -1.20026e+01   7.68858e+00   1.00583e+02
             8   8.66119e+01   8.00000e+00  -1.15162e+01   7.68987e+00   1.00667e+02
             9   8.68249e+01   9.00000e+00  -1.10532e+01   7.69112e+00   1.00750e+02
            10   8.70394e+01   1.00000e+01  -1.06013e+01   7.69239e+00   1.00833e+02
            11   8.72541e+01   1.10000e+01  -1.01705e+01   7.69373e+00   1.00917e+02
            12   8.74581e+01   1.20000e+01  -9.81107e+00   7.69528e+00   1.01000e+02
            13   8.76742e+01   1.30000e+01  -9.44935e+00   7.69664e+00   1.01083e+02
            14   8.78846e+01   1.40000e+01  -9.11303e+00   7.69788e+00   1.01167e+02
            15   8.80884e+01   1.50000e+01  -8.80124e+00   7.69908e+00   1.01250e+02
            16   8.83063e+01   1.60000e+01  -8.52461e+00   7.70009e+00   1.01333e+02
            17   8.85140e+01   1.70000e+01  -8.24187e+00   7.70103e+00   1.01417e+02
            18   8.87360e+01   1.80000e+01  -7.96959e+00   7.70184e+00   1.01500e+02
            19   8.89417e+01   1.90000e+01  -7.70645e+00   7.70256e+00   1.01583e+02
            20   8.91605e+01   2.00000e+01  -7.50224e+00   7.70288e+00   1.01667e+02
            21   8.93524e+01   2.10000e+01  -7.26939e+00   7.70325e+00   1.01750e+02
            22   8.95457e+01   2.20000e+01  -7.05642e+00   7.70357e+00   1.01833e+02
            23   8.97509e+01   2.30000e+01  -6.86439e+00   7.70384e+00   1.01917e+02
            24   8.99471e+01   2.40000e+01  -6.69628e+00   7.70379e+00   1.02000e+02
            25   9.01648e+01   2.50000e+01  -6.52158e+00   7.70386e+00   1.02083e+02
            26   9.03559e+01   2.60000e+01  -6.35316e+00   7.70393e+00   1.02167e+02
            27   9.05554e+01   2.70000e+01  -6.19220e+00   7.70398e+00   1.02250e+02
            28   9.07485e+01   2.80000e+01  -6.08508e+00   7.70396e+00   1.02333e+02
            29   9.09198e+01   2.90000e+01  -5.95594e+00   7.70398e+00   1.02417e+02
            30   9.11393e+01   3.00000e+01  -5.82619e+00   7.70399e+00   1.02500e+02
            31   9.13186e+01   3.10000e+01  -5.70015e+00   7.70400e+00   1.02583e+02
            32   9.15152e+01   3.20000e+01  -5.62138e+00   7.70399e+00   1.02667e+02
            33   9.16866e+01   3.30000e+01  -5.52212e+00   7.70400e+00   1.02750e+02
            34   9.18705e+01   3.40000e+01  -5.42372e+00   7.70400e+00   1.02833e+02
            35   9.20634e+01   3.50000e+01  -5.32882e+00   7.70400e+00   1.02917e+02
            36   9.22368e+01   3.60000e+01  -5.26965e+00   7.70400e+00   1.03000e+02
            37   9.24102e+01   3.70000e+01  -5.19095e+00   7.70400e+00   1.03083e+02
            38   9.25856e+01   3.80000e+01  -5.10346e+00   7.70400e+00   1.03167e+02
            39   9.27614e+01   3.90000e+01  -5.01708e+00   7.70400e+00   1.03250e+02
            40   9.29397e+01   4.00000e+01  -4.98978e+00   7.70400e+00   1.03333e+02
            41   9.31139e+01   4.10000e+01  -4.93880e+00   7.70400e+00   1.03417e+02
            42   9.32860e+01   4.20000e+01  -4.88538e+00   7.70400e+00   1.03500e+02
            43   9.34414e+01   4.30000e+01  -4.83268e+00   7.70400e+00   1.03583e+02
            44   9.36072e+01   4.40000e+01  -4.80915e+00   7.70400e+00   1.03667e+02
            45   9.37761e+01   4.50000e+01  -4.77162e+00   7.70400e+00   1.03750e+02
            46   9.39378e+01   4.60000e+01  -4.73275e+00   7.70400e+00   1.03833e+02
