         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.49780e+01   0.00000e+00  -2.17971e+01   8.57336e+00   1.00000e+02
             1   8.51301e+01   1.00000e+00  -2.09298e+01   8.57353e+00   1.00083e+02
             2   8.52627e+01   2.00000e+00  -1.99584e+01   8.57372e+00   1.00167e+02
             3   8.54421e+01   3.00000e+00  -1.89482e+01   8.57400e+00   1.00250e+02
             4   8.56244e+01   4.00000e+00  -1.80916e+01   8.57443e+00   1.00333e+02
             5   8.58390e+01   5.00000e+00  -1.72925e+01   8.57498e+00   1.00417e+02
             6   8.60342e+01   6.00000e+00  -1.65784e+01   8.57567e+00   1.00500e+02
             7   8.62307e+01   7.00000e+00  -1.58927e+01   8.57644e+00   1.00583e+02
             8   8.64576e+01   8.00000e+00  -1.53080e+01   8.57775e+00   1.00667e+02
             9   8.66696e+01   9.00000e+00  -1.47354e+01   8.57892e+00   1.00750e+02
            10   8.68880e+01   1.00000e+01  -1.42099e+01   8.58014e+00   1.00833e+02
            11   8.71043e+01   1.10000e+01  -1.37387e+01   8.58138e+00   1.00917e+02
            12   8.73211e+01   1.20000e+01  -1.33084e+01   8.58284e+00   1.01000e+02
            13   8.75193e+01   1.30000e+01  -1.28798e+01   8.58414e+00   1.01083e+02
            14   8.77270e+01   1.40000e+01  -1.24782e+01   8.58535e+00   1.01167e+02
            15   8.79515e+01   1.50000e+01  -1.21100e+01   8.58649e+00   1.01250e+02
            16   8.81659e+01   1.60000e+01  -1.17668e+01   8.58742e+00   1.01333e+02
            17   8.83693e+01   1.70000e+01  -1.14181e+01   8.58829e+00   1.01417e+02
            18   8.85927e+01   1.80000e+01  -1.10831e+01   8.58905e+00   1.01500e+02
            19   8.88049e+01   1.90000e+01  -1.07590e+01   8.58972e+00   1.01583e+02
            20   8.90064e+01   2.00000e+01  -1.04796e+01   8.58999e+00   1.01667e+02
            21   8.92182e+01   2.10000e+01  -1.01936e+01   8.59033e+00   1.01750e+02
            22   8.94325e+01   2.20000e+01  -9.91614e+00   8.59062e+00   1.01833e+02
            23   8.96297e+01   2.30000e+01  -9.64685e+00   8.59086e+00   1.01917e+02
            24   8.98272e+01   2.40000e+01  -9.43110e+00   8.59081e+00   1.02000e+02
            25   9.00451e+01   2.50000e+01  -9.21132e+00   8.59087e+00   1.02083e+02
            26   9.02430e+01   2.60000e+01  -9.00448e+00   8.59093e+00   1.02167e+02
            27   9.04171e+01   2.70000e+01  -8.79669e+00   8.59098e+00   1.02250e+02
            28   9.06157e+01   2.80000e+01  -8.63854e+00   8.59086e+00   1.02333e+02
