         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.53548e+01   0.00000e+00  -1.81777e+01   6.20856e+00   1.00000e+02
             1   8.55030e+01   1.00000e+00  -1.73695e+01   6.20889e+00   1.00083e+02
             2   8.56404e+01   2.00000e+00  -1.64909e+01   6.20925e+00   1.00167e+02
             3   8.58161e+01   3.00000e+00  -1.56575e+01   6.20967e+00   1.00250e+02
             4   8.59957e+01   4.00000e+00  -1.48681e+01   6.21029e+00   1.00333e+02
             5   8.61793e+01   5.00000e+00  -1.41534e+01   6.21100e+00   1.00417e+02
             6   8.63729e+01   6.00000e+00  -1.35176e+01   6.21182e+00   1.00500e+02
             7   8.65936e+01   7.00000e+00  -1.29108e+01   6.21274e+00   1.00583e+02
             8   8.68107e+01   8.00000e+00  -1.23984e+01   6.21405e+00   1.00667e+02
             9   8.70143e+01   9.00000e+00  -1.19027e+01   6.21528e+00   1.00750e+02
            10   8.72092e+01   1.00000e+01  -1.14520e+01   6.21654e+00   1.00833e+02
            11   8.74211e+01   1.10000e+01  -1.10476e+01   6.21786e+00   1.00917e+02
            12   8.76355e+01   1.20000e+01  -1.06882e+01   6.21936e+00   1.01000e+02
            13   8.78261e+01   1.30000e+01  -1.03330e+01   6.22072e+00   1.01083e+02
            14   8.80541e+01   1.40000e+01  -1.00021e+01   6.22200e+00   1.01167e+02
            15   8.82511e+01   1.50000e+01  -9.69989e+00   6.22321e+00   1.01250e+02
            16   8.84530e+01   1.60000e+01  -9.43064e+00   6.22423e+00   1.01333e+02
            17   8.86687e+01   1.70000e+01  -9.15554e+00   6.22517e+00   1.01417e+02
            18   8.88854e+01   1.80000e+01  -8.89336e+00   6.22598e+00   1.01500e+02
            19   8.90840e+01   1.90000e+01  -8.63978e+00   6.22669e+00   1.01583e+02
            20   8.92746e+01   2.00000e+01  -8.44348e+00   6.22695e+00   1.01667e+02
            21   8.94933e+01   2.10000e+01  -8.22496e+00   6.22730e+00   1.01750e+02
            22   8.96789e+01   2.20000e+01  -8.01159e+00   6.22760e+00   1.01833e+02
            23   8.99042e+01   2.30000e+01  -7.80602e+00   6.22785e+00   1.01917e+02
            24   9.00826e+01   2.40000e+01  -7.63581e+00   6.22780e+00   1.02000e+02
            25   9.02824e+01   2.50000e+01  -7.44568e+00   6.22787e+00   1.02083e+02
            26   9.04850e+01   2.60000e+01  -7.27136e+00   6.22793e+00   1.02167e+02
            27   9.06754e+01   2.70000e+01  -7.13112e+00   6.22798e+00   1.02250e+02
            28   9.08528e+01   2.80000e+01  -7.04276e+00   6.22797e+00   1.02333e+02
            29   9.10484e+01   2.90000e+01  -6.92801e+00   6.22798e+00   1.02417e+02
            30   9.12437e+01   3.00000e+01  -6.80489e+00   6.22799e+00   1.02500e+02
            31   9.14218e+01   3.10000e+01  -6.68551e+00   6.22800e+00   1.02583e+02
            32   9.16039e+01   3.20000e+01  -6.58736e+00   6.22799e+00   1.02667e+02
            33   9.17977e+01   3.30000e+01  -6.48550e+00   6.22800e+00   1.02750e+02
            34   9.19870e+01   3.40000e+01  -6.38329e+00   6.22800e+00   1.02833e+02
            35   9.21749e+01   3.50000e+01  -6.27725e+00   6.22800e+00   1.02917e+02
            36   9.23310e+01   3.60000e+01  -6.23202e+00   6.22800e+00   1.03000e+02
            37   9.25063e+01   3.70000e+01  -6.15547e+00   6.22800e+00   1.03083e+02
            38   9.26720e+01   3.80000e+01  -6.07207e+00   6.22800e+00   1.03167e+02
            39   9.28592e+01   3.90000e+01  -5.99828e+00   6.22800e+00   1.03250e+02
            40   9.30300e+01   4.00000e+01  -5.95816e+00   6.22800e+00   1.03333e+02
            41   9.31994e+01   4.10000e+01  -5.90261e+00   6.22800e+00   1.03417e+02
            42   9.33819e+01   4.20000e+01  -5.84713e+00   6.22800e+00   1.03500e+02
            43   9.35394e+01   4.30000e+01  -5.79360e+00   6.22800e+00   1.03583e+02
            44   9.37064e+01   4.40000e+01  -5.77287e+00   6.22800e+00   1.03667e+02
            45   9.38645e+01   4.50000e+01  -5.73660e+00   6.22800e+00   1.03750e+02
            46   9.40345e+01   4.60000e+01  -5.69848e+00   6.22800e+00   1.03833e+02
