         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.48555e+01   0.00000e+00  -2.33883e+01   3.71183e+01   1.00000e+02
             1   8.49981e+01   1.00000e+00  -2.25358e+01   3.71185e+01   1.00083e+02
             2   8.51402e+01   2.00000e+00  -2.15889e+01   3.71188e+01   1.00167e+02
             3   8.53088e+01   3.00000e+00  -2.06510e+01   3.71191e+01   1.00250e+02
             4   8.55153e+01   4.00000e+00  -1.98549e+01   3.71198e+01   1.00333e+02
             5   8.57078e+01   5.00000e+00  -1.90678e+01   3.71204e+01   1.00417e+02
             6   8.58962e+01   6.00000e+00  -1.83900e+01   3.71212e+01   1.00500e+02
             7   8.61111e+01   7.00000e+00  -1.77916e+01   3.71220e+01   1.00583e+02
             8   8.63074e+01   8.00000e+00  -1.72666e+01   3.71234e+01   1.00667e+02
             9   8.65246e+01   9.00000e+00  -1.67586e+01   3.71246e+01   1.00750e+02
            10   8.67266e+01   1.00000e+01  -1.63006e+01   3.71259e+01   1.00833e+02
            11   8.69360e+01   1.10000e+01  -1.58942e+01   3.71272e+01   1.00917e+02
            12   8.71438e+01   1.20000e+01  -1.55259e+01   3.71287e+01   1.01000e+02
            13   8.73630e+01   1.30000e+01  -1.51579e+01   3.71301e+01   1.01083e+02
            14   8.75742e+01   1.40000e+01  -1.48194e+01   3.71313e+01   1.01167e+02
            15   8.77838e+01   1.50000e+01  -1.45106e+01   3.71325e+01   1.01250e+02
            16   8.79952e+01   1.60000e+01  -1.42291e+01   3.71334e+01   1.01333e+02
            17   8.82125e+01   1.70000e+01  -1.39402e+01   3.71343e+01   1.01417e+02
            18   8.84111e+01   1.80000e+01  -1.36632e+01   3.71351e+01   1.01500e+02
            19   8.86196e+01   1.90000e+01  -1.34230e+01   3.71358e+01   1.01583e+02
            20   8.88357e+01   2.00000e+01  -1.32271e+01   3.71362e+01   1.01667e+02
            21   8.90312e+01   2.10000e+01  -1.30008e+01   3.71367e+01   1.01750e+02
            22   8.92261e+01   2.20000e+01  -1.27960e+01   3.71371e+01   1.01833e+02
            23   8.94127e+01   2.30000e+01  -1.26120e+01   3.71374e+01   1.01917e+02
            24   8.96205e+01   2.40000e+01  -1.24635e+01   3.71375e+01   1.02000e+02
            25   8.98228e+01   2.50000e+01  -1.23035e+01   3.71377e+01   1.02083e+02
            26   9.00111e+01   2.60000e+01  -1.21323e+01   3.71378e+01   1.02167e+02
            27   9.02273e+01   2.70000e+01  -1.19533e+01   3.71379e+01   1.02250e+02
            28   9.04101e+01   2.80000e+01  -1.18257e+01   3.71379e+01   1.02333e+02
            29   9.06037e+01   2.90000e+01  -1.16729e+01   3.71379e+01   1.02417e+02
            30   9.07879e+01   3.00000e+01  -1.15272e+01   3.71379e+01   1.02500e+02
            31   9.09776e+01   3.10000e+01  -1.14013e+01   3.71379e+01   1.02583e+02
            32   9.11567e+01   3.20000e+01  -1.13080e+01   3.71377e+01   1.02667e+02
            33   9.13314e+01   3.30000e+01  -1.11964e+01   3.71376e+01   1.02750e+02
            34   9.15211e+01   3.40000e+01  -1.10878e+01   3.71375e+01   1.02833e+02
            35   9.16888e+01   3.50000e+01  -1.09752e+01   3.71374e+01   1.02917e+02
            36   9.18770e+01   3.60000e+01  -1.08963e+01   3.71373e+01   1.03000e+02
            37   9.20562e+01   3.70000e+01  -1.08014e+01   3.71372e+01   1.03083e+02
            38   9.22372e+01   3.80000e+01  -1.07064e+01   3.71371e+01   1.03167e+02
            39   9.24000e+01   3.90000e+01  -1.06138e+01   3.71370e+01   1.03250e+02
            40   9.25771e+01   4.00000e+01  -1.05404e+01   3.71371e+01   1.03333e+02
            41   9.27577e+01   4.10000e+01  -1.04563e+01   3.71370e+01   1.03417e+02
