         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.37275e+01   0.00000e+00  -3.24270e+01   3.65434e+01   1.00000e+02
             1   8.38977e+01   1.00000e+00  -3.14308e+01   3.65437e+01   1.00083e+02
             2   8.40583e+01   2.00000e+00  -3.03232e+01   3.65440e+01   1.00167e+02
             3   8.42247e+01   3.00000e+00  -2.92264e+01   3.65444e+01   1.00250e+02
             4   8.44380e+01   4.00000e+00  -2.82685e+01   3.65453e+01   1.00333e+02
             5   8.46451e+01   5.00000e+00  -2.73844e+01   3.65461e+01   1.00417e+02
             6   8.48495e+01   6.00000e+00  -2.65891e+01   3.65470e+01   1.00500e+02
             7   8.50643e+01   7.00000e+00  -2.58168e+01   3.65480e+01   1.00583e+02
             8   8.52822e+01   8.00000e+00  -2.51308e+01   3.65496e+01   1.00667e+02
             9   8.54933e+01   9.00000e+00  -2.44682e+01   3.65511e+01   1.00750e+02
            10   8.57213e+01   1.00000e+01  -2.38958e+01   3.65526e+01   1.00833e+02
            11   8.59435e+01   1.10000e+01  -2.33474e+01   3.65541e+01   1.00917e+02
            12   8.61494e+01   1.20000e+01  -2.29082e+01   3.65559e+01   1.01000e+02
            13   8.63718e+01   1.30000e+01  -2.24535e+01   3.65575e+01   1.01083e+02
            14   8.65998e+01   1.40000e+01  -2.20240e+01   3.65590e+01   1.01167e+02
            15   8.68100e+01   1.50000e+01  -2.16275e+01   3.65605e+01   1.01250e+02
            16   8.70380e+01   1.60000e+01  -2.12626e+01   3.65616e+01   1.01333e+02
            17   8.72480e+01   1.70000e+01  -2.08875e+01   3.65628e+01   1.01417e+02
            18   8.74679e+01   1.80000e+01  -2.05235e+01   3.65638e+01   1.01500e+02
            19   8.76736e+01   1.90000e+01  -2.01951e+01   3.65647e+01   1.01583e+02
            20   8.78852e+01   2.00000e+01  -1.99007e+01   3.65652e+01   1.01667e+02
            21   8.81131e+01   2.10000e+01  -1.95953e+01   3.65657e+01   1.01750e+02
            22   8.83207e+01   2.20000e+01  -1.93011e+01   3.65661e+01   1.01833e+02
            23   8.85488e+01   2.30000e+01  -1.90436e+01   3.65665e+01   1.01917e+02
            24   8.87491e+01   2.40000e+01  -1.88293e+01   3.65667e+01   1.02000e+02
            25   8.89405e+01   2.50000e+01  -1.85958e+01   3.65669e+01   1.02083e+02
            26   8.91359e+01   2.60000e+01  -1.83673e+01   3.65672e+01   1.02167e+02
            27   8.93460e+01   2.70000e+01  -1.81447e+01   3.65674e+01   1.02250e+02
            28   8.95420e+01   2.80000e+01  -1.79826e+01   3.65676e+01   1.02333e+02
            29   8.97432e+01   2.90000e+01  -1.77868e+01   3.65677e+01   1.02417e+02
            30   8.99258e+01   3.00000e+01  -1.75846e+01   3.65678e+01   1.02500e+02
            31   9.01138e+01   3.10000e+01  -1.73920e+01   3.65679e+01   1.02583e+02
            32   9.03209e+01   3.20000e+01  -1.72470e+01   3.65679e+01   1.02667e+02
            33   9.05071e+01   3.30000e+01  -1.70718e+01   3.65679e+01   1.02750e+02
            34   9.07007e+01   3.40000e+01  -1.68989e+01   3.65680e+01   1.02833e+02
            35   9.08820e+01   3.50000e+01  -1.67370e+01   3.65680e+01   1.02917e+02
            36   9.10752e+01   3.60000e+01  -1.66353e+01   3.65680e+01   1.03000e+02
