         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.40938e+01   0.00000e+00  -3.16552e+01   3.73323e+01   1.00000e+02
             1   8.42497e+01   1.00000e+00  -3.06856e+01   3.73326e+01   1.00083e+02
             2   8.43980e+01   2.00000e+00  -2.96029e+01   3.73328e+01   1.00167e+02
             3   8.45615e+01   3.00000e+00  -2.85316e+01   3.73332e+01   1.00250e+02
             4   8.47638e+01   4.00000e+00  -2.75767e+01   3.73339e+01   1.00333e+02
             5   8.49638e+01   5.00000e+00  -2.66880e+01   3.73346e+01   1.00417e+02
             6   8.51826e+01   6.00000e+00  -2.58919e+01   3.73354e+01   1.00500e+02
             7   8.53847e+01   7.00000e+00  -2.51251e+01   3.73364e+01   1.00583e+02
             8   8.56011e+01   8.00000e+00  -2.44615e+01   3.73379e+01   1.00667e+02
             9   8.58291e+01   9.00000e+00  -2.38157e+01   3.73393e+01   1.00750e+02
            10   8.60356e+01   1.00000e+01  -2.32171e+01   3.73408e+01   1.00833e+02
            11   8.62560e+01   1.10000e+01  -2.26570e+01   3.73423e+01   1.00917e+02
            12   8.64679e+01   1.20000e+01  -2.21812e+01   3.73441e+01   1.01000e+02
            13   8.66901e+01   1.30000e+01  -2.16877e+01   3.73458e+01   1.01083e+02
            14   8.68924e+01   1.40000e+01  -2.12469e+01   3.73473e+01   1.01167e+02
            15   8.71167e+01   1.50000e+01  -2.08457e+01   3.73488e+01   1.01250e+02
            16   8.73493e+01   1.60000e+01  -2.05039e+01   3.73500e+01   1.01333e+02
            17   8.75476e+01   1.70000e+01  -2.01397e+01   3.73512e+01   1.01417e+02
            18   8.77600e+01   1.80000e+01  -1.97922e+01   3.73522e+01   1.01500e+02
            19   8.79858e+01   1.90000e+01  -1.94668e+01   3.73532e+01   1.01583e+02
            20   8.81882e+01   2.00000e+01  -1.91620e+01   3.73537e+01   1.01667e+02
            21   8.83994e+01   2.10000e+01  -1.88382e+01   3.73543e+01   1.01750e+02
            22   8.86007e+01   2.20000e+01  -1.85321e+01   3.73548e+01   1.01833e+02
            23   8.87990e+01   2.30000e+01  -1.82594e+01   3.73552e+01   1.01917e+02
            24   8.90106e+01   2.40000e+01  -1.80340e+01   3.73554e+01   1.02000e+02
            25   8.92062e+01   2.50000e+01  -1.77869e+01   3.73556e+01   1.02083e+02
            26   8.94189e+01   2.60000e+01  -1.75435e+01   3.73558e+01   1.02167e+02
            27   8.96249e+01   2.70000e+01  -1.73102e+01   3.73559e+01   1.02250e+02
            28   8.98251e+01   2.80000e+01  -1.71102e+01   3.73559e+01   1.02333e+02
            29   9.00194e+01   2.90000e+01  -1.69014e+01   3.73559e+01   1.02417e+02
            30   9.02092e+01   3.00000e+01  -1.67121e+01   3.73560e+01   1.02500e+02
            31   9.04064e+01   3.10000e+01  -1.65215e+01   3.73560e+01   1.02583e+02
            32   9.05801e+01   3.20000e+01  -1.63829e+01   3.73560e+01   1.02667e+02
            33   9.07750e+01   3.30000e+01  -1.62292e+01   3.73560e+01   1.02750e+02
            34   9.09676e+01   3.40000e+01  -1.60689e+01   3.73560e+01   1.02833e+02
            35   9.11483e+01   3.50000e+01  -1.59115e+01   3.73560e+01   1.02917e+02
            36   9.13295e+01   3.60000e+01  -1.57890e+01   3.73560e+01   1.03000e+02
            37   9.15105e+01   3.70000e+01  -1.56476e+01   3.73560e+01   1.03083e+02
            38   9.16944e+01   3.80000e+01  -1.54986e+01   3.73560e+01   1.03167e+02
            39   9.18794e+01   3.90000e+01  -1.53510e+01   3.73560e+01   1.03250e+02
            40   9.20466e+01   4.00000e+01  -1.52618e+01   3.73560e+01   1.03333e+02
            41   9.22149e+01   4.10000e+01  -1.51423e+01   3.73560e+01   1.03417e+02
            42   9.23851e+01   4.20000e+01  -1.50279e+01   3.73560e+01   1.03500e+02
            43   9.25607e+01   4.30000e+01  -1.49167e+01   3.73560e+01   1.03583e+02
            44   9.27351e+01   4.40000e+01  -1.48453e+01   3.73560e+01   1.03667e+02
