         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42743e+01   0.00000e+00  -2.77625e+01   3.76584e+01   1.00000e+02
             1   8.44394e+01   1.00000e+00  -2.67406e+01   3.76587e+01   1.00083e+02
             2   8.45837e+01   2.00000e+00  -2.56068e+01   3.76589e+01   1.00167e+02
             3   8.47576e+01   3.00000e+00  -2.44928e+01   3.76593e+01   1.00250e+02
             4   8.49585e+01   4.00000e+00  -2.35120e+01   3.76600e+01   1.00333e+02
             5   8.51565e+01   5.00000e+00  -2.26097e+01   3.76607e+01   1.00417e+02
             6   8.53668e+01   6.00000e+00  -2.18050e+01   3.76615e+01   1.00500e+02
             7   8.55965e+01   7.00000e+00  -2.10296e+01   3.76624e+01   1.00583e+02
             8   8.58085e+01   8.00000e+00  -2.03569e+01   3.76637e+01   1.00667e+02
             9   8.60298e+01   9.00000e+00  -1.97050e+01   3.76649e+01   1.00750e+02
            10   8.62534e+01   1.00000e+01  -1.90989e+01   3.76661e+01   1.00833e+02
            11   8.64805e+01   1.10000e+01  -1.85275e+01   3.76675e+01   1.00917e+02
            12   8.66968e+01   1.20000e+01  -1.80689e+01   3.76691e+01   1.01000e+02
            13   8.69201e+01   1.30000e+01  -1.75961e+01   3.76705e+01   1.01083e+02
            14   8.71336e+01   1.40000e+01  -1.71468e+01   3.76718e+01   1.01167e+02
            15   8.73509e+01   1.50000e+01  -1.67181e+01   3.76731e+01   1.01250e+02
            16   8.75787e+01   1.60000e+01  -1.63606e+01   3.76741e+01   1.01333e+02
            17   8.77810e+01   1.70000e+01  -1.60056e+01   3.76751e+01   1.01417e+02
            18   8.80004e+01   1.80000e+01  -1.56520e+01   3.76759e+01   1.01500e+02
            19   8.82161e+01   1.90000e+01  -1.53072e+01   3.76767e+01   1.01583e+02
            20   8.84295e+01   2.00000e+01  -1.50148e+01   3.76770e+01   1.01667e+02
            21   8.86379e+01   2.10000e+01  -1.47198e+01   3.76774e+01   1.01750e+02
            22   8.88528e+01   2.20000e+01  -1.44384e+01   3.76778e+01   1.01833e+02
            23   8.90427e+01   2.30000e+01  -1.41576e+01   3.76782e+01   1.01917e+02
            24   8.92620e+01   2.40000e+01  -1.39169e+01   3.76783e+01   1.02000e+02
            25   8.94640e+01   2.50000e+01  -1.36649e+01   3.76785e+01   1.02083e+02
            26   8.96678e+01   2.60000e+01  -1.34109e+01   3.76787e+01   1.02167e+02
            27   8.98543e+01   2.70000e+01  -1.31719e+01   3.76788e+01   1.02250e+02
            28   9.00691e+01   2.80000e+01  -1.29938e+01   3.76788e+01   1.02333e+02
            29   9.02475e+01   2.90000e+01  -1.27957e+01   3.76789e+01   1.02417e+02
            30   9.04573e+01   3.00000e+01  -1.26040e+01   3.76789e+01   1.02500e+02
            31   9.06593e+01   3.10000e+01  -1.24264e+01   3.76790e+01   1.02583e+02
            32   9.08411e+01   3.20000e+01  -1.22780e+01   3.76790e+01   1.02667e+02
            33   9.10388e+01   3.30000e+01  -1.21127e+01   3.76790e+01   1.02750e+02
            34   9.12305e+01   3.40000e+01  -1.19456e+01   3.76790e+01   1.02833e+02
            35   9.14082e+01   3.50000e+01  -1.17736e+01   3.76790e+01   1.02917e+02
            36   9.15885e+01   3.60000e+01  -1.16536e+01   3.76790e+01   1.03000e+02
            37   9.17770e+01   3.70000e+01  -1.15105e+01   3.76790e+01   1.03083e+02
            38   9.19544e+01   3.80000e+01  -1.13701e+01   3.76790e+01   1.03167e+02
            39   9.21413e+01   3.90000e+01  -1.12236e+01   3.76790e+01   1.03250e+02
            40   9.23095e+01   4.00000e+01  -1.11430e+01   3.76790e+01   1.03333e+02
            41   9.24970e+01   4.10000e+01  -1.10392e+01   3.76790e+01   1.03417e+02
            42   9.26644e+01   4.20000e+01  -1.09373e+01   3.76790e+01   1.03500e+02
            43   9.28372e+01   4.30000e+01  -1.08309e+01   3.76790e+01   1.03583e+02
            44   9.30112e+01   4.40000e+01  -1.07533e+01   3.76790e+01   1.03667e+02
            45   9.31761e+01   4.50000e+01  -1.06624e+01   3.76790e+01   1.03750e+02
            46   9.33507e+01   4.60000e+01  -1.05705e+01   3.76790e+01   1.03833e+02
            47   9.35179e+01   4.70000e+01  -1.04799e+01   3.76790e+01   1.03917e+02
            48   9.36761e+01   4.80000e+01  -1.04089e+01   3.76790e+01   1.04000e+02
            49   9.38474e+01   4.90000e+01  -1.03327e+01   3.76790e+01   1.04083e+02
            50   9.40159e+01   5.00000e+01  -1.02581e+01   3.76790e+01   1.04167e+02
            51   9.41763e+01   5.10000e+01  -1.01851e+01   3.76790e+01   1.04250e+02
            52   9.43416e+01   5.20000e+01  -1.01289e+01   3.76790e+01   1.04333e+02
            53   9.44902e+01   5.30000e+01  -1.00658e+01   3.76790e+01   1.04417e+02
            54   9.46569e+01   5.40000e+01  -1.00033e+01   3.76790e+01   1.04500e+02
            55   9.48192e+01   5.50000e+01  -9.94318e+00   3.76790e+01   1.04583e+02
            56   9.49764e+01   5.60000e+01  -9.90369e+00   3.76790e+01   1.04667e+02
            57   9.51233e+01   5.70000e+01  -9.85455e+00   3.76790e+01   1.04750e+02
            58   9.52829e+01   5.80000e+01  -9.80541e+00   3.76791e+01   1.04833e+02
            59   9.54284e+01   5.90000e+01  -9.75832e+00   3.76792e+01   1.04917e+02
            60   9.55945e+01   6.00000e+01  -9.72799e+00   3.76794e+01   1.05000e+02
            61   9.57489e+01   6.10000e+01  -9.68978e+00   3.76795e+01   1.05083e+02
            62   9.58883e+01   6.20000e+01  -9.65189e+00   3.76796e+01   1.05167e+02
            63   9.60383e+01   6.30000e+01  -9.61478e+00   3.76797e+01   1.05250e+02
            64   9.61789e+01   6.40000e+01  -9.59252e+00   3.76798e+01   1.05333e+02
            65   9.63350e+01   6.50000e+01  -9.56236e+00   3.76799e+01   1.05417e+02
            66   9.64879e+01   6.60000e+01  -9.53153e+00   3.76799e+01   1.05500e+02
            67   9.66313e+01   6.70000e+01  -9.50182e+00   3.76800e+01   1.05583e+02
            68   9.67873e+01   6.80000e+01  -9.48285e+00   3.76800e+01   1.05667e+02
            69   9.69191e+01   6.90000e+01  -9.45838e+00   3.76800e+01   1.05750e+02
            70   9.70614e+01   7.00000e+01  -9.43456e+00   3.76800e+01   1.05833e+02
            71   9.72023e+01   7.10000e+01  -9.41176e+00   3.76800e+01   1.05917e+02
            72   9.73502e+01   7.20000e+01  -9.39697e+00   3.76800e+01   1.06000e+02
            73   9.75075e+01   7.30000e+01  -9.37920e+00   3.76800e+01   1.06083e+02
            74   9.76444e+01   7.40000e+01  -9.36260e+00   3.76800e+01   1.06167e+02
            75   9.77853e+01   7.50000e+01  -9.34682e+00   3.76800e+01   1.06250e+02
            76   9.79099e+01   7.60000e+01  -9.33934e+00   3.76800e+01   1.06333e+02
            77   9.80712e+01   7.70000e+01  -9.32840e+00   3.76800e+01   1.06417e+02
            78   9.82015e+01   7.80000e+01  -9.31683e+00   3.76800e+01   1.06500e+02
            79   9.83429e+01   7.90000e+01  -9.30594e+00   3.76800e+01   1.06583e+02
            80   9.84786e+01   8.00000e+01  -9.30356e+00   3.76800e+01   1.06667e+02
            81   9.86182e+01   8.10000e+01  -9.29756e+00   3.76800e+01   1.06750e+02
            82   9.87544e+01   8.20000e+01  -9.29148e+00   3.76800e+01   1.06833e+02
            83   9.88941e+01   8.30000e+01  -9.28514e+00   3.76800e+01   1.06917e+02
            84   9.90166e+01   8.40000e+01  -9.28656e+00   3.76801e+01   1.07000e+02
            85   9.91559e+01   8.50000e+01  -9.28268e+00   3.76802e+01   1.07083e+02
            86   9.92819e+01   8.60000e+01  -9.27846e+00   3.76803e+01   1.07167e+02
            87   9.94355e+01   8.70000e+01  -9.27505e+00   3.76804e+01   1.07250e+02
            88   9.95577e+01   8.80000e+01  -9.27412e+00   3.76806e+01   1.07333e+02
            89   9.96866e+01   8.90000e+01  -9.27194e+00   3.76808e+01   1.07417e+02
            90   9.98231e+01   9.00000e+01  -9.27065e+00   3.76809e+01   1.07500e+02
            91   9.99581e+01   9.10000e+01  -9.26982e+00   3.76809e+01   1.07583e+02
            92   1.00087e+02   9.20000e+01  -9.27244e+00   3.76809e+01   1.07667e+02
            93   1.00221e+02   9.30000e+01  -9.27374e+00   3.76810e+01   1.07750e+02
            94   1.00361e+02   9.40000e+01  -9.27383e+00   3.76810e+01   1.07833e+02
            95   1.00481e+02   9.50000e+01  -9.27374e+00   3.76810e+01   1.07917e+02
            96   1.00625e+02   9.60000e+01  -9.27853e+00   3.76810e+01   1.08000e+02
            97   1.00755e+02   9.70000e+01  -9.28123e+00   3.76810e+01   1.08083e+02
            98   1.00877e+02   9.80000e+01  -9.28331e+00   3.76810e+01   1.08167e+02
            99   1.01015e+02   9.90000e+01  -9.28477e+00   3.76810e+01   1.08250e+02
           100   1.01139e+02   1.00000e+02  -9.29239e+00   3.76810e+01   1.08333e+02
           101   1.01262e+02   1.01000e+02  -9.29922e+00   3.76810e+01   1.08417e+02
           102   1.01387e+02   1.02000e+02  -9.30438e+00   3.76810e+01   1.08500e+02
           103   1.01536e+02   1.03000e+02  -9.30925e+00   3.76810e+01   1.08583e+02
           104   1.01648e+02   1.04000e+02  -9.31534e+00   3.76810e+01   1.08667e+02
           105   1.01780e+02   1.05000e+02  -9.32139e+00   3.76810e+01   1.08750e+02
           106   1.01899e+02   1.06000e+02  -9.32696e+00   3.76810e+01   1.08833e+02
           107   1.02020e+02   1.07000e+02  -9.33260e+00   3.76810e+01   1.08917e+02
           108   1.02142e+02   1.08000e+02  -9.34257e+00   3.76810e+01   1.09000e+02
           109   1.02286e+02   1.09000e+02  -9.35150e+00   3.76810e+01   1.09083e+02
           110   1.02410e+02   1.10000e+02  -9.36036e+00   3.76810e+01   1.09167e+02
           111   1.02532e+02   1.11000e+02  -9.36892e+00   3.76810e+01   1.09250e+02
           112   1.02663e+02   1.12000e+02  -9.37597e+00   3.76810e+01   1.09333e+02
           113   1.02772e+02   1.13000e+02  -9.38242e+00   3.76810e+01   1.09417e+02
           114   1.02914e+02   1.14000e+02  -9.39057e+00   3.76810e+01   1.09500e+02
           115   1.03026e+02   1.15000e+02  -9.39958e+00   3.76810e+01   1.09583e+02
           116   1.03160e+02   1.16000e+02  -9.40868e+00   3.76810e+01   1.09667e+02
           117   1.03268e+02   1.17000e+02  -9.41684e+00   3.76810e+01   1.09750e+02
           118   1.03394e+02   1.18000e+02  -9.42516e+00   3.76810e+01   1.09833e+02
           119   1.03515e+02   1.19000e+02  -9.43368e+00   3.76810e+01   1.09917e+02
           120   1.03636e+02   1.20000e+02  -9.44032e+00   3.76810e+01   1.10000e+02
           121   1.03766e+02   1.21000e+02  -9.44662e+00   3.76810e+01   1.10083e+02
           122   1.03881e+02   1.22000e+02  -9.45354e+00   3.76810e+01   1.10167e+02
           123   1.03996e+02   1.23000e+02  -9.46122e+00   3.76810e+01   1.10250e+02
           124   1.04121e+02   1.24000e+02  -9.46988e+00   3.76810e+01   1.10333e+02
           125   1.04246e+02   1.25000e+02  -9.47789e+00   3.76810e+01   1.10417e+02
           126   1.04363e+02   1.26000e+02  -9.48545e+00   3.76810e+01   1.10500e+02
           127   1.04485e+02   1.27000e+02  -9.49283e+00   3.76810e+01   1.10583e+02
           128   1.04611e+02   1.28000e+02  -9.49885e+00   3.76810e+01   1.10667e+02
           129   1.04727e+02   1.29000e+02  -9.50545e+00   3.76810e+01   1.10750e+02
           130   1.04856e+02   1.30000e+02  -9.51222e+00   3.76810e+01   1.10833e+02
           131   1.04970e+02   1.31000e+02  -9.51862e+00   3.76810e+01   1.10917e+02
           132   1.05096e+02   1.32000e+02  -9.52434e+00   3.76810e+01   1.11000e+02
           133   1.05202e+02   1.33000e+02  -9.53222e+00   3.76810e+01   1.11083e+02
           134   1.05328e+02   1.34000e+02  -9.53970e+00   3.76810e+01   1.11167e+02
           135   1.05445e+02   1.35000e+02  -9.54689e+00   3.76810e+01   1.11250e+02
           136   1.05557e+02   1.36000e+02  -9.55410e+00   3.76810e+01   1.11333e+02
           137   1.05673e+02   1.37000e+02  -9.56242e+00   3.76810e+01   1.11417e+02
           138   1.05783e+02   1.38000e+02  -9.57126e+00   3.76810e+01   1.11500e+02
           139   1.05906e+02   1.39000e+02  -9.57941e+00   3.76810e+01   1.11583e+02
           140   1.06030e+02   1.40000e+02  -9.58844e+00   3.76810e+01   1.11667e+02
           141   1.06135e+02   1.41000e+02  -9.59627e+00   3.76810e+01   1.11750e+02
           142   1.06251e+02   1.42000e+02  -9.60287e+00   3.76810e+01   1.11833e+02
           143   1.06362e+02   1.43000e+02  -9.60888e+00   3.76810e+01   1.11917e+02
           144   1.06480e+02   1.44000e+02  -9.61669e+00   3.76810e+01   1.12000e+02
           145   1.06601e+02   1.45000e+02  -9.62292e+00   3.76810e+01   1.12083e+02
