         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.43932e+01   0.00000e+00  -2.77799e+01   3.54152e+01   1.00000e+02
             1   8.45579e+01   1.00000e+00  -2.67807e+01   3.54154e+01   1.00083e+02
             2   8.46985e+01   2.00000e+00  -2.56806e+01   3.54157e+01   1.00167e+02
             3   8.48694e+01   3.00000e+00  -2.46084e+01   3.54161e+01   1.00250e+02
             4   8.50618e+01   4.00000e+00  -2.36675e+01   3.54168e+01   1.00333e+02
             5   8.52763e+01   5.00000e+00  -2.27846e+01   3.54175e+01   1.00417e+02
             6   8.54959e+01   6.00000e+00  -2.19915e+01   3.54183e+01   1.00500e+02
             7   8.56962e+01   7.00000e+00  -2.12748e+01   3.54192e+01   1.00583e+02
             8   8.58948e+01   8.00000e+00  -2.06361e+01   3.54206e+01   1.00667e+02
             9   8.61136e+01   9.00000e+00  -2.00186e+01   3.54219e+01   1.00750e+02
            10   8.63354e+01   1.00000e+01  -1.94547e+01   3.54232e+01   1.00833e+02
            11   8.65396e+01   1.10000e+01  -1.89424e+01   3.54246e+01   1.00917e+02
            12   8.67590e+01   1.20000e+01  -1.84807e+01   3.54262e+01   1.01000e+02
            13   8.69773e+01   1.30000e+01  -1.80242e+01   3.54276e+01   1.01083e+02
            14   8.71903e+01   1.40000e+01  -1.75895e+01   3.54288e+01   1.01167e+02
            15   8.74059e+01   1.50000e+01  -1.71711e+01   3.54301e+01   1.01250e+02
            16   8.76186e+01   1.60000e+01  -1.68201e+01   3.54310e+01   1.01333e+02
            17   8.78389e+01   1.70000e+01  -1.64693e+01   3.54319e+01   1.01417e+02
            18   8.80434e+01   1.80000e+01  -1.61393e+01   3.54327e+01   1.01500e+02
            19   8.82479e+01   1.90000e+01  -1.58075e+01   3.54334e+01   1.01583e+02
            20   8.84711e+01   2.00000e+01  -1.55319e+01   3.54337e+01   1.01667e+02
            21   8.86720e+01   2.10000e+01  -1.52312e+01   3.54341e+01   1.01750e+02
            22   8.88757e+01   2.20000e+01  -1.49461e+01   3.54344e+01   1.01833e+02
            23   8.90879e+01   2.30000e+01  -1.46693e+01   3.54347e+01   1.01917e+02
            24   8.92824e+01   2.40000e+01  -1.44503e+01   3.54347e+01   1.02000e+02
            25   8.94849e+01   2.50000e+01  -1.42085e+01   3.54348e+01   1.02083e+02
            26   8.96681e+01   2.60000e+01  -1.39852e+01   3.54349e+01   1.02167e+02
            27   8.98819e+01   2.70000e+01  -1.37603e+01   3.54350e+01   1.02250e+02
            28   9.00745e+01   2.80000e+01  -1.35839e+01   3.54349e+01   1.02333e+02
            29   9.02707e+01   2.90000e+01  -1.33907e+01   3.54350e+01   1.02417e+02
            30   9.04610e+01   3.00000e+01  -1.32001e+01   3.54350e+01   1.02500e+02
            31   9.06460e+01   3.10000e+01  -1.30112e+01   3.54350e+01   1.02583e+02
            32   9.08451e+01   3.20000e+01  -1.28668e+01   3.54349e+01   1.02667e+02
            33   9.10227e+01   3.30000e+01  -1.27029e+01   3.54348e+01   1.02750e+02
            34   9.12102e+01   3.40000e+01  -1.25378e+01   3.54347e+01   1.02833e+02
            35   9.13957e+01   3.50000e+01  -1.23773e+01   3.54346e+01   1.02917e+02
            36   9.15786e+01   3.60000e+01  -1.22582e+01   3.54343e+01   1.03000e+02
            37   9.17586e+01   3.70000e+01  -1.21182e+01   3.54342e+01   1.03083e+02
            38   9.19364e+01   3.80000e+01  -1.19779e+01   3.54341e+01   1.03167e+02
            39   9.21071e+01   3.90000e+01  -1.18413e+01   3.54341e+01   1.03250e+02
            40   9.22908e+01   4.00000e+01  -1.17336e+01   3.54341e+01   1.03333e+02
