         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.44308e+01   0.00000e+00  -2.81997e+01   3.23072e+01   1.00000e+02
             1   8.45787e+01   1.00000e+00  -2.72023e+01   3.23074e+01   1.00083e+02
             2   8.47416e+01   2.00000e+00  -2.60934e+01   3.23077e+01   1.00167e+02
             3   8.49034e+01   3.00000e+00  -2.50061e+01   3.23080e+01   1.00250e+02
             4   8.51023e+01   4.00000e+00  -2.40471e+01   3.23086e+01   1.00333e+02
             5   8.53011e+01   5.00000e+00  -2.31484e+01   3.23092e+01   1.00417e+02
             6   8.55193e+01   6.00000e+00  -2.23422e+01   3.23099e+01   1.00500e+02
             7   8.57016e+01   7.00000e+00  -2.16068e+01   3.23107e+01   1.00583e+02
             8   8.59223e+01   8.00000e+00  -2.09416e+01   3.23118e+01   1.00667e+02
             9   8.61400e+01   9.00000e+00  -2.03005e+01   3.23129e+01   1.00750e+02
            10   8.63554e+01   1.00000e+01  -1.97001e+01   3.23141e+01   1.00833e+02
            11   8.65615e+01   1.10000e+01  -1.91299e+01   3.23153e+01   1.00917e+02
            12   8.67778e+01   1.20000e+01  -1.86600e+01   3.23167e+01   1.01000e+02
            13   8.69951e+01   1.30000e+01  -1.81747e+01   3.23180e+01   1.01083e+02
            14   8.72160e+01   1.40000e+01  -1.77416e+01   3.23191e+01   1.01167e+02
            15   8.74285e+01   1.50000e+01  -1.73179e+01   3.23203e+01   1.01250e+02
            16   8.76365e+01   1.60000e+01  -1.69597e+01   3.23211e+01   1.01333e+02
            17   8.78650e+01   1.70000e+01  -1.66015e+01   3.23220e+01   1.01417e+02
            18   8.80665e+01   1.80000e+01  -1.62635e+01   3.23228e+01   1.01500e+02
            19   8.82737e+01   1.90000e+01  -1.59222e+01   3.23235e+01   1.01583e+02
            20   8.84882e+01   2.00000e+01  -1.56366e+01   3.23238e+01   1.01667e+02
            21   8.86942e+01   2.10000e+01  -1.53267e+01   3.23241e+01   1.01750e+02
            22   8.89053e+01   2.20000e+01  -1.50330e+01   3.23245e+01   1.01833e+02
            23   8.90983e+01   2.30000e+01  -1.47498e+01   3.23247e+01   1.01917e+02
            24   8.93024e+01   2.40000e+01  -1.45331e+01   3.23247e+01   1.02000e+02
            25   8.94953e+01   2.50000e+01  -1.42782e+01   3.23248e+01   1.02083e+02
            26   8.97033e+01   2.60000e+01  -1.40346e+01   3.23249e+01   1.02167e+02
            27   8.98867e+01   2.70000e+01  -1.37985e+01   3.23250e+01   1.02250e+02
            28   9.00782e+01   2.80000e+01  -1.36094e+01   3.23250e+01   1.02333e+02
            29   9.02805e+01   2.90000e+01  -1.33980e+01   3.23250e+01   1.02417e+02
            30   9.04876e+01   3.00000e+01  -1.31887e+01   3.23250e+01   1.02500e+02
            31   9.06832e+01   3.10000e+01  -1.30018e+01   3.23250e+01   1.02583e+02
            32   9.08578e+01   3.20000e+01  -1.28462e+01   3.23249e+01   1.02667e+02
            33   9.10568e+01   3.30000e+01  -1.26689e+01   3.23248e+01   1.02750e+02
            34   9.12341e+01   3.40000e+01  -1.24884e+01   3.23247e+01   1.02833e+02
            35   9.14094e+01   3.50000e+01  -1.23199e+01   3.23246e+01   1.02917e+02
            36   9.16011e+01   3.60000e+01  -1.21960e+01   3.23244e+01   1.03000e+02
            37   9.17745e+01   3.70000e+01  -1.20513e+01   3.23242e+01   1.03083e+02
            38   9.19528e+01   3.80000e+01  -1.19069e+01   3.23241e+01   1.03167e+02
            39   9.21309e+01   3.90000e+01  -1.17657e+01   3.23241e+01   1.03250e+02
            40   9.23059e+01   4.00000e+01  -1.16652e+01   3.23241e+01   1.03333e+02
            41   9.24720e+01   4.10000e+01  -1.15450e+01   3.23241e+01   1.03417e+02
            42   9.26429e+01   4.20000e+01  -1.14247e+01   3.23240e+01   1.03500e+02
