         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.41192e+01   0.00000e+00  -2.90273e+01   3.15542e+01   1.00000e+02
             1   8.42715e+01   1.00000e+00  -2.80196e+01   3.15544e+01   1.00083e+02
             2   8.44206e+01   2.00000e+00  -2.68912e+01   3.15547e+01   1.00167e+02
             3   8.45964e+01   3.00000e+00  -2.57741e+01   3.15550e+01   1.00250e+02
             4   8.47848e+01   4.00000e+00  -2.47850e+01   3.15557e+01   1.00333e+02
             5   8.49832e+01   5.00000e+00  -2.38777e+01   3.15564e+01   1.00417e+02
             6   8.51988e+01   6.00000e+00  -2.30603e+01   3.15571e+01   1.00500e+02
             7   8.54178e+01   7.00000e+00  -2.22798e+01   3.15580e+01   1.00583e+02
             8   8.56295e+01   8.00000e+00  -2.15880e+01   3.15593e+01   1.00667e+02
             9   8.58530e+01   9.00000e+00  -2.09590e+01   3.15605e+01   1.00750e+02
            10   8.60617e+01   1.00000e+01  -2.03690e+01   3.15618e+01   1.00833e+02
            11   8.62923e+01   1.10000e+01  -1.98298e+01   3.15631e+01   1.00917e+02
            12   8.65081e+01   1.20000e+01  -1.93338e+01   3.15646e+01   1.01000e+02
            13   8.67223e+01   1.30000e+01  -1.88409e+01   3.15659e+01   1.01083e+02
            14   8.69410e+01   1.40000e+01  -1.83998e+01   3.15672e+01   1.01167e+02
            15   8.71454e+01   1.50000e+01  -1.79649e+01   3.15683e+01   1.01250e+02
            16   8.73553e+01   1.60000e+01  -1.75960e+01   3.15693e+01   1.01333e+02
            17   8.75818e+01   1.70000e+01  -1.72295e+01   3.15702e+01   1.01417e+02
            18   8.78042e+01   1.80000e+01  -1.68845e+01   3.15710e+01   1.01500e+02
            19   8.80140e+01   1.90000e+01  -1.65406e+01   3.15717e+01   1.01583e+02
            20   8.82212e+01   2.00000e+01  -1.62548e+01   3.15720e+01   1.01667e+02
            21   8.84269e+01   2.10000e+01  -1.59468e+01   3.15723e+01   1.01750e+02
            22   8.86237e+01   2.20000e+01  -1.56546e+01   3.15726e+01   1.01833e+02
            23   8.88361e+01   2.30000e+01  -1.53504e+01   3.15729e+01   1.01917e+02
            24   8.90332e+01   2.40000e+01  -1.51241e+01   3.15728e+01   1.02000e+02
            25   8.92471e+01   2.50000e+01  -1.48760e+01   3.15729e+01   1.02083e+02
            26   8.94447e+01   2.60000e+01  -1.46307e+01   3.15729e+01   1.02167e+02
            27   8.96444e+01   2.70000e+01  -1.43917e+01   3.15730e+01   1.02250e+02
            28   8.98472e+01   2.80000e+01  -1.42052e+01   3.15730e+01   1.02333e+02
            29   9.00378e+01   2.90000e+01  -1.39987e+01   3.15730e+01   1.02417e+02
            30   9.02311e+01   3.00000e+01  -1.37931e+01   3.15730e+01   1.02500e+02
            31   9.04139e+01   3.10000e+01  -1.35928e+01   3.15730e+01   1.02583e+02
            32   9.06086e+01   3.20000e+01  -1.34390e+01   3.15730e+01   1.02667e+02
            33   9.08021e+01   3.30000e+01  -1.32597e+01   3.15730e+01   1.02750e+02
            34   9.09902e+01   3.40000e+01  -1.30769e+01   3.15730e+01   1.02833e+02
            35   9.11848e+01   3.50000e+01  -1.29036e+01   3.15730e+01   1.02917e+02
            36   9.13603e+01   3.60000e+01  -1.27730e+01   3.15730e+01   1.03000e+02
            37   9.15468e+01   3.70000e+01  -1.26141e+01   3.15730e+01   1.03083e+02
            38   9.17177e+01   3.80000e+01  -1.24587e+01   3.15730e+01   1.03167e+02
            39   9.19048e+01   3.90000e+01  -1.23168e+01   3.15730e+01   1.03250e+02
            40   9.20837e+01   4.00000e+01  -1.22274e+01   3.15730e+01   1.03333e+02
            41   9.22603e+01   4.10000e+01  -1.21173e+01   3.15730e+01   1.03417e+02
            42   9.24243e+01   4.20000e+01  -1.19983e+01   3.15730e+01   1.03500e+02
            43   9.25923e+01   4.30000e+01  -1.18811e+01   3.15730e+01   1.03583e+02
            44   9.27627e+01   4.40000e+01  -1.17984e+01   3.15730e+01   1.03667e+02
            45   9.29337e+01   4.50000e+01  -1.16973e+01   3.15730e+01   1.03750e+02
            46   9.31031e+01   4.60000e+01  -1.15957e+01   3.15730e+01   1.03833e+02
            47   9.32670e+01   4.70000e+01  -1.14963e+01   3.15730e+01   1.03917e+02
            48   9.34354e+01   4.80000e+01  -1.14187e+01   3.15730e+01   1.04000e+02
            49   9.35947e+01   4.90000e+01  -1.13331e+01   3.15730e+01   1.04083e+02
            50   9.37689e+01   5.00000e+01  -1.12463e+01   3.15730e+01   1.04167e+02
            51   9.39301e+01   5.10000e+01  -1.11617e+01   3.15730e+01   1.04250e+02
            52   9.40981e+01   5.20000e+01  -1.10988e+01   3.15730e+01   1.04333e+02
            53   9.42528e+01   5.30000e+01  -1.10277e+01   3.15730e+01   1.04417e+02
            54   9.44150e+01   5.40000e+01  -1.09562e+01   3.15730e+01   1.04500e+02
            55   9.45591e+01   5.50000e+01  -1.08844e+01   3.15730e+01   1.04583e+02
            56   9.47215e+01   5.60000e+01  -1.08308e+01   3.15730e+01   1.04667e+02
            57   9.48756e+01   5.70000e+01  -1.07694e+01   3.15730e+01   1.04750e+02
            58   9.50253e+01   5.80000e+01  -1.07084e+01   3.15730e+01   1.04833e+02
            59   9.51782e+01   5.90000e+01  -1.06486e+01   3.15730e+01   1.04917e+02
            60   9.53242e+01   6.00000e+01  -1.06055e+01   3.15730e+01   1.05000e+02
            61   9.54836e+01   6.10000e+01  -1.05567e+01   3.15730e+01   1.05083e+02
            62   9.56378e+01   6.20000e+01  -1.05080e+01   3.15730e+01   1.05167e+02
            63   9.57789e+01   6.30000e+01  -1.04606e+01   3.15730e+01   1.05250e+02
            64   9.59318e+01   6.40000e+01  -1.04262e+01   3.15730e+01   1.05333e+02
            65   9.60854e+01   6.50000e+01  -1.03863e+01   3.15730e+01   1.05417e+02
            66   9.62363e+01   6.60000e+01  -1.03467e+01   3.15730e+01   1.05500e+02
            67   9.63755e+01   6.70000e+01  -1.03096e+01   3.15730e+01   1.05583e+02
            68   9.65162e+01   6.80000e+01  -1.02862e+01   3.15730e+01   1.05667e+02
            69   9.66667e+01   6.90000e+01  -1.02540e+01   3.15730e+01   1.05750e+02
            70   9.68032e+01   7.00000e+01  -1.02205e+01   3.15730e+01   1.05833e+02
            71   9.69520e+01   7.10000e+01  -1.01886e+01   3.15730e+01   1.05917e+02
            72   9.70775e+01   7.20000e+01  -1.01674e+01   3.15730e+01   1.06000e+02
            73   9.72223e+01   7.30000e+01  -1.01427e+01   3.15730e+01   1.06083e+02
            74   9.73734e+01   7.40000e+01  -1.01179e+01   3.15730e+01   1.06167e+02
            75   9.75196e+01   7.50000e+01  -1.00927e+01   3.15730e+01   1.06250e+02
            76   9.76666e+01   7.60000e+01  -1.00755e+01   3.15730e+01   1.06333e+02
            77   9.78160e+01   7.70000e+01  -1.00566e+01   3.15730e+01   1.06417e+02
            78   9.79389e+01   7.80000e+01  -1.00375e+01   3.15730e+01   1.06500e+02
            79   9.80792e+01   7.90000e+01  -1.00191e+01   3.15730e+01   1.06583e+02
            80   9.82122e+01   8.00000e+01  -1.00114e+01   3.15730e+01   1.06667e+02
            81   9.83584e+01   8.10000e+01  -9.99793e+00   3.15730e+01   1.06750e+02
            82   9.84869e+01   8.20000e+01  -9.98431e+00   3.15730e+01   1.06833e+02
