         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.43947e+01   0.00000e+00  -2.67511e+01   3.10771e+01   1.00000e+02
             1   8.45386e+01   1.00000e+00  -2.58168e+01   3.10772e+01   1.00083e+02
             2   8.46959e+01   2.00000e+00  -2.47751e+01   3.10774e+01   1.00167e+02
             3   8.48645e+01   3.00000e+00  -2.37468e+01   3.10777e+01   1.00250e+02
             4   8.50430e+01   4.00000e+00  -2.28516e+01   3.10783e+01   1.00333e+02
             5   8.52616e+01   5.00000e+00  -2.20152e+01   3.10788e+01   1.00417e+02
             6   8.54678e+01   6.00000e+00  -2.12650e+01   3.10795e+01   1.00500e+02
             7   8.56657e+01   7.00000e+00  -2.05898e+01   3.10802e+01   1.00583e+02
             8   8.58954e+01   8.00000e+00  -1.99929e+01   3.10814e+01   1.00667e+02
             9   8.60985e+01   9.00000e+00  -1.94161e+01   3.10825e+01   1.00750e+02
            10   8.63108e+01   1.00000e+01  -1.88913e+01   3.10836e+01   1.00833e+02
            11   8.65258e+01   1.10000e+01  -1.84171e+01   3.10848e+01   1.00917e+02
            12   8.67327e+01   1.20000e+01  -1.79712e+01   3.10862e+01   1.01000e+02
            13   8.69543e+01   1.30000e+01  -1.75627e+01   3.10874e+01   1.01083e+02
            14   8.71643e+01   1.40000e+01  -1.71894e+01   3.10886e+01   1.01167e+02
            15   8.73764e+01   1.50000e+01  -1.68185e+01   3.10896e+01   1.01250e+02
            16   8.75910e+01   1.60000e+01  -1.65187e+01   3.10904e+01   1.01333e+02
            17   8.77932e+01   1.70000e+01  -1.62016e+01   3.10912e+01   1.01417e+02
            18   8.80094e+01   1.80000e+01  -1.58944e+01   3.10919e+01   1.01500e+02
            19   8.82157e+01   1.90000e+01  -1.55961e+01   3.10925e+01   1.01583e+02
            20   8.84257e+01   2.00000e+01  -1.53447e+01   3.10927e+01   1.01667e+02
            21   8.86374e+01   2.10000e+01  -1.50904e+01   3.10931e+01   1.01750e+02
            22   8.88378e+01   2.20000e+01  -1.48480e+01   3.10934e+01   1.01833e+02
            23   8.90376e+01   2.30000e+01  -1.46040e+01   3.10936e+01   1.01917e+02
            24   8.92349e+01   2.40000e+01  -1.44139e+01   3.10936e+01   1.02000e+02
            25   8.94369e+01   2.50000e+01  -1.41993e+01   3.10937e+01   1.02083e+02
            26   8.96322e+01   2.60000e+01  -1.39799e+01   3.10937e+01   1.02167e+02
            27   8.98384e+01   2.70000e+01  -1.37719e+01   3.10936e+01   1.02250e+02
            28   9.00285e+01   2.80000e+01  -1.36228e+01   3.10934e+01   1.02333e+02
            29   9.02286e+01   2.90000e+01  -1.34470e+01   3.10932e+01   1.02417e+02
            30   9.04190e+01   3.00000e+01  -1.32658e+01   3.10930e+01   1.02500e+02
            31   9.06008e+01   3.10000e+01  -1.30782e+01   3.10928e+01   1.02583e+02
            32   9.07850e+01   3.20000e+01  -1.29461e+01   3.10926e+01   1.02667e+02
            33   9.09821e+01   3.30000e+01  -1.27923e+01   3.10925e+01   1.02750e+02
            34   9.11567e+01   3.40000e+01  -1.26344e+01   3.10923e+01   1.02833e+02
            35   9.13365e+01   3.50000e+01  -1.24847e+01   3.10922e+01   1.02917e+02
            36   9.15206e+01   3.60000e+01  -1.23815e+01   3.10922e+01   1.03000e+02
            37   9.17023e+01   3.70000e+01  -1.22584e+01   3.10921e+01   1.03083e+02
