         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42064e+01   0.00000e+00  -2.79953e+01   3.16984e+01   1.00000e+02
             1   8.43553e+01   1.00000e+00  -2.70467e+01   3.16987e+01   1.00083e+02
             2   8.45101e+01   2.00000e+00  -2.59830e+01   3.16989e+01   1.00167e+02
             3   8.46953e+01   3.00000e+00  -2.49254e+01   3.16992e+01   1.00250e+02
             4   8.48842e+01   4.00000e+00  -2.39978e+01   3.16998e+01   1.00333e+02
             5   8.50831e+01   5.00000e+00  -2.31338e+01   3.17003e+01   1.00417e+02
             6   8.52962e+01   6.00000e+00  -2.23651e+01   3.17010e+01   1.00500e+02
             7   8.55113e+01   7.00000e+00  -2.16728e+01   3.17017e+01   1.00583e+02
             8   8.57253e+01   8.00000e+00  -2.10668e+01   3.17027e+01   1.00667e+02
             9   8.59309e+01   9.00000e+00  -2.04864e+01   3.17038e+01   1.00750e+02
            10   8.61444e+01   1.00000e+01  -1.99545e+01   3.17049e+01   1.00833e+02
            11   8.63678e+01   1.10000e+01  -1.94324e+01   3.17061e+01   1.00917e+02
            12   8.65808e+01   1.20000e+01  -1.89491e+01   3.17075e+01   1.01000e+02
            13   8.67910e+01   1.30000e+01  -1.84909e+01   3.17088e+01   1.01083e+02
            14   8.69954e+01   1.40000e+01  -1.81098e+01   3.17100e+01   1.01167e+02
            15   8.72039e+01   1.50000e+01  -1.77544e+01   3.17111e+01   1.01250e+02
            16   8.74410e+01   1.60000e+01  -1.74424e+01   3.17120e+01   1.01333e+02
            17   8.76421e+01   1.70000e+01  -1.71152e+01   3.17128e+01   1.01417e+02
            18   8.78624e+01   1.80000e+01  -1.68027e+01   3.17136e+01   1.01500e+02
            19   8.80612e+01   1.90000e+01  -1.65049e+01   3.17142e+01   1.01583e+02
            20   8.82739e+01   2.00000e+01  -1.62482e+01   3.17145e+01   1.01667e+02
            21   8.84776e+01   2.10000e+01  -1.59862e+01   3.17148e+01   1.01750e+02
            22   8.86827e+01   2.20000e+01  -1.57317e+01   3.17152e+01   1.01833e+02
            23   8.88973e+01   2.30000e+01  -1.54855e+01   3.17155e+01   1.01917e+02
            24   8.90926e+01   2.40000e+01  -1.53071e+01   3.17155e+01   1.02000e+02
            25   8.92807e+01   2.50000e+01  -1.50980e+01   3.17155e+01   1.02083e+02
            26   8.94921e+01   2.60000e+01  -1.48881e+01   3.17155e+01   1.02167e+02
            27   8.96889e+01   2.70000e+01  -1.46798e+01   3.17155e+01   1.02250e+02
            28   8.99082e+01   2.80000e+01  -1.45144e+01   3.17153e+01   1.02333e+02
            29   9.00792e+01   2.90000e+01  -1.43312e+01   3.17152e+01   1.02417e+02
            30   9.02800e+01   3.00000e+01  -1.41440e+01   3.17151e+01   1.02500e+02
            31   9.04729e+01   3.10000e+01  -1.39658e+01   3.17151e+01   1.02583e+02
            32   9.06631e+01   3.20000e+01  -1.38283e+01   3.17151e+01   1.02667e+02
            33   9.08442e+01   3.30000e+01  -1.36676e+01   3.17150e+01   1.02750e+02
            34   9.10217e+01   3.40000e+01  -1.35160e+01   3.17150e+01   1.02833e+02
            35   9.12086e+01   3.50000e+01  -1.33703e+01   3.17150e+01   1.02917e+02
            36   9.13804e+01   3.60000e+01  -1.32706e+01   3.17150e+01   1.03000e+02
            37   9.15619e+01   3.70000e+01  -1.31541e+01   3.17150e+01   1.03083e+02
            38   9.17455e+01   3.80000e+01  -1.30323e+01   3.17150e+01   1.03167e+02
            39   9.19221e+01   3.90000e+01  -1.29195e+01   3.17150e+01   1.03250e+02
            40   9.21000e+01   4.00000e+01  -1.28169e+01   3.17150e+01   1.03333e+02
            41   9.22812e+01   4.10000e+01  -1.27073e+01   3.17150e+01   1.03417e+02
            42   9.24501e+01   4.20000e+01  -1.25991e+01   3.17149e+01   1.03500e+02
            43   9.26246e+01   4.30000e+01  -1.24924e+01   3.17148e+01   1.03583e+02
            44   9.27826e+01   4.40000e+01  -1.24056e+01   3.17146e+01   1.03667e+02
            45   9.29663e+01   4.50000e+01  -1.23133e+01   3.17145e+01   1.03750e+02
            46   9.31319e+01   4.60000e+01  -1.22202e+01   3.17144e+01   1.03833e+02
            47   9.33011e+01   4.70000e+01  -1.21284e+01   3.17143e+01   1.03917e+02
            48   9.34645e+01   4.80000e+01  -1.20587e+01   3.17142e+01   1.04000e+02
            49   9.36276e+01   4.90000e+01  -1.19794e+01   3.17141e+01   1.04083e+02
            50   9.37983e+01   5.00000e+01  -1.19003e+01   3.17140e+01   1.04167e+02
            51   9.39501e+01   5.10000e+01  -1.18233e+01   3.17138e+01   1.04250e+02
            52   9.41053e+01   5.20000e+01  -1.17634e+01   3.17137e+01   1.04333e+02
            53   9.42615e+01   5.30000e+01  -1.16963e+01   3.17135e+01   1.04417e+02
            54   9.44198e+01   5.40000e+01  -1.16297e+01   3.17134e+01   1.04500e+02
            55   9.45813e+01   5.50000e+01  -1.15648e+01   3.17133e+01   1.04583e+02
            56   9.47382e+01   5.60000e+01  -1.15167e+01   3.17132e+01   1.04667e+02
            57   9.48884e+01   5.70000e+01  -1.14612e+01   3.17131e+01   1.04750e+02
            58   9.50351e+01   5.80000e+01  -1.14064e+01   3.17131e+01   1.04833e+02
            59   9.51941e+01   5.90000e+01  -1.13531e+01   3.17130e+01   1.04917e+02
            60   9.53488e+01   6.00000e+01  -1.13128e+01   3.17130e+01   1.05000e+02
            61   9.54952e+01   6.10000e+01  -1.12664e+01   3.17130e+01   1.05083e+02
            62   9.56443e+01   6.20000e+01  -1.12215e+01   3.17130e+01   1.05167e+02
            63   9.58065e+01   6.30000e+01  -1.11767e+01   3.17130e+01   1.05250e+02
            64   9.59550e+01   6.40000e+01  -1.11449e+01   3.17130e+01   1.05333e+02
            65   9.60877e+01   6.50000e+01  -1.11063e+01   3.17130e+01   1.05417e+02
            66   9.62408e+01   6.60000e+01  -1.10672e+01   3.17130e+01   1.05500e+02
            67   9.63818e+01   6.70000e+01  -1.10290e+01   3.17130e+01   1.05583e+02
            68   9.65265e+01   6.80000e+01  -1.10033e+01   3.17130e+01   1.05667e+02
            69   9.66839e+01   6.90000e+01  -1.09740e+01   3.17130e+01   1.05750e+02
            70   9.68161e+01   7.00000e+01  -1.09440e+01   3.17130e+01   1.05833e+02
            71   9.69556e+01   7.10000e+01  -1.09144e+01   3.17130e+01   1.05917e+02
            72   9.70973e+01   7.20000e+01  -1.08943e+01   3.17130e+01   1.06000e+02
            73   9.72329e+01   7.30000e+01  -1.08710e+01   3.17130e+01   1.06083e+02
            74   9.73778e+01   7.40000e+01  -1.08484e+01   3.17130e+01   1.06167e+02
            75   9.75367e+01   7.50000e+01  -1.08264e+01   3.17130e+01   1.06250e+02
            76   9.76657e+01   7.60000e+01  -1.08133e+01   3.17130e+01   1.06333e+02
            77   9.77938e+01   7.70000e+01  -1.07949e+01   3.17130e+01   1.06417e+02
            78   9.79346e+01   7.80000e+01  -1.07769e+01   3.17130e+01   1.06500e+02
            79   9.80791e+01   7.90000e+01  -1.07585e+01   3.17130e+01   1.06583e+02
            80   9.82143e+01   8.00000e+01  -1.07483e+01   3.17130e+01   1.06667e+02
            81   9.83441e+01   8.10000e+01  -1.07360e+01   3.17130e+01   1.06750e+02
            82   9.84901e+01   8.20000e+01  -1.07237e+01   3.17130e+01   1.06833e+02
            83   9.86202e+01   8.30000e+01  -1.07123e+01   3.17130e+01   1.06917e+02
            84   9.87730e+01   8.40000e+01  -1.07054e+01   3.17130e+01   1.07000e+02
            85   9.89123e+01   8.50000e+01  -1.06976e+01   3.17130e+01   1.07083e+02
            86   9.90063e+01   8.60000e+01  -1.06890e+01   3.17130e+01   1.07167e+02
            87   9.91611e+01   8.70000e+01  -1.06809e+01   3.17130e+01   1.07250e+02
            88   9.92936e+01   8.80000e+01  -1.06788e+01   3.17129e+01   1.07333e+02
            89   9.94062e+01   8.90000e+01  -1.06741e+01   3.17128e+01   1.07417e+02
            90   9.95479e+01   9.00000e+01  -1.06681e+01   3.17127e+01   1.07500e+02
            91   9.96993e+01   9.10000e+01  -1.06617e+01   3.17126e+01   1.07583e+02
            92   9.98238e+01   9.20000e+01  -1.06642e+01   3.17124e+01   1.07667e+02
            93   9.99557e+01   9.30000e+01  -1.06629e+01   3.17122e+01   1.07750e+02
            94   1.00089e+02   9.40000e+01  -1.06612e+01   3.17121e+01   1.07833e+02
