         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.39546e+01   0.00000e+00  -3.65275e+01   3.71774e+01   1.00000e+02
             1   8.41067e+01   1.00000e+00  -3.53841e+01   3.71776e+01   1.00083e+02
             2   8.42604e+01   2.00000e+00  -3.41003e+01   3.71778e+01   1.00167e+02
             3   8.44374e+01   3.00000e+00  -3.28252e+01   3.71780e+01   1.00250e+02
             4   8.46513e+01   4.00000e+00  -3.16616e+01   3.71784e+01   1.00333e+02
             5   8.48449e+01   5.00000e+00  -3.05780e+01   3.71790e+01   1.00417e+02
             6   8.50708e+01   6.00000e+00  -2.95896e+01   3.71796e+01   1.00500e+02
             7   8.52781e+01   7.00000e+00  -2.86289e+01   3.71803e+01   1.00583e+02
             8   8.54968e+01   8.00000e+00  -2.77799e+01   3.71815e+01   1.00667e+02
             9   8.57135e+01   9.00000e+00  -2.69457e+01   3.71827e+01   1.00750e+02
            10   8.59331e+01   1.00000e+01  -2.61590e+01   3.71838e+01   1.00833e+02
            11   8.61574e+01   1.10000e+01  -2.54174e+01   3.71849e+01   1.00917e+02
            12   8.63775e+01   1.20000e+01  -2.47223e+01   3.71863e+01   1.01000e+02
            13   8.66104e+01   1.30000e+01  -2.40287e+01   3.71875e+01   1.01083e+02
            14   8.68171e+01   1.40000e+01  -2.33844e+01   3.71886e+01   1.01167e+02
            15   8.70425e+01   1.50000e+01  -2.27455e+01   3.71897e+01   1.01250e+02
            16   8.72708e+01   1.60000e+01  -2.21732e+01   3.71904e+01   1.01333e+02
            17   8.74876e+01   1.70000e+01  -2.16005e+01   3.71912e+01   1.01417e+02
            18   8.77166e+01   1.80000e+01  -2.10510e+01   3.71918e+01   1.01500e+02
            19   8.79214e+01   1.90000e+01  -2.05284e+01   3.71923e+01   1.01583e+02
            20   8.81419e+01   2.00000e+01  -2.00390e+01   3.71924e+01   1.01667e+02
            21   8.83527e+01   2.10000e+01  -1.95461e+01   3.71926e+01   1.01750e+02
            22   8.85592e+01   2.20000e+01  -1.90675e+01   3.71928e+01   1.01833e+02
            23   8.87709e+01   2.30000e+01  -1.85982e+01   3.71929e+01   1.01917e+02
            24   8.89838e+01   2.40000e+01  -1.81897e+01   3.71929e+01   1.02000e+02
            25   8.91952e+01   2.50000e+01  -1.77511e+01   3.71929e+01   1.02083e+02
            26   8.93855e+01   2.60000e+01  -1.73276e+01   3.71929e+01   1.02167e+02
            27   8.96020e+01   2.70000e+01  -1.69141e+01   3.71929e+01   1.02250e+02
            28   8.98033e+01   2.80000e+01  -1.65596e+01   3.71927e+01   1.02333e+02
            29   9.00090e+01   2.90000e+01  -1.61779e+01   3.71926e+01   1.02417e+02
            30   9.02006e+01   3.00000e+01  -1.58170e+01   3.71925e+01   1.02500e+02
            31   9.04032e+01   3.10000e+01  -1.54747e+01   3.71924e+01   1.02583e+02
            32   9.05916e+01   3.20000e+01  -1.51600e+01   3.71923e+01   1.02667e+02
            33   9.07734e+01   3.30000e+01  -1.48395e+01   3.71922e+01   1.02750e+02
            34   9.09727e+01   3.40000e+01  -1.45181e+01   3.71921e+01   1.02833e+02
