         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.33054e+01   0.00000e+00  -2.75997e+01   3.42564e+01   1.00000e+02
             1   8.34624e+01   1.00000e+00  -2.66838e+01   3.42567e+01   1.00083e+02
             2   8.36223e+01   2.00000e+00  -2.56498e+01   3.42569e+01   1.00167e+02
             3   8.38047e+01   3.00000e+00  -2.46229e+01   3.42572e+01   1.00250e+02
             4   8.39914e+01   4.00000e+00  -2.37456e+01   3.42578e+01   1.00333e+02
             5   8.42120e+01   5.00000e+00  -2.28732e+01   3.42583e+01   1.00417e+02
             6   8.44162e+01   6.00000e+00  -2.21037e+01   3.42590e+01   1.00500e+02
             7   8.46354e+01   7.00000e+00  -2.14120e+01   3.42597e+01   1.00583e+02
             8   8.48490e+01   8.00000e+00  -2.08055e+01   3.42607e+01   1.00667e+02
             9   8.50784e+01   9.00000e+00  -2.02241e+01   3.42618e+01   1.00750e+02
            10   8.52984e+01   1.00000e+01  -1.96948e+01   3.42629e+01   1.00833e+02
            11   8.55260e+01   1.10000e+01  -1.92140e+01   3.42641e+01   1.00917e+02
            12   8.57561e+01   1.20000e+01  -1.87837e+01   3.42655e+01   1.01000e+02
            13   8.59673e+01   1.30000e+01  -1.83545e+01   3.42668e+01   1.01083e+02
            14   8.61881e+01   1.40000e+01  -1.79461e+01   3.42680e+01   1.01167e+02
            15   8.63951e+01   1.50000e+01  -1.75541e+01   3.42691e+01   1.01250e+02
            16   8.66208e+01   1.60000e+01  -1.72429e+01   3.42701e+01   1.01333e+02
            17   8.68439e+01   1.70000e+01  -1.69071e+01   3.42710e+01   1.01417e+02
            18   8.70562e+01   1.80000e+01  -1.65812e+01   3.42717e+01   1.01500e+02
            19   8.72721e+01   1.90000e+01  -1.62670e+01   3.42725e+01   1.01583e+02
            20   8.74927e+01   2.00000e+01  -1.59999e+01   3.42727e+01   1.01667e+02
            21   8.77219e+01   2.10000e+01  -1.57256e+01   3.42731e+01   1.01750e+02
            22   8.79194e+01   2.20000e+01  -1.54603e+01   3.42734e+01   1.01833e+02
            23   8.81346e+01   2.30000e+01  -1.52050e+01   3.42737e+01   1.01917e+02
            24   8.83443e+01   2.40000e+01  -1.50108e+01   3.42737e+01   1.02000e+02
            25   8.85603e+01   2.50000e+01  -1.47949e+01   3.42738e+01   1.02083e+02
            26   8.87569e+01   2.60000e+01  -1.45847e+01   3.42739e+01   1.02167e+02
            27   8.89495e+01   2.70000e+01  -1.43902e+01   3.42740e+01   1.02250e+02
            28   8.91540e+01   2.80000e+01  -1.42248e+01   3.42738e+01   1.02333e+02
            29   8.93630e+01   2.90000e+01  -1.40417e+01   3.42737e+01   1.02417e+02
            30   8.95624e+01   3.00000e+01  -1.38603e+01   3.42737e+01   1.02500e+02
            31   8.97704e+01   3.10000e+01  -1.36825e+01   3.42736e+01   1.02583e+02
            32   8.99589e+01   3.20000e+01  -1.35394e+01   3.42733e+01   1.02667e+02
            33   9.01547e+01   3.30000e+01  -1.33748e+01   3.42732e+01   1.02750e+02
            34   9.03501e+01   3.40000e+01  -1.32143e+01   3.42731e+01   1.02833e+02
            35   9.05410e+01   3.50000e+01  -1.30489e+01   3.42731e+01   1.02917e+02
            36   9.07360e+01   3.60000e+01  -1.29434e+01   3.42731e+01   1.03000e+02
