         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.57237e+01   0.00000e+00  -2.46172e+01   3.25303e+01   1.00000e+02
             1   7.59400e+01   1.00000e+00  -2.38647e+01   3.25306e+01   1.00083e+02
             2   7.61399e+01   2.00000e+00  -2.30509e+01   3.25308e+01   1.00167e+02
             3   7.63781e+01   3.00000e+00  -2.22871e+01   3.25311e+01   1.00250e+02
             4   7.66511e+01   4.00000e+00  -2.15695e+01   3.25316e+01   1.00333e+02
             5   7.69133e+01   5.00000e+00  -2.09308e+01   3.25322e+01   1.00417e+02
             6   7.71689e+01   6.00000e+00  -2.03801e+01   3.25328e+01   1.00500e+02
             7   7.74549e+01   7.00000e+00  -1.98594e+01   3.25335e+01   1.00583e+02
             8   7.77170e+01   8.00000e+00  -1.94360e+01   3.25345e+01   1.00667e+02
             9   7.79982e+01   9.00000e+00  -1.90315e+01   3.25356e+01   1.00750e+02
            10   7.82779e+01   1.00000e+01  -1.86670e+01   3.25367e+01   1.00833e+02
            11   7.85580e+01   1.10000e+01  -1.83112e+01   3.25378e+01   1.00917e+02
            12   7.88392e+01   1.20000e+01  -1.80171e+01   3.25392e+01   1.01000e+02
            13   7.91159e+01   1.30000e+01  -1.77306e+01   3.25404e+01   1.01083e+02
            14   7.93821e+01   1.40000e+01  -1.74635e+01   3.25416e+01   1.01167e+02
            15   7.96562e+01   1.50000e+01  -1.71922e+01   3.25426e+01   1.01250e+02
            16   7.99398e+01   1.60000e+01  -1.69841e+01   3.25435e+01   1.01333e+02
            17   8.02217e+01   1.70000e+01  -1.67528e+01   3.25444e+01   1.01417e+02
            18   8.04729e+01   1.80000e+01  -1.65418e+01   3.25451e+01   1.01500e+02
            19   8.07627e+01   1.90000e+01  -1.63297e+01   3.25457e+01   1.01583e+02
            20   8.10200e+01   2.00000e+01  -1.61739e+01   3.25460e+01   1.01667e+02
            21   8.12911e+01   2.10000e+01  -1.59881e+01   3.25463e+01   1.01750e+02
            22   8.15521e+01   2.20000e+01  -1.58002e+01   3.25466e+01   1.01833e+02
            23   8.18167e+01   2.30000e+01  -1.56167e+01   3.25469e+01   1.01917e+02
            24   8.20814e+01   2.40000e+01  -1.54691e+01   3.25468e+01   1.02000e+02
            25   8.23332e+01   2.50000e+01  -1.53024e+01   3.25469e+01   1.02083e+02
            26   8.26070e+01   2.60000e+01  -1.51326e+01   3.25469e+01   1.02167e+02
            27   8.28502e+01   2.70000e+01  -1.49728e+01   3.25470e+01   1.02250e+02
            28   8.31070e+01   2.80000e+01  -1.48562e+01   3.25470e+01   1.02333e+02
            29   8.33571e+01   2.90000e+01  -1.47161e+01   3.25470e+01   1.02417e+02
            30   8.36003e+01   3.00000e+01  -1.45724e+01   3.25470e+01   1.02500e+02
            31   8.38423e+01   3.10000e+01  -1.44300e+01   3.25470e+01   1.02583e+02
            32   8.40935e+01   3.20000e+01  -1.43091e+01   3.25470e+01   1.02667e+02
            33   8.43342e+01   3.30000e+01  -1.41807e+01   3.25470e+01   1.02750e+02
            34   8.45695e+01   3.40000e+01  -1.40525e+01   3.25469e+01   1.02833e+02
            35   8.48120e+01   3.50000e+01  -1.39270e+01   3.25468e+01   1.02917e+02
            36   8.50423e+01   3.60000e+01  -1.38223e+01   3.25466e+01   1.03000e+02
            37   8.52856e+01   3.70000e+01  -1.37074e+01   3.25465e+01   1.03083e+02
            38   8.55098e+01   3.80000e+01  -1.35849e+01   3.25464e+01   1.03167e+02
            39   8.57402e+01   3.90000e+01  -1.34626e+01   3.25463e+01   1.03250e+02
            40   8.59792e+01   4.00000e+01  -1.33946e+01   3.25462e+01   1.03333e+02
            41   8.61958e+01   4.10000e+01  -1.33027e+01   3.25460e+01   1.03417e+02
            42   8.64186e+01   4.20000e+01  -1.32066e+01   3.25459e+01   1.03500e+02
            43   8.66469e+01   4.30000e+01  -1.31105e+01   3.25457e+01   1.03583e+02
            44   8.68699e+01   4.40000e+01  -1.30362e+01   3.25455e+01   1.03667e+02
            45   8.70798e+01   4.50000e+01  -1.29520e+01   3.25454e+01   1.03750e+02
            46   8.72931e+01   4.60000e+01  -1.28677e+01   3.25453e+01   1.03833e+02
            47   8.75034e+01   4.70000e+01  -1.27840e+01   3.25451e+01   1.03917e+02
            48   8.77029e+01   4.80000e+01  -1.27146e+01   3.25449e+01   1.04000e+02
            49   8.79350e+01   4.90000e+01  -1.26401e+01   3.25448e+01   1.04083e+02
            50   8.81438e+01   5.00000e+01  -1.25655e+01   3.25446e+01   1.04167e+02
            51   8.83491e+01   5.10000e+01  -1.24926e+01   3.25445e+01   1.04250e+02
            52   8.85587e+01   5.20000e+01  -1.24334e+01   3.25443e+01   1.04333e+02
            53   8.87666e+01   5.30000e+01  -1.23696e+01   3.25442e+01   1.04417e+02
            54   8.89732e+01   5.40000e+01  -1.23048e+01   3.25441e+01   1.04500e+02
            55   8.91739e+01   5.50000e+01  -1.22389e+01   3.25441e+01   1.04583e+02
            56   8.93713e+01   5.60000e+01  -1.21874e+01   3.25441e+01   1.04667e+02
            57   8.95733e+01   5.70000e+01  -1.21306e+01   3.25440e+01   1.04750e+02
            58   8.97662e+01   5.80000e+01  -1.20731e+01   3.25440e+01   1.04833e+02
            59   8.99694e+01   5.90000e+01  -1.20169e+01   3.25440e+01   1.04917e+02
            60   9.01547e+01   6.00000e+01  -1.19699e+01   3.25440e+01   1.05000e+02
            61   9.03432e+01   6.10000e+01  -1.19179e+01   3.25440e+01   1.05083e+02
