         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.08852e+01   0.00000e+00  -1.46118e+01   3.69210e+01   1.00000e+02
             1   7.11250e+01   1.00000e+00  -1.43707e+01   3.69211e+01   1.00083e+02
             2   7.13625e+01   2.00000e+00  -1.41599e+01   3.69212e+01   1.00167e+02
             3   7.15961e+01   3.00000e+00  -1.39451e+01   3.69213e+01   1.00250e+02
             4   7.18650e+01   4.00000e+00  -1.38073e+01   3.69216e+01   1.00333e+02
             5   7.21478e+01   5.00000e+00  -1.36882e+01   3.69220e+01   1.00417e+02
             6   7.24433e+01   6.00000e+00  -1.36147e+01   3.69225e+01   1.00500e+02
             7   7.27226e+01   7.00000e+00  -1.35892e+01   3.69230e+01   1.00583e+02
             8   7.30358e+01   8.00000e+00  -1.36009e+01   3.69240e+01   1.00667e+02
             9   7.33300e+01   9.00000e+00  -1.36217e+01   3.69249e+01   1.00750e+02
            10   7.36338e+01   1.00000e+01  -1.36685e+01   3.69259e+01   1.00833e+02
            11   7.39283e+01   1.10000e+01  -1.37196e+01   3.69269e+01   1.00917e+02
            12   7.42263e+01   1.20000e+01  -1.38029e+01   3.69282e+01   1.01000e+02
            13   7.45301e+01   1.30000e+01  -1.38589e+01   3.69293e+01   1.01083e+02
            14   7.48195e+01   1.40000e+01  -1.38919e+01   3.69303e+01   1.01167e+02
            15   7.51215e+01   1.50000e+01  -1.39233e+01   3.69312e+01   1.01250e+02
            16   7.54300e+01   1.60000e+01  -1.39623e+01   3.69320e+01   1.01333e+02
            17   7.57172e+01   1.70000e+01  -1.39997e+01   3.69327e+01   1.01417e+02
            18   7.60203e+01   1.80000e+01  -1.40366e+01   3.69333e+01   1.01500e+02
            19   7.63119e+01   1.90000e+01  -1.40733e+01   3.69339e+01   1.01583e+02
            20   7.66151e+01   2.00000e+01  -1.40990e+01   3.69341e+01   1.01667e+02
            21   7.68938e+01   2.10000e+01  -1.41280e+01   3.69344e+01   1.01750e+02
            22   7.71816e+01   2.20000e+01  -1.41541e+01   3.69346e+01   1.01833e+02
            23   7.74806e+01   2.30000e+01  -1.41791e+01   3.69347e+01   1.01917e+02
            24   7.77644e+01   2.40000e+01  -1.41903e+01   3.69345e+01   1.02000e+02
            25   7.80471e+01   2.50000e+01  -1.42068e+01   3.69344e+01   1.02083e+02
            26   7.83444e+01   2.60000e+01  -1.42220e+01   3.69343e+01   1.02167e+02
            27   7.86249e+01   2.70000e+01  -1.42348e+01   3.69343e+01   1.02250e+02
            28   7.89016e+01   2.80000e+01  -1.42286e+01   3.69342e+01   1.02333e+02
            29   7.91774e+01   2.90000e+01  -1.42295e+01   3.69341e+01   1.02417e+02
            30   7.94487e+01   3.00000e+01  -1.42308e+01   3.69339e+01   1.02500e+02
            31   7.97113e+01   3.10000e+01  -1.42303e+01   3.69338e+01   1.02583e+02
            32   7.99919e+01   3.20000e+01  -1.42114e+01   3.69337e+01   1.02667e+02
            33   8.02521e+01   3.30000e+01  -1.41992e+01   3.69335e+01   1.02750e+02
            34   8.05295e+01   3.40000e+01  -1.41869e+01   3.69333e+01   1.02833e+02
            35   8.07850e+01   3.50000e+01  -1.41740e+01   3.69331e+01   1.02917e+02
            36   8.10521e+01   3.60000e+01  -1.41416e+01   3.69329e+01   1.03000e+02
            37   8.13150e+01   3.70000e+01  -1.41194e+01   3.69326e+01   1.03083e+02
            38   8.15618e+01   3.80000e+01  -1.40996e+01   3.69324e+01   1.03167e+02
            39   8.18302e+01   3.90000e+01  -1.40796e+01   3.69321e+01   1.03250e+02
            40   8.20769e+01   4.00000e+01  -1.40456e+01   3.69319e+01   1.03333e+02
            41   8.23340e+01   4.10000e+01  -1.40169e+01   3.69317e+01   1.03417e+02
            42   8.25890e+01   4.20000e+01  -1.39879e+01   3.69315e+01   1.03500e+02
            43   8.28336e+01   4.30000e+01  -1.39585e+01   3.69312e+01   1.03583e+02
            44   8.30776e+01   4.40000e+01  -1.39244e+01   3.69310e+01   1.03667e+02
            45   8.32967e+01   4.50000e+01  -1.38928e+01   3.69308e+01   1.03750e+02
            46   8.35672e+01   4.60000e+01  -1.38611e+01   3.69306e+01   1.03833e+02
            47   8.37983e+01   4.70000e+01  -1.38279e+01   3.69305e+01   1.03917e+02
            48   8.40438e+01   4.80000e+01  -1.37872e+01   3.69302e+01   1.04000e+02
            49   8.42891e+01   4.90000e+01  -1.37500e+01   3.69300e+01   1.04083e+02
            50   8.45245e+01   5.00000e+01  -1.37138e+01   3.69298e+01   1.04167e+02
            51   8.47481e+01   5.10000e+01  -1.36777e+01   3.69296e+01   1.04250e+02
            52   8.49697e+01   5.20000e+01  -1.36392e+01   3.69294e+01   1.04333e+02
            53   8.52041e+01   5.30000e+01  -1.36026e+01   3.69293e+01   1.04417e+02
            54   8.54331e+01   5.40000e+01  -1.35656e+01   3.69291e+01   1.04500e+02
            55   8.56591e+01   5.50000e+01  -1.35291e+01   3.69290e+01   1.04583e+02
            56   8.58883e+01   5.60000e+01  -1.34890e+01   3.69289e+01   1.04667e+02
            57   8.61133e+01   5.70000e+01  -1.34517e+01   3.69287e+01   1.04750e+02
            58   8.63294e+01   5.80000e+01  -1.34158e+01   3.69286e+01   1.04833e+02
            59   8.65623e+01   5.90000e+01  -1.33808e+01   3.69284e+01   1.04917e+02
            60   8.67735e+01   6.00000e+01  -1.33497e+01   3.69283e+01   1.05000e+02
            61   8.69974e+01   6.10000e+01  -1.33163e+01   3.69282e+01   1.05083e+02
            62   8.72209e+01   6.20000e+01  -1.32827e+01   3.69281e+01   1.05167e+02
            63   8.74290e+01   6.30000e+01  -1.32489e+01   3.69281e+01   1.05250e+02
            64   8.76416e+01   6.40000e+01  -1.32169e+01   3.69281e+01   1.05333e+02
            65   8.78654e+01   6.50000e+01  -1.31857e+01   3.69280e+01   1.05417e+02
            66   8.80748e+01   6.60000e+01  -1.31558e+01   3.69280e+01   1.05500e+02
            67   8.82898e+01   6.70000e+01  -1.31253e+01   3.69279e+01   1.05583e+02
            68   8.85068e+01   6.80000e+01  -1.30961e+01   3.69278e+01   1.05667e+02
            69   8.86992e+01   6.90000e+01  -1.30632e+01   3.69277e+01   1.05750e+02
            70   8.89081e+01   7.00000e+01  -1.30310e+01   3.69276e+01   1.05833e+02
            71   8.90985e+01   7.10000e+01  -1.29998e+01   3.69274e+01   1.05917e+02
            72   8.93077e+01   7.20000e+01  -1.29698e+01   3.69273e+01   1.06000e+02
            73   8.95118e+01   7.30000e+01  -1.29403e+01   3.69272e+01   1.06083e+02
            74   8.97224e+01   7.40000e+01  -1.29116e+01   3.69271e+01   1.06167e+02
            75   8.99225e+01   7.50000e+01  -1.28839e+01   3.69270e+01   1.06250e+02
            76   9.01305e+01   7.60000e+01  -1.28536e+01   3.69271e+01   1.06333e+02
            77   9.03237e+01   7.70000e+01  -1.28247e+01   3.69270e+01   1.06417e+02
            78   9.05304e+01   7.80000e+01  -1.27962e+01   3.69270e+01   1.06500e+02
            79   9.07178e+01   7.90000e+01  -1.27682e+01   3.69270e+01   1.06583e+02
            80   9.09121e+01   8.00000e+01  -1.27460e+01   3.69270e+01   1.06667e+02
            81   9.11109e+01   8.10000e+01  -1.27211e+01   3.69270e+01   1.06750e+02
            82   9.13087e+01   8.20000e+01  -1.26952e+01   3.69269e+01   1.06833e+02
            83   9.15047e+01   8.30000e+01  -1.26708e+01   3.69268e+01   1.06917e+02
            84   9.16803e+01   8.40000e+01  -1.26489e+01   3.69266e+01   1.07000e+02
            85   9.18916e+01   8.50000e+01  -1.26261e+01   3.69265e+01   1.07083e+02
            86   9.20776e+01   8.60000e+01  -1.26026e+01   3.69264e+01   1.07167e+02
