         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.40232e+01   0.00000e+00  -3.02729e+01   4.07364e+01   1.00000e+02
             1   8.41718e+01   1.00000e+00  -2.92653e+01   4.07366e+01   1.00083e+02
             2   8.43287e+01   2.00000e+00  -2.81291e+01   4.07368e+01   1.00167e+02
             3   8.45196e+01   3.00000e+00  -2.69545e+01   4.07370e+01   1.00250e+02
             4   8.47334e+01   4.00000e+00  -2.59246e+01   4.07373e+01   1.00333e+02
             5   8.49207e+01   5.00000e+00  -2.49808e+01   4.07378e+01   1.00417e+02
             6   8.51397e+01   6.00000e+00  -2.41475e+01   4.07383e+01   1.00500e+02
             7   8.53436e+01   7.00000e+00  -2.33484e+01   4.07390e+01   1.00583e+02
             8   8.55659e+01   8.00000e+00  -2.26632e+01   4.07401e+01   1.00667e+02
             9   8.57846e+01   9.00000e+00  -2.19951e+01   4.07411e+01   1.00750e+02
            10   8.59940e+01   1.00000e+01  -2.13809e+01   4.07422e+01   1.00833e+02
            11   8.62241e+01   1.10000e+01  -2.08207e+01   4.07433e+01   1.00917e+02
            12   8.64350e+01   1.20000e+01  -2.03084e+01   4.07448e+01   1.01000e+02
            13   8.66501e+01   1.30000e+01  -1.98012e+01   4.07459e+01   1.01083e+02
            14   8.68707e+01   1.40000e+01  -1.93172e+01   4.07470e+01   1.01167e+02
            15   8.70935e+01   1.50000e+01  -1.88521e+01   4.07480e+01   1.01250e+02
            16   8.73074e+01   1.60000e+01  -1.84583e+01   4.07489e+01   1.01333e+02
            17   8.75248e+01   1.70000e+01  -1.80590e+01   4.07496e+01   1.01417e+02
            18   8.77446e+01   1.80000e+01  -1.76844e+01   4.07503e+01   1.01500e+02
            19   8.79510e+01   1.90000e+01  -1.73388e+01   4.07509e+01   1.01583e+02
            20   8.81806e+01   2.00000e+01  -1.70219e+01   4.07511e+01   1.01667e+02
            21   8.83866e+01   2.10000e+01  -1.67000e+01   4.07514e+01   1.01750e+02
            22   8.85825e+01   2.20000e+01  -1.63886e+01   4.07517e+01   1.01833e+02
            23   8.87808e+01   2.30000e+01  -1.60862e+01   4.07519e+01   1.01917e+02
            24   8.89815e+01   2.40000e+01  -1.58403e+01   4.07518e+01   1.02000e+02
            25   8.91977e+01   2.50000e+01  -1.55755e+01   4.07519e+01   1.02083e+02
            26   8.93822e+01   2.60000e+01  -1.53142e+01   4.07518e+01   1.02167e+02
