         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.10073e+01   0.00000e+00  -1.49330e+01   3.63990e+01   1.00000e+02
             1   7.12326e+01   1.00000e+00  -1.46972e+01   3.63991e+01   1.00083e+02
             2   7.14611e+01   2.00000e+00  -1.44905e+01   3.63993e+01   1.00167e+02
             3   7.17228e+01   3.00000e+00  -1.42816e+01   3.63994e+01   1.00250e+02
             4   7.19894e+01   4.00000e+00  -1.41446e+01   3.63998e+01   1.00333e+02
             5   7.22590e+01   5.00000e+00  -1.40272e+01   3.64001e+01   1.00417e+02
             6   7.25562e+01   6.00000e+00  -1.39539e+01   3.64006e+01   1.00500e+02
             7   7.28520e+01   7.00000e+00  -1.39253e+01   3.64012e+01   1.00583e+02
             8   7.31445e+01   8.00000e+00  -1.39469e+01   3.64021e+01   1.00667e+02
             9   7.34523e+01   9.00000e+00  -1.39706e+01   3.64030e+01   1.00750e+02
            10   7.37487e+01   1.00000e+01  -1.39987e+01   3.64040e+01   1.00833e+02
            11   7.40309e+01   1.10000e+01  -1.40418e+01   3.64050e+01   1.00917e+02
            12   7.43337e+01   1.20000e+01  -1.41230e+01   3.64064e+01   1.01000e+02
            13   7.46413e+01   1.30000e+01  -1.41785e+01   3.64075e+01   1.01083e+02
            14   7.49374e+01   1.40000e+01  -1.42232e+01   3.64085e+01   1.01167e+02
            15   7.52398e+01   1.50000e+01  -1.42597e+01   3.64094e+01   1.01250e+02
            16   7.55346e+01   1.60000e+01  -1.43036e+01   3.64102e+01   1.01333e+02
            17   7.58352e+01   1.70000e+01  -1.43424e+01   3.64109e+01   1.01417e+02
            18   7.61330e+01   1.80000e+01  -1.43786e+01   3.64115e+01   1.01500e+02
            19   7.64307e+01   1.90000e+01  -1.44121e+01   3.64120e+01   1.01583e+02
            20   7.67406e+01   2.00000e+01  -1.44374e+01   3.64122e+01   1.01667e+02
            21   7.70185e+01   2.10000e+01  -1.44704e+01   3.64125e+01   1.01750e+02
            22   7.73055e+01   2.20000e+01  -1.45128e+01   3.64127e+01   1.01833e+02
            23   7.76023e+01   2.30000e+01  -1.45509e+01   3.64128e+01   1.01917e+02
            24   7.78842e+01   2.40000e+01  -1.45311e+01   3.64126e+01   1.02000e+02
            25   7.81785e+01   2.50000e+01  -1.45303e+01   3.64126e+01   1.02083e+02
            26   7.84559e+01   2.60000e+01  -1.45370e+01   3.64125e+01   1.02167e+02
            27   7.87355e+01   2.70000e+01  -1.45432e+01   3.64124e+01   1.02250e+02
            28   7.90129e+01   2.80000e+01  -1.45322e+01   3.64122e+01   1.02333e+02
            29   7.92934e+01   2.90000e+01  -1.45295e+01   3.64121e+01   1.02417e+02
            30   7.95512e+01   3.00000e+01  -1.45259e+01   3.64119e+01   1.02500e+02
            31   7.98394e+01   3.10000e+01  -1.45213e+01   3.64117e+01   1.02583e+02
            32   8.01098e+01   3.20000e+01  -1.45027e+01   3.64114e+01   1.02667e+02
            33   8.03703e+01   3.30000e+01  -1.44894e+01   3.64112e+01   1.02750e+02
