         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.20127e+01   0.00000e+00  -1.72755e+01   3.91710e+01   1.00000e+02
             1   7.22330e+01   1.00000e+00  -1.69267e+01   3.91711e+01   1.00083e+02
             2   7.24713e+01   2.00000e+00  -1.65630e+01   3.91713e+01   1.00167e+02
             3   7.27166e+01   3.00000e+00  -1.62006e+01   3.91714e+01   1.00250e+02
             4   7.29764e+01   4.00000e+00  -1.59278e+01   3.91718e+01   1.00333e+02
             5   7.32574e+01   5.00000e+00  -1.56774e+01   3.91721e+01   1.00417e+02
             6   7.35441e+01   6.00000e+00  -1.54746e+01   3.91727e+01   1.00500e+02
             7   7.38450e+01   7.00000e+00  -1.53070e+01   3.91733e+01   1.00583e+02
             8   7.41275e+01   8.00000e+00  -1.52511e+01   3.91742e+01   1.00667e+02
             9   7.44243e+01   9.00000e+00  -1.51815e+01   3.91751e+01   1.00750e+02
            10   7.47173e+01   1.00000e+01  -1.51350e+01   3.91761e+01   1.00833e+02
            11   7.49963e+01   1.10000e+01  -1.50991e+01   3.91771e+01   1.00917e+02
            12   7.53061e+01   1.20000e+01  -1.50886e+01   3.91784e+01   1.01000e+02
            13   7.56157e+01   1.30000e+01  -1.50653e+01   3.91796e+01   1.01083e+02
            14   7.58942e+01   1.40000e+01  -1.50396e+01   3.91807e+01   1.01167e+02
            15   7.61872e+01   1.50000e+01  -1.50136e+01   3.91817e+01   1.01250e+02
            16   7.64925e+01   1.60000e+01  -1.49861e+01   3.91825e+01   1.01333e+02
            17   7.67800e+01   1.70000e+01  -1.49549e+01   3.91832e+01   1.01417e+02
            18   7.70666e+01   1.80000e+01  -1.49251e+01   3.91839e+01   1.01500e+02
            19   7.73697e+01   1.90000e+01  -1.48959e+01   3.91845e+01   1.01583e+02
            20   7.76692e+01   2.00000e+01  -1.48701e+01   3.91847e+01   1.01667e+02
            21   7.79425e+01   2.10000e+01  -1.48419e+01   3.91850e+01   1.01750e+02
            22   7.82396e+01   2.20000e+01  -1.48127e+01   3.91852e+01   1.01833e+02
            23   7.85280e+01   2.30000e+01  -1.47829e+01   3.91854e+01   1.01917e+02
            24   7.88089e+01   2.40000e+01  -1.47499e+01   3.91853e+01   1.02000e+02
            25   7.90909e+01   2.50000e+01  -1.47167e+01   3.91853e+01   1.02083e+02
            26   7.93444e+01   2.60000e+01  -1.46842e+01   3.91853e+01   1.02167e+02
            27   7.96343e+01   2.70000e+01  -1.46521e+01   3.91853e+01   1.02250e+02
            28   7.99100e+01   2.80000e+01  -1.46134e+01   3.91852e+01   1.02333e+02
            29   8.01649e+01   2.90000e+01  -1.45769e+01   3.91851e+01   1.02417e+02
            30   8.04419e+01   3.00000e+01  -1.45396e+01   3.91850e+01   1.02500e+02
            31   8.07203e+01   3.10000e+01  -1.45015e+01   3.91849e+01   1.02583e+02
            32   8.09746e+01   3.20000e+01  -1.44589e+01   3.91848e+01   1.02667e+02
            33   8.12487e+01   3.30000e+01  -1.44176e+01   3.91847e+01   1.02750e+02
            34   8.15008e+01   3.40000e+01  -1.43755e+01   3.91845e+01   1.02833e+02
            35   8.17464e+01   3.50000e+01  -1.43333e+01   3.91843e+01   1.02917e+02
            36   8.20171e+01   3.60000e+01  -1.42827e+01   3.91841e+01   1.03000e+02
            37   8.22699e+01   3.70000e+01  -1.42343e+01   3.91838e+01   1.03083e+02
            38   8.25181e+01   3.80000e+01  -1.41885e+01   3.91837e+01   1.03167e+02
            39   8.27758e+01   3.90000e+01  -1.41441e+01   3.91835e+01   1.03250e+02
            40   8.30198e+01   4.00000e+01  -1.40897e+01   3.91832e+01   1.03333e+02
            41   8.32616e+01   4.10000e+01  -1.40391e+01   3.91830e+01   1.03417e+02
            42   8.35105e+01   4.20000e+01  -1.39903e+01   3.91828e+01   1.03500e+02
            43   8.37522e+01   4.30000e+01  -1.39428e+01   3.91826e+01   1.03583e+02
            44   8.39971e+01   4.40000e+01  -1.38948e+01   3.91824e+01   1.03667e+02
            45   8.42474e+01   4.50000e+01  -1.38482e+01   3.91823e+01   1.03750e+02
            46   8.44741e+01   4.60000e+01  -1.38009e+01   3.91821e+01   1.03833e+02
            47   8.47037e+01   4.70000e+01  -1.37536e+01   3.91820e+01   1.03917e+02
            48   8.49407e+01   4.80000e+01  -1.37070e+01   3.91819e+01   1.04000e+02
            49   8.51767e+01   4.90000e+01  -1.36595e+01   3.91817e+01   1.04083e+02
            50   8.53980e+01   5.00000e+01  -1.36114e+01   3.91816e+01   1.04167e+02
            51   8.56238e+01   5.10000e+01  -1.35626e+01   3.91814e+01   1.04250e+02
            52   8.58435e+01   5.20000e+01  -1.35185e+01   3.91813e+01   1.04333e+02
            53   8.60745e+01   5.30000e+01  -1.34740e+01   3.91812e+01   1.04417e+02
            54   8.63107e+01   5.40000e+01  -1.34291e+01   3.91811e+01   1.04500e+02
            55   8.65360e+01   5.50000e+01  -1.33832e+01   3.91810e+01   1.04583e+02
            56   8.67570e+01   5.60000e+01  -1.33373e+01   3.91809e+01   1.04667e+02
            57   8.69671e+01   5.70000e+01  -1.32942e+01   3.91808e+01   1.04750e+02
            58   8.71796e+01   5.80000e+01  -1.32507e+01   3.91807e+01   1.04833e+02
            59   8.74062e+01   5.90000e+01  -1.32072e+01   3.91806e+01   1.04917e+02
            60   8.76078e+01   6.00000e+01  -1.31699e+01   3.91804e+01   1.05000e+02
            61   8.78131e+01   6.10000e+01  -1.31295e+01   3.91802e+01   1.05083e+02
            62   8.80215e+01   6.20000e+01  -1.30887e+01   3.91801e+01   1.05167e+02
            63   8.82415e+01   6.30000e+01  -1.30486e+01   3.91801e+01   1.05250e+02
            64   8.84615e+01   6.40000e+01  -1.30132e+01   3.91801e+01   1.05333e+02
            65   8.86708e+01   6.50000e+01  -1.29750e+01   3.91800e+01   1.05417e+02
            66   8.88804e+01   6.60000e+01  -1.29369e+01   3.91800e+01   1.05500e+02
            67   8.90735e+01   6.70000e+01  -1.28993e+01   3.91800e+01   1.05583e+02
            68   8.92856e+01   6.80000e+01  -1.28651e+01   3.91800e+01   1.05667e+02
            69   8.94828e+01   6.90000e+01  -1.28314e+01   3.91799e+01   1.05750e+02
            70   8.96913e+01   7.00000e+01  -1.27983e+01   3.91798e+01   1.05833e+02
            71   8.98771e+01   7.10000e+01  -1.27652e+01   3.91797e+01   1.05917e+02
            72   9.00814e+01   7.20000e+01  -1.27363e+01   3.91795e+01   1.06000e+02
            73   9.02827e+01   7.30000e+01  -1.27054e+01   3.91794e+01   1.06083e+02
            74   9.04743e+01   7.40000e+01  -1.26743e+01   3.91793e+01   1.06167e+02
            75   9.06674e+01   7.50000e+01  -1.26442e+01   3.91792e+01   1.06250e+02
            76   9.08759e+01   7.60000e+01  -1.26204e+01   3.91791e+01   1.06333e+02
            77   9.10644e+01   7.70000e+01  -1.25936e+01   3.91791e+01   1.06417e+02
            78   9.12608e+01   7.80000e+01  -1.25659e+01   3.91791e+01   1.06500e+02
            79   9.14564e+01   7.90000e+01  -1.25382e+01   3.91790e+01   1.06583e+02
            80   9.16428e+01   8.00000e+01  -1.25144e+01   3.91790e+01   1.06667e+02
            81   9.18299e+01   8.10000e+01  -1.24894e+01   3.91790e+01   1.06750e+02
            82   9.20276e+01   8.20000e+01  -1.24638e+01   3.91790e+01   1.06833e+02
            83   9.22152e+01   8.30000e+01  -1.24384e+01   3.91790e+01   1.06917e+02
            84   9.24106e+01   8.40000e+01  -1.24166e+01   3.91790e+01   1.07000e+02
            85   9.25909e+01   8.50000e+01  -1.23943e+01   3.91790e+01   1.07083e+02
            86   9.27724e+01   8.60000e+01  -1.23716e+01   3.91790e+01   1.07167e+02
            87   9.29712e+01   8.70000e+01  -1.23478e+01   3.91789e+01   1.07250e+02
            88   9.31475e+01   8.80000e+01  -1.23247e+01   3.91788e+01   1.07333e+02
            89   9.33323e+01   8.90000e+01  -1.23015e+01   3.91787e+01   1.07417e+02
            90   9.35180e+01   9.00000e+01  -1.22798e+01   3.91785e+01   1.07500e+02
            91   9.36993e+01   9.10000e+01  -1.22600e+01   3.91784e+01   1.07583e+02
            92   9.38731e+01   9.20000e+01  -1.22435e+01   3.91783e+01   1.07667e+02
            93   9.40565e+01   9.30000e+01  -1.22257e+01   3.91782e+01   1.07750e+02
            94   9.42314e+01   9.40000e+01  -1.22066e+01   3.91781e+01   1.07833e+02
            95   9.44218e+01   9.50000e+01  -1.21877e+01   3.91781e+01   1.07917e+02
            96   9.46024e+01   9.60000e+01  -1.21724e+01   3.91781e+01   1.08000e+02
            97   9.47737e+01   9.70000e+01  -1.21550e+01   3.91780e+01   1.08083e+02
            98   9.49414e+01   9.80000e+01  -1.21371e+01   3.91780e+01   1.08167e+02
            99   9.51240e+01   9.90000e+01  -1.21196e+01   3.91780e+01   1.08250e+02
           100   9.53029e+01   1.00000e+02  -1.21089e+01   3.91780e+01   1.08333e+02
           101   9.54675e+01   1.01000e+02  -1.20926e+01   3.91780e+01   1.08417e+02
