         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0  8.73130e+001  0.00000e+000 -6.06657e+000  6.04419e+000  1.00000e+002
             1  8.74791e+001  1.00000e+000 -5.58223e+000  6.04433e+000  1.00000e+002
             2  8.76427e+001  2.00000e+000 -5.04557e+000  6.04444e+000  1.00000e+002
             3  8.77961e+001  3.00000e+000 -4.50291e+000  6.04456e+000  1.00000e+002
             4  8.79441e+001  4.00000e+000 -4.04739e+000  6.04473e+000  1.00000e+002
             5  8.80995e+001  5.00000e+000 -3.58831e+000  6.04492e+000  1.00000e+002
             6  8.82472e+001  6.00000e+000 -3.14903e+000  6.04511e+000  1.00000e+002
             7  8.84046e+001  7.00000e+000 -2.72553e+000  6.04528e+000  1.00000e+002
             8  8.85466e+001  8.00000e+000 -2.36839e+000  6.04555e+000  1.00000e+002
             9  8.86716e+001  9.00000e+000 -2.00693e+000  6.04581e+000  1.00000e+002
            10  8.88196e+001  1.00000e+001 -1.66166e+000  6.04604e+000  1.00000e+002
            11  8.89479e+001  1.10000e+001 -1.33256e+000  6.04625e+000  1.00000e+002
            12  8.90875e+001  1.20000e+001 -1.06680e+000  6.04649e+000  1.00000e+002
            13  8.92148e+001  1.30000e+001 -8.03362e-001  6.04669e+000  1.00000e+002
            14  8.93320e+001  1.40000e+001 -5.39651e-001  6.04692e+000  1.00000e+002
            15  8.94520e+001  1.50000e+001 -2.82973e-001  6.04714e+000  1.00000e+002
            16  8.95872e+001  1.60000e+001 -8.46117e-002  6.04726e+000  1.00000e+002
            17  8.97001e+001  1.70000e+001  1.39141e-001  6.04741e+000  1.00000e+002
            18  8.98108e+001  1.80000e+001  3.48058e-001  6.04755e+000  1.00000e+002
            19  8.99267e+001  1.90000e+001  5.48467e-001  6.04768e+000  1.00000e+002
            20  9.00452e+001  2.00000e+001  6.89284e-001  6.04777e+000  1.00000e+002
            21  9.01620e+001  2.10000e+001  8.50078e-001  6.04787e+000  1.00000e+002
            22  9.02727e+001  2.20000e+001  1.00796e+000  6.04803e+000  1.00000e+002
            23  9.03808e+001  2.30000e+001  1.15952e+000  6.04819e+000  1.00000e+002
            24  9.04894e+001  2.40000e+001  1.25381e+000  6.04832e+000  1.00000e+002
            25  9.05833e+001  2.50000e+001  1.37654e+000  6.04845e+000  1.00000e+002
            26  9.06861e+001  2.60000e+001  1.49845e+000  6.04857e+000  1.00000e+002
            27  9.08017e+001  2.70000e+001  1.61681e+000  6.04869e+000  1.00000e+002
            28  9.08920e+001  2.80000e+001  1.69622e+000  6.04878e+000  1.00000e+002
            29  9.10013e+001  2.90000e+001  1.79751e+000  6.04885e+000  1.00000e+002
            30  9.11011e+001  3.00000e+001  1.90327e+000  6.04891e+000  1.00000e+002
            31  9.11983e+001  3.10000e+001  1.99947e+000  6.04896e+000  1.00000e+002
            32  9.12802e+001  3.20000e+001  2.05166e+000  6.04896e+000  1.00000e+002
            33  9.13814e+001  3.30000e+001  2.12612e+000  6.04897e+000  1.00000e+002
            34  9.14651e+001  3.40000e+001  2.20351e+000  6.04901e+000  1.00000e+002
            35  9.15662e+001  3.50000e+001  2.28035e+000  6.04911e+000  1.00000e+002
