         Index            Ts             t            HF        Weight            Tr
             0  2.41679e+001  0.00000e+000  1.06548e+001  8.01100e+000  2.50000e+001
             1  2.41792e+001  1.00000e+000  1.06593e+001  8.01100e+000  2.50000e+001
             2  2.41988e+001  2.00000e+000  1.06622e+001  8.01100e+000  2.50000e+001
             3  2.42151e+001  3.00000e+000  1.06649e+001  8.01100e+000  2.50000e+001
             4  2.42619e+001  4.00000e+000  1.06699e+001  8.01100e+000  2.50000e+001
             5  2.42763e+001  5.00000e+000  1.06728e+001  8.01100e+000  2.50000e+001
             6  2.42879e+001  6.00000e+000  1.06764e+001  8.01103e+000  2.50000e+001
             7  2.43115e+001  7.00000e+000  1.06800e+001  8.01111e+000  2.50000e+001
             8  2.43264e+001  8.00000e+000  1.06799e+001  8.01123e+000  2.50000e+001
             9  2.43508e+001  9.00000e+000  1.06825e+001  8.01135e+000  2.50000e+001
            10  2.43762e+001  1.00000e+001  1.06867e+001  8.01146e+000  2.50000e+001
            11  2.43896e+001  1.10000e+001  1.06905e+001  8.01157e+000  2.50000e+001
            12  2.44289e+001  1.20000e+001  1.06950e+001  8.01171e+000  2.50000e+001
            13  2.44352e+001  1.30000e+001  1.06979e+001  8.01181e+000  2.50000e+001
            14  2.44537e+001  1.40000e+001  1.07005e+001  8.01189e+000  2.50000e+001
            15  2.44709e+001  1.50000e+001  1.07032e+001  8.01195e+000  2.50000e+001
            16  2.44929e+001  1.60000e+001  1.07075e+001  8.01194e+000  2.50000e+001
            17  2.45133e+001  1.70000e+001  1.07110e+001  8.01196e+000  2.50000e+001
            18  2.45323e+001  1.80000e+001  1.07138e+001  8.01198e+000  2.50000e+001
            19  2.45515e+001  1.90000e+001  1.07164e+001  8.01199e+000  2.50000e+001
            20  2.45639e+001  2.00000e+001  1.07163e+001  8.01199e+000  2.50000e+001
            21  2.45784e+001  2.10000e+001  1.07183e+001  8.01199e+000  2.50000e+001
            22  2.45808e+001  2.20000e+001  1.07207e+001  8.01200e+000  2.50000e+001
            23  2.46160e+001  2.30000e+001  1.07224e+001  8.01200e+000  2.50000e+001
            24  2.46220e+001  2.40000e+001  1.07267e+001  8.01200e+000  2.50000e+001
            25  2.46361e+001  2.50000e+001  1.07303e+001  8.01200e+000  2.50000e+001
            26  2.46567e+001  2.60000e+001  1.07335e+001  8.01200e+000  2.50000e+001
            27  2.46666e+001  2.70000e+001  1.07362e+001  8.01200e+000  2.50000e+001
            28  2.47004e+001  2.80000e+001  1.07365e+001  8.01200e+000  2.50000e+001
            29  2.47166e+001  2.90000e+001  1.07378e+001  8.01200e+000  2.50000e+001
            30  2.47344e+001  3.00000e+001  1.07396e+001  8.01200e+000  2.50000e+001
            31  2.47512e+001  3.10000e+001  1.07425e+001  8.01200e+000  2.50000e+001
            32  2.47754e+001  3.20000e+001  1.07468e+001  8.01200e+000  2.50000e+001
            33  2.47806e+001  3.30000e+001  1.07479e+001  8.01200e+000  2.50000e+001
            34  2.48008e+001  3.40000e+001  1.07481e+001  8.01200e+000  2.50000e+001
            35  2.48055e+001  3.50000e+001  1.07479e+001  8.01200e+000  2.50000e+001
            36  2.48358e+001  3.60000e+001  1.07464e+001  8.01200e+000  2.50000e+001
            37  2.48387e+001  3.70000e+001  1.07466e+001  8.01200e+000  2.50000e+001
            38  2.48533e+001  3.80000e+001  1.07478e+001  8.01200e+000  2.50000e+001
            39  2.48808e+001  3.90000e+001  1.07492e+001  8.01200e+000  2.50000e+001
            40  2.48908e+001  4.00000e+001  1.07499e+001  8.01200e+000  2.50000e+001
            41  2.49049e+001  4.10000e+001  1.07504e+001  8.01200e+000  2.50000e+001
            42  2.49162e+001  4.20000e+001  1.07513e+001  8.01200e+000  2.50000e+001
            43  2.49426e+001  4.30000e+001  1.07527e+001  8.01200e+000  2.50000e+001
            44  2.49466e+001  4.40000e+001  1.07535e+001  8.01200e+000  2.50000e+001
            45  2.49731e+001  4.50000e+001  1.07550e+001  8.01200e+000  2.50000e+001
            46  2.49796e+001  4.60000e+001  1.07573e+001  8.01200e+000  2.50000e+001
            47  2.49919e+001  4.70000e+001  1.07594e+001  8.01200e+000  2.50000e+001
            48  2.50112e+001  4.80000e+001  1.07627e+001  8.01200e+000  2.50000e+001
            49  2.50156e+001  4.90000e+001  1.07653e+001  8.01200e+000  2.50000e+001
            50  2.50341e+001  5.00000e+001  1.07670e+001  8.01200e+000  2.50000e+001
            51  2.50531e+001  5.10000e+001  1.07673e+001  8.01200e+000  2.50000e+001
            52  2.50632e+001  5.20000e+001  1.07698e+001  8.01200e+000  2.50000e+001
            53  2.50709e+001  5.30000e+001  1.07716e+001  8.01200e+000  2.50000e+001
            54  2.50915e+001  5.40000e+001  1.07737e+001  8.01200e+000  2.50000e+001
            55  2.51058e+001  5.50000e+001  1.07762e+001  8.01200e+000  2.50000e+001
            56  2.51287e+001  5.60000e+001  1.07769e+001  8.01200e+000  2.50000e+001
            57  2.51223e+001  5.70000e+001  1.07781e+001  8.01200e+000  2.50000e+001
            58  2.51481e+001  5.80000e+001  1.07793e+001  8.01200e+000  2.50000e+001
            59  2.51583e+001  5.90000e+001  1.07809e+001  8.01200e+000  2.50000e+001
            60  2.51691e+001  6.00000e+001  1.07809e+001  8.01200e+000  2.50000e+001
            61  2.51850e+001  6.10000e+001  1.07816e+001  8.01200e+000  2.50000e+001
            62  2.51963e+001  6.20000e+001  1.07821e+001  8.01200e+000  2.50000e+001
            63  2.52098e+001  6.30000e+001  1.07820e+001  8.01200e+000  2.50000e+001
            64  2.52194e+001  6.40000e+001  1.07873e+001  8.01200e+000  2.50000e+001
            65  2.52396e+001  6.50000e+001  1.07915e+001  8.01200e+000  2.50000e+001
            66  2.52686e+001  6.60000e+001  1.07944e+001  8.01200e+000  2.50000e+001
            67  2.52643e+001  6.70000e+001  1.07971e+001  8.01200e+000  2.50000e+001
            68  2.52813e+001  6.80000e+001  1.07989e+001  8.01200e+000  2.50000e+001
            69  2.52820e+001  6.90000e+001  1.08009e+001  8.01200e+000  2.50000e+001
            70  2.53080e+001  7.00000e+001  1.08024e+001  8.01200e+000  2.50000e+001
            71  2.53000e+001  7.10000e+001  1.08040e+001  8.01200e+000  2.50000e+001
            72  2.53245e+001  7.20000e+001  1.08087e+001  8.01200e+000  2.50000e+001
            73  2.53373e+001  7.30000e+001  1.08123e+001  8.01200e+000  2.50000e+001
            74  2.53595e+001  7.40000e+001  1.08144e+001  8.01200e+000  2.50000e+001
            75  2.53594e+001  7.50000e+001  1.08161e+001  8.01200e+000  2.50000e+001
            76  2.53776e+001  7.60000e+001  1.08162e+001  8.01200e+000  2.50000e+001
            77  2.53892e+001  7.70000e+001  1.08167e+001  8.01200e+000  2.50000e+001
            78  2.54041e+001  7.80000e+001  1.08182e+001  8.01200e+000  2.50000e+001
            79  2.54138e+001  7.90000e+001  1.08209e+001  8.01200e+000  2.50000e+001
            80  2.54194e+001  8.00000e+001  1.08230e+001  8.01200e+000  2.50000e+001
            81  2.54306e+001  8.10000e+001  1.08244e+001  8.01200e+000  2.50000e+001
            82  2.54558e+001  8.20000e+001  1.08257e+001  8.01200e+000  2.50000e+001
            83  2.54565e+001  8.30000e+001  1.08276e+001  8.01200e+000  2.50000e+001
            84  2.54665e+001  8.40000e+001  1.08276e+001  8.01200e+000  2.50000e+001
            85  2.54808e+001  8.50000e+001  1.08293e+001  8.01200e+000  2.50000e+001
            86  2.54900e+001  8.60000e+001  1.08320e+001  8.01200e+000  2.50000e+001
            87  2.55115e+001  8.70000e+001  1.08350e+001  8.01200e+000  2.50000e+001
            88  2.55145e+001  8.80000e+001  1.08397e+001  8.01200e+000  2.50000e+001
            89  2.55202e+001  8.90000e+001  1.08431e+001  8.01200e+000  2.50000e+001
            90  2.55352e+001  9.00000e+001  1.08451e+001  8.01197e+000  2.50000e+001
            91  2.55508e+001  9.10000e+001  1.08461e+001  8.01189e+000  2.50000e+001
            92  2.55548e+001  9.20000e+001  1.08461e+001  8.01177e+000  2.50000e+001
            93  2.55629e+001  9.30000e+001  1.08463e+001  8.01165e+000  2.50000e+001
            94  2.55658e+001  9.40000e+001  1.08471e+001  8.01154e+000  2.50000e+001
            95  2.55865e+001  9.50000e+001  1.08477e+001  8.01143e+000  2.50000e+001
            96  2.56051e+001  9.60000e+001  1.08494e+001  8.01129e+000  2.50000e+001
            97  2.56145e+001  9.70000e+001  1.08520e+001  8.01119e+000  2.50000e+001
            98  2.56092e+001  9.80000e+001  1.08545e+001  8.01111e+000  2.50000e+001
            99  2.56249e+001  9.90000e+001  1.08557e+001  8.01105e+000  2.50000e+001
           100  2.56393e+001  1.00000e+002  1.08534e+001  8.01106e+000  2.50000e+001
           101  2.56532e+001  1.01000e+002  1.08540e+001  8.01104e+000  2.50000e+001
           102  2.56553e+001  1.02000e+002  1.08551e+001  8.01102e+000  2.50000e+001
           103  2.56588e+001  1.03000e+002  1.08557e+001  8.01101e+000  2.50000e+001
           104  2.56847e+001  1.04000e+002  1.08605e+001  8.01090e+000  2.50000e+001
           105  2.56976e+001  1.05000e+002  1.08631e+001  8.01078e+000  2.50000e+001
           106  2.56881e+001  1.06000e+002  1.08661e+001  8.01067e+000  2.50000e+001
           107  2.57124e+001  1.07000e+002  1.08685e+001  8.01056e+000  2.50000e+001
           108  2.57194e+001  1.08000e+002  1.08677e+001  8.01036e+000  2.50000e+001
           109  2.57350e+001  1.09000e+002  1.08687e+001  8.01023e+000  2.50000e+001
           110  2.57339e+001  1.10000e+002  1.08705e+001  8.01014e+000  2.50000e+001
           111  2.57577e+001  1.11000e+002  1.08715e+001  8.01006e+000  2.50000e+001
           112  2.57571e+001  1.12000e+002  1.08720e+001  8.01007e+000  2.50000e+001
           113  2.57858e+001  1.13000e+002  1.08733e+001  8.01005e+000  2.50000e+001
           114  2.57738e+001  1.14000e+002  1.08754e+001  8.01003e+000  2.50000e+001
           115  2.57896e+001  1.15000e+002  1.08782e+001  8.01001e+000  2.50000e+001
           116  2.58011e+001  1.16000e+002  1.08791e+001  8.01001e+000  2.50000e+001
           117  2.58165e+001  1.17000e+002  1.08808e+001  8.01001e+000  2.50000e+001
           118  2.58144e+001  1.18000e+002  1.08827e+001  8.01000e+000  2.50000e+001
           119  2.58239e+001  1.19000e+002  1.08847e+001  8.01000e+000  2.50000e+001
           120  2.58209e+001  1.20000e+002  1.08861e+001  8.01000e+000  2.50000e+001
           121  2.58340e+001  1.21000e+002  1.08878e+001  8.01000e+000  2.50000e+001
           122  2.58543e+001  1.22000e+002  1.08899e+001  8.01000e+000  2.50000e+001
           123  2.58643e+001  1.23000e+002  1.08920e+001  8.01000e+000  2.50000e+001
           124  2.58578e+001  1.24000e+002  1.08965e+001  8.01000e+000  2.50000e+001
           125  2.58538e+001  1.25000e+002  1.08980e+001  8.01000e+000  2.50000e+001
           126  2.58862e+001  1.26000e+002  1.08993e+001  8.01000e+000  2.50000e+001
           127  2.58842e+001  1.27000e+002  1.09013e+001  8.01000e+000  2.50000e+001
           128  2.59053e+001  1.28000e+002  1.08997e+001  8.01000e+000  2.50000e+001
           129  2.59194e+001  1.29000e+002  1.08999e+001  8.01000e+000  2.50000e+001
           130  2.59139e+001  1.30000e+002  1.09011e+001  8.01000e+000  2.50000e+001
           131  2.59297e+001  1.31000e+002  1.09020e+001  8.01000e+000  2.50000e+001
           132  2.59255e+001  1.32000e+002  1.09011e+001  8.00989e+000  2.50000e+001
