         Index            Ts             t            HF        Weight            Tr
             0  8.91039e+001  0.00000e+000 -8.88434e+000  5.56419e+000  1.00000e+002
             1  8.92632e+001  1.00000e+000 -8.32224e+000  5.56433e+000  1.00000e+002
             2  8.94163e+001  2.00000e+000 -7.71285e+000  5.56444e+000  1.00000e+002
             3  8.95765e+001  3.00000e+000 -7.11418e+000  5.56456e+000  1.00000e+002
             4  8.97116e+001  4.00000e+000 -6.53670e+000  5.56482e+000  1.00000e+002
             5  8.98634e+001  5.00000e+000 -5.96495e+000  5.56503e+000  1.00000e+002
             6  9.00065e+001  6.00000e+000 -5.44734e+000  5.56524e+000  1.00000e+002
             7  9.01473e+001  7.00000e+000 -4.98017e+000  5.56551e+000  1.00000e+002
             8  9.02747e+001  8.00000e+000 -4.56046e+000  5.56582e+000  1.00000e+002
             9  9.04052e+001  9.00000e+000 -4.13941e+000  5.56607e+000  1.00000e+002
            10  9.05378e+001  1.00000e+001 -3.73877e+000  5.56632e+000  1.00000e+002
            11  9.06639e+001  1.10000e+001 -3.35500e+000  5.56661e+000  1.00000e+002
            12  9.07956e+001  1.20000e+001 -3.03390e+000  5.56687e+000  1.00000e+002
            13  9.09185e+001  1.30000e+001 -2.71367e+000  5.56713e+000  1.00000e+002
            14  9.10405e+001  1.40000e+001 -2.41838e+000  5.56744e+000  1.00000e+002
            15  9.11515e+001  1.50000e+001 -2.15534e+000  5.56773e+000  1.00000e+002
            16  9.12698e+001  1.60000e+001 -1.92124e+000  5.56801e+000  1.00000e+002
            17  9.13841e+001  1.70000e+001 -1.68239e+000  5.56827e+000  1.00000e+002
            18  9.14967e+001  1.80000e+001 -1.45681e+000  5.56857e+000  1.00000e+002
            19  9.16102e+001  1.90000e+001 -1.23998e+000  5.56886e+000  1.00000e+002
            20  9.17132e+001  2.00000e+001 -1.08229e+000  5.56908e+000  1.00000e+002
            21  9.18200e+001  2.10000e+001 -9.00935e-001  5.56929e+000  1.00000e+002
            22  9.19354e+001  2.20000e+001 -7.22267e-001  5.56948e+000  1.00000e+002
            23  9.20408e+001  2.30000e+001 -5.72365e-001  5.56965e+000  1.00000e+002
            24  9.21355e+001  2.40000e+001 -4.49409e-001  5.56973e+000  1.00000e+002
            25  9.22212e+001  2.50000e+001 -3.18306e-001  5.56985e+000  1.00000e+002
            26  9.23325e+001  2.60000e+001 -1.95959e-001  5.57002e+000  1.00000e+002
            27  9.24236e+001  2.70000e+001 -8.77530e-002  5.57018e+000  1.00000e+002
            28  9.25306e+001  2.80000e+001 -1.29250e-002  5.57031e+000  1.00000e+002
            29  9.26211e+001  2.90000e+001  8.11920e-002  5.57048e+000  1.00000e+002
            30  9.27019e+001  3.00000e+001  1.78393e-001  5.57069e+000  1.00000e+002
            31  9.28003e+001  3.10000e+001  2.81202e-001  5.57091e+000  1.00000e+002
            32  9.28922e+001  3.20000e+001  3.22207e-001  5.57114e+000  1.00000e+002
            33  9.29854e+001  3.30000e+001  3.95107e-001  5.57133e+000  1.00000e+002
            34  9.30629e+001  3.40000e+001  4.62706e-001  5.57153e+000  1.00000e+002
            35  9.31466e+001  3.50000e+001  5.27797e-001  5.57177e+000  1.00000e+002
            36  9.32414e+001  3.60000e+001  5.46028e-001  5.57197e+000  1.00000e+002
