         Index            Ts             t            HF        Weight            Tr
             0  2.35263e+001  0.00000e+000  1.21190e+001  3.19218e+001  2.50000e+001
             1  2.35257e+001  1.00000e+000  1.20966e+001  3.19217e+001  2.50000e+001
             2  2.35204e+001  2.00000e+000  1.20812e+001  3.19216e+001  2.50000e+001
             3  2.35399e+001  3.00000e+000  1.20677e+001  3.19214e+001  2.50000e+001
             4  2.35374e+001  4.00000e+000  1.20382e+001  3.19213e+001  2.50000e+001
             5  2.35349e+001  5.00000e+000  1.20206e+001  3.19211e+001  2.50000e+001
             6  2.35598e+001  6.00000e+000  1.20061e+001  3.19209e+001  2.50000e+001
             7  2.35641e+001  7.00000e+000  1.19923e+001  3.19207e+001  2.50000e+001
             8  2.35673e+001  8.00000e+000  1.19753e+001  3.19206e+001  2.50000e+001
             9  2.35671e+001  9.00000e+000  1.19594e+001  3.19204e+001  2.50000e+001
            10  2.35656e+001  1.00000e+001  1.19443e+001  3.19203e+001  2.50000e+001
            11  2.35864e+001  1.10000e+001  1.19286e+001  3.19201e+001  2.50000e+001
            12  2.36147e+001  1.20000e+001  1.19142e+001  3.19199e+001  2.50000e+001
            13  2.36053e+001  1.30000e+001  1.19009e+001  3.19198e+001  2.50000e+001
            14  2.36128e+001  1.40000e+001  1.18880e+001  3.19196e+001  2.50000e+001
            15  2.36146e+001  1.50000e+001  1.18758e+001  3.19195e+001  2.50000e+001
            16  2.36147e+001  1.60000e+001  1.18658e+001  3.19193e+001  2.50000e+001
            17  2.36254e+001  1.70000e+001  1.18552e+001  3.19192e+001  2.50000e+001
            18  2.36458e+001  1.80000e+001  1.18447e+001  3.19191e+001  2.50000e+001
            19  2.36554e+001  1.90000e+001  1.18349e+001  3.19189e+001  2.50000e+001
            20  2.36459e+001  2.00000e+001  1.18286e+001  3.19188e+001  2.50000e+001
            21  2.36681e+001  2.10000e+001  1.18205e+001  3.19187e+001  2.50000e+001
            22  2.36598e+001  2.20000e+001  1.18126e+001  3.19186e+001  2.50000e+001
            23  2.36837e+001  2.30000e+001  1.18048e+001  3.19184e+001  2.50000e+001
            24  2.36812e+001  2.40000e+001  1.18005e+001  3.19182e+001  2.50000e+001
            25  2.36917e+001  2.50000e+001  1.17949e+001  3.19180e+001  2.50000e+001
            26  2.37025e+001  2.60000e+001  1.17894e+001  3.19178e+001  2.50000e+001
            27  2.37074e+001  2.70000e+001  1.17847e+001  3.19176e+001  2.50000e+001
            28  2.37064e+001  2.80000e+001  1.17823e+001  3.19174e+001  2.50000e+001
            29  2.37203e+001  2.90000e+001  1.17788e+001  3.19173e+001  2.50000e+001
            30  2.37142e+001  3.00000e+001  1.17747e+001  3.19172e+001  2.50000e+001
            31  2.37374e+001  3.10000e+001  1.17696e+001  3.19171e+001  2.50000e+001
            32  2.37284e+001  3.20000e+001  1.17671e+001  3.19171e+001  2.50000e+001
            33  2.37514e+001  3.30000e+001  1.17640e+001  3.19171e+001  2.50000e+001
            34  2.37467e+001  3.40000e+001  1.17608e+001  3.19170e+001  2.50000e+001
            35  2.37519e+001  3.50000e+001  1.17577e+001  3.19170e+001  2.50000e+001
            36  2.37600e+001  3.60000e+001  1.17567e+001  3.19170e+001  2.50000e+001
            37  2.37535e+001  3.70000e+001  1.17542e+001  3.19170e+001  2.50000e+001
            38  2.37692e+001  3.80000e+001  1.17524e+001  3.19170e+001  2.50000e+001
            39  2.37744e+001  3.90000e+001  1.17515e+001  3.19170e+001  2.50000e+001
            40  2.37866e+001  4.00000e+001  1.17502e+001  3.19170e+001  2.50000e+001
            41  2.38085e+001  4.10000e+001  1.17498e+001  3.19170e+001  2.50000e+001
            42  2.38036e+001  4.20000e+001  1.17491e+001  3.19170e+001  2.50000e+001
            43  2.37951e+001  4.30000e+001  1.17476e+001  3.19170e+001  2.50000e+001
            44  2.38056e+001  4.40000e+001  1.17489e+001  3.19170e+001  2.50000e+001
            45  2.38073e+001  4.50000e+001  1.17489e+001  3.19170e+001  2.50000e+001
            46  2.38097e+001  4.60000e+001  1.17496e+001  3.19169e+001  2.50000e+001
            47  2.38196e+001  4.70000e+001  1.17505e+001  3.19168e+001  2.50000e+001
            48  2.38449e+001  4.80000e+001  1.17531e+001  3.19166e+001  2.50000e+001
            49  2.38393e+001  4.90000e+001  1.17546e+001  3.19165e+001  2.50000e+001
            50  2.38397e+001  5.00000e+001  1.17563e+001  3.19164e+001  2.50000e+001
            51  2.38647e+001  5.10000e+001  1.17581e+001  3.19163e+001  2.50000e+001
            52  2.38563e+001  5.20000e+001  1.17568e+001  3.19162e+001  2.50000e+001
            53  2.38585e+001  5.30000e+001  1.17576e+001  3.19160e+001  2.50000e+001
            54  2.38841e+001  5.40000e+001  1.17594e+001  3.19159e+001  2.50000e+001
            55  2.38689e+001  5.50000e+001  1.17610e+001  3.19157e+001  2.50000e+001
            56  2.38745e+001  5.60000e+001  1.17661e+001  3.19155e+001  2.50000e+001
            57  2.38865e+001  5.70000e+001  1.17696e+001  3.19154e+001  2.50000e+001
            58  2.38852e+001  5.80000e+001  1.17724e+001  3.19153e+001  2.50000e+001
            59  2.38901e+001  5.90000e+001  1.17742e+001  3.19152e+001  2.50000e+001
            60  2.39080e+001  6.00000e+001  1.17757e+001  3.19151e+001  2.50000e+001
            61  2.39014e+001  6.10000e+001  1.17771e+001  3.19150e+001  2.50000e+001
            62  2.39228e+001  6.20000e+001  1.17787e+001  3.19148e+001  2.50000e+001
            63  2.39242e+001  6.30000e+001  1.17810e+001  3.19147e+001  2.50000e+001
            64  2.39293e+001  6.40000e+001  1.17846e+001  3.19145e+001  2.50000e+001
            65  2.39217e+001  6.50000e+001  1.17875e+001  3.19144e+001  2.50000e+001
            66  2.39402e+001  6.60000e+001  1.17895e+001  3.19143e+001  2.50000e+001
            67  2.39286e+001  6.70000e+001  1.17906e+001  3.19142e+001  2.50000e+001
            68  2.39422e+001  6.80000e+001  1.17894e+001  3.19141e+001  2.50000e+001
            69  2.39436e+001  6.90000e+001  1.17903e+001  3.19141e+001  2.50000e+001
            70  2.39394e+001  7.00000e+001  1.17925e+001  3.19141e+001  2.50000e+001
            71  2.39567e+001  7.10000e+001  1.17950e+001  3.19140e+001  2.50000e+001
            72  2.39774e+001  7.20000e+001  1.17987e+001  3.19139e+001  2.50000e+001
            73  2.39716e+001  7.30000e+001  1.18015e+001  3.19138e+001  2.50000e+001
            74  2.39797e+001  7.40000e+001  1.18043e+001  3.19137e+001  2.50000e+001
            75  2.39835e+001  7.50000e+001  1.18064e+001  3.19136e+001  2.50000e+001
            76  2.39834e+001  7.60000e+001  1.18064e+001  3.19134e+001  2.50000e+001
            77  2.39984e+001  7.70000e+001  1.18073e+001  3.19132e+001  2.50000e+001
            78  2.39874e+001  7.80000e+001  1.18083e+001  3.19131e+001  2.50000e+001
