         Index            Ts             t            HF        Weight            Tr
             0  3.64659e+002  0.00000e+000 -5.43986e+001  1.28063e+001  3.60000e+002
             1  3.64849e+002  1.00000e+000 -5.09228e+001  1.27910e+001  3.60000e+002
             2  3.65015e+002  2.00000e+000 -4.69849e+001  1.27736e+001  3.60000e+002
             3  3.65183e+002  3.00000e+000 -4.30421e+001  1.27576e+001  3.60000e+002
             4  3.65349e+002  4.00000e+000 -3.93490e+001  1.27425e+001  3.60000e+002
             5  3.65509e+002  5.00000e+000 -3.59214e+001  1.27274e+001  3.60000e+002
             6  3.65652e+002  6.00000e+000 -3.26707e+001  1.27125e+001  3.60000e+002
             7  3.65805e+002  7.00000e+000 -2.95435e+001  1.26978e+001  3.60000e+002
             8  3.65944e+002  8.00000e+000 -2.67193e+001  1.26846e+001  3.60000e+002
             9  3.66075e+002  9.00000e+000 -2.40308e+001  1.26712e+001  3.60000e+002
            10  3.66205e+002  1.00000e+001 -2.15188e+001  1.26581e+001  3.60000e+002
            11  3.66333e+002  1.10000e+001 -1.91229e+001  1.26452e+001  3.60000e+002
            12  3.66446e+002  1.20000e+001 -1.70026e+001  1.26338e+001  3.60000e+002
            13  3.66563e+002  1.30000e+001 -1.49952e+001  1.26222e+001  3.60000e+002
            14  3.66671e+002  1.40000e+001 -1.31356e+001  1.26108e+001  3.60000e+002
            15  3.66774e+002  1.50000e+001 -1.13804e+001  1.25997e+001  3.60000e+002
            16  3.66862e+002  1.60000e+001 -9.86789e+000  1.25897e+001  3.60000e+002
            17  3.66942e+002  1.70000e+001 -8.45434e+000  1.25795e+001  3.60000e+002
            18  3.67033e+002  1.80000e+001 -7.16201e+000  1.25694e+001  3.60000e+002
            19  3.67119e+002  1.90000e+001 -5.94745e+000  1.25595e+001  3.60000e+002
            20  3.67201e+002  2.00000e+001 -4.91589e+000  1.25505e+001  3.60000e+002
            21  3.67275e+002  2.10000e+001 -3.97025e+000  1.25413e+001  3.60000e+002
            22  3.67348e+002  2.20000e+001 -3.13654e+000  1.25324e+001  3.60000e+002
            23  3.67414e+002  2.30000e+001 -2.37473e+000  1.25237e+001  3.60000e+002
            24  3.67461e+002  2.40000e+001 -1.79423e+000  1.25158e+001  3.60000e+002
            25  3.67526e+002  2.50000e+001 -1.27464e+000  1.25078e+001  3.60000e+002
            26  3.67594e+002  2.60000e+001 -7.92380e-001  1.24999e+001  3.60000e+002
            27  3.67643e+002  2.70000e+001 -3.27083e-001  1.24922e+001  3.60000e+002
            28  3.67692e+002  2.80000e+001 -4.98696e-002  1.24852e+001  3.60000e+002
            29  3.67723e+002  2.90000e+001  1.72832e-001  1.24781e+001  3.60000e+002
            30  3.67773e+002  3.00000e+001  3.64456e-001  1.24712e+001  3.60000e+002
            31  3.67818e+002  3.10000e+001  5.40101e-001  1.24642e+001  3.60000e+002
            32  3.67862e+002  3.20000e+001  5.32717e-001  1.24580e+001  3.60000e+002
            33  3.67886e+002  3.30000e+001  5.24827e-001  1.24516e+001  3.60000e+002
            34  3.67922e+002  3.40000e+001  4.61771e-001  1.24453e+001  3.60000e+002
            35  3.67947e+002  3.50000e+001  3.46381e-001  1.24390e+001  3.60000e+002
            36  3.67978e+002  3.60000e+001  1.85843e-001  1.24333e+001  3.60000e+002
            37  3.68019e+002  3.70000e+001  3.23625e-002  1.24274e+001  3.60000e+002
