Index	Ts	t	HF	Weight	Tr	
0	8.75E+01	0.00E+00	-2.03E+01	13.942	1.00E+02	
1	8.77E+01	1.00E+00	-1.96E+01	13.938	1.00E+02	
2	8.78E+01	2.00E+00	-1.90E+01	13.932	1.00E+02	
3	8.80E+01	3.00E+00	-1.83E+01	13.927	1.00E+02	
4	8.82E+01	4.00E+00	-1.76E+01	13.921	1.00E+02	
5	8.85E+01	5.00E+00	-1.71E+01	13.916	1.00E+02	
6	8.87E+01	6.00E+00	-1.66E+01	13.91	1.01E+02	
7	8.89E+01	7.00E+00	-1.61E+01	13.905	1.01E+02	
8	8.92E+01	8.00E+00	-1.57E+01	13.9	1.01E+02	
9	8.94E+01	9.00E+00	-1.54E+01	13.894	1.01E+02	
10	8.96E+01	1.00E+01	-1.50E+01	13.889	1.01E+02	
11	8.99E+01	1.10E+01	-1.47E+01	13.884	1.01E+02	
12	9.01E+01	1.20E+01	-1.44E+01	13.879	1.01E+02	
13	9.03E+01	1.30E+01	-1.41E+01	13.874	1.01E+02	
14	9.05E+01	1.40E+01	-1.39E+01	13.868	1.01E+02	
15	9.08E+01	1.50E+01	-1.36E+01	13.863	1.01E+02	
16	9.10E+01	1.60E+01	-1.34E+01	13.857	1.01E+02	
17	9.13E+01	1.70E+01	-1.32E+01	13.852	1.01E+02	
18	9.15E+01	1.80E+01	-1.30E+01	13.846	1.02E+02	
19	9.17E+01	1.90E+01	-1.28E+01	13.84	1.02E+02	
20	9.19E+01	2.00E+01	-1.27E+01	13.834	1.02E+02	
21	9.22E+01	2.10E+01	-1.25E+01	13.828	1.02E+02	
22	9.24E+01	2.20E+01	-1.24E+01	13.822	1.02E+02	
23	9.26E+01	2.30E+01	-1.23E+01	13.815	1.02E+02	
24	9.28E+01	2.40E+01	-1.22E+01	13.809	1.02E+02	
25	9.30E+01	2.50E+01	-1.20E+01	13.803	1.02E+02	
26	9.32E+01	2.60E+01	-1.19E+01	13.797	1.02E+02	
27	9.34E+01	2.70E+01	-1.18E+01	13.79	1.02E+02	
28	9.36E+01	2.80E+01	-1.17E+01	13.784	1.02E+02	
29	9.38E+01	2.90E+01	-1.16E+01	13.778	1.02E+02	
30	9.40E+01	3.00E+01	-1.15E+01	13.772	1.03E+02	
31	9.42E+01	3.10E+01	-1.14E+01	13.766	1.03E+02	
32	9.44E+01	3.20E+01	-1.13E+01	13.76	1.03E+02	
33	9.46E+01	3.30E+01	-1.13E+01	13.753	1.03E+02	
34	9.48E+01	3.40E+01	-1.12E+01	13.747	1.03E+02	
35	9.50E+01	3.50E+01	-1.11E+01	13.741	1.03E+02	
36	9.52E+01	3.60E+01	-1.11E+01	13.735	1.03E+02	
37	9.54E+01	3.70E+01	-1.10E+01	13.729	1.03E+02	
38	9.56E+01	3.80E+01	-1.09E+01	13.723	1.03E+02	
39	9.57E+01	3.90E+01	-1.09E+01	13.717	1.03E+02	
40	9.59E+01	4.00E+01	-1.08E+01	13.711	1.03E+02	
41	9.61E+01	4.10E+01	-1.08E+01	13.705	1.03E+02	
42	9.63E+01	4.20E+01	-1.07E+01	13.699	1.04E+02	
43	9.65E+01	4.30E+01	-1.07E+01	13.693	1.04E+02	
44	9.67E+01	4.40E+01	-1.07E+01	13.688	1.04E+02	
45	9.68E+01	4.50E+01	-1.06E+01	13.682	1.04E+02	
46	9.70E+01	4.60E+01	-1.06E+01	13.676	1.04E+02	
47	9.72E+01	4.70E+01	-1.05E+01	13.67	1.04E+02	
48	9.74E+01	4.80E+01	-1.05E+01	13.665	1.04E+02	
49	9.75E+01	4.90E+01	-1.05E+01	13.659	1.04E+02	
50	9.77E+01	5.00E+01	-1.04E+01	13.653	1.04E+02	
51	9.79E+01	5.10E+01	-1.04E+01	13.647	1.04E+02	
52	9.80E+01	5.20E+01	-1.04E+01	13.642	1.04E+02	
53	9.82E+01	5.30E+01	-1.04E+01	13.636	1.04E+02	
54	9.84E+01	5.40E+01	-1.03E+01	13.631	1.05E+02	
55	9.85E+01	5.50E+01	-1.03E+01	13.625	1.05E+02	
56	9.87E+01	5.60E+01	-1.03E+01	13.62	1.05E+02	
57	9.89E+01	5.70E+01	-1.03E+01	13.614	1.05E+02	
58	9.90E+01	5.80E+01	-1.03E+01	13.609	1.05E+02	
59	9.92E+01	5.90E+01	-1.02E+01	13.603	1.05E+02	
60	9.93E+01	6.00E+01	-1.02E+01	13.598	1.05E+02	
61	9.95E+01	6.10E+01	-1.02E+01	13.592	1.05E+02	
62	9.97E+01	6.20E+01	-1.02E+01	13.587	1.05E+02	
63	9.98E+01	6.30E+01	-1.02E+01	13.581	1.05E+02	
64	1.00E+02	6.40E+01	-1.02E+01	13.576	1.05E+02	
65	1.00E+02	6.50E+01	-1.02E+01	13.571	1.05E+02	
66	1.00E+02	6.60E+01	-1.02E+01	13.565	1.06E+02	
67	1.00E+02	6.70E+01	-1.02E+01	13.56	1.06E+02	
68	1.01E+02	6.80E+01	-1.01E+01	13.555	1.06E+02	
69	1.01E+02	6.90E+01	-1.01E+01	13.55	1.06E+02	
70	1.01E+02	7.00E+01	-1.01E+01	13.544	1.06E+02	
71	1.01E+02	7.10E+01	-1.01E+01	13.539	1.06E+02	
72	1.01E+02	7.20E+01	-1.01E+01	13.534	1.06E+02	
73	1.01E+02	7.30E+01	-1.01E+01	13.529	1.06E+02	
