         Index            Ts             t            HF        Weight            Tr
             0  2.60490e+001  0.00000e+000  1.26542e+001  2.68318e+001  2.50000e+001
             1  2.60338e+001  1.00000e+000  1.26403e+001  2.68317e+001  2.50000e+001
             2  2.60233e+001  2.00000e+000  1.26309e+001  2.68316e+001  2.50000e+001
             3  2.60013e+001  3.00000e+000  1.26222e+001  2.68314e+001  2.50000e+001
             4  2.59943e+001  4.00000e+000  1.26037e+001  2.68313e+001  2.50000e+001
             5  2.59933e+001  5.00000e+000  1.25935e+001  2.68312e+001  2.50000e+001
             6  2.59576e+001  6.00000e+000  1.25852e+001  2.68311e+001  2.50000e+001
             7  2.59431e+001  7.00000e+000  1.25770e+001  2.68310e+001  2.50000e+001
             8  2.59410e+001  8.00000e+000  1.25667e+001  2.68309e+001  2.50000e+001
             9  2.59408e+001  9.00000e+000  1.25562e+001  2.68308e+001  2.50000e+001
            10  2.59294e+001  1.00000e+001  1.25460e+001  2.68307e+001  2.50000e+001
            11  2.59150e+001  1.10000e+001  1.25359e+001  2.68306e+001  2.50000e+001
            12  2.59138e+001  1.20000e+001  1.25288e+001  2.68303e+001  2.50000e+001
            13  2.58989e+001  1.30000e+001  1.25212e+001  2.68301e+001  2.50000e+001
            14  2.58840e+001  1.40000e+001  1.25134e+001  2.68299e+001  2.50000e+001
            15  2.58792e+001  1.50000e+001  1.25059e+001  2.68297e+001  2.50000e+001
            16  2.58752e+001  1.60000e+001  1.24989e+001  2.68296e+001  2.50000e+001
            17  2.58578e+001  1.70000e+001  1.24918e+001  2.68294e+001  2.50000e+001
            18  2.58512e+001  1.80000e+001  1.24839e+001  2.68293e+001  2.50000e+001
            19  2.58276e+001  1.90000e+001  1.24755e+001  2.68292e+001  2.50000e+001
            20  2.58275e+001  2.00000e+001  1.24714e+001  2.68292e+001  2.50000e+001
            21  2.58193e+001  2.10000e+001  1.24665e+001  2.68291e+001  2.50000e+001
            22  2.58039e+001  2.20000e+001  1.24617e+001  2.68290e+001  2.50000e+001
            23  2.58034e+001  2.30000e+001  1.24566e+001  2.68289e+001  2.50000e+001
            24  2.57860e+001  2.40000e+001  1.24518e+001  2.68288e+001  2.50000e+001
            25  2.57683e+001  2.50000e+001  1.24467e+001  2.68287e+001  2.50000e+001
            26  2.57725e+001  2.60000e+001  1.24413e+001  2.68286e+001  2.50000e+001
            27  2.57525e+001  2.70000e+001  1.24351e+001  2.68284e+001  2.50000e+001
            28  2.57556e+001  2.80000e+001  1.24304e+001  2.68283e+001  2.50000e+001
            29  2.57331e+001  2.90000e+001  1.24255e+001  2.68282e+001  2.50000e+001
            30  2.57371e+001  3.00000e+001  1.24207e+001  2.68281e+001  2.50000e+001
            31  2.57241e+001  3.10000e+001  1.24160e+001  2.68280e+001  2.50000e+001
            32  2.57082e+001  3.20000e+001  1.24127e+001  2.68281e+001  2.50000e+001
            33  2.57148e+001  3.30000e+001  1.24083e+001  2.68280e+001  2.50000e+001
            34  2.57049e+001  3.40000e+001  1.24029e+001  2.68280e+001  2.50000e+001
            35  2.56898e+001  3.50000e+001  1.23975e+001  2.68280e+001  2.50000e+001
            36  2.56872e+001  3.60000e+001  1.23913e+001  2.68279e+001  2.50000e+001
