         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.50420e+01   0.00000e+00  -1.94150e+01   1.05773e+01   1.00000e+02
             1   8.52028e+01   1.00000e+00  -1.85826e+01   1.05775e+01   1.00083e+02
             2   8.53498e+01   2.00000e+00  -1.76535e+01   1.05778e+01   1.00167e+02
             3   8.55206e+01   3.00000e+00  -1.67486e+01   1.05781e+01   1.00250e+02
             4   8.56982e+01   4.00000e+00  -1.59948e+01   1.05788e+01   1.00333e+02
             5   8.59022e+01   5.00000e+00  -1.52490e+01   1.05794e+01   1.00417e+02
             6   8.61042e+01   6.00000e+00  -1.45529e+01   1.05801e+01   1.00500e+02
             7   8.63007e+01   7.00000e+00  -1.38938e+01   1.05809e+01   1.00583e+02
             8   8.65305e+01   8.00000e+00  -1.33412e+01   1.05822e+01   1.00667e+02
             9   8.67352e+01   9.00000e+00  -1.28028e+01   1.05834e+01   1.00750e+02
            10   8.69414e+01   1.00000e+01  -1.23179e+01   1.05846e+01   1.00833e+02
            11   8.71546e+01   1.10000e+01  -1.18831e+01   1.05859e+01   1.00917e+02
            12   8.73682e+01   1.20000e+01  -1.14911e+01   1.05874e+01   1.01000e+02
            13   8.75747e+01   1.30000e+01  -1.10998e+01   1.05887e+01   1.01083e+02
            14   8.77835e+01   1.40000e+01  -1.07389e+01   1.05899e+01   1.01167e+02
            15   8.79938e+01   1.50000e+01  -1.04089e+01   1.05911e+01   1.01250e+02
            16   8.82172e+01   1.60000e+01  -1.01022e+01   1.05920e+01   1.01333e+02
            17   8.84186e+01   1.70000e+01  -9.79348e+00   1.05929e+01   1.01417e+02
            18   8.86377e+01   1.80000e+01  -9.49890e+00   1.05937e+01   1.01500e+02
            19   8.88574e+01   1.90000e+01  -9.21494e+00   1.05945e+01   1.01583e+02
            20   8.90556e+01   2.00000e+01  -8.97779e+00   1.05947e+01   1.01667e+02
            21   8.92629e+01   2.10000e+01  -8.73608e+00   1.05951e+01   1.01750e+02
            22   8.94616e+01   2.20000e+01  -8.50373e+00   1.05954e+01   1.01833e+02
            23   8.96651e+01   2.30000e+01  -8.27848e+00   1.05957e+01   1.01917e+02
            24   8.98745e+01   2.40000e+01  -8.11685e+00   1.05957e+01   1.02000e+02
            25   9.00694e+01   2.50000e+01  -7.93384e+00   1.05958e+01   1.02083e+02
            26   9.02742e+01   2.60000e+01  -7.75691e+00   1.05959e+01   1.02167e+02
            27   9.04651e+01   2.70000e+01  -7.59500e+00   1.05960e+01   1.02250e+02
            28   9.06548e+01   2.80000e+01  -7.46496e+00   1.05959e+01   1.02333e+02
            29   9.08509e+01   2.90000e+01  -7.31257e+00   1.05960e+01   1.02417e+02
            30   9.10497e+01   3.00000e+01  -7.15598e+00   1.05960e+01   1.02500e+02
            31   9.12385e+01   3.10000e+01  -7.00817e+00   1.05959e+01   1.02583e+02
            32   9.14148e+01   3.20000e+01  -6.90588e+00   1.05958e+01   1.02667e+02
            33   9.15987e+01   3.30000e+01  -6.77482e+00   1.05956e+01   1.02750e+02
            34   9.17817e+01   3.40000e+01  -6.64598e+00   1.05955e+01   1.02833e+02
            35   9.19532e+01   3.50000e+01  -6.52939e+00   1.05954e+01   1.02917e+02
            36   9.21468e+01   3.60000e+01  -6.46580e+00   1.05953e+01   1.03000e+02
            37   9.23340e+01   3.70000e+01  -6.38509e+00   1.05952e+01   1.03083e+02
            38   9.25044e+01   3.80000e+01  -6.29853e+00   1.05951e+01   1.03167e+02
            39   9.26681e+01   3.90000e+01  -6.21374e+00   1.05950e+01   1.03250e+02
            40   9.28425e+01   4.00000e+01  -6.16555e+00   1.05951e+01   1.03333e+02
            41   9.30104e+01   4.10000e+01  -6.10440e+00   1.05950e+01   1.03417e+02
            42   9.31965e+01   4.20000e+01  -6.04341e+00   1.05950e+01   1.03500e+02
            43   9.33694e+01   4.30000e+01  -5.97121e+00   1.05950e+01   1.03583e+02
            44   9.35254e+01   4.40000e+01  -5.93730e+00   1.05950e+01   1.03667e+02
            45   9.36999e+01   4.50000e+01  -5.88954e+00   1.05950e+01   1.03750e+02
            46   9.38532e+01   4.60000e+01  -5.84096e+00   1.05950e+01   1.03833e+02
            47   9.40162e+01   4.70000e+01  -5.79524e+00   1.05950e+01   1.03917e+02
            48   9.41783e+01   4.80000e+01  -5.76979e+00   1.05950e+01   1.04000e+02
            49   9.43427e+01   4.90000e+01  -5.73620e+00   1.05950e+01   1.04083e+02
            50   9.45098e+01   5.00000e+01  -5.70185e+00   1.05950e+01   1.04167e+02
            51   9.46654e+01   5.10000e+01  -5.66837e+00   1.05950e+01   1.04250e+02
            52   9.48218e+01   5.20000e+01  -5.65315e+00   1.05950e+01   1.04333e+02
            53   9.49843e+01   5.30000e+01  -5.63140e+00   1.05950e+01   1.04417e+02
            54   9.51334e+01   5.40000e+01  -5.61003e+00   1.05950e+01   1.04500e+02
            55   9.52872e+01   5.50000e+01  -5.58818e+00   1.05950e+01   1.04583e+02
            56   9.54466e+01   5.60000e+01  -5.58174e+00   1.05951e+01   1.04667e+02
            57   9.55981e+01   5.70000e+01  -5.56818e+00   1.05952e+01   1.04750e+02
            58   9.57409e+01   5.80000e+01  -5.55480e+00   1.05953e+01   1.04833e+02
            59   9.58920e+01   5.90000e+01  -5.54173e+00   1.05954e+01   1.04917e+02
            60   9.60323e+01   6.00000e+01  -5.53938e+00   1.05956e+01   1.05000e+02
            61   9.61833e+01   6.10000e+01  -5.53268e+00   1.05958e+01   1.05083e+02
            62   9.63342e+01   6.20000e+01  -5.52658e+00   1.05959e+01   1.05167e+02
            63   9.64845e+01   6.30000e+01  -5.52265e+00   1.05959e+01   1.05250e+02
            64   9.66219e+01   6.40000e+01  -5.52398e+00   1.05959e+01   1.05333e+02
            65   9.67717e+01   6.50000e+01  -5.52257e+00   1.05960e+01   1.05417e+02
            66   9.69155e+01   6.60000e+01  -5.52197e+00   1.05960e+01   1.05500e+02
            67   9.70694e+01   6.70000e+01  -5.52263e+00   1.05960e+01   1.05583e+02
            68   9.72082e+01   6.80000e+01  -5.53362e+00   1.05960e+01   1.05667e+02
            69   9.73380e+01   6.90000e+01  -5.54033e+00   1.05960e+01   1.05750e+02
            70   9.74855e+01   7.00000e+01  -5.54452e+00   1.05960e+01   1.05833e+02
            71   9.76237e+01   7.10000e+01  -5.55010e+00   1.05960e+01   1.05917e+02
            72   9.77592e+01   7.20000e+01  -5.56287e+00   1.05960e+01   1.06000e+02
            73   9.79033e+01   7.30000e+01  -5.57010e+00   1.05960e+01   1.06083e+02
            74   9.80460e+01   7.40000e+01  -5.57750e+00   1.05960e+01   1.06167e+02
            75   9.81798e+01   7.50000e+01  -5.58600e+00   1.05960e+01   1.06250e+02
            76   9.83103e+01   7.60000e+01  -5.60073e+00   1.05960e+01   1.06333e+02
            77   9.84486e+01   7.70000e+01  -5.61326e+00   1.05960e+01   1.06417e+02
            78   9.85855e+01   7.80000e+01  -5.62542e+00   1.05960e+01   1.06500e+02
            79   9.87331e+01   7.90000e+01  -5.63810e+00   1.05960e+01   1.06583e+02
            80   9.88591e+01   8.00000e+01  -5.65184e+00   1.05960e+01   1.06667e+02
            81   9.89955e+01   8.10000e+01  -5.66526e+00   1.05960e+01   1.06750e+02
            82   9.91313e+01   8.20000e+01  -5.67896e+00   1.05960e+01   1.06833e+02
            83   9.92639e+01   8.30000e+01  -5.69395e+00   1.05960e+01   1.06917e+02
            84   9.93980e+01   8.40000e+01  -5.71337e+00   1.05960e+01   1.07000e+02
            85   9.95132e+01   8.50000e+01  -5.72989e+00   1.05960e+01   1.07083e+02
            86   9.96517e+01   8.60000e+01  -5.74563e+00   1.05960e+01   1.07167e+02
            87   9.97830e+01   8.70000e+01  -5.76205e+00   1.05960e+01   1.07250e+02
            88   9.99145e+01   8.80000e+01  -5.78051e+00   1.05960e+01   1.07333e+02
            89   1.00038e+02   8.90000e+01  -5.79844e+00   1.05960e+01   1.07417e+02
            90   1.00165e+02   9.00000e+01  -5.81620e+00   1.05960e+01   1.07500e+02
            91   1.00298e+02   9.10000e+01  -5.83373e+00   1.05961e+01   1.07583e+02
            92   1.00421e+02   9.20000e+01  -5.85539e+00   1.05962e+01   1.07667e+02
            93   1.00564e+02   9.30000e+01  -5.87649e+00   1.05963e+01   1.07750e+02
            94   1.00692e+02   9.40000e+01  -5.89597e+00   1.05965e+01   1.07833e+02
            95   1.00817e+02   9.50000e+01  -5.91599e+00   1.05966e+01   1.07917e+02
            96   1.00934e+02   9.60000e+01  -5.93542e+00   1.05967e+01   1.08000e+02
            97   1.01067e+02   9.70000e+01  -5.95525e+00   1.05968e+01   1.08083e+02
            98   1.01194e+02   9.80000e+01  -5.97407e+00   1.05969e+01   1.08167e+02
            99   1.01321e+02   9.90000e+01  -5.99160e+00   1.05970e+01   1.08250e+02
           100   1.01448e+02   1.00000e+02  -6.00918e+00   1.05969e+01   1.08333e+02
