         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0  3.49822e+001  0.00000e+000  7.76719e+000  1.93889e-002  4.00000e+001
             1  3.50379e+001  1.00000e+000  7.77987e+000  1.96806e-002  4.00833e+001
             2  3.51138e+001  2.00000e+000  7.79140e+000  2.00590e-002  4.01667e+001
             3  3.52071e+001  3.00000e+000  7.80506e+000  2.05556e-002  4.02500e+001
             4  3.53167e+001  4.00000e+000  7.75625e+000  2.13240e-002  4.03333e+001
             5  3.54142e+001  5.00000e+000  7.72584e+000  2.22256e-002  4.04167e+001
             6  3.55304e+001  6.00000e+000  7.66660e+000  2.33560e-002  4.05000e+001
             7  3.56563e+001  7.00000e+000  7.58290e+000  2.46173e-002  4.05833e+001
             8  3.57813e+001  8.00000e+000  7.45703e+000  2.65222e-002  4.06667e+001
             9  3.59395e+001  9.00000e+000  7.35532e+000  2.82520e-002  4.07500e+001
            10  3.60678e+001  1.00000e+001  7.26420e+000  3.00231e-002  4.08333e+001
            11  3.61805e+001  1.10000e+001  7.17791e+000  3.18464e-002  4.09167e+001
            12  3.63394e+001  1.20000e+001  7.09579e+000  3.38341e-002  4.10000e+001
            13  3.64693e+001  1.30000e+001  7.01519e+000  3.55172e-002  4.10833e+001
            14  3.66084e+001  1.40000e+001  6.93468e+000  3.70344e-002  4.11667e+001
            15  3.67384e+001  1.50000e+001  6.85445e+000  3.84274e-002  4.12500e+001
            16  3.68878e+001  1.60000e+001  6.77937e+000  3.92348e-002  4.13333e+001
            17  3.70221e+001  1.70000e+001  6.70466e+000  4.00704e-002  4.14167e+001
            18  3.71728e+001  1.80000e+001  6.63234e+000  4.07773e-002  4.15000e+001
            19  3.73002e+001  1.90000e+001  6.56162e+000  4.13808e-002  4.15833e+001
            20  3.74401e+001  2.00000e+001  6.51025e+000  4.13773e-002  4.16667e+001
            21  3.75805e+001  2.10000e+001  6.45113e+000  4.15836e-002  4.17500e+001
            22  3.77032e+001  2.20000e+001  6.39195e+000  4.17764e-002  4.18333e+001
            23  3.78456e+001  2.30000e+001  6.33431e+000  4.19312e-002  4.19167e+001
            24  3.79811e+001  2.40000e+001  6.29412e+000  4.18614e-002  4.20000e+001
            25  3.81216e+001  2.50000e+001  6.24702e+000  4.18067e-002  4.20833e+001
            26  3.82481e+001  2.60000e+001  6.20043e+000  4.17391e-002  4.21667e+001
            27  3.83874e+001  2.70000e+001  6.15526e+000  4.16590e-002  4.22500e+001
            28  3.84992e+001  2.80000e+001  6.12528e+000  4.14797e-002  4.23333e+001
            29  3.86379e+001  2.90000e+001  6.08922e+000  4.13646e-002  4.24167e+001
            30  3.87597e+001  3.00000e+001  6.05328e+000  4.12705e-002  4.25000e+001
            31  3.89044e+001  3.10000e+001  6.01813e+000  4.11843e-002  4.25833e+001
            32  3.90299e+001  3.20000e+001  5.99677e+000  4.11410e-002  4.26667e+001
            33  3.91487e+001  3.30000e+001  5.96974e+000  4.10934e-002  4.27500e+001
            34  3.92912e+001  3.40000e+001  5.94216e+000  4.10537e-002  4.28333e+001
            35  3.94056e+001  3.50000e+001  5.91456e+000  4.10205e-002  4.29167e+001
            36  3.95384e+001  3.60000e+001  5.89866e+000  4.10269e-002  4.30000e+001
            37  3.96604e+001  3.70000e+001  5.87740e+000  4.09903e-002  4.30833e+001
            38  3.97776e+001  3.80000e+001  5.85595e+000  4.08912e-002  4.31667e+001
            39  3.99033e+001  3.90000e+001  5.83497e+000  4.07801e-002  4.32500e+001
            40  4.00373e+001  4.00000e+001  5.82094e+000  4.06405e-002  4.33333e+001
            41  4.01513e+001  4.10000e+001  5.80346e+000  4.05211e-002  4.34167e+001
            42  4.02780e+001  4.20000e+001  5.78570e+000  4.04392e-002  4.35000e+001
            43  4.04047e+001  4.30000e+001  5.76762e+000  4.04200e-002  4.35833e+001
            44  4.05188e+001  4.40000e+001  5.75665e+000  4.04501e-002  4.36667e+001
            45  4.06382e+001  4.50000e+001  5.74274e+000  4.04908e-002  4.37500e+001
            46  4.07658e+001  4.60000e+001  5.72830e+000  4.05432e-002  4.38333e+001
            47  4.08780e+001  4.70000e+001  5.71419e+000  4.06022e-002  4.39167e+001
            48  4.10035e+001  4.80000e+001  5.70392e+000  4.07564e-002  4.40000e+001
            49  4.11111e+001  4.90000e+001  5.69090e+000  4.08396e-002  4.40833e+001
            50  4.12347e+001  5.00000e+001  5.67731e+000  4.09014e-002  4.41667e+001
            51  4.13385e+001  5.10000e+001  5.66472e+000  4.09558e-002  4.42500e+001
            52  4.14733e+001  5.20000e+001  5.65426e+000  4.09501e-002  4.43333e+001
            53  4.16009e+001  5.30000e+001  5.64340e+000  4.09667e-002  4.44167e+001
            54  4.17057e+001  5.40000e+001  5.63383e+000  4.09825e-002  4.45000e+001
            55  4.18152e+001  5.50000e+001  5.62465e+000  4.09951e-002  4.45833e+001
            56  4.19387e+001  5.60000e+001  5.61705e+000  4.09914e-002  4.46667e+001
            57  4.20549e+001  5.70000e+001  5.60949e+000  4.09941e-002  4.47500e+001
            58  4.21610e+001  5.80000e+001  5.60151e+000  4.09972e-002  4.48333e+001
            59  4.22730e+001  5.90000e+001  5.59360e+000  4.09995e-002  4.49167e+001
            60  4.23841e+001  6.00000e+001  5.58719e+000  4.09986e-002  4.50000e+001
            61  4.24948e+001  6.10000e+001  5.57872e+000  4.09990e-002  4.50833e+001
            62  4.26218e+001  6.20000e+001  5.57073e+000  4.09996e-002  4.51667e+001
            63  4.27367e+001  6.30000e+001  5.56153e+000  4.09999e-002  4.52500e+001
            64  4.28420e+001  6.40000e+001  5.55302e+000  4.11109e-002  4.53333e+001
            65  4.29661e+001  6.50000e+001  5.54290e+000  4.12221e-002  4.54167e+001
            66  4.30695e+001  6.60000e+001  5.53241e+000  4.13333e-002  4.55000e+001
            67  4.31769e+001  6.70000e+001  5.52235e+000  4.14444e-002  4.55833e+001
            68  4.32922e+001  6.80000e+001  5.50950e+000  4.16450e-002  4.56667e+001
            69  4.33996e+001  6.90000e+001  5.49977e+000  4.17940e-002  4.57500e+001
            70  4.35127e+001  7.00000e+001  5.49131e+000  4.19763e-002  4.58333e+001
            71  4.36288e+001  7.10000e+001  5.48282e+000  4.21605e-002  4.59167e+001
            72  4.37409e+001  7.20000e+001  5.47031e+000  4.22924e-002  4.60000e+001
            73  4.38373e+001  7.30000e+001  5.45962e+000  4.24342e-002  4.60833e+001
            74  4.39406e+001  7.40000e+001  5.44946e+000  4.25650e-002  4.61667e+001
            75  4.40461e+001  7.50000e+001  5.44001e+000  4.26845e-002  4.62500e+001
            76  4.41721e+001  7.60000e+001  5.43318e+000  4.27721e-002  4.63333e+001
            77  4.42869e+001  7.70000e+001  5.42436e+000  4.28491e-002  4.64167e+001
            78  4.43887e+001  7.80000e+001  5.41577e+000  4.29118e-002  4.65000e+001
            79  4.45113e+001  7.90000e+001  5.40626e+000  4.29649e-002  4.65833e+001
            80  4.46138e+001  8.00000e+001  5.39479e+000  4.29557e-002  4.66667e+001
            81  4.47212e+001  8.10000e+001  5.38314e+000  4.29703e-002  4.67500e+001
            82  4.48424e+001  8.20000e+001  5.37256e+000  4.29848e-002  4.68333e+001
            83  4.49347e+001  8.30000e+001  5.36331e+000  4.29961e-002  4.69167e+001
            84  4.50426e+001  8.40000e+001  5.35267e+000  4.31036e-002  4.70000e+001
            85  4.51421e+001  8.50000e+001  5.34187e+000  4.32171e-002  4.70833e+001
            86  4.52567e+001  8.60000e+001  5.33192e+000  4.33309e-002  4.71667e+001
            87  4.53598e+001  8.70000e+001  5.32234e+000  4.34440e-002  4.72500e+001
            88  4.54639e+001  8.80000e+001  5.31133e+000  4.36439e-002  4.73333e+001
            89  4.55732e+001  8.90000e+001  5.30173e+000  4.37654e-002  4.74167e+001
            90  4.56812e+001  9.00000e+001  5.29216e+000  4.38578e-002  4.75000e+001
            91  4.57907e+001  9.10000e+001  5.28295e+000  4.39382e-002  4.75833e+001
            92  4.59054e+001  9.20000e+001  5.27670e+000  4.39282e-002  4.76667e+001
            93  4.60023e+001  9.30000e+001  5.26839e+000  4.39520e-002  4.77500e+001
            94  4.61236e+001  9.40000e+001  5.25935e+000  4.39750e-002  4.78333e+001
            95  4.62289e+001  9.50000e+001  5.25084e+000  4.39931e-002  4.79167e+001
            96  4.63178e+001  9.60000e+001  5.24404e+000  4.39876e-002  4.80000e+001
            97  4.64206e+001  9.70000e+001  5.23587e+000  4.40194e-002  4.80833e+001
            98  4.65296e+001  9.80000e+001  5.22756e+000  4.41140e-002  4.81667e+001
            99  4.66348e+001  9.90000e+001  5.21951e+000  4.42215e-002  4.82500e+001
           100  4.67328e+001  1.00000e+002  5.21109e+000  4.43620e-002  4.83333e+001
           101  4.68441e+001  1.01000e+002  5.20249e+000  4.44806e-002  4.84167e+001
           102  4.69293e+001  1.02000e+002  5.19417e+000  4.45894e-002  4.85000e+001
           103  4.70457e+001  1.03000e+002  5.18607e+000  4.46913e-002  4.85833e+001
           104  4.71509e+001  1.04000e+002  5.17796e+000  4.48119e-002  4.86667e+001
           105  4.72615e+001  1.05000e+002  5.16936e+000  4.49753e-002  4.87500e+001
           106  4.73689e+001  1.06000e+002  5.16120e+000  4.51397e-002  4.88333e+001
           107  4.74569e+001  1.07000e+002  5.15426e+000  4.52990e-002  4.89167e+001
           108  4.75649e+001  1.08000e+002  5.14625e+000  4.54599e-002  4.90000e+001
           109  4.76644e+001  1.09000e+002  5.13763e+000  4.55946e-002  4.90833e+001
           110  4.77605e+001  1.10000e+002  5.12930e+000  4.57091e-002  4.91667e+001
           111  4.78724e+001  1.11000e+002  5.12169e+000  4.58110e-002  4.92500e+001
           112  4.79685e+001  1.12000e+002  5.11413e+000  4.58490e-002  4.93333e+001
           113  4.80810e+001  1.13000e+002  5.10607e+000  4.58997e-002  4.94167e+001
           114  4.81873e+001  1.14000e+002  5.09887e+000  4.59430e-002  4.95000e+001
           115  4.82876e+001  1.15000e+002  5.09173e+000  4.59790e-002  4.95833e+001
           116  4.83856e+001  1.16000e+002  5.08550e+000  4.59715e-002  4.96667e+001
           117  4.84858e+001  1.17000e+002  5.07773e+000  4.59808e-002  4.97500e+001
           118  4.85819e+001  1.18000e+002  5.06996e+000  4.59903e-002  4.98333e+001
           119  4.86870e+001  1.19000e+002  5.06141e+000  4.59977e-002  4.99167e+001
           120  4.87877e+001  1.20000e+002  5.05345e+000  4.59952e-002  5.00000e+001
           121  4.88932e+001  1.21000e+002  5.04541e+000  4.60245e-002  5.00833e+001
           122  4.89987e+001  1.22000e+002  5.03684e+000  4.61165e-002  5.01667e+001
           123  4.90927e+001  1.23000e+002  5.02851e+000  4.62220e-002  5.02500e+001
           124  4.91887e+001  1.24000e+002  5.01977e+000  4.63632e-002  5.03333e+001
           125  4.92799e+001  1.25000e+002  5.01190e+000  4.64815e-002  5.04167e+001
           126  4.93887e+001  1.26000e+002  5.00435e+000  4.65898e-002  5.05000e+001
           127  4.94964e+001  1.27000e+002  4.99761e+000  4.66913e-002  5.05833e+001
           128  4.95872e+001  1.28000e+002  4.98921e+000  4.67843e-002  5.06667e+001
           129  4.96934e+001  1.29000e+002  4.98076e+000  4.68574e-002  5.07500e+001
           130  4.97954e+001  1.30000e+002  4.97213e+000  4.69158e-002  5.08333e+001
           131  4.98932e+001  1.31000e+002  4.96381e+000  4.69657e-002  5.09167e+001
           132  5.00002e+001  1.32000e+002  4.95599e+000  4.69577e-002  5.10000e+001
           133  5.00924e+001  1.33000e+002  4.94793e+000  4.69716e-002  5.10833e+001
           134  5.01850e+001  1.34000e+002  4.94041e+000  4.69854e-002  5.11667e+001
           135  5.02846e+001  1.35000e+002  4.93201e+000  4.69962e-002  5.12500e+001
           136  5.03799e+001  1.36000e+002  4.92458e+000  4.69928e-002  5.13333e+001
           137  5.04795e+001  1.37000e+002  4.91664e+000  4.69951e-002  5.14167e+001
           138  5.05886e+001  1.38000e+002  4.90881e+000  4.69976e-002  5.15000e+001
           139  5.06833e+001  1.39000e+002  4.90108e+000  4.69996e-002  5.15833e+001
           140  5.07810e+001  1.40000e+002  4.89061e+000  4.69989e-002  5.16667e+001
           141  5.08782e+001  1.41000e+002  4.88072e+000  4.69992e-002  5.17500e+001
           142  5.09770e+001  1.42000e+002  4.87108e+000  4.69996e-002  5.18333e+001
           143  5.10713e+001  1.43000e+002  4.86212e+000  4.69999e-002  5.19167e+001
           144  5.11497e+001  1.44000e+002  4.85379e+000  4.69998e-002  5.20000e+001
           145  5.12549e+001  1.45000e+002  4.84553e+000  4.69999e-002  5.20833e+001
           146  5.13612e+001  1.46000e+002  4.83662e+000  4.69999e-002  5.21667e+001
           147  5.14590e+001  1.47000e+002  4.82724e+000  4.70000e-002  5.22500e+001
           148  5.15476e+001  1.48000e+002  4.81712e+000  4.70000e-002  5.23333e+001
           149  5.16380e+001  1.49000e+002  4.80824e+000  4.70000e-002  5.24167e+001
           150  5.17384e+001  1.50000e+002  4.80030e+000  4.70278e-002  5.25000e+001
           151  5.18410e+001  1.51000e+002  4.79307e+000  4.71111e-002  5.25833e+001
           152  5.19466e+001  1.52000e+002  4.78602e+000  4.72338e-002  5.26667e+001
           153  5.20366e+001  1.53000e+002  4.77760e+000  4.73478e-002  5.27500e+001
           154  5.21305e+001  1.54000e+002  4.76845e+000  4.74589e-002  5.28333e+001
           155  5.22360e+001  1.55000e+002  4.75968e+000  4.75679e-002  5.29167e+001
           156  5.23185e+001  1.56000e+002  4.75062e+000  4.77140e-002  5.30000e+001
           157  5.24187e+001  1.57000e+002  4.74185e+000  4.78112e-002  5.30833e+001
           158  5.25176e+001  1.58000e+002  4.73297e+000  4.78867e-002  5.31667e+001
           159  5.26184e+001  1.59000e+002  4.72444e+000  4.79520e-002  5.32500e+001
           160  5.27036e+001  1.60000e+002  4.71708e+000  4.79429e-002  5.33333e+001
           161  5.28026e+001  1.61000e+002  4.70972e+000  4.79618e-002  5.34167e+001
           162  5.29039e+001  1.62000e+002  4.70222e+000  4.79802e-002  5.35000e+001
           163  5.29972e+001  1.63000e+002  4.69418e+000  4.79947e-002  5.35833e+001
           164  5.30864e+001  1.64000e+002  4.68522e+000  4.79902e-002  5.36667e+001
           165  5.31836e+001  1.65000e+002  4.67588e+000  4.79933e-002  5.37500e+001
           166  5.32728e+001  1.66000e+002  4.66627e+000  4.79968e-002  5.38333e+001
           167  5.33643e+001  1.67000e+002  4.65745e+000  4.79994e-002  5.39167e+001
           168  5.34783e+001  1.68000e+002  4.64930e+000  4.79984e-002  5.40000e+001
           169  5.35583e+001  1.69000e+002  4.63983e+000  4.79989e-002  5.40833e+001
           170  5.36626e+001  1.70000e+002  4.63038e+000  4.79995e-002  5.41667e+001
           171  5.37560e+001  1.71000e+002  4.62070e+000  4.79999e-002  5.42500e+001
           172  5.38576e+001  1.72000e+002  4.60894e+000  4.79998e-002  5.43333e+001
           173  5.39414e+001  1.73000e+002  4.59877e+000  4.79998e-002  5.44167e+001
           174  5.40464e+001  1.74000e+002  4.58888e+000  4.80277e-002  5.45000e+001
           175  5.41243e+001  1.75000e+002  4.57964e+000  4.81111e-002  5.45833e+001
           176  5.42309e+001  1.76000e+002  4.57031e+000  4.82338e-002  5.46667e+001
           177  5.43269e+001  1.77000e+002  4.56080e+000  4.83478e-002  5.47500e+001
           178  5.44235e+001  1.78000e+002  4.55165e+000  4.84589e-002  5.48333e+001
           179  5.45277e+001  1.79000e+002  4.54259e+000  4.85679e-002  5.49167e+001
           180  5.46029e+001  1.80000e+002  4.53253e+000  4.87139e-002  5.50000e+001
           181  5.47006e+001  1.81000e+002  4.52301e+000  4.88111e-002  5.50833e+001
           182  5.47993e+001  1.82000e+002  4.51409e+000  4.88867e-002  5.51667e+001
           183  5.48792e+001  1.83000e+002  4.50638e+000  4.89520e-002  5.52500e+001
           184  5.49928e+001  1.84000e+002  4.50026e+000  4.89429e-002  5.53333e+001
           185  5.50640e+001  1.85000e+002  4.49276e+000  4.89618e-002  5.54167e+001
           186  5.51736e+001  1.86000e+002  4.48465e+000  4.89802e-002  5.55000e+001
           187  5.52599e+001  1.87000e+002  4.47708e+000  4.89947e-002  5.55833e+001
           188  5.53402e+001  1.88000e+002  4.46968e+000  4.89902e-002  5.56667e+001
           189  5.54266e+001  1.89000e+002  4.46153e+000  4.89933e-002  5.57500e+001
           190  5.55291e+001  1.90000e+002  4.45353e+000  4.89968e-002  5.58333e+001
           191  5.56202e+001  1.91000e+002  4.44498e+000  4.89994e-002  5.59167e+001
           192  5.57119e+001  1.92000e+002  4.43679e+000  4.89984e-002  5.60000e+001
           193  5.58218e+001  1.93000e+002  4.42838e+000  4.89989e-002  5.60833e+001
           194  5.59135e+001  1.94000e+002  4.41981e+000  4.89995e-002  5.61667e+001
           195  5.60122e+001  1.95000e+002  4.41154e+000  4.89999e-002  5.62500e+001
           196  5.60876e+001  1.96000e+002  4.40069e+000  4.89998e-002  5.63333e+001
           197  5.61837e+001  1.97000e+002  4.39118e+000  4.89998e-002  5.64167e+001
           198  5.62671e+001  1.98000e+002  4.38195e+000  4.89999e-002  5.65000e+001
           199  5.63825e+001  1.99000e+002  4.37236e+000  4.90000e-002  5.65833e+001
           200  5.64581e+001  2.00000e+002  4.36123e+000  4.90000e-002  5.66667e+001
           201  5.65519e+001  2.01000e+002  4.35158e+000  4.90000e-002  5.67500e+001
           202  5.66470e+001  2.02000e+002  4.34213e+000  4.90000e-002  5.68333e+001
           203  5.67461e+001  2.03000e+002  4.33231e+000  4.90000e-002  5.69167e+001
           204  5.68388e+001  2.04000e+002  4.32356e+000  4.90000e-002  5.70000e+001
           205  5.69320e+001  2.05000e+002  4.31360e+000  4.90000e-002  5.70833e+001
           206  5.70297e+001  2.06000e+002  4.30274e+000  4.90000e-002  5.71667e+001
           207  5.71085e+001  2.07000e+002  4.29247e+000  4.90000e-002  5.72500e+001
           208  5.72060e+001  2.08000e+002  4.28133e+000  4.90000e-002  5.73333e+001
           209  5.72938e+001  2.09000e+002  4.27140e+000  4.90000e-002  5.74167e+001
           210  5.73864e+001  2.10000e+002  4.26226e+000  4.90000e-002  5.75000e+001
           211  5.74732e+001  2.11000e+002  4.25408e+000  4.90000e-002  5.75833e+001
           212  5.75577e+001  2.12000e+002  4.24443e+000  4.90000e-002  5.76667e+001
           213  5.76528e+001  2.13000e+002  4.23500e+000  4.90000e-002  5.77500e+001
           214  5.77378e+001  2.14000e+002  4.22529e+000  4.90000e-002  5.78333e+001
           215  5.78275e+001  2.15000e+002  4.21592e+000  4.90000e-002  5.79167e+001
           216  5.79226e+001  2.16000e+002  4.21069e+000  4.90000e-002  5.80000e+001
           217  5.80166e+001  2.17000e+002  4.20210e+000  4.90000e-002  5.80833e+001
           218  5.81105e+001  2.18000e+002  4.19224e+000  4.90000e-002  5.81667e+001
           219  5.81922e+001  2.19000e+002  4.18182e+000  4.90000e-002  5.82500e+001
           220  5.82925e+001  2.20000e+002  4.17390e+000  4.90000e-002  5.83333e+001
           221  5.83809e+001  2.21000e+002  4.16443e+000  4.90000e-002  5.84167e+001
           222  5.84771e+001  2.22000e+002  4.15454e+000  4.90000e-002  5.85000e+001
           223  5.85531e+001  2.23000e+002  4.14580e+000  4.90000e-002  5.85833e+001
           224  5.86519e+001  2.24000e+002  4.13669e+000  4.90000e-002  5.86667e+001
           225  5.87440e+001  2.25000e+002  4.12707e+000  4.90000e-002  5.87500e+001
           226  5.88248e+001  2.26000e+002  4.11612e+000  4.90000e-002  5.88333e+001
           227  5.89130e+001  2.27000e+002  4.10427e+000  4.90000e-002  5.89167e+001
           228  5.90010e+001  2.28000e+002  4.09256e+000  4.90278e-002  5.90000e+001
           229  5.91072e+001  2.29000e+002  4.08252e+000  4.91181e-002  5.90833e+001
           230  5.91881e+001  2.30000e+002  4.07189e+000  4.92240e-002  5.91667e+001
           231  5.92816e+001  2.31000e+002  4.06017e+000  4.93333e-002  5.92500e+001
           232  5.93772e+001  2.32000e+002  4.04940e+000  4.95023e-002  5.93333e+001
           233  5.94689e+001  2.33000e+002  4.03782e+000  4.96230e-002  5.94167e+001
           234  5.95498e+001  2.34000e+002  4.02632e+000  4.97238e-002  5.95000e+001
           235  5.96276e+001  2.35000e+002  4.01591e+000  4.98148e-002  5.95833e+001
           236  5.97111e+001  2.36000e+002  4.00202e+000  4.98562e-002  5.96667e+001
           237  5.98086e+001  2.37000e+002  3.99003e+000  4.99047e-002  5.97500e+001
           238  5.99099e+001  2.38000e+002  3.97849e+000  4.99454e-002  5.98333e+001
           239  5.99871e+001  2.39000e+002  3.96687e+000  4.99794e-002  5.99167e+001
           240  6.00757e+001  2.40000e+002  3.95707e+000  4.99727e-002  6.00000e+001
           241  6.01543e+001  2.41000e+002  3.94707e+000  4.99816e-002  6.00833e+001
           242  6.02568e+001  2.42000e+002  3.93693e+000  4.99907e-002  6.01667e+001
           243  6.03409e+001  2.43000e+002  3.92634e+000  4.99977e-002  6.02500e+001
           244  6.04363e+001  2.44000e+002  3.91752e+000  4.99954e-002  6.03333e+001
           245  6.05280e+001  2.45000e+002  3.90743e+000  4.99969e-002  6.04167e+001
           246  6.06156e+001  2.46000e+002  3.89752e+000  4.99985e-002  6.05000e+001
           247  6.07021e+001  2.47000e+002  3.88751e+000  4.99997e-002  6.05833e+001
           248  6.07972e+001  2.48000e+002  3.87624e+000  4.99993e-002  6.06667e+001
           249  6.08735e+001  2.49000e+002  3.86601e+000  4.99995e-002  6.07500e+001
           250  6.09668e+001  2.50000e+002  3.85606e+000  4.99998e-002  6.08333e+001
           251  6.10468e+001  2.51000e+002  3.84639e+000  5.00000e-002  6.09167e+001
           252  6.11334e+001  2.52000e+002  3.83481e+000  4.99999e-002  6.10000e+001
           253  6.12266e+001  2.53000e+002  3.82402e+000  4.99999e-002  6.10833e+001
           254  6.13171e+001  2.54000e+002  3.81452e+000  5.00000e-002  6.11667e+001
           255  6.14061e+001  2.55000e+002  3.80553e+000  5.00000e-002  6.12500e+001
           256  6.14973e+001  2.56000e+002  3.79706e+000  5.00000e-002  6.13333e+001
           257  6.15858e+001  2.57000e+002  3.78661e+000  5.00000e-002  6.14167e+001
           258  6.16710e+001  2.58000e+002  3.77568e+000  5.00000e-002  6.15000e+001
           259  6.17639e+001  2.59000e+002  3.76418e+000  5.00000e-002  6.15833e+001
           260  6.18392e+001  2.60000e+002  3.75280e+000  5.00000e-002  6.16667e+001
           261  6.19369e+001  2.61000e+002  3.74179e+000  5.00000e-002  6.17500e+001
