         Index            Ts             t            HF        Weight            Tr
             0  4.28164e+001  0.00000e+000  5.67432e+000  1.71980e+001  4.00000e+001
             1  4.28497e+001  1.00000e+000  5.84872e+000  1.71980e+001  4.00833e+001
             2  4.28802e+001  2.00000e+000  6.02418e+000  1.71980e+001  4.01667e+001
             3  4.29196e+001  3.00000e+000  6.20462e+000  1.71981e+001  4.02500e+001
             4  4.29611e+001  4.00000e+000  6.31137e+000  1.71984e+001  4.03333e+001
             5  4.30347e+001  5.00000e+000  6.41883e+000  1.71989e+001  4.04167e+001
             6  4.31047e+001  6.00000e+000  6.50036e+000  1.71995e+001  4.05000e+001
             7  4.31648e+001  7.00000e+000  6.55154e+000  1.72003e+001  4.05833e+001
             8  4.32519e+001  8.00000e+000  6.57350e+000  1.72018e+001  4.06667e+001
             9  4.33226e+001  9.00000e+000  6.59608e+000  1.72032e+001  4.07500e+001
            10  4.33883e+001  1.00000e+001  6.60053e+000  1.72046e+001  4.08333e+001
            11  4.34765e+001  1.10000e+001  6.59859e+000  1.72060e+001  4.09167e+001
            12  4.35762e+001  1.20000e+001  6.57257e+000  1.72078e+001  4.10000e+001
            13  4.36507e+001  1.30000e+001  6.55802e+000  1.72093e+001  4.10833e+001
            14  4.37416e+001  1.40000e+001  6.55108e+000  1.72106e+001  4.11667e+001
            15  4.38137e+001  1.50000e+001  6.55006e+000  1.72118e+001  4.12500e+001
            16  4.38792e+001  1.60000e+001  6.53680e+000  1.72125e+001  4.13333e+001
            17  4.39842e+001  1.70000e+001  6.52927e+000  1.72133e+001  4.14167e+001
            18  4.40730e+001  1.80000e+001  6.52165e+000  1.72139e+001  4.15000e+001
            19  4.41596e+001  1.90000e+001  6.51304e+000  1.72143e+001  4.15833e+001
            20  4.42334e+001  2.00000e+001  6.49904e+000  1.72142e+001  4.16667e+001
            21  4.43227e+001  2.10000e+001  6.48849e+000  1.72142e+001  4.17500e+001
            22  4.44021e+001  2.20000e+001  6.47953e+000  1.72141e+001  4.18333e+001
            23  4.44837e+001  2.30000e+001  6.47130e+000  1.72139e+001  4.19167e+001
            24  4.45777e+001  2.40000e+001  6.46504e+000  1.72134e+001  4.20000e+001
            25  4.46625e+001  2.50000e+001  6.45831e+000  1.72130e+001  4.20833e+001
            26  4.47429e+001  2.60000e+001  6.45074e+000  1.72126e+001  4.21667e+001
            27  4.48227e+001  2.70000e+001  6.44253e+000  1.72122e+001  4.22500e+001
            28  4.49012e+001  2.80000e+001  6.43549e+000  1.72117e+001  4.23333e+001
            29  4.49887e+001  2.90000e+001  6.42824e+000  1.72113e+001  4.24167e+001
            30  4.50673e+001  3.00000e+001  6.42154e+000  1.72109e+001  4.25000e+001
            31  4.51539e+001  3.10000e+001  6.41507e+000  1.72105e+001  4.25833e+001
            32  4.52384e+001  3.20000e+001  6.41266e+000  1.72100e+001  4.26667e+001
            33  4.53281e+001  3.30000e+001  6.40779e+000  1.72096e+001  4.27500e+001
            34  4.54079e+001  3.40000e+001  6.40155e+000  1.72093e+001  4.28333e+001
            35  4.54884e+001  3.50000e+001  6.39503e+000  1.72089e+001  4.29167e+001
            36  4.55481e+001  3.60000e+001  6.38794e+000  1.72087e+001  4.30000e+001
            37  4.56214e+001  3.70000e+001  6.38110e+000  1.72084e+001  4.30833e+001
            38  4.57127e+001  3.80000e+001  6.37486e+000  1.72081e+001  4.31667e+001
            39  4.57896e+001  3.90000e+001  6.36830e+000  1.72079e+001  4.32500e+001
            40  4.58660e+001  4.00000e+001  6.36301e+000  1.72078e+001  4.33333e+001
            41  4.59559e+001  4.10000e+001  6.35728e+000  1.72076e+001  4.34167e+001
            42  4.60245e+001  4.20000e+001  6.35042e+000  1.72075e+001  4.35000e+001
            43  4.60973e+001  4.30000e+001  6.34300e+000  1.72073e+001  4.35833e+001
            44  4.61755e+001  4.40000e+001  6.33350e+000  1.72072e+001  4.36667e+001
            45  4.62662e+001  4.50000e+001  6.32488e+000  1.72071e+001  4.37500e+001
            46  4.63323e+001  4.60000e+001  6.31680e+000  1.72070e+001  4.38333e+001
            47  4.64072e+001  4.70000e+001  6.30954e+000  1.72068e+001  4.39167e+001
            48  4.64945e+001  4.80000e+001  6.30322e+000  1.72067e+001  4.40000e+001
            49  4.65643e+001  4.90000e+001  6.29634e+000  1.72065e+001  4.40833e+001
            50  4.66397e+001  5.00000e+001  6.28878e+000  1.72064e+001  4.41667e+001
            51  4.67150e+001  5.10000e+001  6.28087e+000  1.72062e+001  4.42500e+001
            52  4.68021e+001  5.20000e+001  6.27085e+000  1.72060e+001  4.43333e+001
            53  4.68856e+001  5.30000e+001  6.26094e+000  1.72058e+001  4.44167e+001
            54  4.69423e+001  5.40000e+001  6.25151e+000  1.72056e+001  4.45000e+001
            55  4.70128e+001  5.50000e+001  6.24188e+000  1.72055e+001  4.45833e+001
            56  4.70855e+001  5.60000e+001  6.23423e+000  1.72053e+001  4.46667e+001
            57  4.71719e+001  5.70000e+001  6.22541e+000  1.72052e+001  4.47500e+001
            58  4.72572e+001  5.80000e+001  6.21556e+000  1.72051e+001  4.48333e+001
            59  4.73266e+001  5.90000e+001  6.20456e+000  1.72051e+001  4.49167e+001
            60  4.73920e+001  6.00000e+001  6.19121e+000  1.72051e+001  4.50000e+001
            61  4.74800e+001  6.10000e+001  6.18104e+000  1.72050e+001  4.50833e+001
            62  4.75475e+001  6.20000e+001  6.17074e+000  1.72050e+001  4.51667e+001
            63  4.76304e+001  6.30000e+001  6.16033e+000  1.72050e+001  4.52500e+001
            64  4.76844e+001  6.40000e+001  6.14958e+000  1.72050e+001  4.53333e+001
            65  4.77808e+001  6.50000e+001  6.13904e+000  1.72050e+001  4.54167e+001
            66  4.78581e+001  6.60000e+001  6.12815e+000  1.72050e+001  4.55000e+001
            67  4.79322e+001  6.70000e+001  6.11698e+000  1.72050e+001  4.55833e+001
            68  4.80062e+001  6.80000e+001  6.10513e+000  1.72049e+001  4.56667e+001
            69  4.80737e+001  6.90000e+001  6.09232e+000  1.72048e+001  4.57500e+001
            70  4.81610e+001  7.00000e+001  6.07883e+000  1.72047e+001  4.58333e+001
