         Index            Ts             t            HF        Weight            Tr
             0  4.28361e+001  0.00000e+000  7.51651e+000  1.51150e+001  4.00000e+001
             1  4.28617e+001  1.00000e+000  7.63576e+000  1.51150e+001  4.00833e+001
             2  4.28866e+001  2.00000e+000  7.73941e+000  1.51150e+001  4.01667e+001
             3  4.29421e+001  3.00000e+000  7.83959e+000  1.51150e+001  4.02500e+001
             4  4.29911e+001  4.00000e+000  7.94067e+000  1.51152e+001  4.03333e+001
             5  4.30538e+001  5.00000e+000  8.02903e+000  1.51156e+001  4.04167e+001
             6  4.30947e+001  6.00000e+000  8.07076e+000  1.51162e+001  4.05000e+001
             7  4.31839e+001  7.00000e+000  8.07049e+000  1.51169e+001  4.05833e+001
             8  4.32439e+001  8.00000e+000  8.02202e+000  1.51183e+001  4.06667e+001
             9  4.33178e+001  9.00000e+000  7.98667e+000  1.51196e+001  4.07500e+001
            10  4.34027e+001  1.00000e+001  7.94948e+000  1.51209e+001  4.08333e+001
            11  4.34846e+001  1.10000e+001  7.91063e+000  1.51223e+001  4.09167e+001
            12  4.35586e+001  1.20000e+001  7.86214e+000  1.51241e+001  4.10000e+001
            13  4.36521e+001  1.30000e+001  7.82301e+000  1.51255e+001  4.10833e+001
            14  4.37206e+001  1.40000e+001  7.78999e+000  1.51266e+001  4.11667e+001
            15  4.38106e+001  1.50000e+001  7.75559e+000  1.51277e+001  4.12500e+001
            16  4.38981e+001  1.60000e+001  7.71140e+000  1.51282e+001  4.13333e+001
            17  4.39761e+001  1.70000e+001  7.67156e+000  1.51288e+001  4.14167e+001
            18  4.40693e+001  1.80000e+001  7.63465e+000  1.51293e+001  4.15000e+001
            19  4.41434e+001  1.90000e+001  7.59858e+000  1.51297e+001  4.15833e+001
            20  4.42225e+001  2.00000e+001  7.56110e+000  1.51296e+001  4.16667e+001
            21  4.43033e+001  2.10000e+001  7.52444e+000  1.51296e+001  4.17500e+001
            22  4.43782e+001  2.20000e+001  7.48897e+000  1.51295e+001  4.18333e+001
            23  4.44814e+001  2.30000e+001  7.45298e+000  1.51294e+001  4.19167e+001
            24  4.45617e+001  2.40000e+001  7.42213e+000  1.51290e+001  4.20000e+001
            25  4.46295e+001  2.50000e+001  7.38945e+000  1.51286e+001  4.20833e+001
            26  4.47190e+001  2.60000e+001  7.35733e+000  1.51282e+001  4.21667e+001
            27  4.47880e+001  2.70000e+001  7.32632e+000  1.51278e+001  4.22500e+001
            28  4.48922e+001  2.80000e+001  7.30025e+000  1.51273e+001  4.23333e+001
            29  4.49683e+001  2.90000e+001  7.27197e+000  1.51269e+001  4.24167e+001
            30  4.50483e+001  3.00000e+001  7.24443e+000  1.51265e+001  4.25000e+001
            31  4.51253e+001  3.10000e+001  7.21710e+000  1.51261e+001  4.25833e+001
            32  4.52066e+001  3.20000e+001  7.19253e+000  1.51258e+001  4.26667e+001
            33  4.52785e+001  3.30000e+001  7.16702e+000  1.51255e+001  4.27500e+001
            34  4.53555e+001  3.40000e+001  7.14229e+000  1.51252e+001  4.28333e+001
            35  4.54441e+001  3.50000e+001  7.11894e+000  1.51248e+001  4.29167e+001
            36  4.55320e+001  3.60000e+001  7.10177e+000  1.51245e+001  4.30000e+001
            37  4.56069e+001  3.70000e+001  7.08029e+000  1.51242e+001  4.30833e+001
            38  4.56746e+001  3.80000e+001  7.05781e+000  1.51239e+001  4.31667e+001
            39  4.57477e+001  3.90000e+001  7.03563e+000  1.51236e+001  4.32500e+001
            40  4.58303e+001  4.00000e+001  7.01583e+000  1.51235e+001  4.33333e+001
            41  4.59040e+001  4.10000e+001  6.99617e+000  1.51233e+001  4.34167e+001
            42  4.59851e+001  4.20000e+001  6.97615e+000  1.51232e+001  4.35000e+001
            43  4.60637e+001  4.30000e+001  6.95565e+000  1.51231e+001  4.35833e+001
            44  4.61430e+001  4.40000e+001  6.93812e+000  1.51231e+001  4.36667e+001
            45  4.62278e+001  4.50000e+001  6.91892e+000  1.51231e+001  4.37500e+001
            46  4.62894e+001  4.60000e+001  6.89840e+000  1.51230e+001  4.38333e+001
            47  4.63620e+001  4.70000e+001  6.87679e+000  1.51229e+001  4.39167e+001
            48  4.64517e+001  4.80000e+001  6.85637e+000  1.51228e+001  4.40000e+001
            49  4.65291e+001  4.90000e+001  6.83654e+000  1.51227e+001  4.40833e+001
            50  4.66122e+001  5.00000e+001  6.81768e+000  1.51225e+001  4.41667e+001
            51  4.66877e+001  5.10000e+001  6.79966e+000  1.51224e+001  4.42500e+001
            52  4.67571e+001  5.20000e+001  6.78084e+000  1.51223e+001  4.43333e+001
            53  4.68478e+001  5.30000e+001  6.76184e+000  1.51222e+001  4.44167e+001
            54  4.69199e+001  5.40000e+001  6.74366e+000  1.51221e+001  4.45000e+001
            55  4.69916e+001  5.50000e+001  6.72590e+000  1.51220e+001  4.45833e+001
            56  4.70592e+001  5.60000e+001  6.70883e+000  1.51221e+001  4.46667e+001
            57  4.71361e+001  5.70000e+001  6.69156e+000  1.51220e+001  4.47500e+001
            58  4.72093e+001  5.80000e+001  6.67454e+000  1.51219e+001  4.48333e+001
            59  4.72910e+001  5.90000e+001  6.65838e+000  1.51218e+001  4.49167e+001
            60  4.73810e+001  6.00000e+001  6.64482e+000  1.51216e+001  4.50000e+001
            61  4.74351e+001  6.10000e+001  6.62767e+000  1.51215e+001  4.50833e+001
            62  4.75285e+001  6.20000e+001  6.61031e+000  1.51214e+001  4.51667e+001
            63  4.75941e+001  6.30000e+001  6.59370e+000  1.51213e+001  4.52500e+001
            64  4.76657e+001  6.40000e+001  6.57573e+000  1.51212e+001  4.53333e+001
            65  4.77453e+001  6.50000e+001  6.55831e+000  1.51211e+001  4.54167e+001
            66  4.78100e+001  6.60000e+001  6.54131e+000  1.51211e+001  4.55000e+001
            67  4.78856e+001  6.70000e+001  6.52421e+000  1.51210e+001  4.55833e+001
            68  4.79764e+001  6.80000e+001  6.50814e+000  1.51210e+001  4.56667e+001
            69  4.80495e+001  6.90000e+001  6.49211e+000  1.51210e+001  4.57500e+001
            70  4.81145e+001  7.00000e+001  6.47591e+000  1.51210e+001  4.58333e+001
            71  4.82049e+001  7.10000e+001  6.45994e+000  1.51210e+001  4.59167e+001
            72  4.82873e+001  7.20000e+001  6.44425e+000  1.51210e+001  4.60000e+001
            73  4.83521e+001  7.30000e+001  6.42879e+000  1.51210e+001  4.60833e+001
            74  4.84265e+001  7.40000e+001  6.41279e+000  1.51210e+001  4.61667e+001
            75  4.85047e+001  7.50000e+001  6.39637e+000  1.51210e+001  4.62500e+001
            76  4.85809e+001  7.60000e+001  6.38174e+000  1.51210e+001  4.63333e+001
            77  4.86525e+001  7.70000e+001  6.36664e+000  1.51210e+001  4.64167e+001
            78  4.87362e+001  7.80000e+001  6.35115e+000  1.51210e+001  4.65000e+001
            79  4.88174e+001  7.90000e+001  6.33572e+000  1.51210e+001  4.65833e+001
            80  4.88823e+001  8.00000e+001  6.31978e+000  1.51210e+001  4.66667e+001
            81  4.89613e+001  8.10000e+001  6.30500e+000  1.51210e+001  4.67500e+001
