         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.35577e+01   0.00000e+00  -1.30339e+01   3.78322e+00   1.00000e+02
             1   8.36987e+01   1.00000e+00  -1.23525e+01   3.78344e+00   1.00083e+02
             2   8.38450e+01   2.00000e+00  -1.16089e+01   3.78372e+00   1.00167e+02
             3   8.39776e+01   3.00000e+00  -1.09072e+01   3.78411e+00   1.00250e+02
             4   8.41403e+01   4.00000e+00  -1.02799e+01   3.78481e+00   1.00333e+02
             5   8.43194e+01   5.00000e+00  -9.68084e+00   3.78549e+00   1.00417e+02
             6   8.45016e+01   6.00000e+00  -9.13346e+00   3.78623e+00   1.00500e+02
             7   8.46842e+01   7.00000e+00  -8.63075e+00   3.78701e+00   1.00583e+02
             8   8.48764e+01   8.00000e+00  -8.22522e+00   3.78822e+00   1.00667e+02
             9   8.50630e+01   9.00000e+00  -7.83765e+00   3.78932e+00   1.00750e+02
            10   8.52615e+01   1.00000e+01  -7.49841e+00   3.79048e+00   1.00833e+02
            11   8.54401e+01   1.10000e+01  -7.18088e+00   3.79167e+00   1.00917e+02
            12   8.56365e+01   1.20000e+01  -6.89049e+00   3.79302e+00   1.01000e+02
            13   8.58338e+01   1.30000e+01  -6.59754e+00   3.79426e+00   1.01083e+02
            14   8.60315e+01   1.40000e+01  -6.31717e+00   3.79542e+00   1.01167e+02
            15   8.62198e+01   1.50000e+01  -6.04992e+00   3.79652e+00   1.01250e+02
            16   8.64145e+01   1.60000e+01  -5.83263e+00   3.79745e+00   1.01333e+02
            17   8.66176e+01   1.70000e+01  -5.60730e+00   3.79832e+00   1.01417e+02
            18   8.68120e+01   1.80000e+01  -5.39505e+00   3.79906e+00   1.01500e+02
            19   8.69974e+01   1.90000e+01  -5.20289e+00   3.79972e+00   1.01583e+02
            20   8.71953e+01   2.00000e+01  -5.03472e+00   3.80010e+00   1.01667e+02
            21   8.73837e+01   2.10000e+01  -4.86181e+00   3.80055e+00   1.01750e+02
            22   8.75677e+01   2.20000e+01  -4.69569e+00   3.80095e+00   1.01833e+02
