         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42832e+01   0.00000e+00  -1.99077e+01   6.95558e+00   1.00000e+02
             1   8.44280e+01   1.00000e+00  -1.91936e+01   6.95601e+00   1.00083e+02
             2   8.45758e+01   2.00000e+00  -1.84118e+01   6.95650e+00   1.00167e+02
             3   8.47602e+01   3.00000e+00  -1.76240e+01   6.95711e+00   1.00250e+02
             4   8.49521e+01   4.00000e+00  -1.68976e+01   6.95811e+00   1.00333e+02
             5   8.51463e+01   5.00000e+00  -1.62542e+01   6.95911e+00   1.00417e+02
             6   8.53501e+01   6.00000e+00  -1.56988e+01   6.96023e+00   1.00500e+02
             7   8.55561e+01   7.00000e+00  -1.51570e+01   6.96146e+00   1.00583e+02
             8   8.57804e+01   8.00000e+00  -1.46961e+01   6.96316e+00   1.00667e+02
             9   8.59918e+01   9.00000e+00  -1.42585e+01   6.96477e+00   1.00750e+02
            10   8.61962e+01   1.00000e+01  -1.38632e+01   6.96644e+00   1.00833e+02
            11   8.64194e+01   1.10000e+01  -1.34775e+01   6.96816e+00   1.00917e+02
            12   8.66463e+01   1.20000e+01  -1.31570e+01   6.97011e+00   1.01000e+02
            13   8.68600e+01   1.30000e+01  -1.28319e+01   6.97187e+00   1.01083e+02
            14   8.70727e+01   1.40000e+01  -1.25312e+01   6.97348e+00   1.01167e+02
            15   8.73013e+01   1.50000e+01  -1.22581e+01   6.97502e+00   1.01250e+02
            16   8.75001e+01   1.60000e+01  -1.20158e+01   6.97626e+00   1.01333e+02
            17   8.77178e+01   1.70000e+01  -1.17658e+01   6.97746e+00   1.01417e+02
            18   8.79494e+01   1.80000e+01  -1.15230e+01   6.97856e+00   1.01500e+02
            19   8.81582e+01   1.90000e+01  -1.13088e+01   6.97956e+00   1.01583e+02
            20   8.83574e+01   2.00000e+01  -1.11440e+01   6.98006e+00   1.01667e+02
            21   8.85736e+01   2.10000e+01  -1.09581e+01   6.98072e+00   1.01750e+02
            22   8.87903e+01   2.20000e+01  -1.07763e+01   6.98131e+00   1.01833e+02
            23   8.89961e+01   2.30000e+01  -1.06003e+01   6.98184e+00   1.01917e+02
            24   8.91908e+01   2.40000e+01  -1.04725e+01   6.98204e+00   1.02000e+02
            25   8.94035e+01   2.50000e+01  -1.03206e+01   6.98231e+00   1.02083e+02
            26   8.96083e+01   2.60000e+01  -1.01789e+01   6.98255e+00   1.02167e+02
            27   8.97975e+01   2.70000e+01  -1.00438e+01   6.98276e+00   1.02250e+02
            28   8.99925e+01   2.80000e+01  -9.96339e+00   6.98277e+00   1.02333e+02
            29   9.01961e+01   2.90000e+01  -9.84890e+00   6.98285e+00   1.02417e+02
            30   9.03648e+01   3.00000e+01  -9.74213e+00   6.98295e+00   1.02500e+02
            31   9.05705e+01   3.10000e+01  -9.63843e+00   6.98308e+00   1.02583e+02
            32   9.07618e+01   3.20000e+01  -9.57942e+00   6.98319e+00   1.02667e+02
            33   9.09487e+01   3.30000e+01  -9.49970e+00   6.98332e+00   1.02750e+02
            34   9.11380e+01   3.40000e+01  -9.41455e+00   6.98345e+00   1.02833e+02
            35   9.13159e+01   3.50000e+01  -9.33678e+00   6.98357e+00   1.02917e+02
            36   9.14975e+01   3.60000e+01  -9.31245e+00   6.98371e+00   1.03000e+02
            37   9.16780e+01   3.70000e+01  -9.26179e+00   6.98381e+00   1.03083e+02
            38   9.18603e+01   3.80000e+01  -9.20745e+00   6.98389e+00   1.03167e+02
            39   9.20330e+01   3.90000e+01  -9.15436e+00   6.98395e+00   1.03250e+02
            40   9.22196e+01   4.00000e+01  -9.13708e+00   6.98394e+00   1.03333e+02
            41   9.23965e+01   4.10000e+01  -9.10217e+00   6.98396e+00   1.03417e+02
            42   9.25484e+01   4.20000e+01  -9.06573e+00   6.98398e+00   1.03500e+02
            43   9.27175e+01   4.30000e+01  -9.03132e+00   6.98400e+00   1.03583e+02
            44   9.28882e+01   4.40000e+01  -9.01631e+00   6.98399e+00   1.03667e+02
            45   9.30584e+01   4.50000e+01  -8.99454e+00   6.98399e+00   1.03750e+02
            46   9.32417e+01   4.60000e+01  -8.97279e+00   6.98400e+00   1.03833e+02
            47   9.33937e+01   4.70000e+01  -8.95275e+00   6.98400e+00   1.03917e+02
            48   9.35637e+01   4.80000e+01  -8.95225e+00   6.98400e+00   1.04000e+02
            49   9.37290e+01   4.90000e+01  -8.94311e+00   6.98400e+00   1.04083e+02
            50   9.38809e+01   5.00000e+01  -8.93410e+00   6.98400e+00   1.04167e+02
            51   9.40320e+01   5.10000e+01  -8.92656e+00   6.98400e+00   1.04250e+02
            52   9.41939e+01   5.20000e+01  -8.93444e+00   6.98400e+00   1.04333e+02
            53   9.43548e+01   5.30000e+01  -8.93667e+00   6.98403e+00   1.04417e+02
            54   9.45140e+01   5.40000e+01  -8.93952e+00   6.98412e+00   1.04500e+02
            55   9.46683e+01   5.50000e+01  -8.94315e+00   6.98422e+00   1.04583e+02
            56   9.48299e+01   5.60000e+01  -8.95966e+00   6.98436e+00   1.04667e+02
            57   9.49830e+01   5.70000e+01  -8.96885e+00   6.98448e+00   1.04750e+02
            58   9.51349e+01   5.80000e+01  -8.97851e+00   6.98459e+00   1.04833e+02
            59   9.52869e+01   5.90000e+01  -8.99002e+00   6.98469e+00   1.04917e+02
            60   9.54395e+01   6.00000e+01  -9.01221e+00   6.98479e+00   1.05000e+02
            61   9.55785e+01   6.10000e+01  -9.02884e+00   6.98486e+00   1.05083e+02
            62   9.57321e+01   6.20000e+01  -9.04521e+00   6.98492e+00   1.05167e+02
            63   9.58763e+01   6.30000e+01  -9.06184e+00   6.98497e+00   1.05250e+02
            64   9.60261e+01   6.40000e+01  -9.08444e+00   6.98499e+00   1.05333e+02
            65   9.61872e+01   6.50000e+01  -9.10571e+00   6.98509e+00   1.05417e+02
            66   9.63169e+01   6.60000e+01  -9.12744e+00   6.98524e+00   1.05500e+02
            67   9.64615e+01   6.70000e+01  -9.15047e+00   6.98544e+00   1.05583e+02
            68   9.66124e+01   6.80000e+01  -9.18027e+00   6.98573e+00   1.05667e+02
            69   9.67506e+01   6.90000e+01  -9.20627e+00   6.98597e+00   1.05750e+02
            70   9.68899e+01   7.00000e+01  -9.23123e+00   6.98618e+00   1.05833e+02
            71   9.70266e+01   7.10000e+01  -9.25530e+00   6.98638e+00   1.05917e+02
            72   9.71648e+01   7.20000e+01  -9.28597e+00   6.98657e+00   1.06000e+02
            73   9.73124e+01   7.30000e+01  -9.31364e+00   6.98671e+00   1.06083e+02
            74   9.74458e+01   7.40000e+01  -9.34002e+00   6.98683e+00   1.06167e+02
            75   9.75878e+01   7.50000e+01  -9.36625e+00   6.98693e+00   1.06250e+02
            76   9.77286e+01   7.60000e+01  -9.39592e+00   6.98692e+00   1.06333e+02
            77   9.78710e+01   7.70000e+01  -9.42351e+00   6.98697e+00   1.06417e+02
            78   9.80023e+01   7.80000e+01  -9.45067e+00   6.98709e+00   1.06500e+02
            79   9.81482e+01   7.90000e+01  -9.47801e+00   6.98721e+00   1.06583e+02
            80   9.82866e+01   8.00000e+01  -9.50633e+00   6.98735e+00   1.06667e+02
            81   9.84184e+01   8.10000e+01  -9.53553e+00   6.98747e+00   1.06750e+02
            82   9.85576e+01   8.20000e+01  -9.56513e+00   6.98759e+00   1.06833e+02
            83   9.86799e+01   8.30000e+01  -9.59660e+00   6.98769e+00   1.06917e+02
            84   9.88180e+01   8.40000e+01  -9.62832e+00   6.98778e+00   1.07000e+02
            85   9.89630e+01   8.50000e+01  -9.65900e+00   6.98785e+00   1.07083e+02
            86   9.90854e+01   8.60000e+01  -9.68883e+00   6.98791e+00   1.07167e+02
            87   9.92215e+01   8.70000e+01  -9.71858e+00   6.98797e+00   1.07250e+02
            88   9.93379e+01   8.80000e+01  -9.75373e+00   6.98807e+00   1.07333e+02
            89   9.94798e+01   8.90000e+01  -9.78550e+00   6.98819e+00   1.07417e+02
            90   9.96162e+01   9.00000e+01  -9.81665e+00   6.98832e+00   1.07500e+02
            91   9.97505e+01   9.10000e+01  -9.84788e+00   6.98844e+00   1.07583e+02
            92   9.98693e+01   9.20000e+01  -9.87846e+00   6.98864e+00   1.07667e+02
            93   1.00005e+02   9.30000e+01  -9.90798e+00   6.98876e+00   1.07750e+02
            94   1.00143e+02   9.40000e+01  -9.93866e+00   6.98885e+00   1.07833e+02
            95   1.00269e+02   9.50000e+01  -9.96977e+00   6.98894e+00   1.07917e+02
            96   1.00391e+02   9.60000e+01  -9.99671e+00   6.98893e+00   1.08000e+02
            97   1.00517e+02   9.70000e+01  -1.00265e+01   6.98895e+00   1.08083e+02
            98   1.00640e+02   9.80000e+01  -1.00574e+01   6.98897e+00   1.08167e+02
            99   1.00769e+02   9.90000e+01  -1.00887e+01   6.98899e+00   1.08250e+02
           100   1.00908e+02   1.00000e+02  -1.01173e+01   6.98899e+00   1.08333e+02
           101   1.01028e+02   1.01000e+02  -1.01460e+01   6.98899e+00   1.08417e+02
           102   1.01161e+02   1.02000e+02  -1.01745e+01   6.98899e+00   1.08500e+02
           103   1.01283e+02   1.03000e+02  -1.02020e+01   6.98900e+00   1.08583e+02
           104   1.01408e+02   1.04000e+02  -1.02287e+01   6.98903e+00   1.08667e+02
           105   1.01530e+02   1.05000e+02  -1.02554e+01   6.98912e+00   1.08750e+02
           106   1.01657e+02   1.06000e+02  -1.02833e+01   6.98922e+00   1.08833e+02
           107   1.01775e+02   1.07000e+02  -1.03101e+01   6.98933e+00   1.08917e+02
           108   1.01901e+02   1.08000e+02  -1.03347e+01   6.98950e+00   1.09000e+02
           109   1.02016e+02   1.09000e+02  -1.03619e+01   6.98962e+00   1.09083e+02
           110   1.02158e+02   1.10000e+02  -1.03890e+01   6.98972e+00   1.09167e+02
           111   1.02263e+02   1.11000e+02  -1.04158e+01   6.98981e+00   1.09250e+02
