         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.12283e+01   0.00000e+00  -3.56482e+00   5.23028e+00   1.00000e+02
             1   7.14318e+01   1.00000e+00  -3.45969e+00   5.23046e+00   1.00083e+02
             2   7.16890e+01   2.00000e+00  -3.36445e+00   5.23070e+00   1.00167e+02
             3   7.19333e+01   3.00000e+00  -3.26765e+00   5.23100e+00   1.00250e+02
             4   7.22032e+01   4.00000e+00  -3.25644e+00   5.23150e+00   1.00333e+02
             5   7.24914e+01   5.00000e+00  -3.23426e+00   5.23204e+00   1.00417e+02
             6   7.27869e+01   6.00000e+00  -3.23679e+00   5.23269e+00   1.00500e+02
             7   7.30722e+01   7.00000e+00  -3.27181e+00   5.23344e+00   1.00583e+02
             8   7.33769e+01   8.00000e+00  -3.33420e+00   5.23460e+00   1.00667e+02
             9   7.36744e+01   9.00000e+00  -3.38600e+00   5.23569e+00   1.00750e+02
            10   7.39645e+01   1.00000e+01  -3.42386e+00   5.23680e+00   1.00833e+02
            11   7.42957e+01   1.10000e+01  -3.45951e+00   5.23794e+00   1.00917e+02
            12   7.45890e+01   1.20000e+01  -3.49009e+00   5.23928e+00   1.01000e+02
            13   7.48866e+01   1.30000e+01  -3.51771e+00   5.24047e+00   1.01083e+02
            14   7.51884e+01   1.40000e+01  -3.54465e+00   5.24160e+00   1.01167e+02
            15   7.55109e+01   1.50000e+01  -3.57310e+00   5.24266e+00   1.01250e+02
            16   7.58115e+01   1.60000e+01  -3.59874e+00   5.24344e+00   1.01333e+02
            17   7.61231e+01   1.70000e+01  -3.62529e+00   5.24416e+00   1.01417e+02
            18   7.64186e+01   1.80000e+01  -3.64995e+00   5.24477e+00   1.01500e+02
            19   7.67004e+01   1.90000e+01  -3.67284e+00   5.24530e+00   1.01583e+02
            20   7.70111e+01   2.00000e+01  -3.68688e+00   5.24537e+00   1.01667e+02
            21   7.73013e+01   2.10000e+01  -3.70298e+00   5.24558e+00   1.01750e+02
            22   7.75958e+01   2.20000e+01  -3.71964e+00   5.24574e+00   1.01833e+02
            23   7.78750e+01   2.30000e+01  -3.73616e+00   5.24581e+00   1.01917e+02
            24   7.81732e+01   2.40000e+01  -3.73816e+00   5.24565e+00   1.02000e+02
            25   7.84472e+01   2.50000e+01  -3.74743e+00   5.24557e+00   1.02083e+02
            26   7.87406e+01   2.60000e+01  -3.75762e+00   5.24550e+00   1.02167e+02
            27   7.90120e+01   2.70000e+01  -3.76738e+00   5.24542e+00   1.02250e+02
            28   7.92881e+01   2.80000e+01  -3.76624e+00   5.24515e+00   1.02333e+02
            29   7.95656e+01   2.90000e+01  -3.77097e+00   5.24495e+00   1.02417e+02
            30   7.98358e+01   3.00000e+01  -3.77569e+00   5.24477e+00   1.02500e+02
            31   8.00975e+01   3.10000e+01  -3.77953e+00   5.24460e+00   1.02583e+02
            32   8.03789e+01   3.20000e+01  -3.78104e+00   5.24441e+00   1.02667e+02
            33   8.06484e+01   3.30000e+01  -3.78325e+00   5.24424e+00   1.02750e+02
            34   8.09134e+01   3.40000e+01  -3.78479e+00   5.24404e+00   1.02833e+02
            35   8.11781e+01   3.50000e+01  -3.78635e+00   5.24384e+00   1.02917e+02
            36   8.14345e+01   3.60000e+01  -3.78521e+00   5.24372e+00   1.03000e+02
            37   8.16891e+01   3.70000e+01  -3.78762e+00   5.24357e+00   1.03083e+02
            38   8.19435e+01   3.80000e+01  -3.79225e+00   5.24344e+00   1.03167e+02
            39   8.21978e+01   3.90000e+01  -3.79610e+00   5.24332e+00   1.03250e+02
            40   8.24443e+01   4.00000e+01  -3.79872e+00   5.24320e+00   1.03333e+02
            41   8.26905e+01   4.10000e+01  -3.80325e+00   5.24303e+00   1.03417e+02
            42   8.29431e+01   4.20000e+01  -3.80840e+00   5.24286e+00   1.03500e+02
            43   8.31867e+01   4.30000e+01  -3.81581e+00   5.24270e+00   1.03583e+02
            44   8.34382e+01   4.40000e+01  -3.82486e+00   5.24254e+00   1.03667e+02
            45   8.36775e+01   4.50000e+01  -3.83166e+00   5.24241e+00   1.03750e+02
            46   8.39025e+01   4.60000e+01  -3.83861e+00   5.24229e+00   1.03833e+02
            47   8.41446e+01   4.70000e+01  -3.84604e+00   5.24219e+00   1.03917e+02
            48   8.43968e+01   4.80000e+01  -3.85873e+00   5.24215e+00   1.04000e+02
            49   8.46077e+01   4.90000e+01  -3.86907e+00   5.24210e+00   1.04083e+02
            50   8.48429e+01   5.00000e+01  -3.87963e+00   5.24206e+00   1.04167e+02
            51   8.50763e+01   5.10000e+01  -3.88999e+00   5.24202e+00   1.04250e+02
            52   8.52995e+01   5.20000e+01  -3.90575e+00   5.24203e+00   1.04333e+02
            53   8.55293e+01   5.30000e+01  -3.91906e+00   5.24202e+00   1.04417e+02
            54   8.57638e+01   5.40000e+01  -3.93063e+00   5.24201e+00   1.04500e+02
            55   8.59798e+01   5.50000e+01  -3.94204e+00   5.24200e+00   1.04583e+02
            56   8.62041e+01   5.60000e+01  -3.95704e+00   5.24200e+00   1.04667e+02
            57   8.64224e+01   5.70000e+01  -3.97106e+00   5.24200e+00   1.04750e+02
            58   8.66512e+01   5.80000e+01  -3.98528e+00   5.24200e+00   1.04833e+02
            59   8.68719e+01   5.90000e+01  -3.99968e+00   5.24200e+00   1.04917e+02
            60   8.70775e+01   6.00000e+01  -4.01582e+00   5.24197e+00   1.05000e+02
            61   8.72955e+01   6.10000e+01  -4.03235e+00   5.24188e+00   1.05083e+02
            62   8.75035e+01   6.20000e+01  -4.05003e+00   5.24178e+00   1.05167e+02
            63   8.77195e+01   6.30000e+01  -4.06803e+00   5.24167e+00   1.05250e+02
            64   8.79311e+01   6.40000e+01  -4.08630e+00   5.24150e+00   1.05333e+02
            65   8.81407e+01   6.50000e+01  -4.10415e+00   5.24138e+00   1.05417e+02
            66   8.83561e+01   6.60000e+01  -4.12102e+00   5.24128e+00   1.05500e+02
            67   8.85707e+01   6.70000e+01  -4.13707e+00   5.24119e+00   1.05583e+02
