         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.31871e+01   0.00000e+00  -8.21844e+00   5.78603e+00   1.00000e+02
             1   7.34186e+01   1.00000e+00  -7.91316e+00   5.78612e+00   1.00083e+02
             2   7.36327e+01   2.00000e+00  -7.63192e+00   5.78625e+00   1.00167e+02
             3   7.38741e+01   3.00000e+00  -7.35328e+00   5.78644e+00   1.00250e+02
             4   7.41431e+01   4.00000e+00  -7.13704e+00   5.78687e+00   1.00333e+02
             5   7.44243e+01   5.00000e+00  -6.91369e+00   5.78734e+00   1.00417e+02
             6   7.47168e+01   6.00000e+00  -6.74068e+00   5.78791e+00   1.00500e+02
             7   7.49987e+01   7.00000e+00  -6.60741e+00   5.78861e+00   1.00583e+02
             8   7.52779e+01   8.00000e+00  -6.51958e+00   5.78972e+00   1.00667e+02
             9   7.55751e+01   9.00000e+00  -6.44042e+00   5.79077e+00   1.00750e+02
            10   7.58556e+01   1.00000e+01  -6.36813e+00   5.79188e+00   1.00833e+02
            11   7.61397e+01   1.10000e+01  -6.29054e+00   5.79307e+00   1.00917e+02
            12   7.64363e+01   1.20000e+01  -6.26466e+00   5.79453e+00   1.01000e+02
            13   7.67411e+01   1.30000e+01  -6.21490e+00   5.79584e+00   1.01083e+02
            14   7.70321e+01   1.40000e+01  -6.16961e+00   5.79707e+00   1.01167e+02
            15   7.73273e+01   1.50000e+01  -6.11898e+00   5.79823e+00   1.01250e+02
            16   7.76193e+01   1.60000e+01  -6.08981e+00   5.79918e+00   1.01333e+02
            17   7.79111e+01   1.70000e+01  -6.04537e+00   5.80009e+00   1.01417e+02
            18   7.82074e+01   1.80000e+01  -5.99885e+00   5.80088e+00   1.01500e+02
            19   7.84817e+01   1.90000e+01  -5.95372e+00   5.80158e+00   1.01583e+02
            20   7.87633e+01   2.00000e+01  -5.92623e+00   5.80181e+00   1.01667e+02
            21   7.90405e+01   2.10000e+01  -5.89267e+00   5.80216e+00   1.01750e+02
            22   7.93272e+01   2.20000e+01  -5.85704e+00   5.80244e+00   1.01833e+02
            23   7.96216e+01   2.30000e+01  -5.82184e+00   5.80262e+00   1.01917e+02
            24   7.99026e+01   2.40000e+01  -5.78882e+00   5.80250e+00   1.02000e+02
            25   8.01988e+01   2.50000e+01  -5.75724e+00   5.80247e+00   1.02083e+02
            26   8.04576e+01   2.60000e+01  -5.72627e+00   5.80244e+00   1.02167e+02
            27   8.07374e+01   2.70000e+01  -5.69583e+00   5.80240e+00   1.02250e+02
            28   8.09994e+01   2.80000e+01  -5.67601e+00   5.80224e+00   1.02333e+02
            29   8.12719e+01   2.90000e+01  -5.65208e+00   5.80216e+00   1.02417e+02
            30   8.15421e+01   3.00000e+01  -5.62842e+00   5.80210e+00   1.02500e+02
            31   8.18003e+01   3.10000e+01  -5.60533e+00   5.80205e+00   1.02583e+02
            32   8.20566e+01   3.20000e+01  -5.58823e+00   5.80205e+00   1.02667e+02
            33   8.23140e+01   3.30000e+01  -5.57079e+00   5.80203e+00   1.02750e+02
