         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.35619e+01   0.00000e+00  -1.60318e+01   1.12532e+01   1.00000e+02
             1   8.36886e+01   1.00000e+00  -1.53160e+01   1.12534e+01   1.00083e+02
             2   8.38163e+01   2.00000e+00  -1.45119e+01   1.12536e+01   1.00167e+02
             3   8.39777e+01   3.00000e+00  -1.36993e+01   1.12538e+01   1.00250e+02
             4   8.41471e+01   4.00000e+00  -1.29248e+01   1.12542e+01   1.00333e+02
             5   8.43189e+01   5.00000e+00  -1.22306e+01   1.12547e+01   1.00417e+02
             6   8.45167e+01   6.00000e+00  -1.16297e+01   1.12552e+01   1.00500e+02
             7   8.47112e+01   7.00000e+00  -1.10602e+01   1.12558e+01   1.00583e+02
             8   8.49135e+01   8.00000e+00  -1.05931e+01   1.12567e+01   1.00667e+02
             9   8.51080e+01   9.00000e+00  -1.01535e+01   1.12576e+01   1.00750e+02
            10   8.53001e+01   1.00000e+01  -9.75920e+00   1.12586e+01   1.00833e+02
            11   8.55014e+01   1.10000e+01  -9.37099e+00   1.12596e+01   1.00917e+02
            12   8.56938e+01   1.20000e+01  -9.04632e+00   1.12610e+01   1.01000e+02
            13   8.58986e+01   1.30000e+01  -8.72046e+00   1.12621e+01   1.01083e+02
            14   8.61023e+01   1.40000e+01  -8.41314e+00   1.12631e+01   1.01167e+02
            15   8.63020e+01   1.50000e+01  -8.12360e+00   1.12641e+01   1.01250e+02
            16   8.64890e+01   1.60000e+01  -7.90094e+00   1.12648e+01   1.01333e+02
            17   8.66905e+01   1.70000e+01  -7.68292e+00   1.12656e+01   1.01417e+02
            18   8.68930e+01   1.80000e+01  -7.46917e+00   1.12662e+01   1.01500e+02
            19   8.70757e+01   1.90000e+01  -7.27223e+00   1.12668e+01   1.01583e+02
            20   8.72810e+01   2.00000e+01  -7.09801e+00   1.12670e+01   1.01667e+02
            21   8.74672e+01   2.10000e+01  -6.91204e+00   1.12673e+01   1.01750e+02
            22   8.76586e+01   2.20000e+01  -6.74269e+00   1.12675e+01   1.01833e+02
            23   8.78523e+01   2.30000e+01  -6.58170e+00   1.12678e+01   1.01917e+02
            24   8.80514e+01   2.40000e+01  -6.48345e+00   1.12678e+01   1.02000e+02
            25   8.82408e+01   2.50000e+01  -6.35687e+00   1.12678e+01   1.02083e+02
            26   8.84232e+01   2.60000e+01  -6.23005e+00   1.12679e+01   1.02167e+02
            27   8.85971e+01   2.70000e+01  -6.10526e+00   1.12679e+01   1.02250e+02
            28   8.87800e+01   2.80000e+01  -6.02497e+00   1.12677e+01   1.02333e+02
            29   8.89589e+01   2.90000e+01  -5.92359e+00   1.12676e+01   1.02417e+02
            30   8.91451e+01   3.00000e+01  -5.81894e+00   1.12675e+01   1.02500e+02
            31   8.93318e+01   3.10000e+01  -5.72330e+00   1.12674e+01   1.02583e+02
            32   8.95064e+01   3.20000e+01  -5.67102e+00   1.12672e+01   1.02667e+02
            33   8.96773e+01   3.30000e+01  -5.59415e+00   1.12671e+01   1.02750e+02
            34   8.98624e+01   3.40000e+01  -5.52501e+00   1.12669e+01   1.02833e+02
            35   9.00279e+01   3.50000e+01  -5.45941e+00   1.12667e+01   1.02917e+02
            36   9.02059e+01   3.60000e+01  -5.44543e+00   1.12666e+01   1.03000e+02
            37   9.03646e+01   3.70000e+01  -5.40487e+00   1.12664e+01   1.03083e+02
            38   9.05205e+01   3.80000e+01  -5.36058e+00   1.12663e+01   1.03167e+02
            39   9.06907e+01   3.90000e+01  -5.31792e+00   1.12662e+01   1.03250e+02
            40   9.08493e+01   4.00000e+01  -5.30830e+00   1.12662e+01   1.03333e+02
            41   9.10049e+01   4.10000e+01  -5.28203e+00   1.12661e+01   1.03417e+02
            42   9.11767e+01   4.20000e+01  -5.25334e+00   1.12661e+01   1.03500e+02
            43   9.13440e+01   4.30000e+01  -5.22553e+00   1.12660e+01   1.03583e+02
            44   9.15055e+01   4.40000e+01  -5.21712e+00   1.12660e+01   1.03667e+02
            45   9.16513e+01   4.50000e+01  -5.20182e+00   1.12660e+01   1.03750e+02
            46   9.18071e+01   4.60000e+01  -5.18655e+00   1.12660e+01   1.03833e+02
            47   9.19688e+01   4.70000e+01  -5.17248e+00   1.12660e+01   1.03917e+02
            48   9.21138e+01   4.80000e+01  -5.17282e+00   1.12660e+01   1.04000e+02
            49   9.22587e+01   4.90000e+01  -5.16855e+00   1.12660e+01   1.04083e+02
            50   9.24197e+01   5.00000e+01  -5.16478e+00   1.12660e+01   1.04167e+02
            51   9.25503e+01   5.10000e+01  -5.16262e+00   1.12660e+01   1.04250e+02
            52   9.27156e+01   5.20000e+01  -5.17321e+00   1.12660e+01   1.04333e+02
            53   9.28705e+01   5.30000e+01  -5.17759e+00   1.12660e+01   1.04417e+02
            54   9.30127e+01   5.40000e+01  -5.18126e+00   1.12660e+01   1.04500e+02
            55   9.31522e+01   5.50000e+01  -5.18588e+00   1.12659e+01   1.04583e+02
            56   9.33035e+01   5.60000e+01  -5.20439e+00   1.12658e+01   1.04667e+02
            57   9.34402e+01   5.70000e+01  -5.21731e+00   1.12657e+01   1.04750e+02
