         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.29327e+01   0.00000e+00  -1.67305e+01   8.31603e+00   1.00000e+02
             1   8.30756e+01   1.00000e+00  -1.59779e+01   8.31612e+00   1.00083e+02
             2   8.32157e+01   2.00000e+00  -1.51319e+01   8.31625e+00   1.00167e+02
             3   8.33598e+01   3.00000e+00  -1.43071e+01   8.31645e+00   1.00250e+02
             4   8.35324e+01   4.00000e+00  -1.36182e+01   8.31688e+00   1.00333e+02
             5   8.37115e+01   5.00000e+00  -1.29306e+01   8.31734e+00   1.00417e+02
             6   8.38895e+01   6.00000e+00  -1.22917e+01   8.31791e+00   1.00500e+02
             7   8.40799e+01   7.00000e+00  -1.17389e+01   8.31861e+00   1.00583e+02
             8   8.42534e+01   8.00000e+00  -1.12702e+01   8.31972e+00   1.00667e+02
             9   8.44518e+01   9.00000e+00  -1.08253e+01   8.32077e+00   1.00750e+02
            10   8.46343e+01   1.00000e+01  -1.03971e+01   8.32185e+00   1.00833e+02
            11   8.48246e+01   1.10000e+01  -9.98861e+00   8.32296e+00   1.00917e+02
            12   8.50307e+01   1.20000e+01  -9.65268e+00   8.32430e+00   1.01000e+02
            13   8.52091e+01   1.30000e+01  -9.31714e+00   8.32549e+00   1.01083e+02
            14   8.54060e+01   1.40000e+01  -9.00548e+00   8.32661e+00   1.01167e+02
            15   8.56026e+01   1.50000e+01  -8.72070e+00   8.32766e+00   1.01250e+02
            16   8.57965e+01   1.60000e+01  -8.47253e+00   8.32855e+00   1.01333e+02
            17   8.59853e+01   1.70000e+01  -8.21633e+00   8.32938e+00   1.01417e+02
            18   8.61674e+01   1.80000e+01  -7.97037e+00   8.33010e+00   1.01500e+02
            19   8.63785e+01   1.90000e+01  -7.73460e+00   8.33074e+00   1.01583e+02
            20   8.65448e+01   2.00000e+01  -7.56020e+00   8.33101e+00   1.01667e+02
            21   8.67336e+01   2.10000e+01  -7.36515e+00   8.33134e+00   1.01750e+02
            22   8.69245e+01   2.20000e+01  -7.17281e+00   8.33162e+00   1.01833e+02
            23   8.71129e+01   2.30000e+01  -6.98639e+00   8.33186e+00   1.01917e+02
            24   8.73126e+01   2.40000e+01  -6.84546e+00   8.33181e+00   1.02000e+02
            25   8.74812e+01   2.50000e+01  -6.68853e+00   8.33187e+00   1.02083e+02
            26   8.76750e+01   2.60000e+01  -6.53528e+00   8.33194e+00   1.02167e+02
            27   8.78698e+01   2.70000e+01  -6.40812e+00   8.33198e+00   1.02250e+02
            28   8.80287e+01   2.80000e+01  -6.31825e+00   8.33197e+00   1.02333e+02
            29   8.81818e+01   2.90000e+01  -6.21548e+00   8.33198e+00   1.02417e+02
            30   8.83726e+01   3.00000e+01  -6.10594e+00   8.33199e+00   1.02500e+02
            31   8.85427e+01   3.10000e+01  -5.99754e+00   8.33200e+00   1.02583e+02
            32   8.87149e+01   3.20000e+01  -5.92646e+00   8.33200e+00   1.02667e+02
            33   8.88924e+01   3.30000e+01  -5.83585e+00   8.33200e+00   1.02750e+02
            34   8.90616e+01   3.40000e+01  -5.74170e+00   8.33200e+00   1.02833e+02
            35   8.92263e+01   3.50000e+01  -5.65688e+00   8.33200e+00   1.02917e+02
            36   8.93895e+01   3.60000e+01  -5.60897e+00   8.33200e+00   1.03000e+02
            37   8.95555e+01   3.70000e+01  -5.54171e+00   8.33197e+00   1.03083e+02
            38   8.97235e+01   3.80000e+01  -5.46904e+00   8.33188e+00   1.03167e+02
            39   8.98891e+01   3.90000e+01  -5.40502e+00   8.33178e+00   1.03250e+02
            40   9.00391e+01   4.00000e+01  -5.38504e+00   8.33164e+00   1.03333e+02
            41   9.01971e+01   4.10000e+01  -5.34098e+00   8.33152e+00   1.03417e+02
            42   9.03543e+01   4.20000e+01  -5.29396e+00   8.33141e+00   1.03500e+02
            43   9.05137e+01   4.30000e+01  -5.24814e+00   8.33131e+00   1.03583e+02
            44   9.06516e+01   4.40000e+01  -5.22597e+00   8.33122e+00   1.03667e+02
            45   9.08020e+01   4.50000e+01  -5.19483e+00   8.33114e+00   1.03750e+02
            46   9.09680e+01   4.60000e+01  -5.16238e+00   8.33109e+00   1.03833e+02
            47   9.11210e+01   4.70000e+01  -5.13209e+00   8.33104e+00   1.03917e+02
            48   9.12856e+01   4.80000e+01  -5.12040e+00   8.33104e+00   1.04000e+02
            49   9.14256e+01   4.90000e+01  -5.10114e+00   8.33103e+00   1.04083e+02
            50   9.15667e+01   5.00000e+01  -5.08130e+00   8.33102e+00   1.04167e+02
            51   9.17103e+01   5.10000e+01  -5.06223e+00   8.33101e+00   1.04250e+02
            52   9.18543e+01   5.20000e+01  -5.05935e+00   8.33101e+00   1.04333e+02
            53   9.20077e+01   5.30000e+01  -5.04892e+00   8.33101e+00   1.04417e+02
            54   9.21440e+01   5.40000e+01  -5.03935e+00   8.33100e+00   1.04500e+02
            55   9.22990e+01   5.50000e+01  -5.03108e+00   8.33100e+00   1.04583e+02
            56   9.24290e+01   5.60000e+01  -5.03327e+00   8.33100e+00   1.04667e+02
            57   9.25683e+01   5.70000e+01  -5.02972e+00   8.33100e+00   1.04750e+02
            58   9.27134e+01   5.80000e+01  -5.02578e+00   8.33100e+00   1.04833e+02
            59   9.28541e+01   5.90000e+01  -5.02359e+00   8.33100e+00   1.04917e+02
            60   9.29897e+01   6.00000e+01  -5.03311e+00   8.33100e+00   1.05000e+02
            61   9.31330e+01   6.10000e+01  -5.03791e+00   8.33100e+00   1.05083e+02
            62   9.32614e+01   6.20000e+01  -5.04166e+00   8.33100e+00   1.05167e+02
            63   9.33922e+01   6.30000e+01  -5.04554e+00   8.33100e+00   1.05250e+02
            64   9.35216e+01   6.40000e+01  -5.06151e+00   8.33100e+00   1.05333e+02
            65   9.36671e+01   6.50000e+01  -5.07247e+00   8.33100e+00   1.05417e+02
            66   9.37980e+01   6.60000e+01  -5.08101e+00   8.33100e+00   1.05500e+02
            67   9.39296e+01   6.70000e+01  -5.09036e+00   8.33100e+00   1.05583e+02
            68   9.40726e+01   6.80000e+01  -5.10759e+00   8.33100e+00   1.05667e+02
            69   9.41863e+01   6.90000e+01  -5.11966e+00   8.33100e+00   1.05750e+02
            70   9.43540e+01   7.00000e+01  -5.13075e+00   8.33100e+00   1.05833e+02
            71   9.44538e+01   7.10000e+01  -5.14215e+00   8.33100e+00   1.05917e+02
            72   9.45819e+01   7.20000e+01  -5.15749e+00   8.33111e+00   1.06000e+02
            73   9.47081e+01   7.30000e+01  -5.17258e+00   8.33122e+00   1.06083e+02
            74   9.48334e+01   7.40000e+01  -5.18717e+00   8.33134e+00   1.06167e+02
            75   9.49655e+01   7.50000e+01  -5.20114e+00   8.33145e+00   1.06250e+02
            76   9.50979e+01   7.60000e+01  -5.21486e+00   8.33165e+00   1.06333e+02
            77   9.52076e+01   7.70000e+01  -5.22907e+00   8.33177e+00   1.06417e+02
            78   9.53537e+01   7.80000e+01  -5.24413e+00   8.33186e+00   1.06500e+02
            79   9.54902e+01   7.90000e+01  -5.25998e+00   8.33194e+00   1.06583e+02
            80   9.55998e+01   8.00000e+01  -5.27843e+00   8.33193e+00   1.06667e+02
            81   9.57100e+01   8.10000e+01  -5.29475e+00   8.33195e+00   1.06750e+02
            82   9.58558e+01   8.20000e+01  -5.31134e+00   8.33198e+00   1.06833e+02
            83   9.59769e+01   8.30000e+01  -5.32865e+00   8.33199e+00   1.06917e+02
            84   9.60935e+01   8.40000e+01  -5.34584e+00   8.33199e+00   1.07000e+02
            85   9.62202e+01   8.50000e+01  -5.36298e+00   8.33199e+00   1.07083e+02
            86   9.63362e+01   8.60000e+01  -5.38082e+00   8.33200e+00   1.07167e+02
            87   9.64694e+01   8.70000e+01  -5.39974e+00   8.33200e+00   1.07250e+02
            88   9.65868e+01   8.80000e+01  -5.42406e+00   8.33200e+00   1.07333e+02
            89   9.67155e+01   8.90000e+01  -5.44517e+00   8.33200e+00   1.07417e+02
            90   9.68252e+01   9.00000e+01  -5.46392e+00   8.33200e+00   1.07500e+02
            91   9.69507e+01   9.10000e+01  -5.48326e+00   8.33200e+00   1.07583e+02
            92   9.70469e+01   9.20000e+01  -5.50332e+00   8.33200e+00   1.07667e+02
            93   9.71833e+01   9.30000e+01  -5.52325e+00   8.33200e+00   1.07750e+02
            94   9.73206e+01   9.40000e+01  -5.54304e+00   8.33200e+00   1.07833e+02
            95   9.74232e+01   9.50000e+01  -5.56314e+00   8.33200e+00   1.07917e+02
            96   9.75417e+01   9.60000e+01  -5.58244e+00   8.33200e+00   1.08000e+02
            97   9.76496e+01   9.70000e+01  -5.60044e+00   8.33200e+00   1.08083e+02
            98   9.77886e+01   9.80000e+01  -5.61826e+00   8.33200e+00   1.08167e+02
            99   9.78895e+01   9.90000e+01  -5.63668e+00   8.33200e+00   1.08250e+02
           100   9.80070e+01   1.00000e+02  -5.65280e+00   8.33200e+00   1.08333e+02
           101   9.81399e+01   1.01000e+02  -5.67042e+00   8.33200e+00   1.08417e+02
           102   9.82446e+01   1.02000e+02  -5.68861e+00   8.33200e+00   1.08500e+02
           103   9.83673e+01   1.03000e+02  -5.70722e+00   8.33200e+00   1.08583e+02
           104   9.84698e+01   1.04000e+02  -5.72698e+00   8.33200e+00   1.08667e+02
           105   9.85960e+01   1.05000e+02  -5.74644e+00   8.33200e+00   1.08750e+02
           106   9.87212e+01   1.06000e+02  -5.76593e+00   8.33200e+00   1.08833e+02
           107   9.88295e+01   1.07000e+02  -5.78449e+00   8.33200e+00   1.08917e+02
           108   9.89271e+01   1.08000e+02  -5.80436e+00   8.33200e+00   1.09000e+02
           109   9.90485e+01   1.09000e+02  -5.82321e+00   8.33200e+00   1.09083e+02
           110   9.91646e+01   1.10000e+02  -5.84221e+00   8.33200e+00   1.09167e+02
           111   9.92649e+01   1.11000e+02  -5.86170e+00   8.33200e+00   1.09250e+02
           112   9.93731e+01   1.12000e+02  -5.88146e+00   8.33200e+00   1.09333e+02
           113   9.94991e+01   1.13000e+02  -5.90117e+00   8.33200e+00   1.09417e+02
           114   9.96047e+01   1.14000e+02  -5.92100e+00   8.33200e+00   1.09500e+02
           115   9.97295e+01   1.15000e+02  -5.93977e+00   8.33200e+00   1.09583e+02
           116   9.98380e+01   1.16000e+02  -5.95523e+00   8.33200e+00   1.09667e+02
           117   9.99526e+01   1.17000e+02  -5.97118e+00   8.33200e+00   1.09750e+02
           118   1.00067e+02   1.18000e+02  -5.98832e+00   8.33200e+00   1.09833e+02
           119   1.00179e+02   1.19000e+02  -6.00629e+00   8.33200e+00   1.09917e+02
           120   1.00283e+02   1.20000e+02  -6.02504e+00   8.33200e+00   1.10000e+02
           121   1.00403e+02   1.21000e+02  -6.04291e+00   8.33200e+00   1.10083e+02
           122   1.00503e+02   1.22000e+02  -6.06020e+00   8.33197e+00   1.10167e+02
           123   1.00625e+02   1.23000e+02  -6.07714e+00   8.33189e+00   1.10250e+02
           124   1.00736e+02   1.24000e+02  -6.08988e+00   8.33177e+00   1.10333e+02
           125   1.00846e+02   1.25000e+02  -6.10473e+00   8.33165e+00   1.10417e+02
           126   1.00927e+02   1.26000e+02  -6.11941e+00   8.33154e+00   1.10500e+02
           127   1.01064e+02   1.27000e+02  -6.13430e+00   8.33143e+00   1.10583e+02
           128   1.01196e+02   1.28000e+02  -6.15069e+00   8.33129e+00   1.10667e+02
           129   1.01279e+02   1.29000e+02  -6.16607e+00   8.33119e+00   1.10750e+02
