         Index            Ts             t            HF        Weight            Tr
             0  2.18645e+001  0.00000e+000  1.59095e+001  8.58200e+000  2.50000e+001
             1  2.18608e+001  1.00000e+000  1.58128e+001  8.58200e+000  2.51667e+001
             2  2.18446e+001  2.00000e+000  1.56167e+001  8.58203e+000  2.53333e+001
             3  2.18736e+001  3.00000e+000  1.54040e+001  8.58211e+000  2.55000e+001
             4  2.19195e+001  4.00000e+000  1.51028e+001  8.58254e+000  2.56667e+001
             5  2.20030e+001  5.00000e+000  1.47858e+001  8.58320e+000  2.58333e+001
             6  2.20906e+001  6.00000e+000  1.44251e+001  8.58412e+000  2.60000e+001
             7  2.22013e+001  7.00000e+000  1.40313e+001  8.58523e+000  2.61667e+001
             8  2.23120e+001  8.00000e+000  1.36018e+001  8.58750e+000  2.63333e+001
             9  2.24328e+001  9.00000e+000  1.32199e+001  8.58969e+000  2.65000e+001
            10  2.25646e+001  1.00000e+001  1.28493e+001  8.59212e+000  2.66667e+001
            11  2.27031e+001  1.10000e+001  1.24662e+001  8.59469e+000  2.68333e+001
            12  2.28362e+001  1.20000e+001  1.21087e+001  8.59810e+000  2.70000e+001
            13  2.29853e+001  1.30000e+001  1.17377e+001  8.60096e+000  2.71667e+001
            14  2.31306e+001  1.40000e+001  1.13771e+001  8.60358e+000  2.73333e+001
            15  2.32779e+001  1.50000e+001  1.10365e+001  8.60608e+000  2.75000e+001
            16  2.34298e+001  1.60000e+001  1.07591e+001  8.60794e+000  2.76667e+001
            17  2.35835e+001  1.70000e+001  1.04863e+001  8.60965e+000  2.78333e+001
            18  2.37419e+001  1.80000e+001  1.02366e+001  8.61109e+000  2.80000e+001
            19  2.38903e+001  1.90000e+001  9.98537e+000  8.61234e+000  2.81667e+001
            20  2.40416e+001  2.00000e+001  9.79361e+000  8.61248e+000  2.83333e+001
            21  2.41955e+001  2.10000e+001  9.57494e+000  8.61289e+000  2.85000e+001
            22  2.43401e+001  2.20000e+001  9.37501e+000  8.61320e+000  2.86667e+001
            23  2.44969e+001  2.30000e+001  9.18705e+000  8.61337e+000  2.88333e+001
            24  2.46607e+001  2.40000e+001  9.05174e+000  8.61296e+000  2.90000e+001
            25  2.48121e+001  2.50000e+001  8.91210e+000  8.61273e+000  2.91667e+001
            26  2.49575e+001  2.60000e+001  8.76834e+000  8.61247e+000  2.93333e+001
            27  2.51244e+001  2.70000e+001  8.62886e+000  8.61215e+000  2.95000e+001
            28  2.52699e+001  2.80000e+001  8.54725e+000  8.61154e+000  2.96667e+001
            29  2.54231e+001  2.90000e+001  8.44016e+000  8.61103e+000  2.98333e+001
            30  2.55751e+001  3.00000e+001  8.33796e+000  8.61052e+000  3.00000e+001
            31  2.57213e+001  3.10000e+001  8.23051e+000  8.61002e+000  3.01667e+001
            32  2.58711e+001  3.20000e+001  8.15714e+000  8.60936e+000  3.03333e+001
            33  2.60164e+001  3.30000e+001  8.06368e+000  8.60875e+000  3.05000e+001
