         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.34925e+01   0.00000e+00  -1.43309e+01   5.48647e+00   1.00000e+02
             1   8.36351e+01   1.00000e+00  -1.36570e+01   5.48678e+00   1.00083e+02
             2   8.37797e+01   2.00000e+00  -1.29102e+01   5.48714e+00   1.00167e+02
             3   8.39311e+01   3.00000e+00  -1.21584e+01   5.48755e+00   1.00250e+02
             4   8.40969e+01   4.00000e+00  -1.14793e+01   5.48823e+00   1.00333e+02
             5   8.42929e+01   5.00000e+00  -1.08234e+01   5.48897e+00   1.00417e+02
             6   8.44744e+01   6.00000e+00  -1.02765e+01   5.48977e+00   1.00500e+02
             7   8.46629e+01   7.00000e+00  -9.80224e+00   5.49062e+00   1.00583e+02
             8   8.48483e+01   8.00000e+00  -9.40573e+00   5.49189e+00   1.00667e+02
             9   8.50411e+01   9.00000e+00  -9.03288e+00   5.49306e+00   1.00750e+02
            10   8.52444e+01   1.00000e+01  -8.66929e+00   5.49428e+00   1.00833e+02
            11   8.54421e+01   1.10000e+01  -8.32104e+00   5.49551e+00   1.00917e+02
            12   8.56421e+01   1.20000e+01  -8.04234e+00   5.49691e+00   1.01000e+02
            13   8.58537e+01   1.30000e+01  -7.76626e+00   5.49819e+00   1.01083e+02
            14   8.60485e+01   1.40000e+01  -7.51434e+00   5.49938e+00   1.01167e+02
            15   8.62306e+01   1.50000e+01  -7.28814e+00   5.50050e+00   1.01250e+02
            16   8.64505e+01   1.60000e+01  -7.09803e+00   5.50143e+00   1.01333e+02
            17   8.66388e+01   1.70000e+01  -6.90456e+00   5.50230e+00   1.01417e+02
            18   8.68404e+01   1.80000e+01  -6.72643e+00   5.50306e+00   1.01500e+02
            19   8.70390e+01   1.90000e+01  -6.54555e+00   5.50372e+00   1.01583e+02
            20   8.72354e+01   2.00000e+01  -6.41432e+00   5.50399e+00   1.01667e+02
            21   8.74193e+01   2.10000e+01  -6.26178e+00   5.50433e+00   1.01750e+02
            22   8.76121e+01   2.20000e+01  -6.10559e+00   5.50462e+00   1.01833e+02
            23   8.78099e+01   2.30000e+01  -5.96322e+00   5.50486e+00   1.01917e+02
            24   8.80067e+01   2.40000e+01  -5.86912e+00   5.50481e+00   1.02000e+02
            25   8.81962e+01   2.50000e+01  -5.75732e+00   5.50487e+00   1.02083e+02
            26   8.83753e+01   2.60000e+01  -5.64142e+00   5.50494e+00   1.02167e+02
            27   8.85638e+01   2.70000e+01  -5.51876e+00   5.50498e+00   1.02250e+02
            28   8.87494e+01   2.80000e+01  -5.46434e+00   5.50497e+00   1.02333e+02
            29   8.89309e+01   2.90000e+01  -5.38802e+00   5.50498e+00   1.02417e+02
            30   8.91085e+01   3.00000e+01  -5.31235e+00   5.50499e+00   1.02500e+02
            31   8.92908e+01   3.10000e+01  -5.23875e+00   5.50500e+00   1.02583e+02
            32   8.94613e+01   3.20000e+01  -5.20764e+00   5.50500e+00   1.02667e+02
            33   8.96285e+01   3.30000e+01  -5.16504e+00   5.50500e+00   1.02750e+02
            34   8.98080e+01   3.40000e+01  -5.11514e+00   5.50500e+00   1.02833e+02
            35   8.99879e+01   3.50000e+01  -5.06593e+00   5.50500e+00   1.02917e+02
            36   9.01546e+01   3.60000e+01  -5.04866e+00   5.50500e+00   1.03000e+02
            37   9.03213e+01   3.70000e+01  -5.01623e+00   5.50500e+00   1.03083e+02
            38   9.04959e+01   3.80000e+01  -4.98209e+00   5.50500e+00   1.03167e+02
            39   9.06508e+01   3.90000e+01  -4.95023e+00   5.50500e+00   1.03250e+02
            40   9.08192e+01   4.00000e+01  -4.94080e+00   5.50500e+00   1.03333e+02
            41   9.09788e+01   4.10000e+01  -4.92389e+00   5.50500e+00   1.03417e+02
            42   9.11334e+01   4.20000e+01  -4.90402e+00   5.50500e+00   1.03500e+02
            43   9.13133e+01   4.30000e+01  -4.87908e+00   5.50500e+00   1.03583e+02
            44   9.14587e+01   4.40000e+01  -4.88913e+00   5.50500e+00   1.03667e+02
            45   9.16224e+01   4.50000e+01  -4.88598e+00   5.50500e+00   1.03750e+02
            46   9.17754e+01   4.60000e+01  -4.88218e+00   5.50500e+00   1.03833e+02
            47   9.19409e+01   4.70000e+01  -4.87913e+00   5.50500e+00   1.03917e+02
            48   9.20858e+01   4.80000e+01  -4.89426e+00   5.50500e+00   1.04000e+02
            49   9.22295e+01   4.90000e+01  -4.89945e+00   5.50500e+00   1.04083e+02
            50   9.23853e+01   5.00000e+01  -4.90332e+00   5.50500e+00   1.04167e+02
            51   9.25373e+01   5.10000e+01  -4.90755e+00   5.50500e+00   1.04250e+02
            52   9.26817e+01   5.20000e+01  -4.92677e+00   5.50500e+00   1.04333e+02
            53   9.28228e+01   5.30000e+01  -4.94119e+00   5.50500e+00   1.04417e+02
            54   9.29722e+01   5.40000e+01  -4.95446e+00   5.50500e+00   1.04500e+02
            55   9.31201e+01   5.50000e+01  -4.96806e+00   5.50500e+00   1.04583e+02
            56   9.32616e+01   5.60000e+01  -4.99265e+00   5.50500e+00   1.04667e+02
            57   9.34147e+01   5.70000e+01  -5.01322e+00   5.50500e+00   1.04750e+02
            58   9.35568e+01   5.80000e+01  -5.03280e+00   5.50500e+00   1.04833e+02
            59   9.36991e+01   5.90000e+01  -5.05217e+00   5.50500e+00   1.04917e+02
            60   9.38373e+01   6.00000e+01  -5.08122e+00   5.50500e+00   1.05000e+02
            61   9.39726e+01   6.10000e+01  -5.10611e+00   5.50500e+00   1.05083e+02
            62   9.41083e+01   6.20000e+01  -5.13024e+00   5.50500e+00   1.05167e+02
            63   9.42489e+01   6.30000e+01  -5.15438e+00   5.50500e+00   1.05250e+02
            64   9.43982e+01   6.40000e+01  -5.18195e+00   5.50500e+00   1.05333e+02
            65   9.45236e+01   6.50000e+01  -5.20718e+00   5.50500e+00   1.05417e+02
            66   9.46674e+01   6.60000e+01  -5.23288e+00   5.50500e+00   1.05500e+02
            67   9.48044e+01   6.70000e+01  -5.25895e+00   5.50500e+00   1.05583e+02
            68   9.49389e+01   6.80000e+01  -5.28737e+00   5.50500e+00   1.05667e+02
            69   9.50812e+01   6.90000e+01  -5.31487e+00   5.50500e+00   1.05750e+02
            70   9.52052e+01   7.00000e+01  -5.34153e+00   5.50500e+00   1.05833e+02
            71   9.53312e+01   7.10000e+01  -5.36805e+00   5.50500e+00   1.05917e+02
            72   9.54771e+01   7.20000e+01  -5.39665e+00   5.50500e+00   1.06000e+02
            73   9.56150e+01   7.30000e+01  -5.42555e+00   5.50503e+00   1.06083e+02
            74   9.57361e+01   7.40000e+01  -5.45395e+00   5.50512e+00   1.06167e+02
            75   9.58628e+01   7.50000e+01  -5.48126e+00   5.50522e+00   1.06250e+02
            76   9.59840e+01   7.60000e+01  -5.51341e+00   5.50536e+00   1.06333e+02
            77   9.61076e+01   7.70000e+01  -5.54427e+00   5.50548e+00   1.06417e+02
            78   9.62524e+01   7.80000e+01  -5.57405e+00   5.50559e+00   1.06500e+02
            79   9.63733e+01   7.90000e+01  -5.60256e+00   5.50569e+00   1.06583e+02
            80   9.65042e+01   8.00000e+01  -5.63190e+00   5.50578e+00   1.06667e+02
            81   9.66280e+01   8.10000e+01  -5.66141e+00   5.50586e+00   1.06750e+02
            82   9.67518e+01   8.20000e+01  -5.69067e+00   5.50592e+00   1.06833e+02
            83   9.68821e+01   8.30000e+01  -5.72021e+00   5.50597e+00   1.06917e+02
            84   9.70045e+01   8.40000e+01  -5.74989e+00   5.50596e+00   1.07000e+02
            85   9.71160e+01   8.50000e+01  -5.77962e+00   5.50597e+00   1.07083e+02
            86   9.72467e+01   8.60000e+01  -5.80895e+00   5.50599e+00   1.07167e+02
            87   9.73761e+01   8.70000e+01  -5.83772e+00   5.50600e+00   1.07250e+02
            88   9.74933e+01   8.80000e+01  -5.86836e+00   5.50599e+00   1.07333e+02
            89   9.76146e+01   8.90000e+01  -5.89858e+00   5.50600e+00   1.07417e+02
            90   9.77414e+01   9.00000e+01  -5.92846e+00   5.50600e+00   1.07500e+02
            91   9.78773e+01   9.10000e+01  -5.95896e+00   5.50600e+00   1.07583e+02
            92   9.79942e+01   9.20000e+01  -5.98855e+00   5.50600e+00   1.07667e+02
            93   9.81223e+01   9.30000e+01  -6.01631e+00   5.50600e+00   1.07750e+02
            94   9.82453e+01   9.40000e+01  -6.04428e+00   5.50600e+00   1.07833e+02
            95   9.83529e+01   9.50000e+01  -6.07260e+00   5.50600e+00   1.07917e+02
            96   9.84788e+01   9.60000e+01  -6.10122e+00   5.50600e+00   1.08000e+02
            97   9.85812e+01   9.70000e+01  -6.12930e+00   5.50600e+00   1.08083e+02
            98   9.87074e+01   9.80000e+01  -6.15696e+00   5.50600e+00   1.08167e+02
            99   9.88215e+01   9.90000e+01  -6.18419e+00   5.50600e+00   1.08250e+02
           100   9.89490e+01   1.00000e+02  -6.21021e+00   5.50600e+00   1.08333e+02
           101   9.90794e+01   1.01000e+02  -6.23531e+00   5.50600e+00   1.08417e+02
           102   9.91956e+01   1.02000e+02  -6.25946e+00   5.50600e+00   1.08500e+02
           103   9.93174e+01   1.03000e+02  -6.28399e+00   5.50600e+00   1.08583e+02
           104   9.94163e+01   1.04000e+02  -6.31037e+00   5.50600e+00   1.08667e+02
           105   9.95412e+01   1.05000e+02  -6.33580e+00   5.50600e+00   1.08750e+02
           106   9.96554e+01   1.06000e+02  -6.36071e+00   5.50600e+00   1.08833e+02
           107   9.97697e+01   1.07000e+02  -6.38435e+00   5.50600e+00   1.08917e+02
           108   9.98819e+01   1.08000e+02  -6.40637e+00   5.50600e+00   1.09000e+02
           109   1.00009e+02   1.09000e+02  -6.43000e+00   5.50600e+00   1.09083e+02
           110   1.00116e+02   1.10000e+02  -6.45342e+00   5.50600e+00   1.09167e+02
           111   1.00229e+02   1.11000e+02  -6.47621e+00   5.50600e+00   1.09250e+02
           112   1.00350e+02   1.12000e+02  -6.49662e+00   5.50600e+00   1.09333e+02
           113   1.00450e+02   1.13000e+02  -6.51797e+00   5.50600e+00   1.09417e+02
           114   1.00574e+02   1.14000e+02  -6.54051e+00   5.50600e+00   1.09500e+02
           115   1.00701e+02   1.15000e+02  -6.56398e+00   5.50600e+00   1.09583e+02
           116   1.00809e+02   1.16000e+02  -6.58305e+00   5.50600e+00   1.09667e+02
           117   1.00910e+02   1.17000e+02  -6.60495e+00   5.50600e+00   1.09750e+02
           118   1.01034e+02   1.18000e+02  -6.62729e+00   5.50600e+00   1.09833e+02
           119   1.01147e+02   1.19000e+02  -6.64829e+00   5.50600e+00   1.09917e+02
           120   1.01266e+02   1.20000e+02  -6.66916e+00   5.50600e+00   1.10000e+02
           121   1.01369e+02   1.21000e+02  -6.69013e+00   5.50600e+00   1.10083e+02
           122   1.01488e+02   1.22000e+02  -6.71107e+00   5.50600e+00   1.10167e+02
           123   1.01604e+02   1.23000e+02  -6.73188e+00   5.50600e+00   1.10250e+02
           124   1.01707e+02   1.24000e+02  -6.75690e+00   5.50600e+00   1.10333e+02
           125   1.01813e+02   1.25000e+02  -6.78009e+00   5.50600e+00   1.10417e+02
           126   1.01926e+02   1.26000e+02  -6.80167e+00   5.50600e+00   1.10500e+02
           127   1.02034e+02   1.27000e+02  -6.82376e+00   5.50600e+00   1.10583e+02
           128   1.02147e+02   1.28000e+02  -6.84224e+00   5.50600e+00   1.10667e+02
           129   1.02263e+02   1.29000e+02  -6.86174e+00   5.50600e+00   1.10750e+02
           130   1.02381e+02   1.30000e+02  -6.88229e+00   5.50600e+00   1.10833e+02
           131   1.02475e+02   1.31000e+02  -6.90346e+00   5.50600e+00   1.10917e+02
           132   1.02586e+02   1.32000e+02  -6.92467e+00   5.50600e+00   1.11000e+02
           133   1.02681e+02   1.33000e+02  -6.94692e+00   5.50600e+00   1.11083e+02
           134   1.02808e+02   1.34000e+02  -6.96795e+00   5.50600e+00   1.11167e+02
           135   1.02913e+02   1.35000e+02  -6.98701e+00   5.50600e+00   1.11250e+02
           136   1.03015e+02   1.36000e+02  -7.00516e+00   5.50600e+00   1.11333e+02
           137   1.03134e+02   1.37000e+02  -7.02403e+00   5.50600e+00   1.11417e+02
           138   1.03240e+02   1.38000e+02  -7.04219e+00   5.50600e+00   1.11500e+02
           139   1.03353e+02   1.39000e+02  -7.06023e+00   5.50600e+00   1.11583e+02
           140   1.03471e+02   1.40000e+02  -7.07773e+00   5.50600e+00   1.11667e+02
           141   1.03575e+02   1.41000e+02  -7.09497e+00   5.50600e+00   1.11750e+02
           142   1.03672e+02   1.42000e+02  -7.11285e+00   5.50600e+00   1.11833e+02
           143   1.03782e+02   1.43000e+02  -7.13135e+00   5.50600e+00   1.11917e+02
           144   1.03890e+02   1.44000e+02  -7.14342e+00   5.50600e+00   1.12000e+02
           145   1.03989e+02   1.45000e+02  -7.15933e+00   5.50600e+00   1.12083e+02
