         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.26409e+01   0.00000e+00  -1.51272e+01   4.48847e+00   1.00000e+02
             1   8.27687e+01   1.00000e+00  -1.44312e+01   4.48878e+00   1.00083e+02
             2   8.29016e+01   2.00000e+00  -1.36705e+01   4.48914e+00   1.00167e+02
             3   8.30553e+01   3.00000e+00  -1.29054e+01   4.48956e+00   1.00250e+02
             4   8.32342e+01   4.00000e+00  -1.22011e+01   4.49034e+00   1.00333e+02
             5   8.34105e+01   5.00000e+00  -1.15785e+01   4.49119e+00   1.00417e+02
             6   8.36001e+01   6.00000e+00  -1.10484e+01   4.49213e+00   1.00500e+02
             7   8.37853e+01   7.00000e+00  -1.05466e+01   4.49317e+00   1.00583e+02
             8   8.39803e+01   8.00000e+00  -1.01408e+01   4.49480e+00   1.00667e+02
             9   8.41819e+01   9.00000e+00  -9.72377e+00   4.49629e+00   1.00750e+02
            10   8.43782e+01   1.00000e+01  -9.36282e+00   4.49784e+00   1.00833e+02
            11   8.45875e+01   1.10000e+01  -9.01046e+00   4.49946e+00   1.00917e+02
            12   8.47786e+01   1.20000e+01  -8.73979e+00   4.50129e+00   1.01000e+02
            13   8.49747e+01   1.30000e+01  -8.44520e+00   4.50292e+00   1.01083e+02
            14   8.51764e+01   1.40000e+01  -8.16130e+00   4.50445e+00   1.01167e+02
            15   8.53789e+01   1.50000e+01  -7.88850e+00   4.50594e+00   1.01250e+02
            16   8.56006e+01   1.60000e+01  -7.67943e+00   4.50706e+00   1.01333e+02
            17   8.57859e+01   1.70000e+01  -7.44967e+00   4.50813e+00   1.01417e+02
            18   8.59960e+01   1.80000e+01  -7.22389e+00   4.50911e+00   1.01500e+02
            19   8.61948e+01   1.90000e+01  -7.00696e+00   4.50999e+00   1.01583e+02
            20   8.63899e+01   2.00000e+01  -6.82749e+00   4.51033e+00   1.01667e+02
            21   8.65886e+01   2.10000e+01  -6.63626e+00   4.51079e+00   1.01750e+02
            22   8.67852e+01   2.20000e+01  -6.46341e+00   4.51120e+00   1.01833e+02
            23   8.69726e+01   2.30000e+01  -6.29228e+00   4.51156e+00   1.01917e+02
            24   8.71630e+01   2.40000e+01  -6.16908e+00   4.51159e+00   1.02000e+02
            25   8.73613e+01   2.50000e+01  -6.02710e+00   4.51173e+00   1.02083e+02
            26   8.75546e+01   2.60000e+01  -5.88774e+00   4.51185e+00   1.02167e+02
            27   8.77312e+01   2.70000e+01  -5.75268e+00   4.51195e+00   1.02250e+02
            28   8.79195e+01   2.80000e+01  -5.66132e+00   4.51193e+00   1.02333e+02
            29   8.81133e+01   2.90000e+01  -5.55008e+00   4.51195e+00   1.02417e+02
            30   8.82961e+01   3.00000e+01  -5.43586e+00   4.51198e+00   1.02500e+02
            31   8.84648e+01   3.10000e+01  -5.31653e+00   4.51200e+00   1.02583e+02
            32   8.86568e+01   3.20000e+01  -5.26394e+00   4.51199e+00   1.02667e+02
            33   8.88243e+01   3.30000e+01  -5.17534e+00   4.51199e+00   1.02750e+02
            34   8.89987e+01   3.40000e+01  -5.09207e+00   4.51200e+00   1.02833e+02
            35   8.91681e+01   3.50000e+01  -5.01382e+00   4.51200e+00   1.02917e+02
            36   8.93392e+01   3.60000e+01  -4.96738e+00   4.51200e+00   1.03000e+02
            37   8.95145e+01   3.70000e+01  -4.90540e+00   4.51197e+00   1.03083e+02
            38   8.96859e+01   3.80000e+01  -4.83984e+00   4.51188e+00   1.03167e+02
            39   8.98610e+01   3.90000e+01  -4.77047e+00   4.51178e+00   1.03250e+02
            40   9.00205e+01   4.00000e+01  -4.75882e+00   4.51164e+00   1.03333e+02
            41   9.01795e+01   4.10000e+01  -4.72072e+00   4.51152e+00   1.03417e+02
            42   9.03454e+01   4.20000e+01  -4.67749e+00   4.51141e+00   1.03500e+02
            43   9.05096e+01   4.30000e+01  -4.63354e+00   4.51131e+00   1.03583e+02
            44   9.06694e+01   4.40000e+01  -4.61210e+00   4.51122e+00   1.03667e+02
            45   9.08286e+01   4.50000e+01  -4.58198e+00   4.51114e+00   1.03750e+02
            46   9.09806e+01   4.60000e+01  -4.55263e+00   4.51108e+00   1.03833e+02
            47   9.11205e+01   4.70000e+01  -4.52579e+00   4.51103e+00   1.03917e+02
            48   9.12818e+01   4.80000e+01  -4.51551e+00   4.51104e+00   1.04000e+02
            49   9.14351e+01   4.90000e+01  -4.49779e+00   4.51103e+00   1.04083e+02
            50   9.15903e+01   5.00000e+01  -4.47808e+00   4.51101e+00   1.04167e+02
            51   9.17524e+01   5.10000e+01  -4.45919e+00   4.51100e+00   1.04250e+02
            52   9.19006e+01   5.20000e+01  -4.45409e+00   4.51103e+00   1.04333e+02
            53   9.20468e+01   5.30000e+01  -4.44543e+00   4.51112e+00   1.04417e+02
            54   9.21978e+01   5.40000e+01  -4.43827e+00   4.51123e+00   1.04500e+02
            55   9.23431e+01   5.50000e+01  -4.43087e+00   4.51133e+00   1.04583e+02
            56   9.24854e+01   5.60000e+01  -4.43646e+00   4.51150e+00   1.04667e+02
            57   9.26360e+01   5.70000e+01  -4.43648e+00   4.51162e+00   1.04750e+02
            58   9.27854e+01   5.80000e+01  -4.43552e+00   4.51172e+00   1.04833e+02
            59   9.29383e+01   5.90000e+01  -4.43463e+00   4.51182e+00   1.04917e+02
            60   9.30698e+01   6.00000e+01  -4.44376e+00   4.51186e+00   1.05000e+02
            61   9.32190e+01   6.10000e+01  -4.44896e+00   4.51191e+00   1.05083e+02
            62   9.33485e+01   6.20000e+01  -4.45392e+00   4.51195e+00   1.05167e+02
            63   9.34810e+01   6.30000e+01  -4.46041e+00   4.51198e+00   1.05250e+02
            64   9.36351e+01   6.40000e+01  -4.47730e+00   4.51197e+00   1.05333e+02
            65   9.37683e+01   6.50000e+01  -4.48965e+00   4.51198e+00   1.05417e+02
            66   9.39108e+01   6.60000e+01  -4.50057e+00   4.51199e+00   1.05500e+02
            67   9.40476e+01   6.70000e+01  -4.51217e+00   4.51200e+00   1.05583e+02
            68   9.41740e+01   6.80000e+01  -4.53018e+00   4.51200e+00   1.05667e+02
            69   9.42985e+01   6.90000e+01  -4.54671e+00   4.51200e+00   1.05750e+02
            70   9.44447e+01   7.00000e+01  -4.56254e+00   4.51200e+00   1.05833e+02
            71   9.45858e+01   7.10000e+01  -4.57759e+00   4.51200e+00   1.05917e+02
            72   9.47031e+01   7.20000e+01  -4.60150e+00   4.51200e+00   1.06000e+02
