         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.32952e+01   0.00000e+00  -1.41648e+01   4.98503e+00   1.00000e+02
             1   8.34270e+01   1.00000e+00  -1.34607e+01   4.98512e+00   1.00083e+02
             2   8.35649e+01   2.00000e+00  -1.26673e+01   4.98525e+00   1.00167e+02
             3   8.37293e+01   3.00000e+00  -1.18433e+01   4.98545e+00   1.00250e+02
             4   8.38777e+01   4.00000e+00  -1.11976e+01   4.98588e+00   1.00333e+02
             5   8.40481e+01   5.00000e+00  -1.05526e+01   4.98634e+00   1.00417e+02
             6   8.42312e+01   6.00000e+00  -9.95717e+00   4.98691e+00   1.00500e+02
             7   8.44039e+01   7.00000e+00  -9.40026e+00   4.98761e+00   1.00583e+02
             8   8.45899e+01   8.00000e+00  -8.94362e+00   4.98872e+00   1.00667e+02
             9   8.47738e+01   9.00000e+00  -8.50889e+00   4.98977e+00   1.00750e+02
            10   8.49743e+01   1.00000e+01  -8.08612e+00   4.99085e+00   1.00833e+02
            11   8.51695e+01   1.10000e+01  -7.68180e+00   4.99196e+00   1.00917e+02
            12   8.53474e+01   1.20000e+01  -7.34624e+00   4.99330e+00   1.01000e+02
            13   8.55513e+01   1.30000e+01  -7.00630e+00   4.99446e+00   1.01083e+02
            14   8.57429e+01   1.40000e+01  -6.69416e+00   4.99552e+00   1.01167e+02
            15   8.59259e+01   1.50000e+01  -6.41542e+00   4.99655e+00   1.01250e+02
            16   8.61262e+01   1.60000e+01  -6.14672e+00   4.99734e+00   1.01333e+02
            17   8.63141e+01   1.70000e+01  -5.89829e+00   4.99814e+00   1.01417e+02
            18   8.65132e+01   1.80000e+01  -5.67045e+00   4.99886e+00   1.01500e+02
            19   8.66958e+01   1.90000e+01  -5.44376e+00   4.99951e+00   1.01583e+02
            20   8.68694e+01   2.00000e+01  -5.27288e+00   4.99980e+00   1.01667e+02
            21   8.70697e+01   2.10000e+01  -5.08304e+00   5.00015e+00   1.01750e+02
            22   8.72516e+01   2.20000e+01  -4.90003e+00   5.00046e+00   1.01833e+02
            23   8.74426e+01   2.30000e+01  -4.72486e+00   5.00072e+00   1.01917e+02
            24   8.76106e+01   2.40000e+01  -4.58399e+00   5.00073e+00   1.02000e+02
            25   8.78093e+01   2.50000e+01  -4.43845e+00   5.00082e+00   1.02083e+02
            26   8.79875e+01   2.60000e+01  -4.29938e+00   5.00087e+00   1.02167e+02
            27   8.81627e+01   2.70000e+01  -4.16591e+00   5.00086e+00   1.02250e+02
            28   8.83347e+01   2.80000e+01  -4.08536e+00   5.00072e+00   1.02333e+02
            29   8.85003e+01   2.90000e+01  -3.98308e+00   5.00062e+00   1.02417e+02
            30   8.86804e+01   3.00000e+01  -3.88065e+00   5.00052e+00   1.02500e+02
            31   8.88504e+01   3.10000e+01  -3.78114e+00   5.00043e+00   1.02583e+02
            32   8.90182e+01   3.20000e+01  -3.73595e+00   5.00028e+00   1.02667e+02
            33   8.91893e+01   3.30000e+01  -3.65939e+00   5.00018e+00   1.02750e+02
            34   8.93582e+01   3.40000e+01  -3.57607e+00   5.00011e+00   1.02833e+02
            35   8.95188e+01   3.50000e+01  -3.50225e+00   5.00005e+00   1.02917e+02
            36   8.96813e+01   3.60000e+01  -3.46289e+00   5.00006e+00   1.03000e+02
            37   8.98490e+01   3.70000e+01  -3.40313e+00   5.00004e+00   1.03083e+02
            38   9.00166e+01   3.80000e+01  -3.34723e+00   5.00002e+00   1.03167e+02
            39   9.01736e+01   3.90000e+01  -3.28665e+00   5.00001e+00   1.03250e+02
            40   9.03159e+01   4.00000e+01  -3.28539e+00   5.00001e+00   1.03333e+02
            41   9.04692e+01   4.10000e+01  -3.25994e+00   5.00001e+00   1.03417e+02
            42   9.06247e+01   4.20000e+01  -3.23538e+00   5.00000e+00   1.03500e+02
            43   9.07723e+01   4.30000e+01  -3.20722e+00   5.00000e+00   1.03583e+02
            44   9.09283e+01   4.40000e+01  -3.20021e+00   5.00000e+00   1.03667e+02
            45   9.10856e+01   4.50000e+01  -3.18218e+00   5.00000e+00   1.03750e+02
            46   9.12356e+01   4.60000e+01  -3.16407e+00   5.00000e+00   1.03833e+02
            47   9.13877e+01   4.70000e+01  -3.14835e+00   5.00000e+00   1.03917e+02
            48   9.15365e+01   4.80000e+01  -3.14543e+00   5.00000e+00   1.04000e+02
            49   9.16853e+01   4.90000e+01  -3.14003e+00   5.00000e+00   1.04083e+02
            50   9.18335e+01   5.00000e+01  -3.13558e+00   5.00000e+00   1.04167e+02
            51   9.19720e+01   5.10000e+01  -3.13282e+00   5.00000e+00   1.04250e+02
            52   9.21182e+01   5.20000e+01  -3.14460e+00   5.00000e+00   1.04333e+02
            53   9.22617e+01   5.30000e+01  -3.15004e+00   5.00000e+00   1.04417e+02
            54   9.23896e+01   5.40000e+01  -3.15545e+00   5.00000e+00   1.04500e+02
            55   9.25402e+01   5.50000e+01  -3.16151e+00   5.00000e+00   1.04583e+02
            56   9.26802e+01   5.60000e+01  -3.18167e+00   5.00000e+00   1.04667e+02
            57   9.28146e+01   5.70000e+01  -3.19407e+00   5.00000e+00   1.04750e+02
            58   9.29458e+01   5.80000e+01  -3.20425e+00   5.00000e+00   1.04833e+02
            59   9.30876e+01   5.90000e+01  -3.21430e+00   5.00000e+00   1.04917e+02
            60   9.32234e+01   6.00000e+01  -3.23596e+00   5.00000e+00   1.05000e+02
            61   9.33575e+01   6.10000e+01  -3.25261e+00   5.00000e+00   1.05083e+02
            62   9.35013e+01   6.20000e+01  -3.26817e+00   5.00000e+00   1.05167e+02
            63   9.36337e+01   6.30000e+01  -3.28362e+00   5.00000e+00   1.05250e+02
            64   9.37668e+01   6.40000e+01  -3.30453e+00   5.00000e+00   1.05333e+02
            65   9.38914e+01   6.50000e+01  -3.32227e+00   5.00000e+00   1.05417e+02
            66   9.40209e+01   6.60000e+01  -3.34058e+00   5.00000e+00   1.05500e+02
            67   9.41655e+01   6.70000e+01  -3.35934e+00   5.00000e+00   1.05583e+02
            68   9.42945e+01   6.80000e+01  -3.37985e+00   5.00000e+00   1.05667e+02
            69   9.44193e+01   6.90000e+01  -3.40203e+00   5.00000e+00   1.05750e+02
            70   9.45491e+01   7.00000e+01  -3.42355e+00   5.00000e+00   1.05833e+02
            71   9.46797e+01   7.10000e+01  -3.44452e+00   5.00000e+00   1.05917e+02
            72   9.48036e+01   7.20000e+01  -3.47132e+00   5.00000e+00   1.06000e+02
            73   9.49298e+01   7.30000e+01  -3.49494e+00   5.00000e+00   1.06083e+02
            74   9.50614e+01   7.40000e+01  -3.51797e+00   5.00000e+00   1.06167e+02
            75   9.51918e+01   7.50000e+01  -3.54095e+00   5.00000e+00   1.06250e+02
            76   9.53153e+01   7.60000e+01  -3.56592e+00   5.00000e+00   1.06333e+02
            77   9.54235e+01   7.70000e+01  -3.59047e+00   5.00000e+00   1.06417e+02
            78   9.55626e+01   7.80000e+01  -3.61557e+00   5.00000e+00   1.06500e+02
            79   9.56891e+01   7.90000e+01  -3.64115e+00   5.00000e+00   1.06583e+02
            80   9.58032e+01   8.00000e+01  -3.66383e+00   5.00000e+00   1.06667e+02
            81   9.59293e+01   8.10000e+01  -3.68745e+00   5.00000e+00   1.06750e+02
            82   9.60491e+01   8.20000e+01  -3.71149e+00   5.00000e+00   1.06833e+02
            83   9.61787e+01   8.30000e+01  -3.73493e+00   5.00000e+00   1.06917e+02
            84   9.62937e+01   8.40000e+01  -3.76121e+00   5.00000e+00   1.07000e+02
            85   9.64095e+01   8.50000e+01  -3.78687e+00   5.00000e+00   1.07083e+02
            86   9.65444e+01   8.60000e+01  -3.81254e+00   5.00000e+00   1.07167e+02
            87   9.66555e+01   8.70000e+01  -3.83939e+00   5.00000e+00   1.07250e+02
