         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.30778e+01   0.00000e+00  -1.45704e+01   6.12547e+00   1.00000e+02
             1   8.32057e+01   1.00000e+00  -1.38850e+01   6.12576e+00   1.00083e+02
             2   8.33487e+01   2.00000e+00  -1.31210e+01   6.12602e+00   1.00167e+02
             3   8.34972e+01   3.00000e+00  -1.23433e+01   6.12633e+00   1.00250e+02
             4   8.36655e+01   4.00000e+00  -1.16143e+01   6.12684e+00   1.00333e+02
             5   8.38323e+01   5.00000e+00  -1.09624e+01   6.12739e+00   1.00417e+02
             6   8.40239e+01   6.00000e+00  -1.03971e+01   6.12807e+00   1.00500e+02
             7   8.42111e+01   7.00000e+00  -9.85091e+00   6.12881e+00   1.00583e+02
             8   8.43967e+01   8.00000e+00  -9.39599e+00   6.12988e+00   1.00667e+02
             9   8.45895e+01   9.00000e+00  -8.95332e+00   6.13093e+00   1.00750e+02
            10   8.47779e+01   1.00000e+01  -8.55667e+00   6.13203e+00   1.00833e+02
            11   8.49669e+01   1.10000e+01  -8.20523e+00   6.13320e+00   1.00917e+02
            12   8.51679e+01   1.20000e+01  -7.90298e+00   6.13461e+00   1.01000e+02
            13   8.53514e+01   1.30000e+01  -7.57509e+00   6.13586e+00   1.01083e+02
            14   8.55423e+01   1.40000e+01  -7.27879e+00   6.13701e+00   1.01167e+02
            15   8.57467e+01   1.50000e+01  -6.99944e+00   6.13813e+00   1.01250e+02
            16   8.59274e+01   1.60000e+01  -6.79606e+00   6.13904e+00   1.01333e+02
            17   8.61202e+01   1.70000e+01  -6.57128e+00   6.13988e+00   1.01417e+02
            18   8.63126e+01   1.80000e+01  -6.36108e+00   6.14065e+00   1.01500e+02
            19   8.65041e+01   1.90000e+01  -6.17215e+00   6.14135e+00   1.01583e+02
            20   8.66980e+01   2.00000e+01  -6.01747e+00   6.14161e+00   1.01667e+02
            21   8.68779e+01   2.10000e+01  -5.84078e+00   6.14198e+00   1.01750e+02
            22   8.70566e+01   2.20000e+01  -5.66042e+00   6.14231e+00   1.01833e+02
            23   8.72393e+01   2.30000e+01  -5.49218e+00   6.14259e+00   1.01917e+02
            24   8.74344e+01   2.40000e+01  -5.37719e+00   6.14265e+00   1.02000e+02
            25   8.76066e+01   2.50000e+01  -5.23883e+00   6.14276e+00   1.02083e+02
            26   8.78031e+01   2.60000e+01  -5.09508e+00   6.14287e+00   1.02167e+02
            27   8.79852e+01   2.70000e+01  -4.96230e+00   6.14296e+00   1.02250e+02
            28   8.81586e+01   2.80000e+01  -4.88242e+00   6.14294e+00   1.02333e+02
            29   8.83346e+01   2.90000e+01  -4.78350e+00   6.14296e+00   1.02417e+02
            30   8.85049e+01   3.00000e+01  -4.68662e+00   6.14298e+00   1.02500e+02
