         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.26891e+01   0.00000e+00  -1.92717e+01   6.06047e+00   1.00000e+02
             1   8.28357e+01   1.00000e+00  -1.84444e+01   6.06078e+00   1.00083e+02
             2   8.29653e+01   2.00000e+00  -1.75485e+01   6.06114e+00   1.00167e+02
             3   8.31232e+01   3.00000e+00  -1.66942e+01   6.06156e+00   1.00250e+02
             4   8.32968e+01   4.00000e+00  -1.58972e+01   6.06221e+00   1.00333e+02
             5   8.34720e+01   5.00000e+00  -1.51326e+01   6.06285e+00   1.00417e+02
             6   8.36712e+01   6.00000e+00  -1.44667e+01   6.06354e+00   1.00500e+02
             7   8.38636e+01   7.00000e+00  -1.38266e+01   6.06428e+00   1.00583e+02
             8   8.40576e+01   8.00000e+00  -1.32931e+01   6.06542e+00   1.00667e+02
             9   8.42494e+01   9.00000e+00  -1.27792e+01   6.06653e+00   1.00750e+02
            10   8.44533e+01   1.00000e+01  -1.23126e+01   6.06766e+00   1.00833e+02
            11   8.46458e+01   1.10000e+01  -1.18855e+01   6.06881e+00   1.00917e+02
            12   8.48576e+01   1.20000e+01  -1.15197e+01   6.07031e+00   1.01000e+02
            13   8.50523e+01   1.30000e+01  -1.11281e+01   6.07162e+00   1.01083e+02
            14   8.52555e+01   1.40000e+01  -1.07465e+01   6.07281e+00   1.01167e+02
            15   8.54599e+01   1.50000e+01  -1.04014e+01   6.07398e+00   1.01250e+02
            16   8.56494e+01   1.60000e+01  -1.00899e+01   6.07496e+00   1.01333e+02
            17   8.58455e+01   1.70000e+01  -9.76650e+00   6.07590e+00   1.01417e+02
            18   8.60389e+01   1.80000e+01  -9.45412e+00   6.07671e+00   1.01500e+02
            19   8.62357e+01   1.90000e+01  -9.17725e+00   6.07744e+00   1.01583e+02
            20   8.64349e+01   2.00000e+01  -8.94299e+00   6.07772e+00   1.01667e+02
            21   8.66280e+01   2.10000e+01  -8.68402e+00   6.07810e+00   1.01750e+02
            22   8.68185e+01   2.20000e+01  -8.42441e+00   6.07844e+00   1.01833e+02
            23   8.70135e+01   2.30000e+01  -8.18523e+00   6.07872e+00   1.01917e+02
            24   8.72121e+01   2.40000e+01  -8.00227e+00   6.07871e+00   1.02000e+02
            25   8.74126e+01   2.50000e+01  -7.80233e+00   6.07881e+00   1.02083e+02
            26   8.75971e+01   2.60000e+01  -7.60264e+00   6.07890e+00   1.02167e+02
            27   8.77762e+01   2.70000e+01  -7.40649e+00   6.07897e+00   1.02250e+02
            28   8.79606e+01   2.80000e+01  -7.26538e+00   6.07895e+00   1.02333e+02
            29   8.81404e+01   2.90000e+01  -7.10802e+00   6.07896e+00   1.02417e+02
            30   8.83290e+01   3.00000e+01  -6.95018e+00   6.07898e+00   1.02500e+02
            31   8.85040e+01   3.10000e+01  -6.78086e+00   6.07900e+00   1.02583e+02
            32   8.86866e+01   3.20000e+01  -6.66572e+00   6.07899e+00   1.02667e+02
            33   8.88657e+01   3.30000e+01  -6.52926e+00   6.07899e+00   1.02750e+02
            34   8.90353e+01   3.40000e+01  -6.38876e+00   6.07900e+00   1.02833e+02
            35   8.92026e+01   3.50000e+01  -6.25740e+00   6.07900e+00   1.02917e+02
            36   8.93739e+01   3.60000e+01  -6.16444e+00   6.07900e+00   1.03000e+02
            37   8.95578e+01   3.70000e+01  -6.05303e+00   6.07900e+00   1.03083e+02
            38   8.97145e+01   3.80000e+01  -5.93766e+00   6.07900e+00   1.03167e+02
            39   8.98847e+01   3.90000e+01  -5.83157e+00   6.07900e+00   1.03250e+02
