         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.27728e+01   0.00000e+00  -1.44637e+01   6.32119e+00   1.00000e+02
             1   8.28914e+01   1.00000e+00  -1.37836e+01   6.32135e+00   1.00083e+02
             2   8.30228e+01   2.00000e+00  -1.30195e+01   6.32162e+00   1.00167e+02
             3   8.31745e+01   3.00000e+00  -1.22260e+01   6.32200e+00   1.00250e+02
             4   8.33435e+01   4.00000e+00  -1.15780e+01   6.32270e+00   1.00333e+02
             5   8.35137e+01   5.00000e+00  -1.09953e+01   6.32350e+00   1.00417e+02
             6   8.37124e+01   6.00000e+00  -1.04911e+01   6.32446e+00   1.00500e+02
             7   8.39083e+01   7.00000e+00  -1.00073e+01   6.32556e+00   1.00583e+02
             8   8.41014e+01   8.00000e+00  -9.61165e+00   6.32728e+00   1.00667e+02
             9   8.43100e+01   9.00000e+00  -9.23789e+00   6.32885e+00   1.00750e+02
            10   8.44891e+01   1.00000e+01  -8.90789e+00   6.33045e+00   1.00833e+02
            11   8.47035e+01   1.10000e+01  -8.59963e+00   6.33206e+00   1.00917e+02
            12   8.48997e+01   1.20000e+01  -8.31536e+00   6.33398e+00   1.01000e+02
            13   8.50939e+01   1.30000e+01  -8.02491e+00   6.33567e+00   1.01083e+02
            14   8.52976e+01   1.40000e+01  -7.74648e+00   6.33722e+00   1.01167e+02
            15   8.55034e+01   1.50000e+01  -7.50298e+00   6.33867e+00   1.01250e+02
            16   8.57066e+01   1.60000e+01  -7.29140e+00   6.33983e+00   1.01333e+02
            17   8.59067e+01   1.70000e+01  -7.07317e+00   6.34090e+00   1.01417e+02
            18   8.61097e+01   1.80000e+01  -6.86631e+00   6.34185e+00   1.01500e+02
            19   8.63112e+01   1.90000e+01  -6.67038e+00   6.34274e+00   1.01583e+02
            20   8.65068e+01   2.00000e+01  -6.53109e+00   6.34311e+00   1.01667e+02
            21   8.66925e+01   2.10000e+01  -6.37456e+00   6.34360e+00   1.01750e+02
            22   8.68916e+01   2.20000e+01  -6.22202e+00   6.34404e+00   1.01833e+02
            23   8.70897e+01   2.30000e+01  -6.07590e+00   6.34442e+00   1.01917e+02
            24   8.72761e+01   2.40000e+01  -5.98336e+00   6.34450e+00   1.02000e+02
            25   8.74713e+01   2.50000e+01  -5.86249e+00   6.34467e+00   1.02083e+02
            26   8.76598e+01   2.60000e+01  -5.74296e+00   6.34482e+00   1.02167e+02
            27   8.78386e+01   2.70000e+01  -5.62874e+00   6.34494e+00   1.02250e+02
            28   8.80219e+01   2.80000e+01  -5.54473e+00   6.34480e+00   1.02333e+02
            29   8.82205e+01   2.90000e+01  -5.44012e+00   6.34472e+00   1.02417e+02
            30   8.83824e+01   3.00000e+01  -5.33979e+00   6.34464e+00   1.02500e+02
            31   8.85775e+01   3.10000e+01  -5.23578e+00   6.34455e+00   1.02583e+02
            32   8.87582e+01   3.20000e+01  -5.19205e+00   6.34434e+00   1.02667e+02
            33   8.89244e+01   3.30000e+01  -5.12156e+00   6.34422e+00   1.02750e+02
            34   8.91219e+01   3.40000e+01  -5.04787e+00   6.34414e+00   1.02833e+02
            35   8.92881e+01   3.50000e+01  -4.97615e+00   6.34406e+00   1.02917e+02
            36   8.94616e+01   3.60000e+01  -4.93883e+00   6.34407e+00   1.03000e+02
            37   8.96326e+01   3.70000e+01  -4.88585e+00   6.34405e+00   1.03083e+02
            38   8.97903e+01   3.80000e+01  -4.82816e+00   6.34402e+00   1.03167e+02
            39   8.99673e+01   3.90000e+01  -4.76507e+00   6.34401e+00   1.03250e+02
            40   9.01174e+01   4.00000e+01  -4.74316e+00   6.34401e+00   1.03333e+02
            41   9.02917e+01   4.10000e+01  -4.70670e+00   6.34401e+00   1.03417e+02
            42   9.04585e+01   4.20000e+01  -4.66947e+00   6.34400e+00   1.03500e+02
            43   9.06226e+01   4.30000e+01  -4.63433e+00   6.34400e+00   1.03583e+02
