         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.52968e+01   0.00000e+00  -1.69770e+01   6.53756e+00   1.00000e+02
             1   8.54344e+01   1.00000e+00  -1.62246e+01   6.53789e+00   1.00083e+02
             2   8.55786e+01   2.00000e+00  -1.53993e+01   6.53825e+00   1.00167e+02
             3   8.57558e+01   3.00000e+00  -1.45677e+01   6.53867e+00   1.00250e+02
             4   8.59362e+01   4.00000e+00  -1.37959e+01   6.53927e+00   1.00333e+02
             5   8.61176e+01   5.00000e+00  -1.31057e+01   6.53991e+00   1.00417e+02
             6   8.63173e+01   6.00000e+00  -1.24994e+01   6.54069e+00   1.00500e+02
             7   8.65349e+01   7.00000e+00  -1.19223e+01   6.54152e+00   1.00583e+02
             8   8.67600e+01   8.00000e+00  -1.14243e+01   6.54277e+00   1.00667e+02
             9   8.69463e+01   9.00000e+00  -1.09413e+01   6.54393e+00   1.00750e+02
            10   8.71561e+01   1.00000e+01  -1.05027e+01   6.54515e+00   1.00833e+02
            11   8.73693e+01   1.10000e+01  -1.01163e+01   6.54639e+00   1.00917e+02
            12   8.75600e+01   1.20000e+01  -9.76491e+00   6.54785e+00   1.01000e+02
            13   8.77945e+01   1.30000e+01  -9.41906e+00   6.54914e+00   1.01083e+02
            14   8.79988e+01   1.40000e+01  -9.09625e+00   6.55038e+00   1.01167e+02
            15   8.82022e+01   1.50000e+01  -8.80190e+00   6.55160e+00   1.01250e+02
            16   8.84078e+01   1.60000e+01  -8.55321e+00   6.55254e+00   1.01333e+02
            17   8.86281e+01   1.70000e+01  -8.27768e+00   6.55342e+00   1.01417e+02
            18   8.88414e+01   1.80000e+01  -8.00175e+00   6.55420e+00   1.01500e+02
            19   8.90471e+01   1.90000e+01  -7.74555e+00   6.55496e+00   1.01583e+02
            20   8.92546e+01   2.00000e+01  -7.54490e+00   6.55529e+00   1.01667e+02
            21   8.94566e+01   2.10000e+01  -7.31787e+00   6.55572e+00   1.01750e+02
            22   8.96537e+01   2.20000e+01  -7.10616e+00   6.55610e+00   1.01833e+02
            23   8.98508e+01   2.30000e+01  -6.90385e+00   6.55644e+00   1.01917e+02
            24   9.00514e+01   2.40000e+01  -6.76378e+00   6.55654e+00   1.02000e+02
            25   9.02444e+01   2.50000e+01  -6.60396e+00   6.55669e+00   1.02083e+02
            26   9.04521e+01   2.60000e+01  -6.44905e+00   6.55680e+00   1.02167e+02
            27   9.06390e+01   2.70000e+01  -6.30855e+00   6.55683e+00   1.02250e+02
            28   9.08321e+01   2.80000e+01  -6.20185e+00   6.55668e+00   1.02333e+02
            29   9.10115e+01   2.90000e+01  -6.07247e+00   6.55659e+00   1.02417e+02
            30   9.12122e+01   3.00000e+01  -5.93466e+00   6.55651e+00   1.02500e+02
            31   9.14077e+01   3.10000e+01  -5.79785e+00   6.55643e+00   1.02583e+02
            32   9.15868e+01   3.20000e+01  -5.72063e+00   6.55627e+00   1.02667e+02
            33   9.17743e+01   3.30000e+01  -5.62169e+00   6.55618e+00   1.02750e+02
            34   9.19497e+01   3.40000e+01  -5.53241e+00   6.55611e+00   1.02833e+02
            35   9.21237e+01   3.50000e+01  -5.44263e+00   6.55605e+00   1.02917e+02
            36   9.23203e+01   3.60000e+01  -5.39912e+00   6.55606e+00   1.03000e+02
            37   9.24820e+01   3.70000e+01  -5.33946e+00   6.55604e+00   1.03083e+02
            38   9.26529e+01   3.80000e+01  -5.27298e+00   6.55602e+00   1.03167e+02
            39   9.28332e+01   3.90000e+01  -5.20757e+00   6.55601e+00   1.03250e+02
            40   9.30054e+01   4.00000e+01  -5.17562e+00   6.55601e+00   1.03333e+02
            41   9.31781e+01   4.10000e+01  -5.12585e+00   6.55601e+00   1.03417e+02
            42   9.33349e+01   4.20000e+01  -5.07048e+00   6.55600e+00   1.03500e+02
            43   9.35005e+01   4.30000e+01  -5.02235e+00   6.55600e+00   1.03583e+02
            44   9.36778e+01   4.40000e+01  -5.00927e+00   6.55600e+00   1.03667e+02
            45   9.38327e+01   4.50000e+01  -4.97957e+00   6.55600e+00   1.03750e+02
            46   9.40123e+01   4.60000e+01  -4.94784e+00   6.55600e+00   1.03833e+02
            47   9.41738e+01   4.70000e+01  -4.91744e+00   6.55600e+00   1.03917e+02
            48   9.43260e+01   4.80000e+01  -4.90764e+00   6.55600e+00   1.04000e+02
            49   9.44888e+01   4.90000e+01  -4.88906e+00   6.55600e+00   1.04083e+02
            50   9.46429e+01   5.00000e+01  -4.87036e+00   6.55600e+00   1.04167e+02
            51   9.48018e+01   5.10000e+01  -4.85253e+00   6.55600e+00   1.04250e+02
            52   9.49456e+01   5.20000e+01  -4.84947e+00   6.55600e+00   1.04333e+02
            53   9.51166e+01   5.30000e+01  -4.84091e+00   6.55600e+00   1.04417e+02
            54   9.52674e+01   5.40000e+01  -4.83068e+00   6.55600e+00   1.04500e+02
            55   9.54184e+01   5.50000e+01  -4.82077e+00   6.55600e+00   1.04583e+02
            56   9.55690e+01   5.60000e+01  -4.82656e+00   6.55600e+00   1.04667e+02
            57   9.57261e+01   5.70000e+01  -4.82585e+00   6.55600e+00   1.04750e+02
            58   9.58640e+01   5.80000e+01  -4.82553e+00   6.55600e+00   1.04833e+02
            59   9.60120e+01   5.90000e+01  -4.82688e+00   6.55600e+00   1.04917e+02
            60   9.61671e+01   6.00000e+01  -4.83661e+00   6.55600e+00   1.05000e+02
            61   9.63069e+01   6.10000e+01  -4.84242e+00   6.55600e+00   1.05083e+02
            62   9.64591e+01   6.20000e+01  -4.84765e+00   6.55600e+00   1.05167e+02
            63   9.66097e+01   6.30000e+01  -4.85307e+00   6.55600e+00   1.05250e+02
            64   9.67476e+01   6.40000e+01  -4.87016e+00   6.55600e+00   1.05333e+02
            65   9.68962e+01   6.50000e+01  -4.88338e+00   6.55600e+00   1.05417e+02
            66   9.70242e+01   6.60000e+01  -4.89714e+00   6.55600e+00   1.05500e+02
            67   9.71692e+01   6.70000e+01  -4.91090e+00   6.55600e+00   1.05583e+02
            68   9.73155e+01   6.80000e+01  -4.93316e+00   6.55600e+00   1.05667e+02
            69   9.74570e+01   6.90000e+01  -4.94986e+00   6.55600e+00   1.05750e+02
            70   9.75948e+01   7.00000e+01  -4.96526e+00   6.55600e+00   1.05833e+02
            71   9.77497e+01   7.10000e+01  -4.98203e+00   6.55600e+00   1.05917e+02
            72   9.78841e+01   7.20000e+01  -5.00476e+00   6.55600e+00   1.06000e+02
            73   9.80055e+01   7.30000e+01  -5.02481e+00   6.55600e+00   1.06083e+02
            74   9.81473e+01   7.40000e+01  -5.04542e+00   6.55600e+00   1.06167e+02
            75   9.82680e+01   7.50000e+01  -5.06688e+00   6.55600e+00   1.06250e+02
            76   9.84075e+01   7.60000e+01  -5.09266e+00   6.55600e+00   1.06333e+02
            77   9.85538e+01   7.70000e+01  -5.11461e+00   6.55600e+00   1.06417e+02
            78   9.86908e+01   7.80000e+01  -5.13549e+00   6.55600e+00   1.06500e+02
            79   9.88137e+01   7.90000e+01  -5.15677e+00   6.55600e+00   1.06583e+02
            80   9.89567e+01   8.00000e+01  -5.18132e+00   6.55600e+00   1.06667e+02
            81   9.90967e+01   8.10000e+01  -5.20472e+00   6.55600e+00   1.06750e+02
            82   9.92187e+01   8.20000e+01  -5.22911e+00   6.55603e+00   1.06833e+02
            83   9.93559e+01   8.30000e+01  -5.25274e+00   6.55611e+00   1.06917e+02
            84   9.94810e+01   8.40000e+01  -5.27871e+00   6.55623e+00   1.07000e+02
            85   9.96192e+01   8.50000e+01  -5.30226e+00   6.55635e+00   1.07083e+02
            86   9.97367e+01   8.60000e+01  -5.32517e+00   6.55646e+00   1.07167e+02
            87   9.98785e+01   8.70000e+01  -5.34857e+00   6.55657e+00   1.07250e+02
            88   1.00005e+02   8.80000e+01  -5.37191e+00   6.55671e+00   1.07333e+02
            89   1.00150e+02   8.90000e+01  -5.39715e+00   6.55681e+00   1.07417e+02
