         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.48452e+01   0.00000e+00  -1.83372e+01   5.50419e+00   1.00000e+02
             1   8.49906e+01   1.00000e+00  -1.75249e+01   5.50435e+00   1.00083e+02
             2   8.51297e+01   2.00000e+00  -1.66331e+01   5.50459e+00   1.00167e+02
             3   8.53127e+01   3.00000e+00  -1.57851e+01   5.50489e+00   1.00250e+02
             4   8.55026e+01   4.00000e+00  -1.49813e+01   5.50555e+00   1.00333e+02
             5   8.56997e+01   5.00000e+00  -1.42637e+01   5.50625e+00   1.00417e+02
             6   8.59074e+01   6.00000e+00  -1.36487e+01   5.50709e+00   1.00500e+02
             7   8.61178e+01   7.00000e+00  -1.30719e+01   5.50799e+00   1.00583e+02
             8   8.63325e+01   8.00000e+00  -1.25380e+01   5.50947e+00   1.00667e+02
             9   8.65469e+01   9.00000e+00  -1.20004e+01   5.51081e+00   1.00750e+02
            10   8.67591e+01   1.00000e+01  -1.15127e+01   5.51212e+00   1.00833e+02
            11   8.69709e+01   1.10000e+01  -1.10608e+01   5.51344e+00   1.00917e+02
            12   8.71792e+01   1.20000e+01  -1.07156e+01   5.51492e+00   1.01000e+02
            13   8.74013e+01   1.30000e+01  -1.03513e+01   5.51624e+00   1.01083e+02
            14   8.76215e+01   1.40000e+01  -1.00112e+01   5.51749e+00   1.01167e+02
            15   8.78203e+01   1.50000e+01  -9.70321e+00   5.51872e+00   1.01250e+02
            16   8.80492e+01   1.60000e+01  -9.43410e+00   5.51960e+00   1.01333e+02
            17   8.82587e+01   1.70000e+01  -9.13878e+00   5.52049e+00   1.01417e+02
            18   8.84635e+01   1.80000e+01  -8.86355e+00   5.52132e+00   1.01500e+02
            19   8.86718e+01   1.90000e+01  -8.59924e+00   5.52208e+00   1.01583e+02
            20   8.88839e+01   2.00000e+01  -8.38267e+00   5.52243e+00   1.01667e+02
            21   8.90914e+01   2.10000e+01  -8.15639e+00   5.52286e+00   1.01750e+02
            22   8.92993e+01   2.20000e+01  -7.93857e+00   5.52324e+00   1.01833e+02
            23   8.95040e+01   2.30000e+01  -7.73023e+00   5.52356e+00   1.01917e+02
            24   8.97057e+01   2.40000e+01  -7.58370e+00   5.52361e+00   1.02000e+02
            25   8.99161e+01   2.50000e+01  -7.42382e+00   5.52374e+00   1.02083e+02
            26   9.01002e+01   2.60000e+01  -7.25568e+00   5.52386e+00   1.02167e+02
            27   9.03050e+01   2.70000e+01  -7.08990e+00   5.52395e+00   1.02250e+02
            28   9.05002e+01   2.80000e+01  -6.96885e+00   5.52393e+00   1.02333e+02
            29   9.06945e+01   2.90000e+01  -6.82741e+00   5.52395e+00   1.02417e+02
            30   9.08880e+01   3.00000e+01  -6.67735e+00   5.52398e+00   1.02500e+02
            31   9.10783e+01   3.10000e+01  -6.52717e+00   5.52400e+00   1.02583e+02
            32   9.12627e+01   3.20000e+01  -6.43302e+00   5.52399e+00   1.02667e+02
            33   9.14482e+01   3.30000e+01  -6.31673e+00   5.52399e+00   1.02750e+02
            34   9.16327e+01   3.40000e+01  -6.20950e+00   5.52400e+00   1.02833e+02
            35   9.18133e+01   3.50000e+01  -6.10755e+00   5.52400e+00   1.02917e+02
            36   9.20081e+01   3.60000e+01  -6.06819e+00   5.52400e+00   1.03000e+02
            37   9.21819e+01   3.70000e+01  -5.99636e+00   5.52400e+00   1.03083e+02
            38   9.23650e+01   3.80000e+01  -5.92476e+00   5.52400e+00   1.03167e+02
            39   9.25358e+01   3.90000e+01  -5.86275e+00   5.52400e+00   1.03250e+02
            40   9.27088e+01   4.00000e+01  -5.82417e+00   5.52400e+00   1.03333e+02
            41   9.28716e+01   4.10000e+01  -5.76912e+00   5.52400e+00   1.03417e+02
            42   9.30604e+01   4.20000e+01  -5.71301e+00   5.52400e+00   1.03500e+02
            43   9.32254e+01   4.30000e+01  -5.65951e+00   5.52400e+00   1.03583e+02
            44   9.33889e+01   4.40000e+01  -5.62542e+00   5.52400e+00   1.03667e+02
            45   9.35678e+01   4.50000e+01  -5.58578e+00   5.52400e+00   1.03750e+02
            46   9.37229e+01   4.60000e+01  -5.54657e+00   5.52400e+00   1.03833e+02
            47   9.39012e+01   4.70000e+01  -5.50760e+00   5.52400e+00   1.03917e+02
            48   9.40464e+01   4.80000e+01  -5.48691e+00   5.52400e+00   1.04000e+02
            49   9.42149e+01   4.90000e+01  -5.45900e+00   5.52400e+00   1.04083e+02
            50   9.43785e+01   5.00000e+01  -5.43166e+00   5.52400e+00   1.04167e+02
            51   9.45360e+01   5.10000e+01  -5.40535e+00   5.52400e+00   1.04250e+02
            52   9.46944e+01   5.20000e+01  -5.39686e+00   5.52400e+00   1.04333e+02
            53   9.48582e+01   5.30000e+01  -5.38021e+00   5.52400e+00   1.04417e+02
            54   9.50098e+01   5.40000e+01  -5.36220e+00   5.52400e+00   1.04500e+02
            55   9.51592e+01   5.50000e+01  -5.34481e+00   5.52400e+00   1.04583e+02
            56   9.53209e+01   5.60000e+01  -5.34189e+00   5.52400e+00   1.04667e+02
            57   9.54653e+01   5.70000e+01  -5.33269e+00   5.52400e+00   1.04750e+02
            58   9.56199e+01   5.80000e+01  -5.32311e+00   5.52400e+00   1.04833e+02
            59   9.57707e+01   5.90000e+01  -5.31487e+00   5.52400e+00   1.04917e+02
            60   9.59226e+01   6.00000e+01  -5.31875e+00   5.52400e+00   1.05000e+02
            61   9.60781e+01   6.10000e+01  -5.31639e+00   5.52400e+00   1.05083e+02
            62   9.62143e+01   6.20000e+01  -5.31491e+00   5.52400e+00   1.05167e+02
