         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.25165e+01   0.00000e+00  -1.69559e+01   7.66747e+00   1.00000e+02
             1   8.26561e+01   1.00000e+00  -1.62227e+01   7.66776e+00   1.00083e+02
             2   8.27670e+01   2.00000e+00  -1.53854e+01   7.66805e+00   1.00167e+02
             3   8.29348e+01   3.00000e+00  -1.45163e+01   7.66844e+00   1.00250e+02
             4   8.31208e+01   4.00000e+00  -1.37867e+01   7.66910e+00   1.00333e+02
             5   8.33065e+01   5.00000e+00  -1.31279e+01   7.66986e+00   1.00417e+02
             6   8.35015e+01   6.00000e+00  -1.25591e+01   7.67078e+00   1.00500e+02
             7   8.36981e+01   7.00000e+00  -1.20185e+01   7.67183e+00   1.00583e+02
             8   8.39091e+01   8.00000e+00  -1.15743e+01   7.67342e+00   1.00667e+02
             9   8.41068e+01   9.00000e+00  -1.11520e+01   7.67484e+00   1.00750e+02
            10   8.43160e+01   1.00000e+01  -1.07746e+01   7.67632e+00   1.00833e+02
            11   8.45268e+01   1.10000e+01  -1.04047e+01   7.67787e+00   1.00917e+02
            12   8.47286e+01   1.20000e+01  -1.01019e+01   7.67963e+00   1.01000e+02
            13   8.49390e+01   1.30000e+01  -9.79635e+00   7.68119e+00   1.01083e+02
            14   8.51572e+01   1.40000e+01  -9.51571e+00   7.68264e+00   1.01167e+02
            15   8.53506e+01   1.50000e+01  -9.26783e+00   7.68399e+00   1.01250e+02
            16   8.55564e+01   1.60000e+01  -9.04947e+00   7.68504e+00   1.01333e+02
            17   8.57592e+01   1.70000e+01  -8.82783e+00   7.68605e+00   1.01417e+02
            18   8.59742e+01   1.80000e+01  -8.59825e+00   7.68691e+00   1.01500e+02
            19   8.61706e+01   1.90000e+01  -8.38700e+00   7.68767e+00   1.01583e+02
            20   8.63785e+01   2.00000e+01  -8.23543e+00   7.68791e+00   1.01667e+02
            21   8.65818e+01   2.10000e+01  -8.06573e+00   7.68828e+00   1.01750e+02
            22   8.67707e+01   2.20000e+01  -7.89967e+00   7.68859e+00   1.01833e+02
            23   8.69720e+01   2.30000e+01  -7.73966e+00   7.68885e+00   1.01917e+02
            24   8.71615e+01   2.40000e+01  -7.62993e+00   7.68880e+00   1.02000e+02
            25   8.73542e+01   2.50000e+01  -7.50173e+00   7.68886e+00   1.02083e+02
            26   8.75546e+01   2.60000e+01  -7.37609e+00   7.68893e+00   1.02167e+02
            27   8.77487e+01   2.70000e+01  -7.25490e+00   7.68898e+00   1.02250e+02
            28   8.79396e+01   2.80000e+01  -7.17572e+00   7.68897e+00   1.02333e+02
            29   8.81227e+01   2.90000e+01  -7.07693e+00   7.68898e+00   1.02417e+02
            30   8.83055e+01   3.00000e+01  -6.97891e+00   7.68899e+00   1.02500e+02
            31   8.84967e+01   3.10000e+01  -6.88579e+00   7.68900e+00   1.02583e+02
            32   8.86718e+01   3.20000e+01  -6.83136e+00   7.68899e+00   1.02667e+02
            33   8.88551e+01   3.30000e+01  -6.75682e+00   7.68900e+00   1.02750e+02
            34   8.90396e+01   3.40000e+01  -6.68135e+00   7.68900e+00   1.02833e+02
            35   8.92173e+01   3.50000e+01  -6.61050e+00   7.68900e+00   1.02917e+02
            36   8.93955e+01   3.60000e+01  -6.57059e+00   7.68900e+00   1.03000e+02
            37   8.95712e+01   3.70000e+01  -6.50603e+00   7.68900e+00   1.03083e+02
            38   8.97361e+01   3.80000e+01  -6.43903e+00   7.68900e+00   1.03167e+02
            39   8.99073e+01   3.90000e+01  -6.37359e+00   7.68900e+00   1.03250e+02
            40   9.00772e+01   4.00000e+01  -6.36902e+00   7.68900e+00   1.03333e+02
            41   9.02500e+01   4.10000e+01  -6.33910e+00   7.68900e+00   1.03417e+02
            42   9.04139e+01   4.20000e+01  -6.30414e+00   7.68900e+00   1.03500e+02
            43   9.05789e+01   4.30000e+01  -6.26932e+00   7.68900e+00   1.03583e+02
            44   9.07537e+01   4.40000e+01  -6.26363e+00   7.68900e+00   1.03667e+02
            45   9.09118e+01   4.50000e+01  -6.24369e+00   7.68900e+00   1.03750e+02
            46   9.10568e+01   4.60000e+01  -6.22271e+00   7.68900e+00   1.03833e+02
            47   9.12186e+01   4.70000e+01  -6.20111e+00   7.68900e+00   1.03917e+02
            48   9.13783e+01   4.80000e+01  -6.19511e+00   7.68889e+00   1.04000e+02
            49   9.15349e+01   4.90000e+01  -6.18579e+00   7.68878e+00   1.04083e+02
            50   9.16850e+01   5.00000e+01  -6.17594e+00   7.68867e+00   1.04167e+02
            51   9.18471e+01   5.10000e+01  -6.16729e+00   7.68856e+00   1.04250e+02
            52   9.19929e+01   5.20000e+01  -6.16979e+00   7.68836e+00   1.04333e+02
            53   9.21578e+01   5.30000e+01  -6.16790e+00   7.68823e+00   1.04417e+02
            54   9.23089e+01   5.40000e+01  -6.16704e+00   7.68814e+00   1.04500e+02
            55   9.24558e+01   5.50000e+01  -6.16736e+00   7.68806e+00   1.04583e+02
            56   9.26085e+01   5.60000e+01  -6.17683e+00   7.68807e+00   1.04667e+02
            57   9.27384e+01   5.70000e+01  -6.18091e+00   7.68805e+00   1.04750e+02
            58   9.28926e+01   5.80000e+01  -6.18378e+00   7.68803e+00   1.04833e+02
            59   9.30332e+01   5.90000e+01  -6.18660e+00   7.68801e+00   1.04917e+02
            60   9.31806e+01   6.00000e+01  -6.20263e+00   7.68801e+00   1.05000e+02
            61   9.33373e+01   6.10000e+01  -6.21338e+00   7.68801e+00   1.05083e+02
            62   9.34852e+01   6.20000e+01  -6.22420e+00   7.68800e+00   1.05167e+02
            63   9.36262e+01   6.30000e+01  -6.23405e+00   7.68800e+00   1.05250e+02
            64   9.37598e+01   6.40000e+01  -6.24738e+00   7.68800e+00   1.05333e+02
            65   9.38984e+01   6.50000e+01  -6.26018e+00   7.68800e+00   1.05417e+02
            66   9.40402e+01   6.60000e+01  -6.27410e+00   7.68800e+00   1.05500e+02
            67   9.41890e+01   6.70000e+01  -6.28943e+00   7.68800e+00   1.05583e+02
            68   9.43188e+01   6.80000e+01  -6.30919e+00   7.68800e+00   1.05667e+02
            69   9.44517e+01   6.90000e+01  -6.32770e+00   7.68800e+00   1.05750e+02
            70   9.45846e+01   7.00000e+01  -6.34645e+00   7.68800e+00   1.05833e+02
            71   9.47349e+01   7.10000e+01  -6.36526e+00   7.68800e+00   1.05917e+02
            72   9.48675e+01   7.20000e+01  -6.38758e+00   7.68800e+00   1.06000e+02
            73   9.50057e+01   7.30000e+01  -6.40790e+00   7.68803e+00   1.06083e+02
            74   9.51349e+01   7.40000e+01  -6.42968e+00   7.68812e+00   1.06167e+02
            75   9.52824e+01   7.50000e+01  -6.45161e+00   7.68822e+00   1.06250e+02
            76   9.54036e+01   7.60000e+01  -6.47945e+00   7.68836e+00   1.06333e+02
            77   9.55437e+01   7.70000e+01  -6.50318e+00   7.68848e+00   1.06417e+02
            78   9.56770e+01   7.80000e+01  -6.52654e+00   7.68859e+00   1.06500e+02
            79   9.57899e+01   7.90000e+01  -6.54887e+00   7.68869e+00   1.06583e+02
            80   9.59410e+01   8.00000e+01  -6.57113e+00   7.68878e+00   1.06667e+02
            81   9.60726e+01   8.10000e+01  -6.59488e+00   7.68886e+00   1.06750e+02
            82   9.61997e+01   8.20000e+01  -6.61821e+00   7.68892e+00   1.06833e+02
            83   9.63133e+01   8.30000e+01  -6.64034e+00   7.68897e+00   1.06917e+02
            84   9.64568e+01   8.40000e+01  -6.66471e+00   7.68896e+00   1.07000e+02
            85   9.65876e+01   8.50000e+01  -6.68924e+00   7.68897e+00   1.07083e+02
            86   9.67107e+01   8.60000e+01  -6.71404e+00   7.68898e+00   1.07167e+02
            87   9.68379e+01   8.70000e+01  -6.73858e+00   7.68900e+00   1.07250e+02
            88   9.69692e+01   8.80000e+01  -6.75972e+00   7.68899e+00   1.07333e+02
            89   9.70931e+01   8.90000e+01  -6.78098e+00   7.68899e+00   1.07417e+02
            90   9.72173e+01   9.00000e+01  -6.80321e+00   7.68900e+00   1.07500e+02
            91   9.73424e+01   9.10000e+01  -6.82762e+00   7.68900e+00   1.07583e+02
            92   9.74703e+01   9.20000e+01  -6.85233e+00   7.68900e+00   1.07667e+02
            93   9.75856e+01   9.30000e+01  -6.87720e+00   7.68900e+00   1.07750e+02
