         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.53489e+01   0.00000e+00  -1.77964e+01   8.55703e+00   1.00000e+02
             1   8.55024e+01   1.00000e+00  -1.70272e+01   8.55712e+00   1.00083e+02
             2   8.56418e+01   2.00000e+00  -1.61829e+01   8.55725e+00   1.00167e+02
             3   8.58025e+01   3.00000e+00  -1.53287e+01   8.55744e+00   1.00250e+02
             4   8.59897e+01   4.00000e+00  -1.45484e+01   8.55790e+00   1.00333e+02
             5   8.61768e+01   5.00000e+00  -1.37881e+01   8.55846e+00   1.00417e+02
             6   8.63842e+01   6.00000e+00  -1.31292e+01   8.55911e+00   1.00500e+02
             7   8.65831e+01   7.00000e+00  -1.25402e+01   8.55983e+00   1.00583e+02
             8   8.67792e+01   8.00000e+00  -1.20192e+01   8.56107e+00   1.00667e+02
             9   8.69839e+01   9.00000e+00  -1.15182e+01   8.56218e+00   1.00750e+02
            10   8.72025e+01   1.00000e+01  -1.10616e+01   8.56334e+00   1.00833e+02
            11   8.74166e+01   1.10000e+01  -1.06471e+01   8.56454e+00   1.00917e+02
            12   8.76174e+01   1.20000e+01  -1.02847e+01   8.56595e+00   1.01000e+02
            13   8.78319e+01   1.30000e+01  -9.92916e+00   8.56721e+00   1.01083e+02
            14   8.80385e+01   1.40000e+01  -9.57637e+00   8.56839e+00   1.01167e+02
            15   8.82528e+01   1.50000e+01  -9.23584e+00   8.56950e+00   1.01250e+02
            16   8.84542e+01   1.60000e+01  -8.92983e+00   8.57035e+00   1.01333e+02
            17   8.86700e+01   1.70000e+01  -8.63528e+00   8.57120e+00   1.01417e+02
            18   8.88783e+01   1.80000e+01  -8.36102e+00   8.57195e+00   1.01500e+02
            19   8.90762e+01   1.90000e+01  -8.11313e+00   8.57261e+00   1.01583e+02
            20   8.92834e+01   2.00000e+01  -7.91547e+00   8.57285e+00   1.01667e+02
            21   8.94885e+01   2.10000e+01  -7.69548e+00   8.57319e+00   1.01750e+02
            22   8.96881e+01   2.20000e+01  -7.47605e+00   8.57348e+00   1.01833e+02
            23   8.98836e+01   2.30000e+01  -7.25183e+00   8.57373e+00   1.01917e+02
            24   9.00824e+01   2.40000e+01  -7.09457e+00   8.57374e+00   1.02000e+02
            25   9.02711e+01   2.50000e+01  -6.93105e+00   8.57382e+00   1.02083e+02
            26   9.04623e+01   2.60000e+01  -6.78117e+00   8.57391e+00   1.02167e+02
            27   9.06534e+01   2.70000e+01  -6.63715e+00   8.57397e+00   1.02250e+02
            28   9.08402e+01   2.80000e+01  -6.52298e+00   8.57393e+00   1.02333e+02
            29   9.10372e+01   2.90000e+01  -6.38996e+00   8.57385e+00   1.02417e+02
            30   9.12251e+01   3.00000e+01  -6.25600e+00   8.57376e+00   1.02500e+02
            31   9.14159e+01   3.10000e+01  -6.11751e+00   8.57366e+00   1.02583e+02
