         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.40776e+01   0.00000e+00  -2.38062e+01   6.90031e+00   1.00000e+02
             1   8.42247e+01   1.00000e+00  -2.28616e+01   6.90055e+00   1.00083e+02
             2   8.43774e+01   2.00000e+00  -2.18173e+01   6.90080e+00   1.00167e+02
             3   8.45524e+01   3.00000e+00  -2.08099e+01   6.90111e+00   1.00250e+02
             4   8.47574e+01   4.00000e+00  -1.98556e+01   6.90175e+00   1.00333e+02
             5   8.49607e+01   5.00000e+00  -1.89428e+01   6.90241e+00   1.00417e+02
             6   8.51603e+01   6.00000e+00  -1.81446e+01   6.90313e+00   1.00500e+02
             7   8.53634e+01   7.00000e+00  -1.73714e+01   6.90390e+00   1.00583e+02
             8   8.55662e+01   8.00000e+00  -1.67086e+01   6.90516e+00   1.00667e+02
             9   8.57853e+01   9.00000e+00  -1.60735e+01   6.90629e+00   1.00750e+02
            10   8.59902e+01   1.00000e+01  -1.54847e+01   6.90746e+00   1.00833e+02
            11   8.62147e+01   1.10000e+01  -1.49031e+01   6.90866e+00   1.00917e+02
            12   8.64389e+01   1.20000e+01  -1.43906e+01   6.91001e+00   1.01000e+02
            13   8.66574e+01   1.30000e+01  -1.38758e+01   6.91125e+00   1.01083e+02
            14   8.68667e+01   1.40000e+01  -1.34088e+01   6.91242e+00   1.01167e+02
            15   8.70801e+01   1.50000e+01  -1.29461e+01   6.91352e+00   1.01250e+02
            16   8.73052e+01   1.60000e+01  -1.25627e+01   6.91437e+00   1.01333e+02
            17   8.75147e+01   1.70000e+01  -1.21527e+01   6.91521e+00   1.01417e+02
            18   8.77362e+01   1.80000e+01  -1.17527e+01   6.91595e+00   1.01500e+02
            19   8.79456e+01   1.90000e+01  -1.13916e+01   6.91661e+00   1.01583e+02
            20   8.81598e+01   2.00000e+01  -1.10633e+01   6.91685e+00   1.01667e+02
            21   8.83749e+01   2.10000e+01  -1.07278e+01   6.91719e+00   1.01750e+02
            22   8.85742e+01   2.20000e+01  -1.04054e+01   6.91748e+00   1.01833e+02
            23   8.87852e+01   2.30000e+01  -1.00938e+01   6.91773e+00   1.01917e+02
            24   8.89778e+01   2.40000e+01  -9.84776e+00   6.91774e+00   1.02000e+02
            25   8.91915e+01   2.50000e+01  -9.57860e+00   6.91782e+00   1.02083e+02
            26   8.93863e+01   2.60000e+01  -9.30734e+00   6.91791e+00   1.02167e+02
            27   8.95891e+01   2.70000e+01  -9.03076e+00   6.91797e+00   1.02250e+02
            28   8.97855e+01   2.80000e+01  -8.83130e+00   6.91795e+00   1.02333e+02
            29   8.99756e+01   2.90000e+01  -8.60727e+00   6.91797e+00   1.02417e+02
            30   9.01844e+01   3.00000e+01  -8.40059e+00   6.91798e+00   1.02500e+02
            31   9.03615e+01   3.10000e+01  -8.19341e+00   6.91800e+00   1.02583e+02
            32   9.05509e+01   3.20000e+01  -8.04052e+00   6.91799e+00   1.02667e+02
            33   9.07439e+01   3.30000e+01  -7.86087e+00   6.91799e+00   1.02750e+02
            34   9.09302e+01   3.40000e+01  -7.68242e+00   6.91800e+00   1.02833e+02
            35   9.11193e+01   3.50000e+01  -7.52514e+00   6.91800e+00   1.02917e+02
            36   9.12950e+01   3.60000e+01  -7.40221e+00   6.91800e+00   1.03000e+02
            37   9.14818e+01   3.70000e+01  -7.25713e+00   6.91800e+00   1.03083e+02
            38   9.16713e+01   3.80000e+01  -7.10268e+00   6.91800e+00   1.03167e+02
            39   9.18548e+01   3.90000e+01  -6.94839e+00   6.91800e+00   1.03250e+02
            40   9.20270e+01   4.00000e+01  -6.85584e+00   6.91800e+00   1.03333e+02
            41   9.21807e+01   4.10000e+01  -6.73763e+00   6.91800e+00   1.03417e+02
            42   9.23509e+01   4.20000e+01  -6.62997e+00   6.91800e+00   1.03500e+02
            43   9.25356e+01   4.30000e+01  -6.53688e+00   6.91800e+00   1.03583e+02
            44   9.27029e+01   4.40000e+01  -6.47947e+00   6.91800e+00   1.03667e+02
            45   9.28652e+01   4.50000e+01  -6.39603e+00   6.91800e+00   1.03750e+02
            46   9.30514e+01   4.60000e+01  -6.30954e+00   6.91800e+00   1.03833e+02
            47   9.32089e+01   4.70000e+01  -6.22497e+00   6.91800e+00   1.03917e+02
            48   9.33804e+01   4.80000e+01  -6.17308e+00   6.91800e+00   1.04000e+02
            49   9.35450e+01   4.90000e+01  -6.10896e+00   6.91800e+00   1.04083e+02
            50   9.37045e+01   5.00000e+01  -6.04024e+00   6.91800e+00   1.04167e+02
            51   9.38760e+01   5.10000e+01  -5.96703e+00   6.91800e+00   1.04250e+02
            52   9.40298e+01   5.20000e+01  -5.93557e+00   6.91800e+00   1.04333e+02
            53   9.41830e+01   5.30000e+01  -5.88716e+00   6.91800e+00   1.04417e+02
            54   9.43410e+01   5.40000e+01  -5.83689e+00   6.91800e+00   1.04500e+02
            55   9.44988e+01   5.50000e+01  -5.78879e+00   6.91800e+00   1.04583e+02
            56   9.46543e+01   5.60000e+01  -5.75951e+00   6.91800e+00   1.04667e+02
            57   9.48202e+01   5.70000e+01  -5.72080e+00   6.91803e+00   1.04750e+02
            58   9.49606e+01   5.80000e+01  -5.68170e+00   6.91812e+00   1.04833e+02
            59   9.51147e+01   5.90000e+01  -5.64543e+00   6.91822e+00   1.04917e+02
            60   9.52747e+01   6.00000e+01  -5.62769e+00   6.91836e+00   1.05000e+02
            61   9.54180e+01   6.10000e+01  -5.60361e+00   6.91848e+00   1.05083e+02
            62   9.55641e+01   6.20000e+01  -5.57809e+00   6.91859e+00   1.05167e+02
            63   9.57085e+01   6.30000e+01  -5.55236e+00   6.91869e+00   1.05250e+02
            64   9.58571e+01   6.40000e+01  -5.53967e+00   6.91878e+00   1.05333e+02
            65   9.60055e+01   6.50000e+01  -5.52243e+00   6.91886e+00   1.05417e+02
            66   9.61593e+01   6.60000e+01  -5.50562e+00   6.91891e+00   1.05500e+02
            67   9.63002e+01   6.70000e+01  -5.48954e+00   6.91897e+00   1.05583e+02
            68   9.64420e+01   6.80000e+01  -5.48944e+00   6.91896e+00   1.05667e+02
            69   9.65891e+01   6.90000e+01  -5.48175e+00   6.91897e+00   1.05750e+02
            70   9.67274e+01   7.00000e+01  -5.47308e+00   6.91898e+00   1.05833e+02
            71   9.68726e+01   7.10000e+01  -5.46552e+00   6.91900e+00   1.05917e+02
            72   9.69981e+01   7.20000e+01  -5.46590e+00   6.91899e+00   1.06000e+02
            73   9.71468e+01   7.30000e+01  -5.46463e+00   6.91899e+00   1.06083e+02
            74   9.72919e+01   7.40000e+01  -5.46335e+00   6.91900e+00   1.06167e+02
            75   9.74247e+01   7.50000e+01  -5.46221e+00   6.91900e+00   1.06250e+02
            76   9.75696e+01   7.60000e+01  -5.47236e+00   6.91900e+00   1.06333e+02
            77   9.77097e+01   7.70000e+01  -5.47732e+00   6.91900e+00   1.06417e+02
            78   9.78486e+01   7.80000e+01  -5.48164e+00   6.91900e+00   1.06500e+02
            79   9.79851e+01   7.90000e+01  -5.48702e+00   6.91900e+00   1.06583e+02
            80   9.81120e+01   8.00000e+01  -5.50193e+00   6.91900e+00   1.06667e+02
            81   9.82637e+01   8.10000e+01  -5.51076e+00   6.91900e+00   1.06750e+02
            82   9.83935e+01   8.20000e+01  -5.51872e+00   6.91900e+00   1.06833e+02
            83   9.85310e+01   8.30000e+01  -5.52740e+00   6.91900e+00   1.06917e+02
            84   9.86692e+01   8.40000e+01  -5.54039e+00   6.91900e+00   1.07000e+02
            85   9.88148e+01   8.50000e+01  -5.55151e+00   6.91900e+00   1.07083e+02
            86   9.89387e+01   8.60000e+01  -5.56369e+00   6.91900e+00   1.07167e+02
            87   9.90504e+01   8.70000e+01  -5.57598e+00   6.91900e+00   1.07250e+02
            88   9.91868e+01   8.80000e+01  -5.59221e+00   6.91900e+00   1.07333e+02
            89   9.93211e+01   8.90000e+01  -5.60737e+00   6.91900e+00   1.07417e+02
            90   9.94583e+01   9.00000e+01  -5.62203e+00   6.91900e+00   1.07500e+02
            91   9.95972e+01   9.10000e+01  -5.63586e+00   6.91900e+00   1.07583e+02
            92   9.97289e+01   9.20000e+01  -5.65193e+00   6.91900e+00   1.07667e+02
            93   9.98492e+01   9.30000e+01  -5.66636e+00   6.91900e+00   1.07750e+02
            94   9.99801e+01   9.40000e+01  -5.68140e+00   6.91900e+00   1.07833e+02
            95   1.00105e+02   9.50000e+01  -5.69617e+00   6.91900e+00   1.07917e+02
            96   1.00242e+02   9.60000e+01  -5.71446e+00   6.91900e+00   1.08000e+02
            97   1.00355e+02   9.70000e+01  -5.73212e+00   6.91900e+00   1.08083e+02
            98   1.00475e+02   9.80000e+01  -5.74920e+00   6.91900e+00   1.08167e+02
            99   1.00609e+02   9.90000e+01  -5.76592e+00   6.91900e+00   1.08250e+02
           100   1.00741e+02   1.00000e+02  -5.78316e+00   6.91900e+00   1.08333e+02
           101   1.00871e+02   1.01000e+02  -5.79987e+00   6.91900e+00   1.08417e+02
           102   1.01004e+02   1.02000e+02  -5.81517e+00   6.91900e+00   1.08500e+02
           103   1.01129e+02   1.03000e+02  -5.82993e+00   6.91900e+00   1.08583e+02
           104   1.01255e+02   1.04000e+02  -5.84777e+00   6.91900e+00   1.08667e+02
           105   1.01373e+02   1.05000e+02  -5.86446e+00   6.91900e+00   1.08750e+02
           106   1.01488e+02   1.06000e+02  -5.88086e+00   6.91900e+00   1.08833e+02
           107   1.01612e+02   1.07000e+02  -5.89573e+00   6.91900e+00   1.08917e+02
           108   1.01743e+02   1.08000e+02  -5.91089e+00   6.91900e+00   1.09000e+02
           109   1.01873e+02   1.09000e+02  -5.92815e+00   6.91900e+00   1.09083e+02
           110   1.01990e+02   1.10000e+02  -5.94583e+00   6.91900e+00   1.09167e+02
           111   1.02104e+02   1.11000e+02  -5.96371e+00   6.91900e+00   1.09250e+02
           112   1.02234e+02   1.12000e+02  -5.98185e+00   6.91900e+00   1.09333e+02
           113   1.02354e+02   1.13000e+02  -6.00030e+00   6.91900e+00   1.09417e+02
           114   1.02479e+02   1.14000e+02  -6.01782e+00   6.91900e+00   1.09500e+02
           115   1.02600e+02   1.15000e+02  -6.03370e+00   6.91900e+00   1.09583e+02
           116   1.02726e+02   1.16000e+02  -6.05210e+00   6.91900e+00   1.09667e+02
           117   1.02841e+02   1.17000e+02  -6.06934e+00   6.91900e+00   1.09750e+02
           118   1.02953e+02   1.18000e+02  -6.08709e+00   6.91900e+00   1.09833e+02
           119   1.03077e+02   1.19000e+02  -6.10480e+00   6.91900e+00   1.09917e+02
           120   1.03187e+02   1.20000e+02  -6.12394e+00   6.91900e+00   1.10000e+02
           121   1.03321e+02   1.21000e+02  -6.14031e+00   6.91900e+00   1.10083e+02
           122   1.03435e+02   1.22000e+02  -6.15553e+00   6.91900e+00   1.10167e+02
           123   1.03557e+02   1.23000e+02  -6.17058e+00   6.91900e+00   1.10250e+02
           124   1.03671e+02   1.24000e+02  -6.17986e+00   6.91900e+00   1.10333e+02
           125   1.03792e+02   1.25000e+02  -6.19294e+00   6.91900e+00   1.10417e+02
           126   1.03909e+02   1.26000e+02  -6.20856e+00   6.91900e+00   1.10500e+02
           127   1.04033e+02   1.27000e+02  -6.22510e+00   6.91900e+00   1.10583e+02
           128   1.04146e+02   1.28000e+02  -6.24065e+00   6.91900e+00   1.10667e+02
           129   1.04269e+02   1.29000e+02  -6.25654e+00   6.91900e+00   1.10750e+02
           130   1.04376e+02   1.30000e+02  -6.27176e+00   6.91900e+00   1.10833e+02
           131   1.04492e+02   1.31000e+02  -6.28620e+00   6.91900e+00   1.10917e+02
           132   1.04608e+02   1.32000e+02  -6.30104e+00   6.91900e+00   1.11000e+02
           133   1.04727e+02   1.33000e+02  -6.31688e+00   6.91900e+00   1.11083e+02
           134   1.04837e+02   1.34000e+02  -6.33297e+00   6.91900e+00   1.11167e+02
           135   1.04958e+02   1.35000e+02  -6.34904e+00   6.91900e+00   1.11250e+02
           136   1.05074e+02   1.36000e+02  -6.36660e+00   6.91900e+00   1.11333e+02
           137   1.05188e+02   1.37000e+02  -6.38189e+00   6.91900e+00   1.11417e+02
           138   1.05310e+02   1.38000e+02  -6.39735e+00   6.91900e+00   1.11500e+02
           139   1.05425e+02   1.39000e+02  -6.41053e+00   6.91900e+00   1.11583e+02
           140   1.05535e+02   1.40000e+02  -6.42484e+00   6.91900e+00   1.11667e+02
           141   1.05632e+02   1.41000e+02  -6.43973e+00   6.91900e+00   1.11750e+02
           142   1.05743e+02   1.42000e+02  -6.45392e+00   6.91900e+00   1.11833e+02
           143   1.05865e+02   1.43000e+02  -6.46796e+00   6.91900e+00   1.11917e+02
           144   1.05983e+02   1.44000e+02  -6.48098e+00   6.91900e+00   1.12000e+02
           145   1.06108e+02   1.45000e+02  -6.49453e+00   6.91900e+00   1.12083e+02
           146   1.06210e+02   1.46000e+02  -6.50775e+00   6.91900e+00   1.12167e+02
           147   1.06313e+02   1.47000e+02  -6.52142e+00   6.91900e+00   1.12250e+02
           148   1.06443e+02   1.48000e+02  -6.53262e+00   6.91900e+00   1.12333e+02
           149   1.06555e+02   1.49000e+02  -6.54527e+00   6.91900e+00   1.12417e+02
           150   1.06674e+02   1.50000e+02  -6.55906e+00   6.91900e+00   1.12500e+02
           151   1.06778e+02   1.51000e+02  -6.57391e+00   6.91900e+00   1.12583e+02
           152   1.06894e+02   1.52000e+02  -6.58792e+00   6.91900e+00   1.12667e+02
           153   1.07006e+02   1.53000e+02  -6.60263e+00   6.91900e+00   1.12750e+02
           154   1.07114e+02   1.54000e+02  -6.61798e+00   6.91900e+00   1.12833e+02
           155   1.07215e+02   1.55000e+02  -6.63288e+00   6.91900e+00   1.12917e+02
           156   1.07325e+02   1.56000e+02  -6.64676e+00   6.91900e+00   1.13000e+02
           157   1.07439e+02   1.57000e+02  -6.66027e+00   6.91900e+00   1.13083e+02
           158   1.07554e+02   1.58000e+02  -6.67501e+00   6.91900e+00   1.13167e+02
           159   1.07661e+02   1.59000e+02  -6.69036e+00   6.91900e+00   1.13250e+02
           160   1.07767e+02   1.60000e+02  -6.70717e+00   6.91889e+00   1.13333e+02
