         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.57645e+01   0.00000e+00  -1.83514e+01   7.88303e+00   1.00000e+02
             1   8.59116e+01   1.00000e+00  -1.75229e+01   7.88312e+00   1.00083e+02
             2   8.60490e+01   2.00000e+00  -1.66330e+01   7.88325e+00   1.00167e+02
             3   8.62109e+01   3.00000e+00  -1.57939e+01   7.88344e+00   1.00250e+02
             4   8.63801e+01   4.00000e+00  -1.50183e+01   7.88390e+00   1.00333e+02
             5   8.65727e+01   5.00000e+00  -1.42726e+01   7.88446e+00   1.00417e+02
             6   8.67682e+01   6.00000e+00  -1.36246e+01   7.88511e+00   1.00500e+02
             7   8.69562e+01   7.00000e+00  -1.30064e+01   7.88583e+00   1.00583e+02
             8   8.71706e+01   8.00000e+00  -1.24740e+01   7.88709e+00   1.00667e+02
             9   8.73669e+01   9.00000e+00  -1.19660e+01   7.88827e+00   1.00750e+02
            10   8.75742e+01   1.00000e+01  -1.15007e+01   7.88945e+00   1.00833e+02
            11   8.77779e+01   1.10000e+01  -1.10452e+01   7.89065e+00   1.00917e+02
            12   8.79923e+01   1.20000e+01  -1.06519e+01   7.89209e+00   1.01000e+02
            13   8.82048e+01   1.30000e+01  -1.02586e+01   7.89335e+00   1.01083e+02
            14   8.83990e+01   1.40000e+01  -9.89170e+00   7.89453e+00   1.01167e+02
            15   8.86014e+01   1.50000e+01  -9.55490e+00   7.89563e+00   1.01250e+02
            16   8.88090e+01   1.60000e+01  -9.24980e+00   7.89651e+00   1.01333e+02
            17   8.90223e+01   1.70000e+01  -8.93792e+00   7.89735e+00   1.01417e+02
            18   8.92173e+01   1.80000e+01  -8.63970e+00   7.89809e+00   1.01500e+02
            19   8.94083e+01   1.90000e+01  -8.35256e+00   7.89874e+00   1.01583e+02
            20   8.96226e+01   2.00000e+01  -8.12017e+00   7.89912e+00   1.01667e+02
            21   8.98210e+01   2.10000e+01  -7.87691e+00   7.89956e+00   1.01750e+02
            22   9.00243e+01   2.20000e+01  -7.64261e+00   7.89996e+00   1.01833e+02
            23   9.01990e+01   2.30000e+01  -7.41767e+00   7.90030e+00   1.01917e+02
            24   9.04027e+01   2.40000e+01  -7.25337e+00   7.90046e+00   1.02000e+02
            25   9.06178e+01   2.50000e+01  -7.06880e+00   7.90064e+00   1.02083e+02
            26   9.08001e+01   2.60000e+01  -6.88550e+00   7.90077e+00   1.02167e+02
            27   9.09908e+01   2.70000e+01  -6.70741e+00   7.90081e+00   1.02250e+02
            28   9.11843e+01   2.80000e+01  -6.57527e+00   7.90066e+00   1.02333e+02
            29   9.13603e+01   2.90000e+01  -6.42102e+00   7.90058e+00   1.02417e+02
            30   9.15524e+01   3.00000e+01  -6.27674e+00   7.90051e+00   1.02500e+02
            31   9.17240e+01   3.10000e+01  -6.13657e+00   7.90042e+00   1.02583e+02
            32   9.19088e+01   3.20000e+01  -6.05440e+00   7.90027e+00   1.02667e+02
            33   9.20897e+01   3.30000e+01  -5.94403e+00   7.90018e+00   1.02750e+02
            34   9.22784e+01   3.40000e+01  -5.82939e+00   7.90011e+00   1.02833e+02
            35   9.24442e+01   3.50000e+01  -5.70823e+00   7.90005e+00   1.02917e+02
            36   9.26313e+01   3.60000e+01  -5.64157e+00   7.90006e+00   1.03000e+02
            37   9.27905e+01   3.70000e+01  -5.55612e+00   7.90004e+00   1.03083e+02
            38   9.29599e+01   3.80000e+01  -5.46770e+00   7.90002e+00   1.03167e+02
            39   9.31367e+01   3.90000e+01  -5.37411e+00   7.90001e+00   1.03250e+02
            40   9.33057e+01   4.00000e+01  -5.34480e+00   7.90001e+00   1.03333e+02
            41   9.34804e+01   4.10000e+01  -5.28643e+00   7.90001e+00   1.03417e+02
            42   9.36402e+01   4.20000e+01  -5.22261e+00   7.90000e+00   1.03500e+02
            43   9.38030e+01   4.30000e+01  -5.15304e+00   7.90000e+00   1.03583e+02
            44   9.39689e+01   4.40000e+01  -5.13812e+00   7.90000e+00   1.03667e+02
            45   9.41363e+01   4.50000e+01  -5.09915e+00   7.90000e+00   1.03750e+02
            46   9.42946e+01   4.60000e+01  -5.05674e+00   7.90000e+00   1.03833e+02
            47   9.44431e+01   4.70000e+01  -5.01557e+00   7.90000e+00   1.03917e+02
            48   9.46005e+01   4.80000e+01  -4.99760e+00   7.90000e+00   1.04000e+02
            49   9.47614e+01   4.90000e+01  -4.97016e+00   7.90000e+00   1.04083e+02
            50   9.49174e+01   5.00000e+01  -4.94267e+00   7.90000e+00   1.04167e+02
            51   9.50833e+01   5.10000e+01  -4.91512e+00   7.90000e+00   1.04250e+02
            52   9.52275e+01   5.20000e+01  -4.90656e+00   7.90000e+00   1.04333e+02
            53   9.53750e+01   5.30000e+01  -4.89105e+00   7.90000e+00   1.04417e+02
            54   9.55299e+01   5.40000e+01  -4.87543e+00   7.90000e+00   1.04500e+02
            55   9.56906e+01   5.50000e+01  -4.85991e+00   7.90000e+00   1.04583e+02
