         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.44285e+01   0.00000e+00  -1.48327e+01   6.56658e+00   1.00000e+02
             1   8.45660e+01   1.00000e+00  -1.41067e+01   6.56701e+00   1.00083e+02
             2   8.47002e+01   2.00000e+00  -1.33150e+01   6.56747e+00   1.00167e+02
             3   8.48689e+01   3.00000e+00  -1.25628e+01   6.56800e+00   1.00250e+02
             4   8.50522e+01   4.00000e+00  -1.18650e+01   6.56879e+00   1.00333e+02
             5   8.52461e+01   5.00000e+00  -1.11941e+01   6.56963e+00   1.00417e+02
             6   8.54584e+01   6.00000e+00  -1.05731e+01   6.57052e+00   1.00500e+02
             7   8.56569e+01   7.00000e+00  -9.99047e+00   6.57144e+00   1.00583e+02
             8   8.58606e+01   8.00000e+00  -9.50797e+00   6.57276e+00   1.00667e+02
             9   8.60605e+01   9.00000e+00  -9.04489e+00   6.57397e+00   1.00750e+02
            10   8.62531e+01   1.00000e+01  -8.62290e+00   6.57523e+00   1.00833e+02
            11   8.64610e+01   1.10000e+01  -8.20895e+00   6.57649e+00   1.00917e+02
            12   8.66725e+01   1.20000e+01  -7.85235e+00   6.57789e+00   1.01000e+02
            13   8.68813e+01   1.30000e+01  -7.49581e+00   6.57917e+00   1.01083e+02
            14   8.70993e+01   1.40000e+01  -7.15766e+00   6.58040e+00   1.01167e+02
            15   8.73174e+01   1.50000e+01  -6.83693e+00   6.58161e+00   1.01250e+02
            16   8.75235e+01   1.60000e+01  -6.57938e+00   6.58255e+00   1.01333e+02
            17   8.77317e+01   1.70000e+01  -6.32691e+00   6.58343e+00   1.01417e+02
            18   8.79392e+01   1.80000e+01  -6.07395e+00   6.58421e+00   1.01500e+02
            19   8.81469e+01   1.90000e+01  -5.82860e+00   6.58496e+00   1.01583e+02
            20   8.83483e+01   2.00000e+01  -5.64678e+00   6.58529e+00   1.01667e+02
            21   8.85534e+01   2.10000e+01  -5.44089e+00   6.58572e+00   1.01750e+02
            22   8.87539e+01   2.20000e+01  -5.23292e+00   6.58610e+00   1.01833e+02
            23   8.89701e+01   2.30000e+01  -5.04444e+00   6.58644e+00   1.01917e+02
            24   8.91621e+01   2.40000e+01  -4.91013e+00   6.58654e+00   1.02000e+02
            25   8.93476e+01   2.50000e+01  -4.76922e+00   6.58669e+00   1.02083e+02
            26   8.95336e+01   2.60000e+01  -4.62652e+00   6.58683e+00   1.02167e+02
            27   8.97335e+01   2.70000e+01  -4.48907e+00   6.58694e+00   1.02250e+02
            28   8.99260e+01   2.80000e+01  -4.39650e+00   6.58691e+00   1.02333e+02
            29   9.01201e+01   2.90000e+01  -4.28929e+00   6.58694e+00   1.02417e+02
            30   9.03027e+01   3.00000e+01  -4.18316e+00   6.58697e+00   1.02500e+02
            31   9.04910e+01   3.10000e+01  -4.08111e+00   6.58699e+00   1.02583e+02
            32   9.06833e+01   3.20000e+01  -4.02676e+00   6.58698e+00   1.02667e+02
            33   9.08647e+01   3.30000e+01  -3.94861e+00   6.58699e+00   1.02750e+02
            34   9.10484e+01   3.40000e+01  -3.86447e+00   6.58699e+00   1.02833e+02
            35   9.12333e+01   3.50000e+01  -3.77503e+00   6.58700e+00   1.02917e+02
            36   9.14181e+01   3.60000e+01  -3.73502e+00   6.58700e+00   1.03000e+02
            37   9.15924e+01   3.70000e+01  -3.67384e+00   6.58700e+00   1.03083e+02
            38   9.17729e+01   3.80000e+01  -3.60403e+00   6.58700e+00   1.03167e+02
            39   9.19519e+01   3.90000e+01  -3.53460e+00   6.58700e+00   1.03250e+02
            40   9.21265e+01   4.00000e+01  -3.52653e+00   6.58700e+00   1.03333e+02
            41   9.23018e+01   4.10000e+01  -3.48846e+00   6.58700e+00   1.03417e+02
            42   9.24783e+01   4.20000e+01  -3.45741e+00   6.58700e+00   1.03500e+02
            43   9.26362e+01   4.30000e+01  -3.42398e+00   6.58700e+00   1.03583e+02
            44   9.28071e+01   4.40000e+01  -3.41927e+00   6.58700e+00   1.03667e+02
            45   9.29823e+01   4.50000e+01  -3.40047e+00   6.58700e+00   1.03750e+02
            46   9.31409e+01   4.60000e+01  -3.38029e+00   6.58700e+00   1.03833e+02
            47   9.33096e+01   4.70000e+01  -3.36148e+00   6.58700e+00   1.03917e+02
            48   9.34683e+01   4.80000e+01  -3.36040e+00   6.58700e+00   1.04000e+02
            49   9.36335e+01   4.90000e+01  -3.35176e+00   6.58700e+00   1.04083e+02
            50   9.37945e+01   5.00000e+01  -3.34374e+00   6.58700e+00   1.04167e+02
