         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.50920e+01   0.00000e+00  -1.96341e+01   8.46347e+00   1.00000e+02
             1   8.52417e+01   1.00000e+00  -1.87510e+01   8.46379e+00   1.00083e+02
             2   8.53879e+01   2.00000e+00  -1.77839e+01   8.46414e+00   1.00167e+02
             3   8.55466e+01   3.00000e+00  -1.68596e+01   8.46456e+00   1.00250e+02
             4   8.57511e+01   4.00000e+00  -1.59779e+01   8.46532e+00   1.00333e+02
             5   8.59456e+01   5.00000e+00  -1.51857e+01   8.46607e+00   1.00417e+02
             6   8.61563e+01   6.00000e+00  -1.44997e+01   8.46688e+00   1.00500e+02
             7   8.63807e+01   7.00000e+00  -1.38366e+01   8.46773e+00   1.00583e+02
             8   8.65834e+01   8.00000e+00  -1.32586e+01   8.46903e+00   1.00667e+02
             9   8.68048e+01   9.00000e+00  -1.26998e+01   8.47020e+00   1.00750e+02
            10   8.70012e+01   1.00000e+01  -1.22250e+01   8.47141e+00   1.00833e+02
            11   8.72049e+01   1.10000e+01  -1.17794e+01   8.47264e+00   1.00917e+02
            12   8.74246e+01   1.20000e+01  -1.13645e+01   8.47399e+00   1.01000e+02
            13   8.76352e+01   1.30000e+01  -1.09597e+01   8.47521e+00   1.01083e+02
            14   8.78675e+01   1.40000e+01  -1.05787e+01   8.47632e+00   1.01167e+02
            15   8.80827e+01   1.50000e+01  -1.02300e+01   8.47740e+00   1.01250e+02
            16   8.82914e+01   1.60000e+01  -9.91158e+00   8.47823e+00   1.01333e+02
            17   8.85063e+01   1.70000e+01  -9.58950e+00   8.47908e+00   1.01417e+02
            18   8.87174e+01   1.80000e+01  -9.27785e+00   8.47982e+00   1.01500e+02
            19   8.89341e+01   1.90000e+01  -8.97646e+00   8.48049e+00   1.01583e+02
            20   8.91431e+01   2.00000e+01  -8.73180e+00   8.48078e+00   1.01667e+02
            21   8.93579e+01   2.10000e+01  -8.45950e+00   8.48114e+00   1.01750e+02
            22   8.95456e+01   2.20000e+01  -8.20355e+00   8.48146e+00   1.01833e+02
            23   8.97492e+01   2.30000e+01  -7.95953e+00   8.48172e+00   1.01917e+02
            24   8.99501e+01   2.40000e+01  -7.77373e+00   8.48172e+00   1.02000e+02
            25   9.01581e+01   2.50000e+01  -7.56613e+00   8.48182e+00   1.02083e+02
            26   9.03502e+01   2.60000e+01  -7.36088e+00   8.48190e+00   1.02167e+02
            27   9.05479e+01   2.70000e+01  -7.16180e+00   8.48197e+00   1.02250e+02
            28   9.07559e+01   2.80000e+01  -7.01712e+00   8.48195e+00   1.02333e+02
            29   9.09426e+01   2.90000e+01  -6.85209e+00   8.48197e+00   1.02417e+02
            30   9.11417e+01   3.00000e+01  -6.68793e+00   8.48199e+00   1.02500e+02
            31   9.13302e+01   3.10000e+01  -6.52730e+00   8.48200e+00   1.02583e+02
            32   9.15110e+01   3.20000e+01  -6.40813e+00   8.48199e+00   1.02667e+02
            33   9.16857e+01   3.30000e+01  -6.27234e+00   8.48200e+00   1.02750e+02
            34   9.18730e+01   3.40000e+01  -6.13380e+00   8.48200e+00   1.02833e+02
            35   9.20713e+01   3.50000e+01  -5.98988e+00   8.48200e+00   1.02917e+02
            36   9.22370e+01   3.60000e+01  -5.89934e+00   8.48200e+00   1.03000e+02
            37   9.24219e+01   3.70000e+01  -5.78698e+00   8.48200e+00   1.03083e+02
            38   9.26165e+01   3.80000e+01  -5.67024e+00   8.48200e+00   1.03167e+02
            39   9.27743e+01   3.90000e+01  -5.56236e+00   8.48200e+00   1.03250e+02
            40   9.29682e+01   4.00000e+01  -5.51057e+00   8.48200e+00   1.03333e+02
            41   9.31315e+01   4.10000e+01  -5.42917e+00   8.48200e+00   1.03417e+02
            42   9.33041e+01   4.20000e+01  -5.34492e+00   8.48200e+00   1.03500e+02
            43   9.34780e+01   4.30000e+01  -5.26251e+00   8.48200e+00   1.03583e+02
            44   9.36476e+01   4.40000e+01  -5.21758e+00   8.48200e+00   1.03667e+02
            45   9.38041e+01   4.50000e+01  -5.15203e+00   8.48200e+00   1.03750e+02
            46   9.39736e+01   4.60000e+01  -5.08214e+00   8.48200e+00   1.03833e+02
            47   9.41505e+01   4.70000e+01  -5.02379e+00   8.48200e+00   1.03917e+02
            48   9.43086e+01   4.80000e+01  -4.97848e+00   8.48200e+00   1.04000e+02
            49   9.44639e+01   4.90000e+01  -4.92564e+00   8.48200e+00   1.04083e+02
            50   9.46354e+01   5.00000e+01  -4.87444e+00   8.48200e+00   1.04167e+02
            51   9.47929e+01   5.10000e+01  -4.82589e+00   8.48200e+00   1.04250e+02
            52   9.49477e+01   5.20000e+01  -4.79251e+00   8.48200e+00   1.04333e+02
            53   9.51080e+01   5.30000e+01  -4.75278e+00   8.48200e+00   1.04417e+02
            54   9.52512e+01   5.40000e+01  -4.71298e+00   8.48200e+00   1.04500e+02
            55   9.54021e+01   5.50000e+01  -4.67482e+00   8.48200e+00   1.04583e+02
            56   9.55744e+01   5.60000e+01  -4.64686e+00   8.48211e+00   1.04667e+02
            57   9.57155e+01   5.70000e+01  -4.61606e+00   8.48222e+00   1.04750e+02
            58   9.58701e+01   5.80000e+01  -4.58598e+00   8.48233e+00   1.04833e+02
            59   9.60149e+01   5.90000e+01  -4.55781e+00   8.48245e+00   1.04917e+02
            60   9.61674e+01   6.00000e+01  -4.54615e+00   8.48265e+00   1.05000e+02
            61   9.63154e+01   6.10000e+01  -4.52725e+00   8.48277e+00   1.05083e+02
            62   9.64745e+01   6.20000e+01  -4.50670e+00   8.48286e+00   1.05167e+02
            63   9.66043e+01   6.30000e+01  -4.48657e+00   8.48294e+00   1.05250e+02
            64   9.67762e+01   6.40000e+01  -4.47872e+00   8.48293e+00   1.05333e+02
            65   9.69169e+01   6.50000e+01  -4.46582e+00   8.48295e+00   1.05417e+02
            66   9.70529e+01   6.60000e+01  -4.45257e+00   8.48298e+00   1.05500e+02
            67   9.72001e+01   6.70000e+01  -4.44059e+00   8.48299e+00   1.05583e+02
            68   9.73486e+01   6.80000e+01  -4.43839e+00   8.48310e+00   1.05667e+02
