         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.05347e+01   0.00000e+00  -1.72789e+01   3.86071e+01   1.00000e+02
             1   7.07565e+01   1.00000e+00  -1.70520e+01   3.86073e+01   1.00083e+02
             2   7.09757e+01   2.00000e+00  -1.68521e+01   3.86075e+01   1.00167e+02
             3   7.12266e+01   3.00000e+00  -1.66505e+01   3.86078e+01   1.00250e+02
             4   7.15044e+01   4.00000e+00  -1.65151e+01   3.86084e+01   1.00333e+02
             5   7.17895e+01   5.00000e+00  -1.64063e+01   3.86090e+01   1.00417e+02
             6   7.20837e+01   6.00000e+00  -1.63407e+01   3.86097e+01   1.00500e+02
             7   7.23722e+01   7.00000e+00  -1.63191e+01   3.86105e+01   1.00583e+02
             8   7.26717e+01   8.00000e+00  -1.63469e+01   3.86118e+01   1.00667e+02
             9   7.29741e+01   9.00000e+00  -1.63834e+01   3.86130e+01   1.00750e+02
            10   7.32797e+01   1.00000e+01  -1.64293e+01   3.86143e+01   1.00833e+02
            11   7.35904e+01   1.10000e+01  -1.64790e+01   3.86156e+01   1.00917e+02
            12   7.38891e+01   1.20000e+01  -1.65500e+01   3.86172e+01   1.01000e+02
            13   7.41949e+01   1.30000e+01  -1.65934e+01   3.86186e+01   1.01083e+02
            14   7.44857e+01   1.40000e+01  -1.66242e+01   3.86198e+01   1.01167e+02
            15   7.47918e+01   1.50000e+01  -1.66558e+01   3.86210e+01   1.01250e+02
            16   7.50885e+01   1.60000e+01  -1.66973e+01   3.86218e+01   1.01333e+02
            17   7.53881e+01   1.70000e+01  -1.67356e+01   3.86227e+01   1.01417e+02
            18   7.56833e+01   1.80000e+01  -1.67734e+01   3.86234e+01   1.01500e+02
            19   7.59786e+01   1.90000e+01  -1.68114e+01   3.86240e+01   1.01583e+02
            20   7.62724e+01   2.00000e+01  -1.68419e+01   3.86242e+01   1.01667e+02
            21   7.65590e+01   2.10000e+01  -1.68713e+01   3.86244e+01   1.01750e+02
            22   7.68449e+01   2.20000e+01  -1.68979e+01   3.86246e+01   1.01833e+02
            23   7.71462e+01   2.30000e+01  -1.69230e+01   3.86247e+01   1.01917e+02
            24   7.74174e+01   2.40000e+01  -1.69350e+01   3.86245e+01   1.02000e+02
            25   7.76913e+01   2.50000e+01  -1.69504e+01   3.86244e+01   1.02083e+02
            26   7.79758e+01   2.60000e+01  -1.69659e+01   3.86244e+01   1.02167e+02
            27   7.82552e+01   2.70000e+01  -1.69806e+01   3.86243e+01   1.02250e+02
            28   7.85386e+01   2.80000e+01  -1.69790e+01   3.86242e+01   1.02333e+02
            29   7.88218e+01   2.90000e+01  -1.69843e+01   3.86241e+01   1.02417e+02
            30   7.90865e+01   3.00000e+01  -1.69897e+01   3.86240e+01   1.02500e+02
            31   7.93458e+01   3.10000e+01  -1.69924e+01   3.86238e+01   1.02583e+02
            32   7.96136e+01   3.20000e+01  -1.69771e+01   3.86237e+01   1.02667e+02
            33   7.98733e+01   3.30000e+01  -1.69698e+01   3.86235e+01   1.02750e+02
            34   8.01423e+01   3.40000e+01  -1.69621e+01   3.86234e+01   1.02833e+02
            35   8.03978e+01   3.50000e+01  -1.69536e+01   3.86232e+01   1.02917e+02
            36   8.06670e+01   3.60000e+01  -1.69353e+01   3.86230e+01   1.03000e+02
            37   8.09190e+01   3.70000e+01  -1.69208e+01   3.86228e+01   1.03083e+02
            38   8.11584e+01   3.80000e+01  -1.69067e+01   3.86226e+01   1.03167e+02
            39   8.14143e+01   3.90000e+01  -1.68923e+01   3.86225e+01   1.03250e+02
            40   8.16648e+01   4.00000e+01  -1.68649e+01   3.86223e+01   1.03333e+02
            41   8.19080e+01   4.10000e+01  -1.68455e+01   3.86221e+01   1.03417e+02
            42   8.21596e+01   4.20000e+01  -1.68274e+01   3.86219e+01   1.03500e+02
            43   8.24051e+01   4.30000e+01  -1.68075e+01   3.86217e+01   1.03583e+02
            44   8.26393e+01   4.40000e+01  -1.67818e+01   3.86216e+01   1.03667e+02
            45   8.28741e+01   4.50000e+01  -1.67596e+01   3.86214e+01   1.03750e+02
            46   8.31181e+01   4.60000e+01  -1.67375e+01   3.86213e+01   1.03833e+02
            47   8.33729e+01   4.70000e+01  -1.67139e+01   3.86211e+01   1.03917e+02
            48   8.35992e+01   4.80000e+01  -1.66901e+01   3.86209e+01   1.04000e+02
            49   8.38340e+01   4.90000e+01  -1.66677e+01   3.86208e+01   1.04083e+02
            50   8.40638e+01   5.00000e+01  -1.66447e+01   3.86206e+01   1.04167e+02
            51   8.43014e+01   5.10000e+01  -1.66194e+01   3.86205e+01   1.04250e+02
            52   8.45162e+01   5.20000e+01  -1.65911e+01   3.86203e+01   1.04333e+02
            53   8.47326e+01   5.30000e+01  -1.65657e+01   3.86202e+01   1.04417e+02
            54   8.49710e+01   5.40000e+01  -1.65410e+01   3.86201e+01   1.04500e+02
            55   8.52004e+01   5.50000e+01  -1.65164e+01   3.86200e+01   1.04583e+02
            56   8.54217e+01   5.60000e+01  -1.64918e+01   3.86199e+01   1.04667e+02
            57   8.56375e+01   5.70000e+01  -1.64678e+01   3.86198e+01   1.04750e+02
            58   8.58561e+01   5.80000e+01  -1.64432e+01   3.86197e+01   1.04833e+02
            59   8.60875e+01   5.90000e+01  -1.64194e+01   3.86196e+01   1.04917e+02
            60   8.63101e+01   6.00000e+01  -1.63941e+01   3.86194e+01   1.05000e+02
            61   8.65195e+01   6.10000e+01  -1.63706e+01   3.86192e+01   1.05083e+02
            62   8.67233e+01   6.20000e+01  -1.63473e+01   3.86191e+01   1.05167e+02
            63   8.69364e+01   6.30000e+01  -1.63242e+01   3.86191e+01   1.05250e+02
            64   8.71557e+01   6.40000e+01  -1.63044e+01   3.86191e+01   1.05333e+02
            65   8.73683e+01   6.50000e+01  -1.62835e+01   3.86190e+01   1.05417e+02
            66   8.75682e+01   6.60000e+01  -1.62629e+01   3.86190e+01   1.05500e+02
            67   8.77836e+01   6.70000e+01  -1.62430e+01   3.86190e+01   1.05583e+02
            68   8.79993e+01   6.80000e+01  -1.62254e+01   3.86189e+01   1.05667e+02
            69   8.81930e+01   6.90000e+01  -1.62058e+01   3.86188e+01   1.05750e+02
            70   8.83918e+01   7.00000e+01  -1.61864e+01   3.86187e+01   1.05833e+02
            71   8.85983e+01   7.10000e+01  -1.61685e+01   3.86186e+01   1.05917e+02
            72   8.87986e+01   7.20000e+01  -1.61520e+01   3.86184e+01   1.06000e+02
            73   8.89900e+01   7.30000e+01  -1.61332e+01   3.86182e+01   1.06083e+02
            74   8.92077e+01   7.40000e+01  -1.61154e+01   3.86181e+01   1.06167e+02
            75   8.94068e+01   7.50000e+01  -1.60995e+01   3.86181e+01   1.06250e+02
            76   8.95932e+01   7.60000e+01  -1.60856e+01   3.86181e+01   1.06333e+02
            77   8.97992e+01   7.70000e+01  -1.60695e+01   3.86180e+01   1.06417e+02
            78   8.99905e+01   7.80000e+01  -1.60542e+01   3.86180e+01   1.06500e+02
            79   9.01818e+01   7.90000e+01  -1.60402e+01   3.86180e+01   1.06583e+02
            80   9.03732e+01   8.00000e+01  -1.60277e+01   3.86180e+01   1.06667e+02
            81   9.05619e+01   8.10000e+01  -1.60132e+01   3.86180e+01   1.06750e+02
            82   9.07556e+01   8.20000e+01  -1.59992e+01   3.86179e+01   1.06833e+02
            83   9.09490e+01   8.30000e+01  -1.59862e+01   3.86178e+01   1.06917e+02
            84   9.11397e+01   8.40000e+01  -1.59770e+01   3.86176e+01   1.07000e+02
            85   9.13272e+01   8.50000e+01  -1.59653e+01   3.86175e+01   1.07083e+02
            86   9.15289e+01   8.60000e+01  -1.59532e+01   3.86174e+01   1.07167e+02
            87   9.17080e+01   8.70000e+01  -1.59415e+01   3.86173e+01   1.07250e+02
            88   9.18857e+01   8.80000e+01  -1.59303e+01   3.86172e+01   1.07333e+02
            89   9.20841e+01   8.90000e+01  -1.59169e+01   3.86171e+01   1.07417e+02
            90   9.22579e+01   9.00000e+01  -1.59039e+01   3.86171e+01   1.07500e+02
            91   9.24468e+01   9.10000e+01  -1.58905e+01   3.86170e+01   1.07583e+02
            92   9.26276e+01   9.20000e+01  -1.58808e+01   3.86170e+01   1.07667e+02
            93   9.28024e+01   9.30000e+01  -1.58726e+01   3.86170e+01   1.07750e+02
            94   9.29892e+01   9.40000e+01  -1.58640e+01   3.86170e+01   1.07833e+02
            95   9.31828e+01   9.50000e+01  -1.58549e+01   3.86170e+01   1.07917e+02
            96   9.33475e+01   9.60000e+01  -1.58456e+01   3.86170e+01   1.08000e+02
            97   9.35164e+01   9.70000e+01  -1.58369e+01   3.86170e+01   1.08083e+02
            98   9.36978e+01   9.80000e+01  -1.58288e+01   3.86170e+01   1.08167e+02
            99   9.38869e+01   9.90000e+01  -1.58225e+01   3.86170e+01   1.08250e+02
           100   9.40579e+01   1.00000e+02  -1.58200e+01   3.86170e+01   1.08333e+02
           101   9.42142e+01   1.01000e+02  -1.58137e+01   3.86170e+01   1.08417e+02
           102   9.43918e+01   1.02000e+02  -1.58067e+01   3.86169e+01   1.08500e+02
           103   9.45760e+01   1.03000e+02  -1.58005e+01   3.86168e+01   1.08583e+02
           104   9.47439e+01   1.04000e+02  -1.57964e+01   3.86166e+01   1.08667e+02
           105   9.49228e+01   1.05000e+02  -1.57916e+01   3.86165e+01   1.08750e+02
           106   9.51086e+01   1.06000e+02  -1.57870e+01   3.86164e+01   1.08833e+02
           107   9.52760e+01   1.07000e+02  -1.57824e+01   3.86163e+01   1.08917e+02
           108   9.54314e+01   1.08000e+02  -1.57800e+01   3.86162e+01   1.09000e+02
           109   9.56184e+01   1.09000e+02  -1.57769e+01   3.86161e+01   1.09083e+02
           110   9.57791e+01   1.10000e+02  -1.57739e+01   3.86161e+01   1.09167e+02
           111   9.59490e+01   1.11000e+02  -1.57709e+01   3.86160e+01   1.09250e+02
           112   9.61083e+01   1.12000e+02  -1.57688e+01   3.86160e+01   1.09333e+02
           113   9.62828e+01   1.13000e+02  -1.57658e+01   3.86160e+01   1.09417e+02
           114   9.64522e+01   1.14000e+02  -1.57620e+01   3.86160e+01   1.09500e+02
           115   9.66165e+01   1.15000e+02  -1.57580e+01   3.86160e+01   1.09583e+02
           116   9.67751e+01   1.16000e+02  -1.57571e+01   3.86160e+01   1.09667e+02
