         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.38655e+01   0.00000e+00  -3.39401e+01   3.96883e+01   1.00000e+02
             1   8.40085e+01   1.00000e+00  -3.29442e+01   3.96886e+01   1.00083e+02
             2   8.41613e+01   2.00000e+00  -3.18457e+01   3.96889e+01   1.00167e+02
             3   8.43361e+01   3.00000e+00  -3.07860e+01   3.96893e+01   1.00250e+02
             4   8.45385e+01   4.00000e+00  -2.97880e+01   3.96901e+01   1.00333e+02
             5   8.47438e+01   5.00000e+00  -2.88126e+01   3.96909e+01   1.00417e+02
             6   8.49540e+01   6.00000e+00  -2.79502e+01   3.96918e+01   1.00500e+02
             7   8.51734e+01   7.00000e+00  -2.71779e+01   3.96928e+01   1.00583e+02
             8   8.53936e+01   8.00000e+00  -2.65007e+01   3.96943e+01   1.00667e+02
             9   8.56000e+01   9.00000e+00  -2.58439e+01   3.96957e+01   1.00750e+02
            10   8.58077e+01   1.00000e+01  -2.52387e+01   3.96972e+01   1.00833e+02
            11   8.60297e+01   1.10000e+01  -2.46869e+01   3.96988e+01   1.00917e+02
            12   8.62626e+01   1.20000e+01  -2.41748e+01   3.97005e+01   1.01000e+02
            13   8.64774e+01   1.30000e+01  -2.36590e+01   3.97020e+01   1.01083e+02
            14   8.67014e+01   1.40000e+01  -2.31955e+01   3.97035e+01   1.01167e+02
            15   8.69191e+01   1.50000e+01  -2.27708e+01   3.97050e+01   1.01250e+02
            16   8.71400e+01   1.60000e+01  -2.24085e+01   3.97062e+01   1.01333e+02
            17   8.73392e+01   1.70000e+01  -2.20262e+01   3.97074e+01   1.01417e+02
            18   8.75655e+01   1.80000e+01  -2.16495e+01   3.97085e+01   1.01500e+02
            19   8.77852e+01   1.90000e+01  -2.12701e+01   3.97094e+01   1.01583e+02
            20   8.79979e+01   2.00000e+01  -2.09888e+01   3.97100e+01   1.01667e+02
            21   8.81962e+01   2.10000e+01  -2.06830e+01   3.97106e+01   1.01750e+02
            22   8.84076e+01   2.20000e+01  -2.03862e+01   3.97112e+01   1.01833e+02
            23   8.86186e+01   2.30000e+01  -2.01004e+01   3.97117e+01   1.01917e+02
            24   8.88270e+01   2.40000e+01  -1.98677e+01   3.97119e+01   1.02000e+02
            25   8.90258e+01   2.50000e+01  -1.96182e+01   3.97122e+01   1.02083e+02
            26   8.92279e+01   2.60000e+01  -1.93728e+01   3.97124e+01   1.02167e+02
            27   8.94201e+01   2.70000e+01  -1.91312e+01   3.97126e+01   1.02250e+02
            28   8.96404e+01   2.80000e+01  -1.89375e+01   3.97127e+01   1.02333e+02
            29   8.98233e+01   2.90000e+01  -1.87221e+01   3.97128e+01   1.02417e+02
            30   9.00188e+01   3.00000e+01  -1.85086e+01   3.97129e+01   1.02500e+02
            31   9.02198e+01   3.10000e+01  -1.83166e+01   3.97130e+01   1.02583e+02
            32   9.04113e+01   3.20000e+01  -1.81548e+01   3.97129e+01   1.02667e+02
            33   9.05788e+01   3.30000e+01  -1.79732e+01   3.97130e+01   1.02750e+02
            34   9.07714e+01   3.40000e+01  -1.77871e+01   3.97130e+01   1.02833e+02
            35   9.09650e+01   3.50000e+01  -1.76113e+01   3.97130e+01   1.02917e+02
            36   9.11443e+01   3.60000e+01  -1.74783e+01   3.97130e+01   1.03000e+02
            37   9.13414e+01   3.70000e+01  -1.73218e+01   3.97130e+01   1.03083e+02
            38   9.15109e+01   3.80000e+01  -1.71729e+01   3.97130e+01   1.03167e+02
            39   9.16892e+01   3.90000e+01  -1.70265e+01   3.97130e+01   1.03250e+02
            40   9.18554e+01   4.00000e+01  -1.69368e+01   3.97130e+01   1.03333e+02
            41   9.20471e+01   4.10000e+01  -1.68165e+01   3.97130e+01   1.03417e+02
            42   9.22273e+01   4.20000e+01  -1.66933e+01   3.97130e+01   1.03500e+02
            43   9.24008e+01   4.30000e+01  -1.65745e+01   3.97130e+01   1.03583e+02
            44   9.25639e+01   4.40000e+01  -1.64882e+01   3.97130e+01   1.03667e+02
            45   9.27305e+01   4.50000e+01  -1.63832e+01   3.97130e+01   1.03750e+02
            46   9.29025e+01   4.60000e+01  -1.62729e+01   3.97130e+01   1.03833e+02
            47   9.30734e+01   4.70000e+01  -1.61711e+01   3.97130e+01   1.03917e+02
            48   9.32373e+01   4.80000e+01  -1.61020e+01   3.97130e+01   1.04000e+02
            49   9.34049e+01   4.90000e+01  -1.60167e+01   3.97130e+01   1.04083e+02
            50   9.35628e+01   5.00000e+01  -1.59294e+01   3.97130e+01   1.04167e+02
            51   9.37192e+01   5.10000e+01  -1.58447e+01   3.97130e+01   1.04250e+02
