         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.49329e+01   0.00000e+00  -2.81232e+01   1.62256e+01   1.00000e+02
             1   8.50779e+01   1.00000e+00  -2.71080e+01   1.62255e+01   1.00083e+02
             2   8.52301e+01   2.00000e+00  -2.59824e+01   1.62253e+01   1.00167e+02
             3   8.53988e+01   3.00000e+00  -2.48911e+01   1.62252e+01   1.00250e+02
             4   8.55814e+01   4.00000e+00  -2.38379e+01   1.62253e+01   1.00333e+02
             5   8.57973e+01   5.00000e+00  -2.28565e+01   1.62254e+01   1.00417e+02
             6   8.59923e+01   6.00000e+00  -2.19749e+01   1.62255e+01   1.00500e+02
             7   8.62036e+01   7.00000e+00  -2.11736e+01   1.62258e+01   1.00583e+02
             8   8.64171e+01   8.00000e+00  -2.04481e+01   1.62265e+01   1.00667e+02
             9   8.66190e+01   9.00000e+00  -1.97405e+01   1.62272e+01   1.00750e+02
            10   8.68332e+01   1.00000e+01  -1.90806e+01   1.62280e+01   1.00833e+02
            11   8.70356e+01   1.10000e+01  -1.84583e+01   1.62288e+01   1.00917e+02
            12   8.72652e+01   1.20000e+01  -1.79240e+01   1.62299e+01   1.01000e+02
            13   8.74692e+01   1.30000e+01  -1.73806e+01   1.62309e+01   1.01083e+02
            14   8.76896e+01   1.40000e+01  -1.68634e+01   1.62317e+01   1.01167e+02
            15   8.79178e+01   1.50000e+01  -1.63772e+01   1.62325e+01   1.01250e+02
            16   8.81250e+01   1.60000e+01  -1.59232e+01   1.62331e+01   1.01333e+02
            17   8.83433e+01   1.70000e+01  -1.54593e+01   1.62337e+01   1.01417e+02
            18   8.85511e+01   1.80000e+01  -1.50071e+01   1.62341e+01   1.01500e+02
            19   8.87718e+01   1.90000e+01  -1.45921e+01   1.62345e+01   1.01583e+02
            20   8.89788e+01   2.00000e+01  -1.42090e+01   1.62345e+01   1.01667e+02
            21   8.91808e+01   2.10000e+01  -1.38173e+01   1.62347e+01   1.01750e+02
            22   8.93889e+01   2.20000e+01  -1.34359e+01   1.62348e+01   1.01833e+02
            23   8.95967e+01   2.30000e+01  -1.30909e+01   1.62348e+01   1.01917e+02
            24   8.97913e+01   2.40000e+01  -1.27799e+01   1.62347e+01   1.02000e+02
            25   8.99932e+01   2.50000e+01  -1.24609e+01   1.62346e+01   1.02083e+02
            26   9.01960e+01   2.60000e+01  -1.21581e+01   1.62344e+01   1.02167e+02
            27   9.04007e+01   2.70000e+01  -1.18746e+01   1.62342e+01   1.02250e+02
            28   9.05868e+01   2.80000e+01  -1.16259e+01   1.62339e+01   1.02333e+02
            29   9.07827e+01   2.90000e+01  -1.13511e+01   1.62337e+01   1.02417e+02
            30   9.09781e+01   3.00000e+01  -1.10893e+01   1.62334e+01   1.02500e+02
            31   9.11733e+01   3.10000e+01  -1.08345e+01   1.62331e+01   1.02583e+02
            32   9.13425e+01   3.20000e+01  -1.06285e+01   1.62329e+01   1.02667e+02
            33   9.15338e+01   3.30000e+01  -1.03913e+01   1.62327e+01   1.02750e+02
            34   9.17164e+01   3.40000e+01  -1.01635e+01   1.62325e+01   1.02833e+02
            35   9.19027e+01   3.50000e+01  -9.96267e+00   1.62323e+01   1.02917e+02
            36   9.20945e+01   3.60000e+01  -9.79726e+00   1.62322e+01   1.03000e+02
            37   9.22700e+01   3.70000e+01  -9.61298e+00   1.62320e+01   1.03083e+02
            38   9.24385e+01   3.80000e+01  -9.43170e+00   1.62318e+01   1.03167e+02
            39   9.26243e+01   3.90000e+01  -9.25380e+00   1.62316e+01   1.03250e+02
            40   9.27890e+01   4.00000e+01  -9.11870e+00   1.62314e+01   1.03333e+02
            41   9.29678e+01   4.10000e+01  -8.96594e+00   1.62312e+01   1.03417e+02
            42   9.31462e+01   4.20000e+01  -8.81025e+00   1.62309e+01   1.03500e+02
            43   9.33172e+01   4.30000e+01  -8.64893e+00   1.62307e+01   1.03583e+02
            44   9.34746e+01   4.40000e+01  -8.54507e+00   1.62306e+01   1.03667e+02
            45   9.36432e+01   4.50000e+01  -8.41750e+00   1.62304e+01   1.03750e+02
            46   9.38086e+01   4.60000e+01  -8.28473e+00   1.62302e+01   1.03833e+02
            47   9.39879e+01   4.70000e+01  -8.16030e+00   1.62300e+01   1.03917e+02
            48   9.41535e+01   4.80000e+01  -8.07789e+00   1.62298e+01   1.04000e+02
            49   9.43060e+01   4.90000e+01  -7.97840e+00   1.62296e+01   1.04083e+02
            50   9.44661e+01   5.00000e+01  -7.87930e+00   1.62295e+01   1.04167e+02
            51   9.46269e+01   5.10000e+01  -7.78490e+00   1.62293e+01   1.04250e+02
            52   9.47818e+01   5.20000e+01  -7.72432e+00   1.62292e+01   1.04333e+02
            53   9.49511e+01   5.30000e+01  -7.65029e+00   1.62292e+01   1.04417e+02
            54   9.50968e+01   5.40000e+01  -7.57656e+00   1.62291e+01   1.04500e+02
            55   9.52356e+01   5.50000e+01  -7.49167e+00   1.62290e+01   1.04583e+02
            56   9.53915e+01   5.60000e+01  -7.44906e+00   1.62289e+01   1.04667e+02
            57   9.55541e+01   5.70000e+01  -7.39074e+00   1.62288e+01   1.04750e+02
            58   9.56926e+01   5.80000e+01  -7.33137e+00   1.62287e+01   1.04833e+02
            59   9.58623e+01   5.90000e+01  -7.27307e+00   1.62286e+01   1.04917e+02
            60   9.60059e+01   6.00000e+01  -7.23277e+00   1.62284e+01   1.05000e+02
            61   9.61707e+01   6.10000e+01  -7.18431e+00   1.62282e+01   1.05083e+02
            62   9.62996e+01   6.20000e+01  -7.13650e+00   1.62281e+01   1.05167e+02
            63   9.64478e+01   6.30000e+01  -7.09004e+00   1.62281e+01   1.05250e+02
            64   9.65981e+01   6.40000e+01  -7.06289e+00   1.62281e+01   1.05333e+02
            65   9.67376e+01   6.50000e+01  -7.02871e+00   1.62280e+01   1.05417e+02
            66   9.68820e+01   6.60000e+01  -6.99436e+00   1.62280e+01   1.05500e+02
            67   9.70155e+01   6.70000e+01  -6.96106e+00   1.62280e+01   1.05583e+02
            68   9.71668e+01   6.80000e+01  -6.93945e+00   1.62280e+01   1.05667e+02
            69   9.73036e+01   6.90000e+01  -6.91187e+00   1.62280e+01   1.05750e+02
            70   9.74611e+01   7.00000e+01  -6.88442e+00   1.62279e+01   1.05833e+02
            71   9.75954e+01   7.10000e+01  -6.85773e+00   1.62278e+01   1.05917e+02
            72   9.77447e+01   7.20000e+01  -6.84556e+00   1.62276e+01   1.06000e+02
            73   9.78757e+01   7.30000e+01  -6.82727e+00   1.62275e+01   1.06083e+02
            74   9.80049e+01   7.40000e+01  -6.80846e+00   1.62274e+01   1.06167e+02
            75   9.81362e+01   7.50000e+01  -6.79006e+00   1.62273e+01   1.06250e+02
            76   9.82840e+01   7.60000e+01  -6.78166e+00   1.62272e+01   1.06333e+02
            77   9.84158e+01   7.70000e+01  -6.76986e+00   1.62271e+01   1.06417e+02
            78   9.85614e+01   7.80000e+01  -6.75863e+00   1.62271e+01   1.06500e+02
            79   9.86965e+01   7.90000e+01  -6.74855e+00   1.62270e+01   1.06583e+02
            80   9.88429e+01   8.00000e+01  -6.74588e+00   1.62270e+01   1.06667e+02
            81   9.89702e+01   8.10000e+01  -6.73905e+00   1.62270e+01   1.06750e+02
            82   9.91111e+01   8.20000e+01  -6.73222e+00   1.62270e+01   1.06833e+02
            83   9.92399e+01   8.30000e+01  -6.72594e+00   1.62270e+01   1.06917e+02
            84   9.93705e+01   8.40000e+01  -6.72867e+00   1.62270e+01   1.07000e+02
            85   9.95071e+01   8.50000e+01  -6.72770e+00   1.62270e+01   1.07083e+02
            86   9.96349e+01   8.60000e+01  -6.72544e+00   1.62270e+01   1.07167e+02
            87   9.97626e+01   8.70000e+01  -6.72419e+00   1.62270e+01   1.07250e+02
            88   9.99083e+01   8.80000e+01  -6.72990e+00   1.62270e+01   1.07333e+02
            89   1.00026e+02   8.90000e+01  -6.73349e+00   1.62270e+01   1.07417e+02
            90   1.00161e+02   9.00000e+01  -6.73611e+00   1.62270e+01   1.07500e+02
            91   1.00282e+02   9.10000e+01  -6.73944e+00   1.62270e+01   1.07583e+02
            92   1.00408e+02   9.20000e+01  -6.74809e+00   1.62270e+01   1.07667e+02
            93   1.00543e+02   9.30000e+01  -6.75504e+00   1.62270e+01   1.07750e+02
            94   1.00656e+02   9.40000e+01  -6.76171e+00   1.62270e+01   1.07833e+02
            95   1.00791e+02   9.50000e+01  -6.76770e+00   1.62270e+01   1.07917e+02
            96   1.00925e+02   9.60000e+01  -6.78127e+00   1.62270e+01   1.08000e+02
            97   1.01043e+02   9.70000e+01  -6.79181e+00   1.62270e+01   1.08083e+02
            98   1.01183e+02   9.80000e+01  -6.80102e+00   1.62270e+01   1.08167e+02
            99   1.01311e+02   9.90000e+01  -6.81047e+00   1.62270e+01   1.08250e+02
           100   1.01426e+02   1.00000e+02  -6.82206e+00   1.62270e+01   1.08333e+02
           101   1.01556e+02   1.01000e+02  -6.83306e+00   1.62270e+01   1.08417e+02
           102   1.01696e+02   1.02000e+02  -6.84444e+00   1.62270e+01   1.08500e+02
           103   1.01804e+02   1.03000e+02  -6.85574e+00   1.62270e+01   1.08583e+02
           104   1.01935e+02   1.04000e+02  -6.86845e+00   1.62270e+01   1.08667e+02
           105   1.02055e+02   1.05000e+02  -6.87999e+00   1.62270e+01   1.08750e+02
           106   1.02191e+02   1.06000e+02  -6.89168e+00   1.62270e+01   1.08833e+02
           107   1.02312e+02   1.07000e+02  -6.90403e+00   1.62270e+01   1.08917e+02
           108   1.02429e+02   1.08000e+02  -6.91805e+00   1.62270e+01   1.09000e+02
           109   1.02546e+02   1.09000e+02  -6.93079e+00   1.62270e+01   1.09083e+02
           110   1.02663e+02   1.10000e+02  -6.94376e+00   1.62270e+01   1.09167e+02
           111   1.02778e+02   1.11000e+02  -6.95677e+00   1.62270e+01   1.09250e+02
           112   1.02897e+02   1.12000e+02  -6.97017e+00   1.62270e+01   1.09333e+02
           113   1.03022e+02   1.13000e+02  -6.98269e+00   1.62270e+01   1.09417e+02
           114   1.03147e+02   1.14000e+02  -6.99508e+00   1.62269e+01   1.09500e+02
           115   1.03265e+02   1.15000e+02  -7.00638e+00   1.62268e+01   1.09583e+02
           116   1.03397e+02   1.16000e+02  -7.01833e+00   1.62266e+01   1.09667e+02
           117   1.03522e+02   1.17000e+02  -7.03009e+00   1.62265e+01   1.09750e+02
           118   1.03639e+02   1.18000e+02  -7.04320e+00   1.62264e+01   1.09833e+02
           119   1.03752e+02   1.19000e+02  -7.05617e+00   1.62263e+01   1.09917e+02
           120   1.03873e+02   1.20000e+02  -7.06661e+00   1.62262e+01   1.10000e+02
           121   1.03993e+02   1.21000e+02  -7.07888e+00   1.62261e+01   1.10083e+02
           122   1.04103e+02   1.22000e+02  -7.09186e+00   1.62261e+01   1.10167e+02
           123   1.04237e+02   1.23000e+02  -7.10483e+00   1.62260e+01   1.10250e+02
           124   1.04354e+02   1.24000e+02  -7.11611e+00   1.62260e+01   1.10333e+02
           125   1.04472e+02   1.25000e+02  -7.12766e+00   1.62260e+01   1.10417e+02
