         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.51987e+01   0.00000e+00  -1.81122e+01   8.94336e+00   1.00000e+02
             1   8.53410e+01   1.00000e+00  -1.73188e+01   8.94356e+00   1.00083e+02
             2   8.54700e+01   2.00000e+00  -1.64470e+01   8.94381e+00   1.00167e+02
             3   8.56384e+01   3.00000e+00  -1.56169e+01   8.94411e+00   1.00250e+02
             4   8.58294e+01   4.00000e+00  -1.48450e+01   8.94456e+00   1.00333e+02
             5   8.60370e+01   5.00000e+00  -1.41073e+01   8.94511e+00   1.00417e+02
             6   8.62265e+01   6.00000e+00  -1.34714e+01   8.94580e+00   1.00500e+02
             7   8.64499e+01   7.00000e+00  -1.28602e+01   8.94657e+00   1.00583e+02
             8   8.66451e+01   8.00000e+00  -1.23513e+01   8.94782e+00   1.00667e+02
             9   8.68601e+01   9.00000e+00  -1.18645e+01   8.94897e+00   1.00750e+02
            10   8.70684e+01   1.00000e+01  -1.14242e+01   8.95017e+00   1.00833e+02
            11   8.72849e+01   1.10000e+01  -1.09910e+01   8.95140e+00   1.00917e+02
            12   8.75038e+01   1.20000e+01  -1.06263e+01   8.95286e+00   1.01000e+02
            13   8.76944e+01   1.30000e+01  -1.02578e+01   8.95415e+00   1.01083e+02
            14   8.79181e+01   1.40000e+01  -9.91586e+00   8.95536e+00   1.01167e+02
            15   8.81246e+01   1.50000e+01  -9.60506e+00   8.95649e+00   1.01250e+02
            16   8.83333e+01   1.60000e+01  -9.32522e+00   8.95742e+00   1.01333e+02
            17   8.85357e+01   1.70000e+01  -9.04063e+00   8.95829e+00   1.01417e+02
            18   8.87507e+01   1.80000e+01  -8.76661e+00   8.95905e+00   1.01500e+02
            19   8.89619e+01   1.90000e+01  -8.50285e+00   8.95972e+00   1.01583e+02
            20   8.91628e+01   2.00000e+01  -8.30112e+00   8.95999e+00   1.01667e+02
            21   8.93731e+01   2.10000e+01  -8.07808e+00   8.96033e+00   1.01750e+02
            22   8.95811e+01   2.20000e+01  -7.85442e+00   8.96062e+00   1.01833e+02
            23   8.97727e+01   2.30000e+01  -7.62487e+00   8.96086e+00   1.01917e+02
            24   8.99712e+01   2.40000e+01  -7.46463e+00   8.96081e+00   1.02000e+02
            25   9.01649e+01   2.50000e+01  -7.28347e+00   8.96087e+00   1.02083e+02
            26   9.03796e+01   2.60000e+01  -7.12077e+00   8.96093e+00   1.02167e+02
            27   9.05646e+01   2.70000e+01  -6.95932e+00   8.96098e+00   1.02250e+02
            28   9.07684e+01   2.80000e+01  -6.84569e+00   8.96086e+00   1.02333e+02
            29   9.09501e+01   2.90000e+01  -6.70972e+00   8.96075e+00   1.02417e+02
            30   9.11348e+01   3.00000e+01  -6.56972e+00   8.96066e+00   1.02500e+02
            31   9.13379e+01   3.10000e+01  -6.44161e+00   8.96055e+00   1.02583e+02
            32   9.15186e+01   3.20000e+01  -6.37608e+00   8.96035e+00   1.02667e+02
            33   9.16905e+01   3.30000e+01  -6.28076e+00   8.96023e+00   1.02750e+02
            34   9.18892e+01   3.40000e+01  -6.18235e+00   8.96014e+00   1.02833e+02
            35   9.20607e+01   3.50000e+01  -6.08851e+00   8.96006e+00   1.02917e+02
            36   9.22441e+01   3.60000e+01  -6.03032e+00   8.96007e+00   1.03000e+02
            37   9.24193e+01   3.70000e+01  -5.95594e+00   8.96005e+00   1.03083e+02
            38   9.25777e+01   3.80000e+01  -5.87941e+00   8.96002e+00   1.03167e+02
            39   9.27678e+01   3.90000e+01  -5.79843e+00   8.96001e+00   1.03250e+02
            40   9.29386e+01   4.00000e+01  -5.76928e+00   8.96001e+00   1.03333e+02
            41   9.31106e+01   4.10000e+01  -5.71160e+00   8.96001e+00   1.03417e+02
            42   9.32784e+01   4.20000e+01  -5.65785e+00   8.96000e+00   1.03500e+02
            43   9.34439e+01   4.30000e+01  -5.60782e+00   8.96000e+00   1.03583e+02
            44   9.36201e+01   4.40000e+01  -5.59230e+00   8.96000e+00   1.03667e+02
            45   9.37791e+01   4.50000e+01  -5.55894e+00   8.95997e+00   1.03750e+02
            46   9.39330e+01   4.60000e+01  -5.52262e+00   8.95988e+00   1.03833e+02
            47   9.40922e+01   4.70000e+01  -5.48736e+00   8.95978e+00   1.03917e+02
            48   9.42692e+01   4.80000e+01  -5.47092e+00   8.95964e+00   1.04000e+02
            49   9.44133e+01   4.90000e+01  -5.44698e+00   8.95952e+00   1.04083e+02
            50   9.45684e+01   5.00000e+01  -5.42342e+00   8.95938e+00   1.04167e+02
            51   9.47359e+01   5.10000e+01  -5.40230e+00   8.95920e+00   1.04250e+02
            52   9.48877e+01   5.20000e+01  -5.39614e+00   8.95898e+00   1.04333e+02
            53   9.50526e+01   5.30000e+01  -5.38368e+00   8.95880e+00   1.04417e+02
            54   9.52083e+01   5.40000e+01  -5.37040e+00   8.95863e+00   1.04500e+02
            55   9.53424e+01   5.50000e+01  -5.35861e+00   8.95847e+00   1.04583e+02
            56   9.55005e+01   5.60000e+01  -5.35658e+00   8.95833e+00   1.04667e+02
            57   9.56603e+01   5.70000e+01  -5.34929e+00   8.95822e+00   1.04750e+02
            58   9.58036e+01   5.80000e+01  -5.34091e+00   8.95813e+00   1.04833e+02
            59   9.59389e+01   5.90000e+01  -5.33349e+00   8.95805e+00   1.04917e+02
            60   9.60991e+01   6.00000e+01  -5.34014e+00   8.95804e+00   1.05000e+02
            61   9.62472e+01   6.10000e+01  -5.34079e+00   8.95793e+00   1.05083e+02
            62   9.64040e+01   6.20000e+01  -5.34062e+00   8.95780e+00   1.05167e+02
            63   9.65398e+01   6.30000e+01  -5.34197e+00   8.95767e+00   1.05250e+02
            64   9.66849e+01   6.40000e+01  -5.34949e+00   8.95751e+00   1.05333e+02
            65   9.68333e+01   6.50000e+01  -5.35379e+00   8.95739e+00   1.05417e+02
            66   9.69720e+01   6.60000e+01  -5.35670e+00   8.95728e+00   1.05500e+02
            67   9.71167e+01   6.70000e+01  -5.36023e+00   8.95719e+00   1.05583e+02
            68   9.72529e+01   6.80000e+01  -5.37232e+00   8.95715e+00   1.05667e+02
            69   9.73906e+01   6.90000e+01  -5.38148e+00   8.95710e+00   1.05750e+02
            70   9.75326e+01   7.00000e+01  -5.39022e+00   8.95706e+00   1.05833e+02
            71   9.76721e+01   7.10000e+01  -5.39922e+00   8.95702e+00   1.05917e+02
            72   9.78043e+01   7.20000e+01  -5.41337e+00   8.95703e+00   1.06000e+02
            73   9.79509e+01   7.30000e+01  -5.42576e+00   8.95702e+00   1.06083e+02
            74   9.80902e+01   7.40000e+01  -5.43851e+00   8.95701e+00   1.06167e+02
            75   9.82267e+01   7.50000e+01  -5.45086e+00   8.95700e+00   1.06250e+02
            76   9.83589e+01   7.60000e+01  -5.46405e+00   8.95700e+00   1.06333e+02
            77   9.84837e+01   7.70000e+01  -5.47673e+00   8.95700e+00   1.06417e+02
            78   9.86268e+01   7.80000e+01  -5.48992e+00   8.95700e+00   1.06500e+02
            79   9.87538e+01   7.90000e+01  -5.50312e+00   8.95700e+00   1.06583e+02
            80   9.88927e+01   8.00000e+01  -5.51859e+00   8.95689e+00   1.06667e+02
            81   9.90264e+01   8.10000e+01  -5.53246e+00   8.95678e+00   1.06750e+02
            82   9.91651e+01   8.20000e+01  -5.54487e+00   8.95667e+00   1.06833e+02
            83   9.92905e+01   8.30000e+01  -5.55756e+00   8.95656e+00   1.06917e+02
            84   9.94185e+01   8.40000e+01  -5.56962e+00   8.95636e+00   1.07000e+02
            85   9.95554e+01   8.50000e+01  -5.58359e+00   8.95623e+00   1.07083e+02
            86   9.96767e+01   8.60000e+01  -5.59946e+00   8.95614e+00   1.07167e+02
            87   9.98252e+01   8.70000e+01  -5.61609e+00   8.95606e+00   1.07250e+02
            88   9.99580e+01   8.80000e+01  -5.63256e+00   8.95607e+00   1.07333e+02
            89   1.00079e+02   8.90000e+01  -5.64852e+00   8.95605e+00   1.07417e+02
            90   1.00201e+02   9.00000e+01  -5.66417e+00   8.95603e+00   1.07500e+02
            91   1.00332e+02   9.10000e+01  -5.68046e+00   8.95601e+00   1.07583e+02
            92   1.00452e+02   9.20000e+01  -5.69884e+00   8.95601e+00   1.07667e+02
            93   1.00588e+02   9.30000e+01  -5.71651e+00   8.95601e+00   1.07750e+02
            94   1.00698e+02   9.40000e+01  -5.73398e+00   8.95601e+00   1.07833e+02
            95   1.00837e+02   9.50000e+01  -5.75095e+00   8.95600e+00   1.07917e+02
            96   1.00970e+02   9.60000e+01  -5.77226e+00   8.95600e+00   1.08000e+02
            97   1.01084e+02   9.70000e+01  -5.79213e+00   8.95600e+00   1.08083e+02
            98   1.01219e+02   9.80000e+01  -5.81286e+00   8.95600e+00   1.08167e+02
            99   1.01335e+02   9.90000e+01  -5.83417e+00   8.95600e+00   1.08250e+02
           100   1.01474e+02   1.00000e+02  -5.85135e+00   8.95600e+00   1.08333e+02
           101   1.01598e+02   1.01000e+02  -5.86842e+00   8.95600e+00   1.08417e+02
