         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.44407e+01   0.00000e+00  -2.84004e+01   1.00076e+01   1.00000e+02
             1   8.45970e+01   1.00000e+00  -2.73753e+01   1.00073e+01   1.00083e+02
             2   8.47435e+01   2.00000e+00  -2.62347e+01   1.00071e+01   1.00167e+02
             3   8.49266e+01   3.00000e+00  -2.51197e+01   1.00069e+01   1.00250e+02
             4   8.51217e+01   4.00000e+00  -2.41265e+01   1.00066e+01   1.00333e+02
             5   8.53241e+01   5.00000e+00  -2.31920e+01   1.00065e+01   1.00417e+02
             6   8.55404e+01   6.00000e+00  -2.23418e+01   1.00066e+01   1.00500e+02
             7   8.57602e+01   7.00000e+00  -2.15617e+01   1.00068e+01   1.00583e+02
             8   8.59792e+01   8.00000e+00  -2.08620e+01   1.00074e+01   1.00667e+02
             9   8.61960e+01   9.00000e+00  -2.01812e+01   1.00079e+01   1.00750e+02
            10   8.64032e+01   1.00000e+01  -1.95471e+01   1.00085e+01   1.00833e+02
            11   8.66354e+01   1.10000e+01  -1.89474e+01   1.00092e+01   1.00917e+02
            12   8.68284e+01   1.20000e+01  -1.84546e+01   1.00103e+01   1.01000e+02
            13   8.70446e+01   1.30000e+01  -1.79459e+01   1.00111e+01   1.01083e+02
            14   8.72753e+01   1.40000e+01  -1.74584e+01   1.00119e+01   1.01167e+02
            15   8.74945e+01   1.50000e+01  -1.69905e+01   1.00127e+01   1.01250e+02
            16   8.77227e+01   1.60000e+01  -1.65835e+01   1.00133e+01   1.01333e+02
            17   8.79348e+01   1.70000e+01  -1.61754e+01   1.00138e+01   1.01417e+02
            18   8.81509e+01   1.80000e+01  -1.57924e+01   1.00143e+01   1.01500e+02
            19   8.83650e+01   1.90000e+01  -1.54364e+01   1.00146e+01   1.01583e+02
            20   8.85847e+01   2.00000e+01  -1.51064e+01   1.00146e+01   1.01667e+02
            21   8.87951e+01   2.10000e+01  -1.47704e+01   1.00147e+01   1.01750e+02
            22   8.90013e+01   2.20000e+01  -1.44426e+01   1.00148e+01   1.01833e+02
