         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.50196e+01   0.00000e+00  -1.99650e+01   5.28931e+00   1.00000e+02
             1   8.51469e+01   1.00000e+00  -1.92549e+01   5.28958e+00   1.00083e+02
             2   8.52863e+01   2.00000e+00  -1.84674e+01   5.28995e+00   1.00167e+02
             3   8.54629e+01   3.00000e+00  -1.76486e+01   5.29044e+00   1.00250e+02
             4   8.56476e+01   4.00000e+00  -1.70016e+01   5.29127e+00   1.00333e+02
             5   8.58333e+01   5.00000e+00  -1.63636e+01   5.29213e+00   1.00417e+02
             6   8.60453e+01   6.00000e+00  -1.57744e+01   5.29310e+00   1.00500e+02
             7   8.62277e+01   7.00000e+00  -1.52241e+01   5.29416e+00   1.00583e+02
             8   8.64426e+01   8.00000e+00  -1.47577e+01   5.29578e+00   1.00667e+02
             9   8.66384e+01   9.00000e+00  -1.43085e+01   5.29728e+00   1.00750e+02
            10   8.68590e+01   1.00000e+01  -1.39025e+01   5.29884e+00   1.00833e+02
            11   8.70602e+01   1.10000e+01  -1.35407e+01   5.30046e+00   1.00917e+02
            12   8.72892e+01   1.20000e+01  -1.32160e+01   5.30229e+00   1.01000e+02
            13   8.74949e+01   1.30000e+01  -1.28928e+01   5.30395e+00   1.01083e+02
            14   8.77081e+01   1.40000e+01  -1.25956e+01   5.30554e+00   1.01167e+02
            15   8.79166e+01   1.50000e+01  -1.23249e+01   5.30705e+00   1.01250e+02
            16   8.81216e+01   1.60000e+01  -1.20807e+01   5.30832e+00   1.01333e+02
            17   8.83111e+01   1.70000e+01  -1.18339e+01   5.30957e+00   1.01417e+02
            18   8.85419e+01   1.80000e+01  -1.15991e+01   5.31068e+00   1.01500e+02
            19   8.87524e+01   1.90000e+01  -1.13714e+01   5.31167e+00   1.01583e+02
            20   8.89542e+01   2.00000e+01  -1.11939e+01   5.31221e+00   1.01667e+02
            21   8.91434e+01   2.10000e+01  -1.10116e+01   5.31286e+00   1.01750e+02
            22   8.93523e+01   2.20000e+01  -1.08425e+01   5.31345e+00   1.01833e+02
            23   8.95616e+01   2.30000e+01  -1.06912e+01   5.31396e+00   1.01917e+02
            24   8.97534e+01   2.40000e+01  -1.05757e+01   5.31411e+00   1.02000e+02
            25   8.99452e+01   2.50000e+01  -1.04402e+01   5.31436e+00   1.02083e+02
            26   9.01503e+01   2.60000e+01  -1.03078e+01   5.31458e+00   1.02167e+02
            27   9.03487e+01   2.70000e+01  -1.01797e+01   5.31477e+00   1.02250e+02
            28   9.05391e+01   2.80000e+01  -1.00906e+01   5.31479e+00   1.02333e+02
            29   9.07299e+01   2.90000e+01  -9.98000e+00   5.31486e+00   1.02417e+02
            30   9.09051e+01   3.00000e+01  -9.87384e+00   5.31492e+00   1.02500e+02
            31   9.10969e+01   3.10000e+01  -9.76194e+00   5.31497e+00   1.02583e+02
            32   9.12884e+01   3.20000e+01  -9.72197e+00   5.31496e+00   1.02667e+02
            33   9.14526e+01   3.30000e+01  -9.65200e+00   5.31497e+00   1.02750e+02
            34   9.16355e+01   3.40000e+01  -9.58022e+00   5.31499e+00   1.02833e+02
            35   9.18172e+01   3.50000e+01  -9.51135e+00   5.31500e+00   1.02917e+02
            36   9.19960e+01   3.60000e+01  -9.47820e+00   5.31499e+00   1.03000e+02
            37   9.21745e+01   3.70000e+01  -9.42742e+00   5.31500e+00   1.03083e+02
            38   9.23404e+01   3.80000e+01  -9.37823e+00   5.31500e+00   1.03167e+02
            39   9.25213e+01   3.90000e+01  -9.33174e+00   5.31500e+00   1.03250e+02
            40   9.26822e+01   4.00000e+01  -9.31345e+00   5.31500e+00   1.03333e+02
            41   9.28528e+01   4.10000e+01  -9.28139e+00   5.31500e+00   1.03417e+02
            42   9.30302e+01   4.20000e+01  -9.24704e+00   5.31500e+00   1.03500e+02
            43   9.31894e+01   4.30000e+01  -9.21370e+00   5.31500e+00   1.03583e+02
            44   9.33596e+01   4.40000e+01  -9.20464e+00   5.31500e+00   1.03667e+02
            45   9.35201e+01   4.50000e+01  -9.18688e+00   5.31500e+00   1.03750e+02
            46   9.36902e+01   4.60000e+01  -9.16754e+00   5.31503e+00   1.03833e+02
            47   9.38342e+01   4.70000e+01  -9.14916e+00   5.31511e+00   1.03917e+02
            48   9.40008e+01   4.80000e+01  -9.14704e+00   5.31523e+00   1.04000e+02
            49   9.41559e+01   4.90000e+01  -9.14004e+00   5.31535e+00   1.04083e+02
            50   9.43208e+01   5.00000e+01  -9.13198e+00   5.31546e+00   1.04167e+02
            51   9.44792e+01   5.10000e+01  -9.12418e+00   5.31557e+00   1.04250e+02
            52   9.46170e+01   5.20000e+01  -9.13616e+00   5.31571e+00   1.04333e+02
            53   9.47834e+01   5.30000e+01  -9.14035e+00   5.31581e+00   1.04417e+02
