         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.43580e+01   0.00000e+00  -2.90932e+01   3.69474e+01   1.00000e+02
             1   8.45030e+01   1.00000e+00  -2.81645e+01   3.69477e+01   1.00083e+02
             2   8.46570e+01   2.00000e+00  -2.71370e+01   3.69479e+01   1.00167e+02
             3   8.48310e+01   3.00000e+00  -2.61233e+01   3.69482e+01   1.00250e+02
             4   8.50372e+01   4.00000e+00  -2.52664e+01   3.69488e+01   1.00333e+02
             5   8.52358e+01   5.00000e+00  -2.44139e+01   3.69494e+01   1.00417e+02
             6   8.54338e+01   6.00000e+00  -2.36168e+01   3.69502e+01   1.00500e+02
             7   8.56416e+01   7.00000e+00  -2.29075e+01   3.69510e+01   1.00583e+02
             8   8.58614e+01   8.00000e+00  -2.22813e+01   3.69523e+01   1.00667e+02
             9   8.60686e+01   9.00000e+00  -2.16757e+01   3.69535e+01   1.00750e+02
            10   8.62814e+01   1.00000e+01  -2.11133e+01   3.69548e+01   1.00833e+02
            11   8.64995e+01   1.10000e+01  -2.05814e+01   3.69562e+01   1.00917e+02
            12   8.67286e+01   1.20000e+01  -2.01551e+01   3.69579e+01   1.01000e+02
            13   8.69334e+01   1.30000e+01  -1.97127e+01   3.69594e+01   1.01083e+02
            14   8.71553e+01   1.40000e+01  -1.92930e+01   3.69608e+01   1.01167e+02
            15   8.73821e+01   1.50000e+01  -1.88921e+01   3.69621e+01   1.01250e+02
            16   8.75952e+01   1.60000e+01  -1.85694e+01   3.69632e+01   1.01333e+02
            17   8.78121e+01   1.70000e+01  -1.82268e+01   3.69643e+01   1.01417e+02
            18   8.80151e+01   1.80000e+01  -1.78959e+01   3.69653e+01   1.01500e+02
            19   8.82317e+01   1.90000e+01  -1.75768e+01   3.69661e+01   1.01583e+02
            20   8.84421e+01   2.00000e+01  -1.73124e+01   3.69665e+01   1.01667e+02
            21   8.86540e+01   2.10000e+01  -1.70401e+01   3.69669e+01   1.01750e+02
            22   8.88606e+01   2.20000e+01  -1.67782e+01   3.69673e+01   1.01833e+02
            23   8.90645e+01   2.30000e+01  -1.65240e+01   3.69677e+01   1.01917e+02
            24   8.92651e+01   2.40000e+01  -1.63332e+01   3.69677e+01   1.02000e+02
            25   8.94563e+01   2.50000e+01  -1.61219e+01   3.69678e+01   1.02083e+02
            26   8.96673e+01   2.60000e+01  -1.59137e+01   3.69679e+01   1.02167e+02
            27   8.98632e+01   2.70000e+01  -1.57125e+01   3.69680e+01   1.02250e+02
            28   9.00559e+01   2.80000e+01  -1.55570e+01   3.69679e+01   1.02333e+02
            29   9.02400e+01   2.90000e+01  -1.53854e+01   3.69680e+01   1.02417e+02
            30   9.04389e+01   3.00000e+01  -1.52170e+01   3.69680e+01   1.02500e+02
            31   9.06313e+01   3.10000e+01  -1.50505e+01   3.69680e+01   1.02583e+02
            32   9.08181e+01   3.20000e+01  -1.49298e+01   3.69680e+01   1.02667e+02
            33   9.09980e+01   3.30000e+01  -1.47894e+01   3.69680e+01   1.02750e+02
            34   9.11767e+01   3.40000e+01  -1.46490e+01   3.69680e+01   1.02833e+02
            35   9.13681e+01   3.50000e+01  -1.45126e+01   3.69680e+01   1.02917e+02
            36   9.15600e+01   3.60000e+01  -1.44068e+01   3.69680e+01   1.03000e+02
            37   9.17423e+01   3.70000e+01  -1.42892e+01   3.69680e+01   1.03083e+02
            38   9.19062e+01   3.80000e+01  -1.41635e+01   3.69680e+01   1.03167e+02
            39   9.20925e+01   3.90000e+01  -1.40372e+01   3.69680e+01   1.03250e+02
            40   9.22620e+01   4.00000e+01  -1.39775e+01   3.69680e+01   1.03333e+02
            41   9.24418e+01   4.10000e+01  -1.38985e+01   3.69680e+01   1.03417e+02
            42   9.26069e+01   4.20000e+01  -1.38087e+01   3.69680e+01   1.03500e+02
            43   9.27767e+01   4.30000e+01  -1.37175e+01   3.69680e+01   1.03583e+02
            44   9.29434e+01   4.40000e+01  -1.36622e+01   3.69680e+01   1.03667e+02
            45   9.31121e+01   4.50000e+01  -1.35906e+01   3.69680e+01   1.03750e+02
            46   9.32817e+01   4.60000e+01  -1.35180e+01   3.69679e+01   1.03833e+02
            47   9.34413e+01   4.70000e+01  -1.34469e+01   3.69678e+01   1.03917e+02
            48   9.36157e+01   4.80000e+01  -1.33977e+01   3.69676e+01   1.04000e+02
            49   9.37640e+01   4.90000e+01  -1.33418e+01   3.69675e+01   1.04083e+02
            50   9.39400e+01   5.00000e+01  -1.32821e+01   3.69674e+01   1.04167e+02
            51   9.40831e+01   5.10000e+01  -1.32176e+01   3.69673e+01   1.04250e+02
            52   9.42482e+01   5.20000e+01  -1.31905e+01   3.69672e+01   1.04333e+02
            53   9.44119e+01   5.30000e+01  -1.31476e+01   3.69671e+01   1.04417e+02
            54   9.45584e+01   5.40000e+01  -1.31021e+01   3.69671e+01   1.04500e+02
            55   9.47230e+01   5.50000e+01  -1.30565e+01   3.69670e+01   1.04583e+02
            56   9.48710e+01   5.60000e+01  -1.30303e+01   3.69670e+01   1.04667e+02
            57   9.50445e+01   5.70000e+01  -1.29959e+01   3.69670e+01   1.04750e+02
            58   9.51871e+01   5.80000e+01  -1.29620e+01   3.69670e+01   1.04833e+02
            59   9.53348e+01   5.90000e+01  -1.29305e+01   3.69670e+01   1.04917e+02
            60   9.54817e+01   6.00000e+01  -1.29094e+01   3.69670e+01   1.05000e+02
            61   9.56502e+01   6.10000e+01  -1.28856e+01   3.69670e+01   1.05083e+02
            62   9.57723e+01   6.20000e+01  -1.28618e+01   3.69670e+01   1.05167e+02
            63   9.59286e+01   6.30000e+01  -1.28391e+01   3.69670e+01   1.05250e+02
            64   9.60677e+01   6.40000e+01  -1.28272e+01   3.69670e+01   1.05333e+02
            65   9.62150e+01   6.50000e+01  -1.28114e+01   3.69670e+01   1.05417e+02
            66   9.63552e+01   6.60000e+01  -1.27968e+01   3.69670e+01   1.05500e+02
            67   9.65108e+01   6.70000e+01  -1.27834e+01   3.69670e+01   1.05583e+02
            68   9.66389e+01   6.80000e+01  -1.27810e+01   3.69670e+01   1.05667e+02
            69   9.67892e+01   6.90000e+01  -1.27715e+01   3.69670e+01   1.05750e+02
            70   9.69310e+01   7.00000e+01  -1.27621e+01   3.69670e+01   1.05833e+02
            71   9.70677e+01   7.10000e+01  -1.27541e+01   3.69670e+01   1.05917e+02
            72   9.72048e+01   7.20000e+01  -1.27516e+01   3.69670e+01   1.06000e+02
            73   9.73505e+01   7.30000e+01  -1.27464e+01   3.69670e+01   1.06083e+02
            74   9.74885e+01   7.40000e+01  -1.27426e+01   3.69670e+01   1.06167e+02
            75   9.76162e+01   7.50000e+01  -1.27398e+01   3.69670e+01   1.06250e+02
            76   9.77620e+01   7.60000e+01  -1.27434e+01   3.69670e+01   1.06333e+02
            77   9.78987e+01   7.70000e+01  -1.27444e+01   3.69670e+01   1.06417e+02
            78   9.80381e+01   7.80000e+01  -1.27452e+01   3.69670e+01   1.06500e+02
            79   9.81651e+01   7.90000e+01  -1.27458e+01   3.69670e+01   1.06583e+02
            80   9.83004e+01   8.00000e+01  -1.27537e+01   3.69670e+01   1.06667e+02
            81   9.84408e+01   8.10000e+01  -1.27584e+01   3.69670e+01   1.06750e+02
            82   9.85697e+01   8.20000e+01  -1.27635e+01   3.69670e+01   1.06833e+02
            83   9.87051e+01   8.30000e+01  -1.27689e+01   3.69670e+01   1.06917e+02
            84   9.88437e+01   8.40000e+01  -1.27795e+01   3.69670e+01   1.07000e+02
            85   9.89746e+01   8.50000e+01  -1.27873e+01   3.69670e+01   1.07083e+02
            86   9.91124e+01   8.60000e+01  -1.27957e+01   3.69670e+01   1.07167e+02
            87   9.92396e+01   8.70000e+01  -1.28047e+01   3.69670e+01   1.07250e+02
            88   9.93641e+01   8.80000e+01  -1.28165e+01   3.69670e+01   1.07333e+02
            89   9.94987e+01   8.90000e+01  -1.28271e+01   3.69670e+01   1.07417e+02
            90   9.96302e+01   9.00000e+01  -1.28371e+01   3.69670e+01   1.07500e+02
            91   9.97682e+01   9.10000e+01  -1.28447e+01   3.69670e+01   1.07583e+02
            92   9.98849e+01   9.20000e+01  -1.28554e+01   3.69669e+01   1.07667e+02
            93   1.00002e+02   9.30000e+01  -1.28651e+01   3.69668e+01   1.07750e+02
            94   1.00145e+02   9.40000e+01  -1.28737e+01   3.69667e+01   1.07833e+02
            95   1.00255e+02   9.50000e+01  -1.28823e+01   3.69666e+01   1.07917e+02
            96   1.00390e+02   9.60000e+01  -1.28943e+01   3.69664e+01   1.08000e+02
            97   1.00531e+02   9.70000e+01  -1.29060e+01   3.69662e+01   1.08083e+02
            98   1.00643e+02   9.80000e+01  -1.29183e+01   3.69661e+01   1.08167e+02
            99   1.00772e+02   9.90000e+01  -1.29311e+01   3.69661e+01   1.08250e+02
           100   1.00912e+02   1.00000e+02  -1.29380e+01   3.69661e+01   1.08333e+02
           101   1.01028e+02   1.01000e+02  -1.29480e+01   3.69660e+01   1.08417e+02
           102   1.01147e+02   1.02000e+02  -1.29599e+01   3.69660e+01   1.08500e+02
           103   1.01280e+02   1.03000e+02  -1.29727e+01   3.69660e+01   1.08583e+02
           104   1.01407e+02   1.04000e+02  -1.29916e+01   3.69660e+01   1.08667e+02
           105   1.01525e+02   1.05000e+02  -1.30059e+01   3.69660e+01   1.08750e+02
           106   1.01651e+02   1.06000e+02  -1.30184e+01   3.69660e+01   1.08833e+02
           107   1.01780e+02   1.07000e+02  -1.30304e+01   3.69660e+01   1.08917e+02
           108   1.01898e+02   1.08000e+02  -1.30436e+01   3.69660e+01   1.09000e+02
           109   1.02019e+02   1.09000e+02  -1.30572e+01   3.69660e+01   1.09083e+02
           110   1.02139e+02   1.10000e+02  -1.30708e+01   3.69660e+01   1.09167e+02
           111   1.02251e+02   1.11000e+02  -1.30840e+01   3.69660e+01   1.09250e+02
           112   1.02375e+02   1.12000e+02  -1.30989e+01   3.69660e+01   1.09333e+02
           113   1.02484e+02   1.13000e+02  -1.31128e+01   3.69660e+01   1.09417e+02
           114   1.02623e+02   1.14000e+02  -1.31263e+01   3.69660e+01   1.09500e+02
           115   1.02737e+02   1.15000e+02  -1.31401e+01   3.69660e+01   1.09583e+02
           116   1.02858e+02   1.16000e+02  -1.31525e+01   3.69660e+01   1.09667e+02
           117   1.02981e+02   1.17000e+02  -1.31678e+01   3.69660e+01   1.09750e+02
           118   1.03097e+02   1.18000e+02  -1.31839e+01   3.69660e+01   1.09833e+02
           119   1.03221e+02   1.19000e+02  -1.31992e+01   3.69660e+01   1.09917e+02
           120   1.03339e+02   1.20000e+02  -1.32138e+01   3.69660e+01   1.10000e+02
           121   1.03461e+02   1.21000e+02  -1.32274e+01   3.69660e+01   1.10083e+02
           122   1.03584e+02   1.22000e+02  -1.32415e+01   3.69660e+01   1.10167e+02
           123   1.03700e+02   1.23000e+02  -1.32564e+01   3.69659e+01   1.10250e+02
           124   1.03829e+02   1.24000e+02  -1.32706e+01   3.69658e+01   1.10333e+02
           125   1.03937e+02   1.25000e+02  -1.32851e+01   3.69657e+01   1.10417e+02
           126   1.04054e+02   1.26000e+02  -1.32989e+01   3.69655e+01   1.10500e+02
           127   1.04157e+02   1.27000e+02  -1.33132e+01   3.69654e+01   1.10583e+02
           128   1.04271e+02   1.28000e+02  -1.33249e+01   3.69653e+01   1.10667e+02
           129   1.04398e+02   1.29000e+02  -1.33382e+01   3.69652e+01   1.10750e+02
           130   1.04515e+02   1.30000e+02  -1.33513e+01   3.69651e+01   1.10833e+02
           131   1.04626e+02   1.31000e+02  -1.33640e+01   3.69650e+01   1.10917e+02
           132   1.04741e+02   1.32000e+02  -1.33758e+01   3.69651e+01   1.11000e+02
           133   1.04867e+02   1.33000e+02  -1.33885e+01   3.69650e+01   1.11083e+02
           134   1.04969e+02   1.34000e+02  -1.34026e+01   3.69650e+01   1.11167e+02
           135   1.05089e+02   1.35000e+02  -1.34165e+01   3.69650e+01   1.11250e+02
           136   1.05200e+02   1.36000e+02  -1.34296e+01   3.69650e+01   1.11333e+02
           137   1.05317e+02   1.37000e+02  -1.34430e+01   3.69650e+01   1.11417e+02
           138   1.05423e+02   1.38000e+02  -1.34562e+01   3.69650e+01   1.11500e+02
           139   1.05546e+02   1.39000e+02  -1.34686e+01   3.69650e+01   1.11583e+02
           140   1.05660e+02   1.40000e+02  -1.34791e+01   3.69650e+01   1.11667e+02
           141   1.05778e+02   1.41000e+02  -1.34914e+01   3.69650e+01   1.11750e+02
           142   1.05876e+02   1.42000e+02  -1.35042e+01   3.69650e+01   1.11833e+02
           143   1.05981e+02   1.43000e+02  -1.35166e+01   3.69650e+01   1.11917e+02
           144   1.06108e+02   1.44000e+02  -1.35305e+01   3.69650e+01   1.12000e+02
           145   1.06214e+02   1.45000e+02  -1.35447e+01   3.69650e+01   1.12083e+02
           146   1.06327e+02   1.46000e+02  -1.35576e+01   3.69650e+01   1.12167e+02
           147   1.06432e+02   1.47000e+02  -1.35685e+01   3.69650e+01   1.12250e+02
           148   1.06548e+02   1.48000e+02  -1.35774e+01   3.69650e+01   1.12333e+02
           149   1.06667e+02   1.49000e+02  -1.35883e+01   3.69650e+01   1.12417e+02
