         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.15783e+01   0.00000e+00  -4.77175e+00   6.30211e+00   1.00000e+02
             1   7.17950e+01   1.00000e+00  -4.65039e+00   6.30222e+00   1.00083e+02
             2   7.20346e+01   2.00000e+00  -4.55060e+00   6.30236e+00   1.00167e+02
             3   7.22816e+01   3.00000e+00  -4.43705e+00   6.30256e+00   1.00250e+02
             4   7.25448e+01   4.00000e+00  -4.40999e+00   6.30302e+00   1.00333e+02
             5   7.28336e+01   5.00000e+00  -4.37964e+00   6.30348e+00   1.00417e+02
             6   7.31202e+01   6.00000e+00  -4.37529e+00   6.30405e+00   1.00500e+02
             7   7.34258e+01   7.00000e+00  -4.39911e+00   6.30473e+00   1.00583e+02
             8   7.37184e+01   8.00000e+00  -4.47257e+00   6.30579e+00   1.00667e+02
             9   7.40227e+01   9.00000e+00  -4.51754e+00   6.30684e+00   1.00750e+02
            10   7.43223e+01   1.00000e+01  -4.55298e+00   6.30800e+00   1.00833e+02
            11   7.46282e+01   1.10000e+01  -4.58482e+00   6.30919e+00   1.00917e+02
            12   7.49353e+01   1.20000e+01  -4.61464e+00   6.31065e+00   1.01000e+02
            13   7.52449e+01   1.30000e+01  -4.64310e+00   6.31186e+00   1.01083e+02
            14   7.55370e+01   1.40000e+01  -4.67246e+00   6.31301e+00   1.01167e+02
            15   7.58459e+01   1.50000e+01  -4.70299e+00   6.31413e+00   1.01250e+02
            16   7.61572e+01   1.60000e+01  -4.73552e+00   6.31496e+00   1.01333e+02
            17   7.64607e+01   1.70000e+01  -4.76566e+00   6.31574e+00   1.01417e+02
            18   7.67669e+01   1.80000e+01  -4.79301e+00   6.31642e+00   1.01500e+02
            19   7.70657e+01   1.90000e+01  -4.81934e+00   6.31701e+00   1.01583e+02
            20   7.73635e+01   2.00000e+01  -4.83835e+00   6.31718e+00   1.01667e+02
            21   7.76492e+01   2.10000e+01  -4.85896e+00   6.31746e+00   1.01750e+02
            22   7.79521e+01   2.20000e+01  -4.87864e+00   6.31769e+00   1.01833e+02
            23   7.82450e+01   2.30000e+01  -4.89797e+00   6.31789e+00   1.01917e+02
            24   7.85346e+01   2.40000e+01  -4.90643e+00   6.31785e+00   1.02000e+02
            25   7.88167e+01   2.50000e+01  -4.91915e+00   6.31790e+00   1.02083e+02
            26   7.90860e+01   2.60000e+01  -4.93211e+00   6.31795e+00   1.02167e+02
            27   7.93721e+01   2.70000e+01  -4.94312e+00   6.31799e+00   1.02250e+02
            28   7.96544e+01   2.80000e+01  -4.94528e+00   6.31798e+00   1.02333e+02
            29   7.99474e+01   2.90000e+01  -4.95393e+00   6.31796e+00   1.02417e+02
            30   8.02171e+01   3.00000e+01  -4.96363e+00   6.31787e+00   1.02500e+02
            31   8.04888e+01   3.10000e+01  -4.97373e+00   6.31778e+00   1.02583e+02
