         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.50682e+01   0.00000e+00  -2.12064e+01   7.89747e+00   1.00000e+02
             1   8.52012e+01   1.00000e+00  -2.03341e+01   7.89776e+00   1.00083e+02
             2   8.53590e+01   2.00000e+00  -1.93761e+01   7.89805e+00   1.00167e+02
             3   8.55295e+01   3.00000e+00  -1.84092e+01   7.89845e+00   1.00250e+02
             4   8.57068e+01   4.00000e+00  -1.75065e+01   7.89908e+00   1.00333e+02
             5   8.59144e+01   5.00000e+00  -1.66858e+01   7.89974e+00   1.00417e+02
             6   8.61131e+01   6.00000e+00  -1.59649e+01   7.90053e+00   1.00500e+02
             7   8.63216e+01   7.00000e+00  -1.52726e+01   7.90138e+00   1.00583e+02
             8   8.65171e+01   8.00000e+00  -1.46741e+01   7.90268e+00   1.00667e+02
             9   8.67369e+01   9.00000e+00  -1.40935e+01   7.90387e+00   1.00750e+02
            10   8.69499e+01   1.00000e+01  -1.35616e+01   7.90511e+00   1.00833e+02
            11   8.71541e+01   1.10000e+01  -1.30783e+01   7.90638e+00   1.00917e+02
            12   8.73722e+01   1.20000e+01  -1.26375e+01   7.90783e+00   1.01000e+02
            13   8.75834e+01   1.30000e+01  -1.21987e+01   7.90913e+00   1.01083e+02
            14   8.77999e+01   1.40000e+01  -1.17881e+01   7.91038e+00   1.01167e+02
            15   8.80183e+01   1.50000e+01  -1.14082e+01   7.91160e+00   1.01250e+02
            16   8.82240e+01   1.60000e+01  -1.10572e+01   7.91254e+00   1.01333e+02
            17   8.84311e+01   1.70000e+01  -1.07037e+01   7.91342e+00   1.01417e+02
            18   8.86408e+01   1.80000e+01  -1.03655e+01   7.91420e+00   1.01500e+02
            19   8.88485e+01   1.90000e+01  -1.00411e+01   7.91496e+00   1.01583e+02
            20   8.90488e+01   2.00000e+01  -9.76495e+00   7.91529e+00   1.01667e+02
            21   8.92517e+01   2.10000e+01  -9.47822e+00   7.91572e+00   1.01750e+02
            22   8.94692e+01   2.20000e+01  -9.20043e+00   7.91610e+00   1.01833e+02
            23   8.96736e+01   2.30000e+01  -8.93207e+00   7.91644e+00   1.01917e+02
            24   8.98808e+01   2.40000e+01  -8.72311e+00   7.91654e+00   1.02000e+02
            25   9.00624e+01   2.50000e+01  -8.49643e+00   7.91669e+00   1.02083e+02
            26   9.02734e+01   2.60000e+01  -8.27249e+00   7.91683e+00   1.02167e+02
            27   9.04774e+01   2.70000e+01  -8.05473e+00   7.91694e+00   1.02250e+02
            28   9.06559e+01   2.80000e+01  -7.88658e+00   7.91691e+00   1.02333e+02
            29   9.08567e+01   2.90000e+01  -7.69298e+00   7.91694e+00   1.02417e+02
            30   9.10359e+01   3.00000e+01  -7.50990e+00   7.91697e+00   1.02500e+02
            31   9.12297e+01   3.10000e+01  -7.33321e+00   7.91699e+00   1.02583e+02
            32   9.14130e+01   3.20000e+01  -7.20852e+00   7.91699e+00   1.02667e+02
            33   9.15929e+01   3.30000e+01  -7.06153e+00   7.91696e+00   1.02750e+02
            34   9.17799e+01   3.40000e+01  -6.90902e+00   7.91688e+00   1.02833e+02
            35   9.19654e+01   3.50000e+01  -6.76848e+00   7.91678e+00   1.02917e+02
            36   9.21523e+01   3.60000e+01  -6.68891e+00   7.91663e+00   1.03000e+02
            37   9.23321e+01   3.70000e+01  -6.57283e+00   7.91652e+00   1.03083e+02
            38   9.24976e+01   3.80000e+01  -6.46679e+00   7.91641e+00   1.03167e+02
            39   9.26657e+01   3.90000e+01  -6.37264e+00   7.91631e+00   1.03250e+02
