         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.50632e+01   0.00000e+00  -1.90438e+01   5.40531e+00   1.00000e+02
             1   8.52114e+01   1.00000e+00  -1.82253e+01   5.40555e+00   1.00083e+02
             2   8.53549e+01   2.00000e+00  -1.73323e+01   5.40580e+00   1.00167e+02
             3   8.55209e+01   3.00000e+00  -1.64846e+01   5.40611e+00   1.00250e+02
             4   8.57081e+01   4.00000e+00  -1.57030e+01   5.40675e+00   1.00333e+02
             5   8.58992e+01   5.00000e+00  -1.49535e+01   5.40741e+00   1.00417e+02
             6   8.60995e+01   6.00000e+00  -1.43061e+01   5.40815e+00   1.00500e+02
             7   8.63036e+01   7.00000e+00  -1.36860e+01   5.40901e+00   1.00583e+02
             8   8.65078e+01   8.00000e+00  -1.31556e+01   5.41040e+00   1.00667e+02
             9   8.67265e+01   9.00000e+00  -1.26521e+01   5.41164e+00   1.00750e+02
            10   8.69324e+01   1.00000e+01  -1.21953e+01   5.41292e+00   1.00833e+02
            11   8.71439e+01   1.10000e+01  -1.17496e+01   5.41422e+00   1.00917e+02
            12   8.73590e+01   1.20000e+01  -1.13743e+01   5.41573e+00   1.01000e+02
            13   8.75707e+01   1.30000e+01  -1.09973e+01   5.41706e+00   1.01083e+02
            14   8.77713e+01   1.40000e+01  -1.06410e+01   5.41831e+00   1.01167e+02
            15   8.79977e+01   1.50000e+01  -1.03026e+01   5.41947e+00   1.01250e+02
            16   8.82129e+01   1.60000e+01  -1.00343e+01   5.42039e+00   1.01333e+02
            17   8.84201e+01   1.70000e+01  -9.77079e+00   5.42128e+00   1.01417e+02
            18   8.86204e+01   1.80000e+01  -9.51067e+00   5.42204e+00   1.01500e+02
            19   8.88285e+01   1.90000e+01  -9.24795e+00   5.42272e+00   1.01583e+02
            20   8.90340e+01   2.00000e+01  -9.02096e+00   5.42298e+00   1.01667e+02
            21   8.92389e+01   2.10000e+01  -8.77595e+00   5.42332e+00   1.01750e+02
            22   8.94591e+01   2.20000e+01  -8.54095e+00   5.42361e+00   1.01833e+02
            23   8.96674e+01   2.30000e+01  -8.32846e+00   5.42386e+00   1.01917e+02
            24   8.98530e+01   2.40000e+01  -8.18020e+00   5.42381e+00   1.02000e+02
            25   9.00434e+01   2.50000e+01  -8.00541e+00   5.42387e+00   1.02083e+02
            26   9.02528e+01   2.60000e+01  -7.83298e+00   5.42393e+00   1.02167e+02
            27   9.04458e+01   2.70000e+01  -7.66763e+00   5.42398e+00   1.02250e+02
            28   9.06446e+01   2.80000e+01  -7.54079e+00   5.42397e+00   1.02333e+02
            29   9.08333e+01   2.90000e+01  -7.40177e+00   5.42398e+00   1.02417e+02
            30   9.10154e+01   3.00000e+01  -7.26554e+00   5.42396e+00   1.02500e+02
            31   9.12105e+01   3.10000e+01  -7.13254e+00   5.42389e+00   1.02583e+02
            32   9.13893e+01   3.20000e+01  -7.04383e+00   5.42376e+00   1.02667e+02
            33   9.15705e+01   3.30000e+01  -6.92968e+00   5.42365e+00   1.02750e+02
            34   9.17621e+01   3.40000e+01  -6.82473e+00   5.42354e+00   1.02833e+02
            35   9.19495e+01   3.50000e+01  -6.72333e+00   5.42343e+00   1.02917e+02
            36   9.21166e+01   3.60000e+01  -6.66438e+00   5.42329e+00   1.03000e+02
            37   9.22922e+01   3.70000e+01  -6.59339e+00   5.42319e+00   1.03083e+02
