         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.46615e+01   0.00000e+00  -2.23746e+01   1.15020e+01   1.00000e+02
             1   8.48035e+01   1.00000e+00  -2.14524e+01   1.15021e+01   1.00083e+02
             2   8.49655e+01   2.00000e+00  -2.04278e+01   1.15023e+01   1.00167e+02
             3   8.51282e+01   3.00000e+00  -1.94277e+01   1.15026e+01   1.00250e+02
             4   8.53170e+01   4.00000e+00  -1.85830e+01   1.15031e+01   1.00333e+02
             5   8.55154e+01   5.00000e+00  -1.78013e+01   1.15037e+01   1.00417e+02
             6   8.57215e+01   6.00000e+00  -1.70595e+01   1.15045e+01   1.00500e+02
             7   8.59452e+01   7.00000e+00  -1.63583e+01   1.15053e+01   1.00583e+02
             8   8.61601e+01   8.00000e+00  -1.57412e+01   1.15066e+01   1.00667e+02
             9   8.63670e+01   9.00000e+00  -1.51958e+01   1.15078e+01   1.00750e+02
            10   8.65717e+01   1.00000e+01  -1.46831e+01   1.15091e+01   1.00833e+02
            11   8.67951e+01   1.10000e+01  -1.42097e+01   1.15104e+01   1.00917e+02
            12   8.70032e+01   1.20000e+01  -1.37865e+01   1.15118e+01   1.01000e+02
            13   8.72222e+01   1.30000e+01  -1.33699e+01   1.15131e+01   1.01083e+02
            14   8.74431e+01   1.40000e+01  -1.29796e+01   1.15143e+01   1.01167e+02
            15   8.76607e+01   1.50000e+01  -1.25925e+01   1.15155e+01   1.01250e+02
            16   8.78705e+01   1.60000e+01  -1.22516e+01   1.15163e+01   1.01333e+02
            17   8.81021e+01   1.70000e+01  -1.18972e+01   1.15172e+01   1.01417e+02
            18   8.83008e+01   1.80000e+01  -1.15764e+01   1.15179e+01   1.01500e+02
            19   8.85026e+01   1.90000e+01  -1.12842e+01   1.15186e+01   1.01583e+02
            20   8.87063e+01   2.00000e+01  -1.10234e+01   1.15188e+01   1.01667e+02
            21   8.89311e+01   2.10000e+01  -1.07615e+01   1.15192e+01   1.01750e+02
            22   8.91359e+01   2.20000e+01  -1.05155e+01   1.15195e+01   1.01833e+02
            23   8.93413e+01   2.30000e+01  -1.02660e+01   1.15197e+01   1.01917e+02
            24   8.95599e+01   2.40000e+01  -1.00656e+01   1.15197e+01   1.02000e+02
            25   8.97410e+01   2.50000e+01  -9.83412e+00   1.15198e+01   1.02083e+02
            26   8.99389e+01   2.60000e+01  -9.61438e+00   1.15199e+01   1.02167e+02
            27   9.01335e+01   2.70000e+01  -9.42273e+00   1.15200e+01   1.02250e+02
            28   9.03370e+01   2.80000e+01  -9.25604e+00   1.15200e+01   1.02333e+02
            29   9.05333e+01   2.90000e+01  -9.08195e+00   1.15200e+01   1.02417e+02
            30   9.07163e+01   3.00000e+01  -8.91566e+00   1.15200e+01   1.02500e+02
            31   9.09167e+01   3.10000e+01  -8.76408e+00   1.15200e+01   1.02583e+02
            32   9.10974e+01   3.20000e+01  -8.64752e+00   1.15200e+01   1.02667e+02
            33   9.12876e+01   3.30000e+01  -8.50650e+00   1.15200e+01   1.02750e+02
            34   9.14714e+01   3.40000e+01  -8.36130e+00   1.15200e+01   1.02833e+02
            35   9.16517e+01   3.50000e+01  -8.22636e+00   1.15200e+01   1.02917e+02
            36   9.18329e+01   3.60000e+01  -8.13435e+00   1.15200e+01   1.03000e+02
            37   9.20085e+01   3.70000e+01  -8.02245e+00   1.15200e+01   1.03083e+02
            38   9.21961e+01   3.80000e+01  -7.90610e+00   1.15200e+01   1.03167e+02
            39   9.23740e+01   3.90000e+01  -7.79839e+00   1.15200e+01   1.03250e+02
            40   9.25510e+01   4.00000e+01  -7.73662e+00   1.15200e+01   1.03333e+02
            41   9.27239e+01   4.10000e+01  -7.66026e+00   1.15200e+01   1.03417e+02
            42   9.28962e+01   4.20000e+01  -7.57685e+00   1.15200e+01   1.03500e+02
            43   9.30694e+01   4.30000e+01  -7.49480e+00   1.15200e+01   1.03583e+02
            44   9.32336e+01   4.40000e+01  -7.44713e+00   1.15200e+01   1.03667e+02
            45   9.33974e+01   4.50000e+01  -7.38227e+00   1.15200e+01   1.03750e+02
            46   9.35597e+01   4.60000e+01  -7.31534e+00   1.15200e+01   1.03833e+02
            47   9.37276e+01   4.70000e+01  -7.25017e+00   1.15200e+01   1.03917e+02
            48   9.38981e+01   4.80000e+01  -7.20308e+00   1.15200e+01   1.04000e+02
            49   9.40551e+01   4.90000e+01  -7.15063e+00   1.15200e+01   1.04083e+02
            50   9.42196e+01   5.00000e+01  -7.10098e+00   1.15200e+01   1.04167e+02
            51   9.43722e+01   5.10000e+01  -7.05386e+00   1.15200e+01   1.04250e+02
            52   9.45394e+01   5.20000e+01  -7.02415e+00   1.15199e+01   1.04333e+02
            53   9.46955e+01   5.30000e+01  -6.98499e+00   1.15198e+01   1.04417e+02
            54   9.48638e+01   5.40000e+01  -6.94527e+00   1.15197e+01   1.04500e+02
            55   9.50066e+01   5.50000e+01  -6.90617e+00   1.15196e+01   1.04583e+02
            56   9.51714e+01   5.60000e+01  -6.88672e+00   1.15194e+01   1.04667e+02
            57   9.53083e+01   5.70000e+01  -6.86081e+00   1.15192e+01   1.04750e+02
            58   9.54659e+01   5.80000e+01  -6.83413e+00   1.15191e+01   1.04833e+02
            59   9.56105e+01   5.90000e+01  -6.80785e+00   1.15191e+01   1.04917e+02
            60   9.57635e+01   6.00000e+01  -6.79599e+00   1.15191e+01   1.05000e+02
            61   9.59252e+01   6.10000e+01  -6.77801e+00   1.15190e+01   1.05083e+02
            62   9.60652e+01   6.20000e+01  -6.76131e+00   1.15190e+01   1.05167e+02
            63   9.62189e+01   6.30000e+01  -6.74645e+00   1.15190e+01   1.05250e+02
            64   9.63714e+01   6.40000e+01  -6.74291e+00   1.15190e+01   1.05333e+02
            65   9.65185e+01   6.50000e+01  -6.73403e+00   1.15190e+01   1.05417e+02
            66   9.66602e+01   6.60000e+01  -6.72402e+00   1.15190e+01   1.05500e+02
            67   9.68040e+01   6.70000e+01  -6.71474e+00   1.15190e+01   1.05583e+02
            68   9.69529e+01   6.80000e+01  -6.71599e+00   1.15190e+01   1.05667e+02
            69   9.71000e+01   6.90000e+01  -6.71501e+00   1.15190e+01   1.05750e+02
