         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.46932e+01   0.00000e+00  -2.20164e+01   8.91539e+00   1.00000e+02
             1   8.48594e+01   1.00000e+00  -2.11028e+01   8.91565e+00   1.00083e+02
             2   8.50110e+01   2.00000e+00  -2.00864e+01   8.91591e+00   1.00167e+02
             3   8.51865e+01   3.00000e+00  -1.90929e+01   8.91622e+00   1.00250e+02
             4   8.53844e+01   4.00000e+00  -1.82313e+01   8.91689e+00   1.00333e+02
             5   8.55703e+01   5.00000e+00  -1.74393e+01   8.91755e+00   1.00417e+02
             6   8.57897e+01   6.00000e+00  -1.67381e+01   8.91829e+00   1.00500e+02
             7   8.59973e+01   7.00000e+00  -1.60623e+01   8.91914e+00   1.00583e+02
             8   8.62088e+01   8.00000e+00  -1.54788e+01   8.92047e+00   1.00667e+02
             9   8.64248e+01   9.00000e+00  -1.49109e+01   8.92168e+00   1.00750e+02
            10   8.66403e+01   1.00000e+01  -1.43909e+01   8.92295e+00   1.00833e+02
            11   8.68600e+01   1.10000e+01  -1.39181e+01   8.92424e+00   1.00917e+02
            12   8.70747e+01   1.20000e+01  -1.34957e+01   8.92574e+00   1.01000e+02
            13   8.72747e+01   1.30000e+01  -1.30778e+01   8.92707e+00   1.01083e+02
            14   8.75113e+01   1.40000e+01  -1.26878e+01   8.92831e+00   1.01167e+02
            15   8.77208e+01   1.50000e+01  -1.23268e+01   8.92947e+00   1.01250e+02
            16   8.79292e+01   1.60000e+01  -1.20022e+01   8.93040e+00   1.01333e+02
            17   8.81441e+01   1.70000e+01  -1.16679e+01   8.93128e+00   1.01417e+02
            18   8.83595e+01   1.80000e+01  -1.13423e+01   8.93204e+00   1.01500e+02
            19   8.85800e+01   1.90000e+01  -1.10500e+01   8.93272e+00   1.01583e+02
            20   8.87776e+01   2.00000e+01  -1.07940e+01   8.93298e+00   1.01667e+02
            21   8.89950e+01   2.10000e+01  -1.05308e+01   8.93332e+00   1.01750e+02
            22   8.92069e+01   2.20000e+01  -1.02795e+01   8.93361e+00   1.01833e+02
            23   8.94003e+01   2.30000e+01  -1.00479e+01   8.93386e+00   1.01917e+02
            24   8.96135e+01   2.40000e+01  -9.84064e+00   8.93381e+00   1.02000e+02
            25   8.98125e+01   2.50000e+01  -9.62328e+00   8.93387e+00   1.02083e+02
            26   9.00113e+01   2.60000e+01  -9.40963e+00   8.93393e+00   1.02167e+02
            27   9.02007e+01   2.70000e+01  -9.22022e+00   8.93398e+00   1.02250e+02
            28   9.03912e+01   2.80000e+01  -9.06153e+00   8.93397e+00   1.02333e+02
            29   9.05907e+01   2.90000e+01  -8.88067e+00   8.93398e+00   1.02417e+02
            30   9.07799e+01   3.00000e+01  -8.71047e+00   8.93399e+00   1.02500e+02
            31   9.09934e+01   3.10000e+01  -8.54542e+00   8.93400e+00   1.02583e+02
            32   9.11782e+01   3.20000e+01  -8.42673e+00   8.93399e+00   1.02667e+02
            33   9.13582e+01   3.30000e+01  -8.29265e+00   8.93400e+00   1.02750e+02
            34   9.15428e+01   3.40000e+01  -8.15880e+00   8.93400e+00   1.02833e+02
            35   9.17294e+01   3.50000e+01  -8.02762e+00   8.93400e+00   1.02917e+02
            36   9.19007e+01   3.60000e+01  -7.94097e+00   8.93400e+00   1.03000e+02
            37   9.20912e+01   3.70000e+01  -7.83475e+00   8.93400e+00   1.03083e+02
            38   9.22555e+01   3.80000e+01  -7.72966e+00   8.93400e+00   1.03167e+02
            39   9.24472e+01   3.90000e+01  -7.62906e+00   8.93400e+00   1.03250e+02
            40   9.26133e+01   4.00000e+01  -7.56187e+00   8.93400e+00   1.03333e+02
            41   9.27920e+01   4.10000e+01  -7.47883e+00   8.93400e+00   1.03417e+02
            42   9.29476e+01   4.20000e+01  -7.39556e+00   8.93400e+00   1.03500e+02
            43   9.31358e+01   4.30000e+01  -7.31473e+00   8.93400e+00   1.03583e+02
