         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.45847e+01   0.00000e+00  -2.55005e+01   3.28615e+01   1.00000e+02
             1   8.47294e+01   1.00000e+00  -2.46064e+01   3.28619e+01   1.00083e+02
             2   8.48755e+01   2.00000e+00  -2.35995e+01   3.28624e+01   1.00167e+02
             3   8.50502e+01   3.00000e+00  -2.26049e+01   3.28629e+01   1.00250e+02
             4   8.52341e+01   4.00000e+00  -2.17628e+01   3.28637e+01   1.00333e+02
             5   8.54371e+01   5.00000e+00  -2.09914e+01   3.28646e+01   1.00417e+02
             6   8.56501e+01   6.00000e+00  -2.03163e+01   3.28655e+01   1.00500e+02
             7   8.58615e+01   7.00000e+00  -1.96684e+01   3.28665e+01   1.00583e+02
             8   8.60631e+01   8.00000e+00  -1.91227e+01   3.28679e+01   1.00667e+02
             9   8.62743e+01   9.00000e+00  -1.85943e+01   3.28692e+01   1.00750e+02
            10   8.64691e+01   1.00000e+01  -1.81111e+01   3.28706e+01   1.00833e+02
            11   8.66777e+01   1.10000e+01  -1.76727e+01   3.28719e+01   1.00917e+02
            12   8.69200e+01   1.20000e+01  -1.72774e+01   3.28735e+01   1.01000e+02
            13   8.71203e+01   1.30000e+01  -1.68767e+01   3.28748e+01   1.01083e+02
            14   8.73211e+01   1.40000e+01  -1.65262e+01   3.28761e+01   1.01167e+02
            15   8.75434e+01   1.50000e+01  -1.62156e+01   3.28773e+01   1.01250e+02
            16   8.77572e+01   1.60000e+01  -1.59549e+01   3.28783e+01   1.01333e+02
            17   8.79596e+01   1.70000e+01  -1.56832e+01   3.28792e+01   1.01417e+02
            18   8.81771e+01   1.80000e+01  -1.54084e+01   3.28800e+01   1.01500e+02
            19   8.83870e+01   1.90000e+01  -1.51401e+01   3.28807e+01   1.01583e+02
            20   8.85871e+01   2.00000e+01  -1.49121e+01   3.28810e+01   1.01667e+02
            21   8.87862e+01   2.10000e+01  -1.46736e+01   3.28814e+01   1.01750e+02
            22   8.90029e+01   2.20000e+01  -1.44372e+01   3.28818e+01   1.01833e+02
            23   8.91937e+01   2.30000e+01  -1.42251e+01   3.28822e+01   1.01917e+02
            24   8.93969e+01   2.40000e+01  -1.40535e+01   3.28823e+01   1.02000e+02
            25   8.95868e+01   2.50000e+01  -1.38625e+01   3.28825e+01   1.02083e+02
            26   8.97964e+01   2.60000e+01  -1.36728e+01   3.28827e+01   1.02167e+02
            27   8.99996e+01   2.70000e+01  -1.34871e+01   3.28828e+01   1.02250e+02
            28   9.01739e+01   2.80000e+01  -1.33429e+01   3.28827e+01   1.02333e+02
            29   9.03616e+01   2.90000e+01  -1.31826e+01   3.28827e+01   1.02417e+02
            30   9.05496e+01   3.00000e+01  -1.30202e+01   3.28826e+01   1.02500e+02
            31   9.07430e+01   3.10000e+01  -1.28516e+01   3.28825e+01   1.02583e+02
            32   9.09344e+01   3.20000e+01  -1.27434e+01   3.28823e+01   1.02667e+02
            33   9.11112e+01   3.30000e+01  -1.26033e+01   3.28822e+01   1.02750e+02
            34   9.13199e+01   3.40000e+01  -1.24654e+01   3.28821e+01   1.02833e+02
            35   9.14764e+01   3.50000e+01  -1.23223e+01   3.28821e+01   1.02917e+02
            36   9.16534e+01   3.60000e+01  -1.22374e+01   3.28821e+01   1.03000e+02
            37   9.18315e+01   3.70000e+01  -1.21280e+01   3.28820e+01   1.03083e+02
            38   9.20269e+01   3.80000e+01  -1.20163e+01   3.28820e+01   1.03167e+02
            39   9.21936e+01   3.90000e+01  -1.19050e+01   3.28820e+01   1.03250e+02
            40   9.23589e+01   4.00000e+01  -1.18240e+01   3.28820e+01   1.03333e+02
            41   9.25250e+01   4.10000e+01  -1.17276e+01   3.28820e+01   1.03417e+02
            42   9.27001e+01   4.20000e+01  -1.16306e+01   3.28820e+01   1.03500e+02
            43   9.28802e+01   4.30000e+01  -1.15360e+01   3.28820e+01   1.03583e+02
            44   9.30323e+01   4.40000e+01  -1.14598e+01   3.28820e+01   1.03667e+02
            45   9.31987e+01   4.50000e+01  -1.13798e+01   3.28820e+01   1.03750e+02
            46   9.33789e+01   4.60000e+01  -1.12967e+01   3.28820e+01   1.03833e+02
            47   9.35432e+01   4.70000e+01  -1.12084e+01   3.28820e+01   1.03917e+02
            48   9.37068e+01   4.80000e+01  -1.11598e+01   3.28820e+01   1.04000e+02
            49   9.38655e+01   4.90000e+01  -1.10927e+01   3.28820e+01   1.04083e+02
            50   9.40183e+01   5.00000e+01  -1.10207e+01   3.28820e+01   1.04167e+02
            51   9.41769e+01   5.10000e+01  -1.09557e+01   3.28820e+01   1.04250e+02
            52   9.43418e+01   5.20000e+01  -1.09214e+01   3.28820e+01   1.04333e+02
            53   9.44870e+01   5.30000e+01  -1.08699e+01   3.28820e+01   1.04417e+02
            54   9.46418e+01   5.40000e+01  -1.08152e+01   3.28820e+01   1.04500e+02
            55   9.48033e+01   5.50000e+01  -1.07608e+01   3.28820e+01   1.04583e+02
            56   9.49606e+01   5.60000e+01  -1.07246e+01   3.28820e+01   1.04667e+02
            57   9.51155e+01   5.70000e+01  -1.06810e+01   3.28820e+01   1.04750e+02
            58   9.52485e+01   5.80000e+01  -1.06363e+01   3.28820e+01   1.04833e+02
            59   9.54049e+01   5.90000e+01  -1.05926e+01   3.28820e+01   1.04917e+02
            60   9.55668e+01   6.00000e+01  -1.05599e+01   3.28820e+01   1.05000e+02
            61   9.56955e+01   6.10000e+01  -1.05244e+01   3.28821e+01   1.05083e+02
            62   9.58573e+01   6.20000e+01  -1.04894e+01   3.28822e+01   1.05167e+02
            63   9.60069e+01   6.30000e+01  -1.04552e+01   3.28823e+01   1.05250e+02
            64   9.61597e+01   6.40000e+01  -1.04321e+01   3.28825e+01   1.05333e+02
            65   9.62977e+01   6.50000e+01  -1.04035e+01   3.28826e+01   1.05417e+02
            66   9.64548e+01   6.60000e+01  -1.03742e+01   3.28827e+01   1.05500e+02
            67   9.65941e+01   6.70000e+01  -1.03457e+01   3.28828e+01   1.05583e+02
            68   9.67270e+01   6.80000e+01  -1.03280e+01   3.28829e+01   1.05667e+02
            69   9.68753e+01   6.90000e+01  -1.03052e+01   3.28829e+01   1.05750e+02
            70   9.70064e+01   7.00000e+01  -1.02823e+01   3.28829e+01   1.05833e+02
            71   9.71551e+01   7.10000e+01  -1.02607e+01   3.28830e+01   1.05917e+02
            72   9.72925e+01   7.20000e+01  -1.02464e+01   3.28830e+01   1.06000e+02
            73   9.74320e+01   7.30000e+01  -1.02295e+01   3.28830e+01   1.06083e+02
            74   9.75661e+01   7.40000e+01  -1.02115e+01   3.28830e+01   1.06167e+02
            75   9.77066e+01   7.50000e+01  -1.01947e+01   3.28830e+01   1.06250e+02
            76   9.78333e+01   7.60000e+01  -1.01842e+01   3.28830e+01   1.06333e+02
            77   9.79890e+01   7.70000e+01  -1.01708e+01   3.28830e+01   1.06417e+02
            78   9.81126e+01   7.80000e+01  -1.01571e+01   3.28830e+01   1.06500e+02
            79   9.82503e+01   7.90000e+01  -1.01441e+01   3.28830e+01   1.06583e+02
            80   9.83838e+01   8.00000e+01  -1.01400e+01   3.28830e+01   1.06667e+02
            81   9.85341e+01   8.10000e+01  -1.01325e+01   3.28830e+01   1.06750e+02
            82   9.86674e+01   8.20000e+01  -1.01242e+01   3.28830e+01   1.06833e+02
            83   9.88079e+01   8.30000e+01  -1.01168e+01   3.28830e+01   1.06917e+02
            84   9.89239e+01   8.40000e+01  -1.01140e+01   3.28830e+01   1.07000e+02
            85   9.90513e+01   8.50000e+01  -1.01071e+01   3.28830e+01   1.07083e+02
            86   9.91901e+01   8.60000e+01  -1.01012e+01   3.28830e+01   1.07167e+02
            87   9.93164e+01   8.70000e+01  -1.00958e+01   3.28830e+01   1.07250e+02
            88   9.94472e+01   8.80000e+01  -1.00942e+01   3.28830e+01   1.07333e+02
            89   9.95841e+01   8.90000e+01  -1.00900e+01   3.28830e+01   1.07417e+02
            90   9.97182e+01   9.00000e+01  -1.00853e+01   3.28830e+01   1.07500e+02
            91   9.98590e+01   9.10000e+01  -1.00810e+01   3.28830e+01   1.07583e+02
            92   9.99700e+01   9.20000e+01  -1.00792e+01   3.28830e+01   1.07667e+02
            93   1.00114e+02   9.30000e+01  -1.00776e+01   3.28830e+01   1.07750e+02
            94   1.00232e+02   9.40000e+01  -1.00760e+01   3.28830e+01   1.07833e+02
            95   1.00363e+02   9.50000e+01  -1.00738e+01   3.28830e+01   1.07917e+02
            96   1.00489e+02   9.60000e+01  -1.00738e+01   3.28830e+01   1.08000e+02
            97   1.00613e+02   9.70000e+01  -1.00740e+01   3.28830e+01   1.08083e+02
            98   1.00752e+02   9.80000e+01  -1.00739e+01   3.28830e+01   1.08167e+02
            99   1.00873e+02   9.90000e+01  -1.00748e+01   3.28830e+01   1.08250e+02
           100   1.00989e+02   1.00000e+02  -1.00800e+01   3.28830e+01   1.08333e+02
           101   1.01128e+02   1.01000e+02  -1.00832e+01   3.28830e+01   1.08417e+02
           102   1.01250e+02   1.02000e+02  -1.00870e+01   3.28830e+01   1.08500e+02
           103   1.01381e+02   1.03000e+02  -1.00914e+01   3.28830e+01   1.08583e+02
           104   1.01503e+02   1.04000e+02  -1.00981e+01   3.28830e+01   1.08667e+02
           105   1.01638e+02   1.05000e+02  -1.01031e+01   3.28830e+01   1.08750e+02
           106   1.01749e+02   1.06000e+02  -1.01079e+01   3.28830e+01   1.08833e+02
           107   1.01859e+02   1.07000e+02  -1.01119e+01   3.28830e+01   1.08917e+02
           108   1.01995e+02   1.08000e+02  -1.01211e+01   3.28830e+01   1.09000e+02
           109   1.02129e+02   1.09000e+02  -1.01279e+01   3.28830e+01   1.09083e+02
           110   1.02251e+02   1.10000e+02  -1.01337e+01   3.28830e+01   1.09167e+02
           111   1.02362e+02   1.11000e+02  -1.01395e+01   3.28830e+01   1.09250e+02
           112   1.02495e+02   1.12000e+02  -1.01492e+01   3.28830e+01   1.09333e+02
           113   1.02614e+02   1.13000e+02  -1.01579e+01   3.28830e+01   1.09417e+02
